"ModelID","CRISPRGeneEffect","CRISPRGeneDependency","CellLineName","OncotreeLineage","OncotreePrimaryDisease","OncotreeSubtype","OncotreeCode","Group"
"ACH-000036",-0.138430704,0.081799311,"U343","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000040",-0.035999881,0.035169051,"U-118 MG","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000067",-0.021114508,0.028834327,"Hs 683","CNS/Brain","Diffuse Glioma","Oligodendroglioma","ODG","Glioma Cell Lines"
"ACH-000075",0.038494534,0.017520659,"U-87 MG","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000098",-0.144437044,0.106686485,"GAMG","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000128",-0.123837384,0.059870228,"LN-319","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000137",-0.079298285,0.045455959,"8-MG-BA","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000143",-0.461502556,0.536553865,"HCC2429","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC","Dependent Cell Lines"
"ACH-000152",-0.201998385,0.146302259,"M059K","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000200",-0.012196825,0.022619845,"NMC-G1","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000208",-0.109952435,0.034690085,"U-178","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000215",-0.082496398,0.060853133,"LN382","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000231",-0.214457788,0.191432296,"KALS-1","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000232",-0.034798901,0.02533353,"U-251 MG","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000244",-0.141619254,0.060281029,"DK-MG","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000247",-0.544857716,0.651802084,"OCUM-1","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","DSTAD","Dependent Cell Lines"
"ACH-000269",0.244356269,0.003559882,"AM-38","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000273",-0.056708502,0.044506191,"SF539","CNS/Brain","Diffuse Glioma","Gliosarcoma","GSARC","Glioma Cell Lines"
"ACH-000323",-0.234371244,0.149212159,"42-MG-BA","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000329",-0.291534897,0.276027017,"CCF-STTG1","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000368",-0.349260945,0.290086326,"SNU-1105","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000370",-0.020927407,0.027102786,"SNU-626","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000376",-0.217062324,0.20458194,"SF-295","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000389",-0.305262391,0.166913634,"H4","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000437",-0.027547183,0.03645904,"SW 1088","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000445",-0.166085467,0.083822981,"KNS-60","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000455",-0.138241282,0.103209827,"LN-428","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000464",-0.381051965,0.363709114,"CAS-1","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000469",0.008050117,0.020491394,"YH-13","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000479",0.148601782,0.009187595,"KNS-81","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000504",-0.108475523,0.057219147,"SNB75","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000533",-0.587566556,0.785139162,"NCI-H2004 RT","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","MRT","Dependent Cell Lines"
"ACH-000558",0.163459332,0.007212369,"A-172","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000570",-0.102866496,0.059366522,"YKG1","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000571",-0.145467629,0.120868819,"T98G","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
"ACH-000591",-0.222368001,0.138919099,"LN-235","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000592",-0.184542561,0.12120566,"TM-31","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Glioma Cell Lines"
"ACH-000595",-0.043796674,0.042970842,"LN-229","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Glioma Cell Lines"
