ModelID,CRISPRGeneEffect,CRISPRGeneDependency
ACH-000001,-0.092109154,0.051137573
ACH-000004,-0.007381166,0.02262794
ACH-000005,-0.13703545,0.054693236
ACH-000007,0.087101686,0.005481161
ACH-000009,-0.027909676,0.041013064
ACH-000011,-0.101561031,0.045558577
ACH-000012,-0.02198925,0.024668758
ACH-000013,-0.205600785,0.144140979
ACH-000014,-0.032877444,0.023153902
ACH-000015,0.022232801,0.009417753
ACH-000017,-0.053917254,0.048534362
ACH-000018,-0.011405467,0.018169902
ACH-000019,-0.418282222,0.370698111
ACH-000021,-0.065562499,0.039031609
ACH-000022,-0.190733938,0.092724554
ACH-000023,-0.066664081,0.05742849
ACH-000024,-0.077778261,0.061558461
ACH-000025,-0.159614415,0.098459936
ACH-000026,0.146979504,0.003094566
ACH-000028,-0.052689293,0.025729258
ACH-000029,-0.073394908,0.04576638
ACH-000030,0.021352041,0.016433599
ACH-000035,0.123619988,0.006743864
ACH-000036,-0.138430704,0.081799311
ACH-000037,-0.073530251,0.049913168
ACH-000039,-0.227568904,0.105884171
ACH-000040,-0.035999881,0.035169051
ACH-000041,-0.123543847,0.051074587
ACH-000042,-0.208243227,0.113250864
ACH-000045,-0.011628875,0.018256187
ACH-000047,-0.168113643,0.100779835
ACH-000048,-0.080324733,0.028655503
ACH-000052,-0.118938956,0.048032554
ACH-000053,-0.055117295,0.048937024
ACH-000054,-0.08002134,0.049630428
ACH-000055,-0.148736073,0.067779939
ACH-000060,-0.044017504,0.03759466
ACH-000067,-0.021114508,0.028834327
ACH-000070,-0.267518308,0.180507806
ACH-000074,-0.177301461,0.089132176
ACH-000075,0.038494534,0.017520659
ACH-000076,-0.389436299,0.321953818
ACH-000077,-0.254202478,0.122588902
ACH-000078,-0.090150208,0.048873629
ACH-000082,-0.114596642,0.087069359
ACH-000085,-0.116792953,0.048159934
ACH-000086,-0.135929441,0.081792198
ACH-000087,-0.241754191,0.127713085
ACH-000090,0.00418627,0.016035316
ACH-000092,-0.14761016,0.089050445
ACH-000093,-0.213556053,0.086575596
ACH-000094,-0.25200469,0.181214208
ACH-000095,-0.212052968,0.153274508
ACH-000096,-0.106159356,0.047174313
ACH-000097,-0.001903115,0.021507758
ACH-000098,-0.144437044,0.106686485
ACH-000099,-0.143733005,0.086765111
ACH-000100,0.000720522,0.01702871
ACH-000101,-0.100682558,0.054007951
ACH-000103,-0.185308193,0.106927073
ACH-000106,0.052493354,0.01279464
ACH-000108,-0.131950109,0.076715877
ACH-000111,-0.247883251,0.145556688
ACH-000113,-0.29114887,0.240484933
ACH-000114,-0.115265074,0.071039195
ACH-000115,-0.128326647,0.083828363
ACH-000116,-0.233879928,0.183562784
ACH-000118,-0.239161085,0.166871303
