ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000001,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000002,HL-60,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000003,CACO2,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000005,HEL 92.1.7,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000006,MONO-MAC-6,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000007,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000008,A101D,Skin,Melanoma,Melanoma,MEL
ACH-000009,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000011,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000012,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000013,ONCO-DG-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000014,Hs 294T,Skin,Melanoma,Melanoma,MEL
ACH-000015,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000016,SLR 21,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000017,SK-BR-3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000020,MHH-CALL-2,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000024,OPM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,Meningioma,MNG
ACH-000026,253J-BV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000027,GOS-3,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000028,KPL-1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000029,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000031,Panc 02.13,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000032,MHH-CALL-3,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000033,NCI-H1819,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000034,PLB-985,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000036,U343,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000037,S-117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",SARCNOS
ACH-000038,EHEB,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000039,SK-N-MC,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000040,U-118 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000041,RD-ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
