sample ID,genotype,replicate,guide
1,K27M-KO,1,LUC
2,K27M-KO,2,LUC
3,K27M-KO,1,CBX4.1
4,K27M-KO,2,CBX4.1
5,K27M-KO,1,CBX4.2
6,K27M-KO,2,CBX4.2
7,K27M-KO,1,CBX2.1
8,K27M-KO,2,CBX2.1
9,K27M-KO,1,CBX2.3
10,K27M-KO,2,CBX2.3
11,K27M-KO,1,EZH2.3
12,K27M-KO,2,EZH2.3
13,K27M-KO,1,EZH2.5
14,K27M-KO,2,EZH2.5
15,K27M-KO,1,CBX8.1
16,K27M-KO,2,CBX8.1
17,K27M-KO,1,CBX8.2
18,K27M-KO,2,CBX8.2
19,K27M-KO,1,BMI1.1
20,K27M-KO,2,BMI1.1
21,K27M-KO,1,BMI1.3
22,K27M-KO,2,BMI1.3
23,K27M-KO,1,H3F3A.2
24,K27M-KO,2,H3F3A.2
25,K27M-KO,1,H3F3A.3
26,K27M-KO,2,H3F3A.3
27,K27M+,1,LUC
28,K27M+,2,LUC
29,K27M+,1,CBX4.1
30,K27M+,2,CBX4.1
31,K27M+,1,CBX4.2
32,K27M+,2,CBX4.2
33,K27M+,1,CBX2.1
34,K27M+,2,CBX2.1
35,K27M+,1,CBX2.3
36,K27M+,2,CBX2.3
37,K27M+,1,EZH2.3
38,K27M+,2,EZH2.3
39,K27M+,1,EZH2.5
40,K27M+,2,EZH2.5
41,K27M+,1,CBX8.1
42,K27M+,2,CBX8.1
43,K27M+,1,CBX8.2
44,K27M+,2,CBX8.2
45,K27M+,1,BMI1.1
46,K27M+,2,BMI1.1
47,K27M+,1,BMI1.3
48,K27M+,2,BMI1.3
49,K27M+,1,H3F3A.2
50,K27M+,2,H3F3A.2
51,K27M+,1,H3F3A.3
52,K27M+,2,H3F3A.3
