,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,GSN,997.004540414557,3.27854693195339,0.130912044494655,25.0438906871343,2.03501482117506e-138,1.36990414378768e-134,Upregulated,GSN
2,EYA4,799.808935688509,4.58071538376209,0.208348913049875,21.985789686676,3.93883505278686e-107,9.94309673637883e-104,Upregulated,EYA4
3,SFRP1,671.672643877303,7.46375275674648,0.375416530927234,19.8812575948957,5.91329643524621e-88,1.08562746827088e-84,Upregulated,SFRP1
4,PCDH1,289.431154026496,5.13902927324421,0.292050665781352,17.5963621226312,2.6266359868296e-69,2.94693965300132e-66,Upregulated,PCDH1
5,ITPKB,1892.88011847662,2.08932051927484,0.119825254883973,17.4363953683881,4.36767567666828e-68,4.41026051451579e-65,Upregulated,ITPKB
6,MAGEA6,347.413501605683,-6.53165881440235,0.386293674158611,-16.9085316466261,3.89287272906951e-64,3.02371402936765e-61,Downregulated,MAGEA6
7,CCND2,2303.22744504617,1.57360022001815,0.0940159749205664,16.7375833877984,6.9763491115275e-63,4.85818518301027e-60,Upregulated,CCND2
8,RTN1,416.446219861853,3.23620008450108,0.194002667878015,16.6812143353407,1.79532016576957e-62,1.20854969159055e-59,Upregulated,RTN1
9,DMRTA2,523.936408717557,7.44126906039364,0.4540035635561,16.3903318337591,2.24217277936019e-60,1.46066707352191e-57,Upregulated,DMRTA2
10,ANK1,387.031114382409,4.22900970206491,0.262097149947753,16.1352754232846,1.44163059494652e-58,8.28413944073959e-56,Upregulated,ANK1
11,IGSF9B,304.554298864788,3.6805921272965,0.228962481895333,16.0750883587078,3.81449126809846e-58,2.02720134629601e-55,Upregulated,IGSF9B
12,CHST2,258.386662350014,3.67579233327488,0.233765310688462,15.7242848498321,1.03108441871984e-55,5.20568745901179e-53,Upregulated,CHST2
13,RAB29,194.429221899749,3.99750357316085,0.257748422004264,15.5093231689881,3.00024745594147e-54,1.47780481396922e-51,Upregulated,RAB29
14,RIMS4,1156.44796431947,2.84846703835095,0.183834712135438,15.4947180826893,3.76609094102918e-54,1.81086206081153e-51,Upregulated,RIMS4
15,ADARB2,321.129816544504,-6.04703884630319,0.396923433264655,-15.2347741139063,2.07844221763854e-52,9.76142804307216e-50,Downregulated,ADARB2
16,PDLIM3,306.651453292998,6.44615323274955,0.43273228282395,14.8964001268472,3.47821261046286e-50,1.46338549308953e-47,Upregulated,PDLIM3
17,NT5E,285.765728648728,6.16002770183379,0.413896685446257,14.8830080511327,4.24955414630093e-50,1.75142338743974e-47,Upregulated,NT5E
18,RUNX1,245.64295023153,3.46213156869339,0.238434451597798,14.5202656138529,9.01602050834748e-48,3.37182470677921e-45,Upregulated,RUNX1
19,STOM,467.781230913486,2.72087194995707,0.187448248738526,14.5153233933513,9.68996158751785e-48,3.55797771381678e-45,Upregulated,STOM
20,TNFRSF19,322.501485221999,2.38329677784301,0.1683021575856,14.160821299221,1.60111888824386e-45,4.75508763942422e-43,Upregulated,TNFRSF19
21,VCAN,872.199371334306,-2.50952277457928,0.181008674627341,-13.8641022577833,1.04525664588118e-43,2.93179971716256e-41,Downregulated,VCAN
22,SLIT2,479.807136231711,-3.2244695664604,0.233665213497358,-13.7995276155938,2.56528078679366e-43,6.90744606523974e-41,Downregulated,SLIT2
23,S1PR3,195.335278294379,5.23562598965692,0.379499232541092,13.7961438145728,2.68854405073139e-43,7.14409830322638e-41,Upregulated,S1PR3
24,ARHGAP29,510.936321547192,2.93560975116291,0.215205248696746,13.6409765511788,2.28480319563739e-42,5.55922898022857e-40,Upregulated,ARHGAP29
25,OTULINL,322.327415955249,-5.95252325907476,0.437027058369847,-13.6204913290226,3.02525569858185e-42,7.27321890867385e-40,Downregulated,OTULINL
26,CAVIN1,930.227101754107,4.51377373633961,0.332304720880591,13.5832368687942,5.03511218861607e-42,1.1962834194012e-39,Upregulated,CAVIN1
27,CPNE5,227.239070244209,4.07799906076479,0.30027588433243,13.5808410649791,5.20255702797821e-42,1.22169347883744e-39,Upregulated,CPNE5
28,ABLIM1,1572.92802580693,-1.8276744453346,0.137356034882533,-13.3061095342307,2.13302930645176e-40,4.89505986861288e-38,Downregulated,ABLIM1
29,NAB1,362.673664940507,-2.06149355886004,0.155719489809186,-13.2385070191672,5.2583740153248e-40,1.17992070266094e-37,Downregulated,NAB1
30,CDH11,225.328322120498,-2.74452882077967,0.210989619821675,-13.0078855210949,1.10353476702119e-38,2.34588259157821e-36,Downregulated,CDH11
31,LIMS2,165.074455726464,-4.21959867625151,0.332901703806995,-12.675209012141,8.11421137232211e-37,1.56063332060995e-34,Downregulated,LIMS2
32,EFHD1,280.366552483032,2.57529021782278,0.210096158133454,12.2576740131866,1.52823768363256e-34,2.57189666841329e-32,Upregulated,EFHD1
33,MAML3,141.857864698744,3.98674368320558,0.326006119560805,12.2290455423859,2.17478972017797e-34,3.62974201644579e-32,Upregulated,MAML3
34,CDH8,376.694766636911,-2.20212826103529,0.183754065652186,-11.9841063283113,4.30461426408597e-33,6.58573371691032e-31,Downregulated,CDH8
35,SEZ6,268.459243154996,5.86193476938235,0.506635959652249,11.570309327048,5.82722025059852e-31,7.54363544620751e-29,Upregulated,SEZ6
36,HEY2,169.874080117948,2.90915567822707,0.252587595933559,11.5174130680285,1.07798973075622e-30,1.36062516328887e-28,Upregulated,HEY2
37,ITGA5,300.484865367695,2.89794796708937,0.253068989128354,11.4512172236937,2.31866515007754e-30,2.85520992108633e-28,Upregulated,ITGA5
38,B4GALNT3,129.360914998528,5.80217089309509,0.508744057873882,11.4048917197053,3.95268810528708e-30,4.75146049323051e-28,Upregulated,B4GALNT3
39,LINC01694,235.093558546334,-2.80932850059095,0.246824884464679,-11.3818689986786,5.1484371923365e-30,6.04492378483928e-28,Downregulated,LINC01694
40,SVIL,2068.69820135318,1.45729542879228,0.129522657931939,11.2512779776188,2.28260506549063e-29,2.58973085941479e-27,Upregulated,SVIL
41,APOL4,221.943246874162,2.75282623362944,0.245475003580889,11.2142833016492,3.46985794141599e-29,3.91473637580424e-27,Upregulated,APOL4
42,KLHL29,162.257337244198,2.70210829314238,0.242648721461203,11.1358851465221,8.39072565012035e-29,9.15949754076651e-27,Upregulated,KLHL29
43,EYA2,123.036258359121,-4.50361480174267,0.405889739676402,-11.0956606228411,1.31683475017876e-28,1.39232867957382e-26,Downregulated,EYA2
44,EGFR,629.678112278187,1.27300003802384,0.115482241244472,11.0233402495969,2.94908386631894e-28,3.05419224001595e-26,Upregulated,EGFR
45,TFAP2A,178.537899552174,6.51771076951523,0.598152296053747,10.8964068390529,1.19899067909603e-27,1.19278900316967e-25,Upregulated,TFAP2A
46,ADAMTS18,135.986053343535,5.63738861009351,0.518936989088196,10.863339342988,1.72329866637464e-27,1.68941827997262e-25,Upregulated,ADAMTS18
47,SLC39A8,198.912930303642,-2.11709803126044,0.195290000140662,-10.8407907713429,2.20556296370719e-27,2.13116478718022e-25,Downregulated,SLC39A8
48,DRAXIN,367.418028292475,2.61800559248934,0.245739860325929,10.6535650708723,1.67812576650226e-26,1.49294052222525e-24,Upregulated,DRAXIN
49,DLX6-AS1,204.254403611109,-7.04669208494292,0.664568003063831,-10.6034176374063,2.87285777304657e-26,2.43770431624687e-24,Downregulated,DLX6-AS1
50,RBBP7,2544.15004785369,-1.0200166711216,0.0963341512914828,-10.5883184462308,3.37601829527635e-26,2.85266483151071e-24,Downregulated,RBBP7
51,ANKS1B,394.754611245589,2.22054656725733,0.214259598542678,10.3638137211156,3.6222500059216e-25,2.93780477387899e-23,Upregulated,ANKS1B
52,CDON,161.575174581456,2.42563398674253,0.235751904405919,10.2889263730657,7.9052878262205e-25,6.23622217384855e-23,Upregulated,CDON
53,FZD8,93.2945755241446,5.00511134219215,0.48759597087586,10.2648742835212,1.01453031562614e-24,7.94125570700384e-23,Upregulated,FZD8
