,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,-4.60720676743952,0.161736654843105,-28.485854192476,1.75378173139389e-178,3.54176220654997e-174,Downregulated,NA
2,LOC105371692,924.275766933459,4.09212939967074,0.15786910943313,25.9210266933448,3.85917214817032e-148,3.89679907661498e-144,Upregulated,NA
3,GSN,997.004540414557,3.27854693195339,0.130912044494655,25.0438906871343,2.03501482117506e-138,1.36990414378768e-134,Upregulated,GSN
4,WWTR1,594.428245999385,5.08251704279135,0.21411147277723,23.7377146439949,1.47164366744118e-124,7.42996096599365e-121,Upregulated,NA
5,ARHGEF6,1532.86918573465,3.83011808800364,0.170756634504008,22.4302739341806,1.99405489186377e-111,8.05398770823776e-108,Upregulated,NA
6,LRRN2,973.817999575366,4.1654818745859,0.1872246103783,22.2485808151464,1.16418505055052e-109,3.91845284931129e-106,Upregulated,NA
7,KLHDC8A,2536.58406993876,3.34414753997672,0.150896016441084,22.1619338856597,8.0038694723735e-109,2.30911634277976e-105,Upregulated,NA
8,EYA4,799.808935688509,4.58071538376209,0.208348913049875,21.985789686676,3.93883505278686e-107,9.94309673637883e-104,Upregulated,EYA4
9,SLFN11,595.002395648243,-6.5697204679978,0.317510420701582,-20.6913538569258,4.14412677743618e-95,9.29896003003596e-92,Downregulated,NA
10,PRSS12,586.454283777832,-3.15608534378449,0.155852919472967,-20.2504088756061,3.52303715907369e-91,7.11477354274932e-88,Downregulated,NA
11,SFRP1,671.672643877303,7.46375275674648,0.375416530927234,19.8812575948957,5.91329643524621e-88,1.08562746827088e-84,Upregulated,SFRP1
12,DAB1,437.913451091098,-4.18800260024281,0.211074318749728,-19.8413649990672,1.30857154868932e-87,2.20221686881506e-84,Downregulated,NA
13,TARID,493.207934154539,4.43980620165279,0.225422679888526,19.695472540067,2.35786622333714e-86,3.6628544907918e-83,Upregulated,NA
14,SEMA3C,898.977459482895,-6.33853054912038,0.324723301658358,-19.519789669388,7.45444769125141e-85,1.07530407946302e-81,Downregulated,NA
15,TENM4,407.405710938626,4.05619702292764,0.218665678247294,18.549765356136,8.19087654314813e-77,1.10276501192584e-73,Upregulated,NA
16,S100A4,538.812949152839,-4.11529141333981,0.227096883396046,-18.1213029073716,2.16409077629204e-73,2.73148832670111e-70,Downregulated,NA
17,COL23A1,407.974023105228,6.62084692275291,0.365708491067776,18.1041651601299,2.95456743300154e-73,3.50985231232154e-70,Upregulated,NA
18,PCDH1,289.431154026496,5.13902927324421,0.292050665781352,17.5963621226312,2.6266359868296e-69,2.94693965300132e-66,Upregulated,PCDH1
