,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,CDKN2A,379.979865281705,2.13329345325813,0.167968960697365,12.7005218368991,5.87367385408705e-37,1.04815709926183e-32,Upregulated,CDKN2A
2,FN1,515.279042490332,2.76383221196294,0.289097793316583,9.5601982300029,1.17531368863767e-21,6.99115759124642e-18,Upregulated,FN1
3,ACTC1,46.7257209618346,4.06941840027506,0.524066931115459,7.76507380767841,8.15976931923678e-15,1.61790092779756e-11,Upregulated,ACTC1
4,IGF2BP1,172.436698621361,1.59161556412925,0.221841070431771,7.1745757493483,7.25317541232812e-13,6.81225869647344e-10,Upregulated,IGF2BP1
5,RPS6KA2,1046.17847720412,0.937426244699195,0.13688568393223,6.84824166976656,7.47631907164754e-12,4.60051427012242e-09,Upregulated,RPS6KA2
6,NEURL1B,550.181311749228,-0.93287508859858,0.141485236385474,-6.59344474682133,4.29736735334174e-11,2.25548589471716e-08,Downregulated,NEURL1B
7,SLC39A8,198.912930303642,-1.27565348689322,0.204517413291862,-6.23738324458839,4.44950969204731e-10,1.55689216577616e-07,Downregulated,SLC39A8
8,LIMCH1,132.805305529743,1.97420664445274,0.316888104845989,6.229980280933,4.66493888406322e-10,1.57067612049261e-07,Upregulated,LIMCH1
9,WLS,2402.81983706314,0.742442344481272,0.119477855599883,6.21405816796399,5.16333999283011e-10,1.67526913040097e-07,Upregulated,WLS
10,PPP2R2B,60.936518279719,2.1078670371739,0.364057602094205,5.78992726713741,7.04169100174473e-09,1.47834089324864e-06,Upregulated,PPP2R2B
11,RTN1,416.446219861853,0.951681105004895,0.174796427960352,5.44451117285281,5.19478435608543e-08,7.72507723619538e-06,Upregulated,RTN1
12,ANLN,565.424623570126,-1.00809873998942,0.192084514665676,-5.24820411340299,1.53589075161224e-07,1.80315595148161e-05,Downregulated,ANLN
13,PRICKLE1,40.1175655764857,2.88713458181634,0.552197934936285,5.22844146845546,1.70944934014219e-07,1.99379891992402e-05,Upregulated,PRICKLE1
14,WIPI1,191.957894118336,1.16151352098977,0.223399445829422,5.19926769145456,2.00075209563458e-07,2.27410325774516e-05,Upregulated,WIPI1
15,SMPD1,163.786745041312,1.17679310750574,0.227582153688116,5.1708496841033,2.33031964062368e-07,2.61538075389494e-05,Upregulated,SMPD1
16,CCDC184,150.661800149322,1.16495914166489,0.226652065713432,5.13985671384883,2.74948054087252e-07,3.01009081299817e-05,Upregulated,CCDC184
17,BMP7,88.6690688714297,1.44349606159973,0.283277801595513,5.09569070880065,3.47472025419608e-07,3.73532427326079e-05,Upregulated,BMP7
18,DEK,2917.16615945988,-0.757168422351405,0.15088775790827,-5.01809048558939,5.21875970350381e-07,5.38283010507066e-05,Downregulated,DEK
19,C14orf39,58.5010347870162,3.72280726749664,0.746792343270409,4.98506352005893,6.19414600988481e-07,6.07332612892278e-05,Upregulated,C14orf39
20,CHRNA5,202.585824002292,-1.03100120567553,0.210884139854988,-4.88894615965184,1.01377215027587e-06,9.0908361917954e-05,Downregulated,CHRNA5
21,LBR,2938.72028106557,-0.537700502017367,0.111092293531852,-4.84012423294868,1.29757987286602e-06,0.000110790970484661,NS,NA
22,THBS4,353.327257521288,0.990696323516503,0.204876933075596,4.83556791213265,1.3276603612121e-06,0.000112218689393626,Upregulated,THBS4
23,CDKN2C,1482.31195827365,-0.548763520577116,0.113833681157553,-4.82074826182239,1.43020745341591e-06,0.000117613142885746,NS,NA
24,HILPDA,108.319553692842,-1.22747017459652,0.255366450348804,-4.80670100915734,1.53441201397489e-06,0.00011938955509411,Downregulated,HILPDA
25,CDKN2B,48.7919141623855,2.49677270004702,0.519297650364876,4.80797996735148,1.52463039252268e-06,0.00011938955509411,Upregulated,CDKN2B
26,GINS2,462.518955607427,-0.946130128489179,0.197197450530808,-4.79788215284947,1.60352071712805e-06,0.000123339772401509,Downregulated,GINS2
27,RTKN2,251.881596437444,-1.06839834842411,0.223965740206711,-4.77036508993751,1.83892314384895e-06,0.000138462377645505,Downregulated,RTKN2
28,NEO1,1130.222404675,0.589506965653525,0.125551822613701,4.69532782066672,2.66179495710836e-06,0.00018700681499842,Upregulated,NEO1
29,CRMP1,2837.47363839593,0.596943866294664,0.128099273757188,4.66000976263278,3.16194386444656e-06,0.000217018801004034,Upregulated,CRMP1
30,IGSF9B,304.554298864788,0.895081174615189,0.192659767558619,4.64591640464246,3.38570094232546e-06,0.000227134711713526,Upregulated,IGSF9B
31,RBBP7,2544.15004785369,-0.451580179601807,0.0975743732093454,-4.62806129057005,3.69104790246542e-06,0.000243491837108417,NS,NA
32,KIF18B,440.891080817896,-0.906789677946311,0.196199092774135,-4.62178323622632,3.80455437178225e-06,0.000246880991870743,Downregulated,KIF18B
33,ANK3,412.940067796738,0.820273938640448,0.178324012056644,4.59990737747583,4.22678834788024e-06,0.000268360400374705,Upregulated,ANK3
34,CNTN2,284.924970842687,4.55982662816763,0.998472063844692,4.56680441374561,4.95215675221448e-06,0.000303681227640094,Upregulated,CNTN2
35,ACVR1,163.653655216251,0.921931625904373,0.208457465781076,4.42263663932572,9.75036459667253e-06,0.000530473342157382,Upregulated,ACVR1
36,PRPS2,289.112050911366,-0.671707012162468,0.151934336744562,-4.42103494545653,9.82292845934093e-06,0.000532796833911668,Downregulated,PRPS2
37,KCNMB4,67.7665742004596,1.75749975857381,0.400998948800205,4.38280390467926,1.17161562790056e-05,0.000607775606973417,Upregulated,KCNMB4
38,CEP55,387.269330192153,-1.24574203886396,0.285104498875924,-4.36942259338425,1.24575487138013e-05,0.000642499875138103,Downregulated,CEP55
39,FAM131B,566.011815000558,0.744218799733971,0.172231033119439,4.32104938497275,1.55288910354316e-05,0.000750983903867961,Upregulated,FAM131B
40,TMEM106C,775.140748702602,-0.605828927343731,0.141514013918442,-4.28105253019595,1.86011439111081e-05,0.000879307380336411,Downregulated,TMEM106C
41,DLX1,214.762849311371,1.86206171896362,0.43599698018295,4.27081333953798,1.94761370564986e-05,0.000907445602541036,Upregulated,DLX1
42,LONRF2,1103.50371211796,0.623783549003413,0.146398706105938,4.26085424929937,2.03647013613135e-05,0.000942076360583978,Upregulated,LONRF2
43,PFKP,2182.90036584513,-0.472921444825018,0.111053591938202,-4.25849751071705,2.05805511144498e-05,0.000948992079166297,NS,NA
44,CCDC38,50.5612955416754,1.76134502651902,0.418790219597182,4.20579312528641,2.60168138729106e-05,0.00114671570174879,Upregulated,CCDC38
45,NKX2-5,12.2107160777083,3.28072394336396,0.782125845555663,4.19462412859297,2.73324442919874e-05,0.00118962797168418,Upregulated,NKX2-5
46,BUB1B,741.629911814393,-1.14491817371169,0.274097543870044,-4.17704645414307,2.95318730331598e-05,0.00126987054042587,Downregulated,BUB1B
47,LYRM9,24.0928492402599,2.29747500325789,0.551834437091523,4.16334111978744,3.13624280668409e-05,0.00133231808950197,Upregulated,LYRM9
48,SCPEP1,206.453785553297,0.83945748851456,0.202679731135363,4.14179298448899,3.44601311211559e-05,0.00143342899733573,Upregulated,SCPEP1
49,CALCOCO1,290.443747731715,0.71224758678024,0.172284853797949,4.13412770234316,3.56305325795739e-05,0.00146503883383063,Upregulated,CALCOCO1
50,FOXB1,249.11829022398,-0.85064854395404,0.206799532468838,-4.11339684282033,3.8987930551496e-05,0.00157051833113193,Downregulated,FOXB1
51,DYRK3,344.734701381308,-0.574319413862791,0.142076791098723,-4.04231690075068,5.29256373015859e-05,0.00202673390052962,NS,NA
52,KLHL8,258.640027571131,-0.68447312083565,0.170063941452622,-4.02479864331698,5.70240864167158e-05,0.002156086202813,Downregulated,KLHL8
53,ZDBF2,64.7599844228126,3.23133976271491,0.805103013622591,4.01357305591911,5.98064806883174e-05,0.00224683504817479,Upregulated,ZDBF2
54,CDCA4,337.608616912005,-0.725965813891209,0.181031512126913,-4.01016268030875,6.06769278511223e-05,0.00226997856918926,Downregulated,CDCA4
55,TMEM97,866.101052210483,-0.592210928832143,0.148025050391573,-4.00074803059049,6.31425647194185e-05,0.00234745639045421,Downregulated,TMEM97
56,TRIM36,102.430629287052,0.919922392601016,0.23104866640151,3.98150920725247,6.8479067938726e-05,0.00247872001494232,Upregulated,TRIM36
57,XKR6,173.046321302705,0.833054650282379,0.210475517387686,3.95796461565613,7.55911522616061e-05,0.00269246329762148,Upregulated,XKR6
58,PLAUR,82.6612559972671,-1.18061034537109,0.300339657893945,-3.93091726097651,8.46223923648959e-05,0.00294363858041241,Downregulated,PLAUR
59,TEX15,164.459202605166,-0.970023240287227,0.247334239253404,-3.92191248253906,8.78489026147764e-05,0.00301539250155374,Downregulated,TEX15
60,ADORA1,357.259785797016,-0.705145230823885,0.181021330568382,-3.89537094114725,9.80485590944872e-05,0.00326432189746478,Downregulated,ADORA1
61,RIIAD1,40.9379918793774,1.89957023169631,0.49158914432606,3.86414194377809,0.000111480384236905,0.00358770611402964,Upregulated,RIIAD1
62,TMOD1,282.265543759596,0.83135803359827,0.217918443555079,3.81499619782363,0.000136185030386035,0.00426354713550667,Upregulated,TMOD1
63,CCNF,545.250064350992,-0.77639256001053,0.204559931869207,-3.79542832712197,0.000147388771607687,0.00455246539066191,Downregulated,CCNF
64,MAP3K21,98.6097093834159,-0.896121848831732,0.237224276470858,-3.77753011691372,0.000158391356239321,0.00483988656179911,Downregulated,MAP3K21
65,PAQR4,606.430554852368,-0.668052304385612,0.177071042507715,-3.7727925183278,0.000161430528550517,0.0049159177166962,Downregulated,PAQR4
66,HMGA1,3792.24459034453,-0.548534237783292,0.145758901415148,-3.76329838148936,0.000167686926874082,0.00504616055660706,NS,NA
67,ITGA8,85.1405749679313,3.12747144703193,0.832708769788744,3.755780604815,0.000172802025568143,0.00515287752404799,Upregulated,ITGA8
68,LOC100130027,37.5058118481198,1.9539743505319,0.521684804545467,3.74550750473623,0.000180029464969277,0.00527524762295033,Upregulated,LOC100130027
69,EML6,154.041120131372,1.02516163382628,0.274319577961232,3.73710706849789,0.000186149670462975,0.00540885567971844,Upregulated,EML6
70,LINC01694,235.093558546334,1.26235980805551,0.338003046841445,3.73475866520123,0.000187895282723909,0.00541678727012627,Upregulated,LINC01694
71,ACTN2,138.585239347958,0.996995019656222,0.267028529970631,3.73366478767596,0.000188713624434247,0.00542998401324926,Upregulated,ACTN2
72,SAMD14,223.20908226938,0.727696258982277,0.194956236320612,3.73261339424688,0.000189503339674121,0.00543679597505577,Upregulated,SAMD14
73,NEUROD1,11.0721788155375,6.50646433872575,1.74400724861307,3.73075533023159,0.000190906555736654,0.00546826241913416,Upregulated,NEUROD1
74,ZDHHC14,375.174707082251,0.57624973736723,0.154739940706512,3.72398835579351,0.00019609997437916,0.00559904646847379,NS,NA
75,CAV1,19.1422906784392,2.46985520120436,0.663432522891569,3.72284311664358,0.000196991934135827,0.00560657267089926,Upregulated,CAV1
76,UNC5C,85.224836635174,1.32505589508612,0.360210577063293,3.67855909698425,0.000234555346024291,0.00641969348129367,Upregulated,UNC5C
77,ABHD4,892.958539448882,0.701339103588012,0.192027670076764,3.65228148270324,0.000259920748210939,0.00697486579221685,Upregulated,ABHD4
78,SPECC1,621.028239719889,-0.490134404822155,0.134284803701598,-3.64996180737853,0.000262279303549962,0.0070065481614507,NS,NA
79,TROAP,334.230516233453,-1.25583240995385,0.344202083181705,-3.64853227599698,0.000263742772593872,0.00701414273761199,Downregulated,TROAP
80,SESN2,444.298891526891,0.654193221378311,0.179863067913771,3.63717370645508,0.000275646045708703,0.00725502018535665,Upregulated,SESN2
81,MAST4,71.9570041132865,1.6348276576248,0.450287840148859,3.63062803802197,0.000282732403258645,0.00743057398549413,Upregulated,MAST4
82,FH,1107.65799700496,-0.39961194225775,0.110210459966219,-3.62589850709486,0.000287958444737054,0.00750163276836896,NS,NA
83,ETNK2,274.98570746172,0.642871327379178,0.177732889699448,3.61706450880473,0.000297963063707466,0.00768804144256952,Upregulated,ETNK2
84,MAN1A1,469.071829219533,0.723376155445605,0.20019013158154,3.61344562656908,0.000302154741635704,0.00774705655817404,Upregulated,MAN1A1
85,CPNE5,227.239070244209,0.924537786269052,0.256960975330857,3.59796963363265,0.000320711051951211,0.00815254803713584,Upregulated,CPNE5
86,SHOX2,6.85100160165557,3.98528663005568,1.11028701943645,3.58942017720651,0.000331414290684244,0.00836504670050966,Upregulated,SHOX2
87,BACH2,734.467988934103,0.538345886132464,0.150311358598515,3.58153828926793,0.000341577064414185,0.00853229423589268,NS,NA
88,NPNT,36.4694432413427,2.24739564762361,0.630529543629597,3.56429872371505,0.000364830278395529,0.00895087098605298,Upregulated,NPNT
89,TTBK1,47.120959295883,1.56301995493355,0.439399817550159,3.55717024109852,0.000374871231311298,0.00909546412572524,Upregulated,TTBK1
90,MOXD1,645.663171325243,2.19763178951308,0.619845685420694,3.54544984534584,0.000391943568173856,0.00938823217994961,Upregulated,MOXD1
91,RGS12,1304.7400474423,0.338803654283374,0.0958984458285218,3.53294207592474,0.000410962502708523,0.00973921097056253,NS,NA
92,AMOTL2,192.759293756475,0.918615518089486,0.261347143922243,3.51492464889074,0.000439878779540127,0.0101285636398627,Upregulated,AMOTL2
93,STUM,74.1894330899831,1.35120358827969,0.384785447679332,3.51157663687361,0.000445457006217599,0.0102209110811976,Upregulated,STUM
94,MMP15,458.585290270828,0.647481154092657,0.184598006803104,3.50751974685877,0.0004523047834325,0.0103338074990676,Upregulated,MMP15
95,MDGA1,94.8739156419056,1.26374472662544,0.360407575732972,3.50643219431591,0.000454157131485427,0.010350490435961,Upregulated,MDGA1
96,FOXD1,26.6627354561651,1.68856218708391,0.484394628416866,3.48592260942817,0.000490442868403254,0.0110365107019623,Upregulated,FOXD1
97,FANCE,250.441945084637,-0.677453412517956,0.194430950075967,-3.48428792974198,0.000493448334526542,0.0110697187000814,Downregulated,FANCE
98,SMC3,1522.84011808547,-0.481880819550091,0.139443253026304,-3.45574855069676,0.000548766986910321,0.0119654710819007,NS,NA
99,CHST2,258.386662350014,0.65093614507075,0.188621636484935,3.45101525573255,0.000558481999810078,0.0120759352031126,Upregulated,CHST2
100,NUAK1,125.777684893138,1.12636183318235,0.326880828105935,3.44578738284805,0.000569398167678299,0.0122661809017282,Upregulated,NUAK1
101,HSPA12A,351.118855249779,0.692485653403452,0.201231605905542,3.44123702778829,0.000579061034771039,0.0123752624736397,Upregulated,HSPA12A
102,SPOCD1,15.7011201657406,2.92499290672288,0.855714706462726,3.41818702498868,0.000630397728441084,0.0132575421364638,Upregulated,SPOCD1
103,CARD6,10.940231213192,5.4185186160627,1.58746075910434,3.41332444596608,0.000641754904247331,0.0133540872752149,Upregulated,CARD6
104,HS1BP3,177.164898060423,0.641864356051802,0.188472636015283,3.40561032955337,0.000660163326407249,0.013603481015863,Upregulated,HS1BP3
105,NEDD4L,306.285392823864,0.611827447259513,0.179716430494119,3.40440462553887,0.000663084514012435,0.0136321925720644,Upregulated,NEDD4L
106,NCOR2,3055.27978712022,0.511883685822361,0.150708090103812,3.39652427065966,0.000682475047165442,0.0138395082007583,NS,NA
107,CTSB,1467.0795531713,0.507297100390102,0.149386040455583,3.39588022309848,0.000684082878951654,0.0138563666003317,NS,NA
108,TGFBI,336.675776931718,0.730111354291809,0.215260868896759,3.39175140393016,0.000694474189779694,0.0140349851830336,Upregulated,TGFBI
109,PDGFRA,111.297377451383,2.8259334996051,0.834435942568121,3.38663923189575,0.000707543637400319,0.0142185993349197,Upregulated,PDGFRA
