,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,CDKN2A,379.979865281705,1.33911114053221,0.156946454873521,8.53228027107308,1.43490911176086e-17,2.11118177613376e-13,Upregulated,CDKN2A
2,PDLIM3,306.651453292998,3.65993516058316,0.444508236362928,8.23367231736721,1.81559901477406e-16,1.33564541521854e-12,Upregulated,PDLIM3
3,SP8,112.877529952676,-1.91794107243371,0.25421993933089,-7.54441637222383,4.54317453892931e-14,1.67109317478167e-10,Downregulated,SP8
4,PCDH1,289.431154026496,2.15378048295015,0.3087355887685,6.97613285057696,3.03415830616776e-12,8.92831423172925e-09,Upregulated,PCDH1
5,RAB29,194.429221899749,1.86710057357114,0.273217060223088,6.83376276740043,8.27157714670504e-12,2.02832857599119e-08,Upregulated,RAB29
6,RTN1,416.446219861853,1.25850834413176,0.201040484945939,6.25997467360955,3.8503999955356e-10,5.66509351343152e-07,Upregulated,RTN1
7,DLX5,86.7781042561026,-1.58814061381649,0.256185725078636,-6.19917684066514,5.67592295651848e-10,7.59180495084149e-07,Downregulated,DLX5
8,EYA4,799.808935688509,1.30110568368577,0.220464970413748,5.9016436091592,3.59897953166798e-09,4.41264882078592e-06,Upregulated,EYA4
9,OSR2,81.9990038695891,-2.31438328987124,0.401923548327202,-5.75826746032587,8.49816319762623e-09,8.9309625090482e-06,Downregulated,OSR2
10,MCF2L,369.077127502597,0.940618659821375,0.174432724803349,5.39244376811635,6.95058542175469e-08,6.01552725354569e-05,Upregulated,MCF2L
11,EFHD1,280.366552483032,1.14503699049679,0.218203398586669,5.24756716858372,1.54120866307118e-07,0.000107980014570316,Upregulated,EFHD1
12,RIMS4,1156.44796431947,0.952681712941746,0.186969055709089,5.09539778830598,3.48009743776594e-07,0.000160008355005782,Upregulated,RIMS4
13,RGS12,1304.7400474423,0.442609524630638,0.0888399001811158,4.98210290340602,6.28969697439e-07,0.000280425186618788,NS,NA
