,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,CDKN2A,379.979865281705,1.33911114053221,0.156946454873521,8.53228027107308,1.43490911176086e-17,2.11118177613376e-13,Upregulated,CDKN2A
2,PDLIM3,306.651453292998,3.65993516058316,0.444508236362928,8.23367231736721,1.81559901477406e-16,1.33564541521854e-12,Upregulated,PDLIM3
3,COL20A1,191.662436356869,2.25059969743444,0.293563105894437,7.66649368481523,1.76761863463506e-14,8.66899099046187e-11,Upregulated,NA
4,SP8,112.877529952676,-1.91794107243371,0.25421993933089,-7.54441637222383,4.54317453892931e-14,1.67109317478167e-10,Downregulated,SP8
5,PCDH1,289.431154026496,2.15378048295015,0.3087355887685,6.97613285057696,3.03415830616776e-12,8.92831423172925e-09,Upregulated,PCDH1
6,RAB29,194.429221899749,1.86710057357114,0.273217060223088,6.83376276740043,8.27157714670504e-12,2.02832857599119e-08,Upregulated,RAB29
7,GNG7,432.265610404932,1.17174802104183,0.173349230818567,6.75946478394366,1.38502418495042e-11,2.91112297616794e-08,Upregulated,NA
8,SEZ6L2,143.710499403568,1.82950078435126,0.280605817506446,6.5198248582613,7.03895327907044e-11,1.29455149493704e-07,Upregulated,NA
9,TRAM2,894.162957610259,0.719413463793512,0.113627798414297,6.33131569768222,2.43079405134128e-10,3.97380809748714e-07,Upregulated,NA
10,RTN1,416.446219861853,1.25850834413176,0.201040484945939,6.25997467360955,3.8503999955356e-10,5.66509351343152e-07,Upregulated,RTN1
11,DLX5,86.7781042561026,-1.58814061381649,0.256185725078636,-6.19917684066514,5.67592295651848e-10,7.59180495084149e-07,Downregulated,DLX5
12,EYA4,799.808935688509,1.30110568368577,0.220464970413748,5.9016436091592,3.59897953166798e-09,4.41264882078592e-06,Upregulated,EYA4
13,CDKN1A,164.591676143755,1.80214247823038,0.311303183431948,5.78902682061499,7.07953940751891e-09,8.01240486944814e-06,Upregulated,NA
