,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,DMRTA2,523.936408717557,-5.75730851186331,0.2512934109837,-22.9107022318096,3.63438815167679e-116,2.44654895743709e-112,Downregulated,DMRTA2
2,SFRP1,671.672643877303,-6.05070052388131,0.286327825268694,-21.1320730641643,4.03440166427031e-99,1.35791236016565e-95,Downregulated,SFRP1
3,GSN,997.004540414557,-2.64631756717247,0.127147295958869,-20.8130070499379,3.29983638006424e-96,8.33002446192466e-93,Downregulated,GSN
4,ABLIM1,1572.92802580693,2.42537736222005,0.14018091121827,17.3017662757491,4.56185822007974e-67,5.75792042215689e-64,Upregulated,ABLIM1
5,EYA4,799.808935688509,-3.0532052271502,0.185974339898484,-16.4173467630901,1.43714999104138e-60,1.52753916153056e-57,Downregulated,EYA4
6,MAGEA6,347.413501605683,6.04450758382822,0.376371412012009,16.0599540531398,4.86911814016063e-58,3.93327363362175e-55,Upregulated,MAGEA6
7,NT5E,285.765728648728,-4.5911036102846,0.293118782277819,-15.6629458358392,2.71046280584995e-55,1.71055613637937e-52,Downregulated,NT5E
8,RPS6KA2,1046.17847720412,2.07259371320383,0.134394346736101,15.4217328595942,1.16924385478699e-53,7.15541807497677e-51,Upregulated,RPS6KA2
9,HSPA12A,351.118855249779,2.88559908576232,0.18729733804863,15.4065141332286,1.47981898348955e-53,8.78968952105042e-51,Upregulated,HSPA12A
10,WLS,2402.81983706314,1.75069896738835,0.118233261472386,14.8071612470679,1.3168533763748e-49,6.33186998473549e-47,Upregulated,WLS
11,ITPKB,1892.88011847662,-1.7587519109219,0.119164605752838,-14.7590125424471,2.69193277060008e-49,1.20807960671708e-46,Downregulated,ITPKB
12,LMO2,167.885110693426,-5.9097446100463,0.403526580374095,-14.6452424635016,1.44484916258122e-48,6.3432019213756e-46,Downregulated,LMO2
13,LINC01694,235.093558546334,4.5479303606553,0.310574382056145,14.6436107529085,1.47995369876029e-48,6.35907764818384e-46,Upregulated,LINC01694
14,SLIT2,479.807136231711,3.51462645672179,0.242814870086447,14.4745107886947,1.75570441846618e-47,6.81854821748549e-45,Upregulated,SLIT2
15,PDLIM3,306.651453292998,-2.84360191195448,0.199125889510511,-14.2804228970155,2.89837249800367e-46,1.06422968358517e-43,Downregulated,PDLIM3
16,STOM,467.781230913486,-2.60507591914654,0.187199184669778,-13.9160644515729,5.06009465859454e-44,1.70314352717194e-41,Downregulated,STOM
17,RGS12,1304.7400474423,1.29305516401774,0.0932667876502005,13.8640473913112,1.04605614445764e-43,3.40727481247129e-41,Upregulated,RGS12
18,LIMS2,165.074455726464,4.8602083951367,0.35600865883814,13.6519387224972,1.96578212003843e-42,6.20296404909e-40,Upregulated,LIMS2
19,CDH11,225.328322120498,3.03938364434041,0.230932312505517,13.1613614888466,1.46423344118611e-39,3.89081504536231e-37,Upregulated,CDH11
20,ADARB2,321.129816544504,7.44491628326301,0.568300683447161,13.1003120357064,3.2790677444506e-39,8.60010040249089e-37,Upregulated,ADARB2
21,TFAP2A,178.537899552174,-5.01263705185207,0.383309016476225,-13.0772740436253,4.44081903407462e-39,1.14977359478381e-36,Downregulated,TFAP2A
22,CDH8,376.694766636911,2.57276419599665,0.19750365938197,13.0264127968432,8.65835075034098e-39,2.1856924175392e-36,Upregulated,CDH8
23,S1PR3,195.335278294379,-5.21753775861652,0.404660729590735,-12.8936103186821,4.88998610510215e-38,1.21917616533997e-35,Downregulated,S1PR3
24,ADIPOR2,954.215099039818,-1.31719845444242,0.103303176954679,-12.7508029595286,3.08550675227931e-37,7.41807248360485e-35,Downregulated,ADIPOR2
25,COL2A1,747.008548776449,-7.63003078724278,0.608684680634481,-12.5352765232885,4.78688854319255e-36,1.11116338080199e-33,Downregulated,COL2A1
26,CAVIN1,930.227101754107,-4.03806822367968,0.326598745279118,-12.3640040938573,4.09252052157665e-35,8.98352738404787e-33,Downregulated,CAVIN1
27,ANK1,387.031114382409,-2.84238549320279,0.232326476854393,-12.2344449573184,2.03491082631175e-34,4.28073168097561e-32,Downregulated,ANK1
28,DYRK3,344.734701381308,-1.84856932118163,0.152587351474679,-12.1148267095283,8.81502424380358e-34,1.7452883784668e-31,Downregulated,DYRK3
29,B4GALNT3,129.360914998528,-5.67832087218733,0.473222195125871,-11.999269963821,3.58444064925397e-33,6.89407418206514e-31,Downregulated,B4GALNT3
30,CDKN2A,379.979865281705,2.01304786797175,0.168126941248875,11.9733806671227,4.89909650384745e-33,9.24647232665414e-31,Upregulated,CDKN2A
31,ARHGAP29,510.936321547192,-2.42167886402034,0.206806557209781,-11.7098746611009,1.13447201766737e-31,1.95817627323013e-29,Downregulated,ARHGAP29
32,PCDH1,289.431154026496,-2.46000881069118,0.210921759515046,-11.663134312682,1.96666976528255e-31,3.22901592763262e-29,Downregulated,PCDH1
33,ADAMTS18,135.986053343535,-3.81677260834259,0.330864620614082,-11.5357532070328,8.71212629459731e-31,1.36388674821235e-28,Downregulated,ADAMTS18
34,TRIO,2950.34035307847,1.37213090962271,0.119931318030311,11.4409724845675,2.60944037456541e-30,3.93266032569765e-28,Upregulated,TRIO
35,HEY2,169.874080117948,-2.73525308789276,0.240003156031799,-11.3967379976051,4.34080380874889e-30,6.49352095686548e-28,Downregulated,HEY2
36,NRN1,384.81908359058,-2.64034618001041,0.236057314415926,-11.1851911326848,4.81866067825245e-29,6.80509457323833e-27,Downregulated,NRN1
37,TNFRSF19,322.501485221999,-1.81390842459309,0.163607786679791,-11.0869321161543,1.45181726876658e-28,1.96774830488195e-26,Downregulated,TNFRSF19
38,RUNX1,245.64295023153,-2.3862585996304,0.217810990856893,-10.9556390623016,6.24361027624214e-28,8.08267368773782e-26,Downregulated,RUNX1
39,TACC1,470.114100230106,1.56780644926195,0.143544344806605,10.9221053004507,9.03762538383852e-28,1.15515724447227e-25,Upregulated,TACC1
40,CHST2,258.386662350014,-2.29872235347852,0.216372831148774,-10.6238955291848,2.30727090180105e-26,2.54318001385442e-24,Downregulated,CHST2
41,COL9A3,388.54958309173,-3.37284968967358,0.317952985416372,-10.6080139026111,2.73500865252262e-26,2.96954299665024e-24,Downregulated,COL9A3
42,ANK3,412.940067796738,1.83439877494091,0.173912275052403,10.5478395609981,5.19785295070998e-26,5.55400213436974e-24,Upregulated,ANK3
43,YBX3,1894.09333107219,-1.06588896546829,0.10130274387862,-10.5218173235804,6.85386644663142e-26,7.17170118599594e-24,Downregulated,YBX3
44,UCHL1,2791.51655780321,1.12572780987687,0.107908685114024,10.4322261798236,1.76699136809699e-25,1.78421953393594e-23,Upregulated,UCHL1
45,SEZ6,268.459243154996,-4.40551151632045,0.426009024712698,-10.3413572500995,4.58004293922088e-25,4.44682534411374e-23,Downregulated,SEZ6
46,PERP,119.260959501642,4.03062120908625,0.392390906519409,10.2719536618183,9.4275846830607e-25,8.81435521640791e-23,Upregulated,PERP
47,EBF3,491.141177570438,1.47720997115032,0.144329249850449,10.2350006854534,1.38194203178669e-24,1.286097665066e-22,Upregulated,EBF3
48,RAB29,194.429221899749,-1.94827458502833,0.192995720550162,-10.0949108066982,5.81839439033809e-24,5.15361731196832e-22,Downregulated,RAB29
49,FZD8,93.2945755241446,-5.87730366008608,0.58928114938892,-9.97368347210971,1.98719265680056e-23,1.69330614785179e-21,Downregulated,FZD8
50,THBS4,353.327257521288,1.99860410510258,0.200520994955145,9.967056594496,2.12431044066185e-23,1.80253988862042e-21,Upregulated,THBS4
51,ERRFI1,775.100698169767,-1.65324926464869,0.165904789295462,-9.96504845742816,2.16768132256583e-23,1.83164536858648e-21,Downregulated,ERRFI1
52,GJC1,417.45221508082,-1.37932110671059,0.138852650277097,-9.93370385050624,2.97013415567341e-23,2.43507777142187e-21,Downregulated,GJC1
53,SLC1A2,345.148488465254,-7.64997658440496,0.77683571710933,-9.84761181279248,7.01919786488972e-23,5.55892944633129e-21,Downregulated,SLC1A2
