,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,5.62526818595675,0.206080637490096,27.2964420843617,4.67483871663127e-164,9.44083678823684e-160,Upregulated,NA
2,WWTR1,594.428245999385,-5.1470080944655,0.222026923506644,-23.1819097124565,6.93195101064243e-119,6.99953753299619e-115,Downregulated,NA
3,DMRTA2,523.936408717557,-5.75730851186331,0.2512934109837,-22.9107022318096,3.63438815167679e-116,2.44654895743709e-112,Downregulated,DMRTA2
4,PRSS12,586.454283777832,3.82663474173336,0.171402446736016,22.3254382571733,2.09226890555455e-110,1.05633426369186e-106,Upregulated,NA
5,DAB1,437.913451091098,4.95247152444005,0.230999608702031,21.4393069852698,5.74630033011336e-102,2.32093070333279e-98,Upregulated,NA
6,SFRP1,671.672643877303,-6.05070052388131,0.286327825268694,-21.1320730641643,4.03440166427031e-99,1.35791236016565e-95,Downregulated,SFRP1
7,KLHDC8A,2536.58406993876,-3.16369658142418,0.150000101208706,-21.0912963120092,9.56056518821211e-99,2.75822305679919e-95,Downregulated,NA
8,GSN,997.004540414557,-2.64631756717247,0.127147295958869,-20.8130070499379,3.29983638006424e-96,8.33002446192466e-93,Downregulated,GSN
9,LOC105371692,924.275766933459,-2.93324783614725,0.147043401838437,-19.9481772012466,1.55453244714462e-88,3.48819808556508e-85,Downregulated,NA
10,ZIC1,599.964026578577,-6.96863057983085,0.350170703067735,-19.9006670711766,4.01548992807409e-88,8.10928190974563e-85,Downregulated,NA
11,ARHGEF6,1532.86918573465,-3.23987969436596,0.16691717987674,-19.4101032425689,6.33995658311539e-84,1.16395839269105e-80,Downregulated,NA
12,SORL1,384.367521700975,-5.2986208487354,0.285507563227249,-18.5586006508625,6.94912520038012e-77,1.1694798618473e-73,Downregulated,NA
13,CDH6,1083.86744259346,3.15405456020178,0.171231451086956,18.4198319886926,9.10857828025144e-76,1.41498260284368e-72,Upregulated,NA
14,ISLR2,508.375491154336,-6.98742239161891,0.386467287563675,-18.0802427953689,4.56069419292838e-73,6.57880137329919e-70,Downregulated,NA
15,GASK1B,312.140483249856,4.15638878399247,0.239668147219574,17.3422660967315,2.25662145976704e-67,3.03816469199968e-64,Upregulated,NA
16,ABLIM1,1572.92802580693,2.42537736222005,0.14018091121827,17.3017662757491,4.56185822007974e-67,5.75792042215689e-64,Upregulated,ABLIM1
17,KITLG,459.457849043419,4.24226087602911,0.24649486895723,17.2103415132962,2.22118029010449e-66,2.63863152698e-63,Upregulated,NA
18,EPB41L3,553.614247632543,2.65758143031415,0.16061816853476,16.5459577491011,1.71219920150689e-61,1.92099238191287e-58,Upregulated,NA
19,EYA4,799.808935688509,-3.0532052271502,0.185974339898484,-16.4173467630901,1.43714999104138e-60,1.52753916153056e-57,Downregulated,EYA4
20,TARID,493.207934154539,-3.28379638702745,0.200435197377613,-16.3833320194801,2.51575813567118e-60,2.54028677749397e-57,Downregulated,NA
21,LRRN2,973.817999575366,-2.90726768700363,0.177549489249734,-16.3744074921803,2.9133067202106e-60,2.80162996260253e-57,Downregulated,NA
22,SYT1,463.348374633951,3.11776289648069,0.191875403126697,16.2488930090847,2.27434034423258e-59,2.08774105689895e-56,Upregulated,NA
23,CGNL1,1178.00013539745,2.9353029536027,0.182635683979398,16.0719027609841,4.01568394525573e-58,3.52594509888867e-55,Upregulated,NA
24,LOC107985485,243.153942698489,4.75219517890404,0.295829247701537,16.0639802042107,4.5630724405714e-58,3.83963533072247e-55,Upregulated,NA
25,MAGEA6,347.413501605683,6.04450758382822,0.376371412012009,16.0599540531398,4.86911814016063e-58,3.93327363362175e-55,Upregulated,MAGEA6
26,TENM4,407.405710938626,-3.24693226663724,0.202683954797281,-16.0196808370191,9.31270460279532e-58,7.23346420974813e-55,Downregulated,NA
27,KAZN,334.423949758702,-3.23188191156839,0.202444149592744,-15.9643137036558,2.26519563189969e-57,1.69428243652645e-54,Downregulated,NA
28,AMPH,299.492259407277,4.83012497156348,0.303654985408214,15.9066216715335,5.70078012987241e-57,4.11168766867047e-54,Upregulated,NA
29,SAT1,410.834207617917,-2.47619470533313,0.155808153221669,-15.8925874810302,7.13217998807037e-57,4.96670258134762e-54,Downregulated,NA
