,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,CDKN2A,379.979865281705,2.33759021681852,0.167537979475993,13.9525988323947,3.03347082264316e-44,4.9381871521808e-40,Upregulated,CDKN2A
2,RPH3A,127.672428346071,3.66080195985455,0.295787586654317,12.3764556899167,3.50481629519337e-35,2.85274522347264e-31,Upregulated,NA
3,TYMS,1042.99788133722,-1.46011947863344,0.137582574137519,-10.6126774250786,2.60184542125993e-26,1.41184805375635e-22,Downregulated,NA
4,PCLAF,873.310725895107,-1.68697194957703,0.169768938710389,-9.93687044515755,2.87724582533549e-23,1.17096711976591e-19,Downregulated,NA
5,PAK3,701.735525218738,1.80701191138317,0.184931511218044,9.7712493640557,1.49595775918083e-22,4.87053927234096e-19,Upregulated,NA
6,DTL,956.31155416705,-1.42276988743746,0.148922667108618,-9.55374970822774,1.25085104452348e-21,3.39376735896628e-18,Downregulated,NA
7,FN1,515.279042490332,2.72707008705125,0.289182156047021,9.43028478772329,4.08977029686114e-21,9.51105295180035e-18,Upregulated,FN1
8,GMNN,727.508101087667,-1.4847292482633,0.159346082667082,-9.3176388362512,1.18958017857166e-20,2.42064696587101e-17,Downregulated,NA
9,FBXO5,538.304883222505,-1.48447742823973,0.164918548780743,-9.00127632224878,2.23108634773063e-19,4.03553940607855e-16,Downregulated,NA
10,ATAD2,639.173144881944,-1.39307197278825,0.158044353142439,-8.81443686591403,1.20288137903996e-18,1.95817059693916e-15,Downregulated,NA
11,WDR76,328.855992045849,-1.78218120307958,0.206761201921028,-8.61951462131796,6.72385156362324e-18,9.95068905492934e-15,Downregulated,NA
12,FANCI,1319.22088890582,-1.19150103341066,0.14075120315188,-8.4652991003207,2.55496160393013e-17,3.46601832919821e-14,Downregulated,NA
13,COCH,869.251731239507,-1.14798259689906,0.138076063835327,-8.3141318271368,9.24263673478613e-17,1.14259253362252e-13,Downregulated,NA
14,PRC1,1818.63215342043,-1.39066990704489,0.167412117027127,-8.30686530784115,9.82633790203038e-17,1.14259253362252e-13,Downregulated,NA
15,ATP9A,814.903768873598,1.26632998863599,0.153048972966345,8.27401820536524,1.29518373974287e-16,1.40561973995162e-13,Upregulated,NA
16,PRC1-AS1,1728.5363101798,-1.44753916712472,0.175846898462963,-8.23181517432107,1.84397616493591e-16,1.87613049931198e-13,Downregulated,NA
17,MCM4,1808.08884160283,-1.14617374327976,0.141628033052748,-8.09284517036872,5.82869361716162e-16,5.58148843492788e-13,Downregulated,NA
18,PCNA,1708.34686367831,-1.24847237518973,0.155477658882039,-8.02991493547603,9.75402722898805e-16,8.82143384781647e-13,Downregulated,NA
19,PCNA-AS1,936.685806460568,-1.38563997572773,0.17285403652137,-8.0162430893329,1.09028624973974e-15,9.34145782079646e-13,Downregulated,NA
20,RAD51AP1,310.929483345991,-1.47678414072097,0.185642311501228,-7.95499759068233,1.79134994499186e-15,1.38863741688202e-12,Downregulated,NA
21,TRO,599.565666281479,1.22466836155464,0.153833987099112,7.96097393461962,1.70690345334038e-15,1.38863741688202e-12,Upregulated,NA
22,MCM3,2437.58075223836,-1.08295663036963,0.137996117178298,-7.84773262113166,4.23626167226364e-15,3.13464108012635e-12,Downregulated,NA
23,COL1A1,108.388590667635,3.01018606903931,0.386472916794124,7.78886679565919,6.76128399759576e-15,4.7855192259505e-12,Upregulated,NA
24,E2F2,364.0937389499,-1.33845461305989,0.17320593703458,-7.7275331087102,1.0965065103397e-14,7.43751228409165e-12,Downregulated,NA
25,TMPO,3535.49455416225,-1.18043299140801,0.152933407298634,-7.71860780622622,1.17607165947171e-14,7.658108217816e-12,Downregulated,NA
26,IGF2BP1,172.436698621361,1.70730094061307,0.221684961293728,7.70147388731046,1.34505664567284e-14,8.42160659034931e-12,Upregulated,IGF2BP1
27,CHAF1B,529.701705300276,-1.23498312295158,0.161330912832609,-7.6549689161739,1.93359006392471e-14,1.16581157965297e-11,Downregulated,NA
28,LOC100506071,664.626201500871,-1.24435267348016,0.163466415712598,-7.61228334306874,2.69295379455599e-14,1.56566410077061e-11,Downregulated,NA
29,KIF11,1101.03884978681,-1.4542779091154,0.191607947601788,-7.58986214986119,3.20246002201382e-14,1.79768436890907e-11,Downregulated,NA
30,KNTC1,705.447646037381,-1.18934432957396,0.157675058154429,-7.54300866284827,4.59250634955347e-14,2.4920470288127e-11,Downregulated,NA
31,GINS1,590.308699498785,-1.20970999834876,0.160544229830609,-7.53505747061189,4.88119798859144e-14,2.56325877600903e-11,Downregulated,NA
32,ZWINT,707.745285807393,-1.21826097967844,0.16224695164449,-7.5086833208913,5.97250073690592e-14,2.94625271200277e-11,Downregulated,NA
33,RRM1,1040.62905836975,-1.06961654493022,0.142385106541903,-7.51213782752931,5.81694973678888e-14,2.94625271200277e-11,Downregulated,NA
34,NEURL1B,550.181311749228,-1.07211750909344,0.143256546521698,-7.48389888716921,7.21494736893688e-14,3.4449368973113e-11,Downregulated,NEURL1B
35,LOC101927572,899.488504765352,0.923967725959053,0.123517605114206,7.48045369811648,7.40664607198817e-14,3.4449368973113e-11,Upregulated,NA
36,CDK2,813.2378750982,-1.02016857649146,0.136503805095934,-7.47355413114303,7.80573079566679e-14,3.52970810062944e-11,Downregulated,NA
37,TMEM132B,86.6463446949135,2.84994254692773,0.382004857531111,7.46048771564541,8.62027927148433e-14,3.79268989893225e-11,Upregulated,NA
38,UBE2T,576.514888737872,-1.40139100974087,0.18913498558905,-7.40947532988844,1.2680006012808e-13,5.43204783901318e-11,Downregulated,NA
39,PBK,425.96403205355,-1.8365740706898,0.248249479315442,-7.39809837971959,1.38148490931265e-13,5.76645970223091e-11,Downregulated,NA
40,HMGB2,1873.77753419757,-1.30938237738574,0.177568037518082,-7.37397560781403,1.65613503010666e-13,6.74005553877658e-11,Downregulated,NA
41,LIG1,736.015071565398,-1.09054297221731,0.148382354543574,-7.34954621505932,1.98880882711838e-13,7.89654119430734e-11,Downregulated,NA
42,FEN1,593.518024011277,-1.09491568805057,0.149393676288134,-7.32906315216998,2.31767159890003e-13,8.77427347871946e-11,Downregulated,NA
43,ASF1B,278.900836710337,-1.55845530323571,0.212628262535648,-7.3294833182133,2.31041735356154e-13,8.77427347871946e-11,Downregulated,NA
44,CCND1,1145.60099169038,1.35523727964493,0.185644838387466,7.3001613802823,2.87422775947661e-13,1.06339894764817e-10,Upregulated,NA
45,PNP,866.050191855668,-1.07968871089686,0.148765536481126,-7.25765346219042,3.93863023669546e-13,1.42482136940368e-10,Downregulated,NA
46,SRSF7,1894.35834755794,-0.929827417055228,0.128189759923676,-7.25352335170021,4.06067332380732e-13,1.4370369790926e-10,Downregulated,NA
47,CKS2,610.935287373128,-1.08766173136222,0.15066923485767,-7.21887074285393,5.24210514349085e-13,1.77783811731016e-10,Downregulated,NA
