,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,SAMD11,220.367373331535,-0.0219719421414603,0.18828665980673,-0.116694099114689,0.907102466551977,1,NS,NA
2,KLHL17,143.18040943009,0.330744187109588,0.250068291378847,1.32261545550579,0.185963291811895,1,NS,NA
3,ISG15,333.049403411624,-0.238577516012142,0.174638858679487,-1.36611930366541,0.171901520336178,1,NS,NA
4,LOC100288175,7.01658811699091,0.183676090187858,1.07343868699504,0.171109996698588,0.864137275569837,1,NS,NA
5,C1orf159,251.555845655635,0.360193312167912,0.202374134188574,1.77983868151985,0.0751023651526308,1,NS,NA
6,SDF4,2238.93840883794,0.00133319411010264,0.116224196053071,0.0114708826163347,0.990847760572447,1,NS,NA
7,C1QTNF12,5.50794406991244,-0.658211025166431,1.62924355760969,-0.403997930261644,0.686214241173253,1,NS,NA
8,ATAD3C,3.07159593900995,1.8340153574124,1.45537595635582,1.26016604122324,0.207609470410977,1,NS,NA
9,ATAD3B,479.70166475531,0.0445215527919431,0.148307877668937,0.300196816863142,0.764027032948149,1,NS,NA
10,SSU72,1382.75552294965,0.0130038932754211,0.108968328391374,0.119336448189936,0.905008808331086,1,NS,NA
11,CFAP74,3.05881531214369,-1.31336138672587,1.79472996362221,-0.731787741524736,0.464298132306807,1,NS,NA
12,MEGF6,136.136927852456,0.20097863402083,0.429817705690219,0.467590402536095,0.640077529571761,1,NS,NA
13,TP73,83.2746424474009,0.338576215955575,0.294743407430679,1.14871514483392,0.2506734588447,1,NS,NA
14,HES3,2.89087825934798,1.38202645373715,2.33186929249017,0.592668919389261,0.553402745657003,1,NS,NA
15,CAMTA1,545.818988600729,-0.0537959020194839,0.127288744773484,-0.422628898691839,0.672566038627553,1,NS,NA
16,VAMP3,532.675876364267,-0.052078495341871,0.130014053340049,-0.400560508683326,0.688743725854377,1,NS,NA
17,PARK7,3437.61807763374,-0.0372949174184045,0.0971022895830557,-0.384078661569607,0.700920146438991,1,NS,NA
18,ERRFI1,775.100698169767,0.0508205303609158,0.170837316246645,0.297479095770529,0.766100765192838,1,NS,NA
19,SLC45A1,9.77426812616416,0.137204065273051,0.911323903879733,0.150554665239153,0.880327025541053,1,NS,NA
20,H6PD,486.770590684898,0.0278136345179871,0.154645728379804,0.179853881574264,0.857267281871075,1,NS,NA
21,PIK3CD,84.4259591175268,-0.129705979872222,0.29350851388203,-0.441915562028141,0.658550309021542,1,NS,NA
22,CASZ1,31.9047707948556,0.820729195794955,0.474808829713014,1.72854661588965,0.0838902710906526,1,NS,NA
23,C1orf127,1.93004867931691,3.48730877247127,2.16914531103932,1.60768794728665,0.107903539586526,1,NS,NA
24,DRAXIN,367.418028292475,0.159783615359237,0.258184761132096,0.618873145954133,0.535999930555939,1,NS,NA
25,C1orf167,105.655626733041,0.247401313779322,0.24931032430222,0.992342834063367,0.321030314976503,1,NS,NA
26,TNFRSF8,4.10159005779505,0.34387090479219,1.6063630718026,0.214067984273512,0.830494041921042,1,NS,NA
27,TMEM51,197.872690520737,0.0085526587398216,0.228647002815914,0.0374055143277231,0.970161675951641,1,NS,NA
28,FHAD1,108.684338884624,-0.0263642102892962,0.341042680704511,-0.0773047239566444,0.938381132981532,1,NS,NA
29,EFHD2,541.99845559486,0.0743150657609084,0.161486793087494,0.460192838931692,0.645377810599897,1,NS,NA
