,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,5.47331726043146,0.206219528012631,26.5412170863674,3.24359534924415e-155,6.55044080779856e-151,Upregulated,NA
2,WWTR1,594.428245999385,-4.91158185745665,0.210504887932852,-23.3323886475423,2.0804179626355e-120,2.1007020377712e-116,Downregulated,NA
3,GSN,997.004540414557,-2.91890726823418,0.129935023874887,-22.4643608873675,9.26350115559665e-112,6.23588019457581e-108,Downregulated,GSN
4,LOC105371692,924.275766933459,-3.43049647093614,0.153761476007823,-22.3105068968095,2.92166347642755e-110,1.47507484766136e-106,Downregulated,NA
5,PRSS12,586.454283777832,3.77847538906683,0.171469786558089,22.0358085521195,1.30691137420868e-107,5.27861504042885e-104,Upregulated,NA
6,KLHDC8A,2536.58406993876,-3.18122502056285,0.150048396946105,-21.2013262741188,9.28429110119403e-100,3.12493764647689e-96,Downregulated,NA
7,EYA4,799.808935688509,-4.20271023570789,0.204076146166856,-20.5938337951153,3.11701663245044e-94,8.99259298461952e-91,Downregulated,EYA4
8,ARHGEF6,1532.86918573465,-3.38582447731813,0.167922865927798,-20.1629745812815,2.07052510627093e-90,5.22678181514268e-87,Downregulated,NA
9,DAB1,437.913451091098,4.60905747597157,0.231531522287789,19.9068249127763,3.55120652105225e-88,7.96851285473891e-85,Upregulated,NA
10,LRRN2,973.817999575366,-3.43677118702989,0.183188736671111,-18.7608214865313,1.57939598121333e-78,3.18959018406032e-75,Downregulated,NA
11,DMRTA2,523.936408717557,-7.34307371984202,0.394530281473492,-18.6121929409755,2.55925113929162e-77,4.69855243254493e-74,Downregulated,DMRTA2
12,TARID,493.207934154539,-3.99251620521665,0.216477783012653,-18.4430760037084,5.92714031041852e-76,9.97488321407516e-73,Downregulated,NA
13,SFRP1,671.672643877303,-7.35664254732795,0.405380196712894,-18.1475133886183,1.3434649466626e-73,2.08702112291163e-70,Downregulated,SFRP1
14,ISLR2,508.375491154336,-6.98603387185258,0.386370044512643,-18.0811995419173,4.48224296630229e-73,6.46563547889106e-70,Downregulated,NA
15,SORL1,384.367521700975,-6.29938366092998,0.362058947313355,-17.3987791426626,8.42800880731624e-68,1.13469091909168e-64,Downregulated,NA
16,KITLG,459.457849043419,4.18799805282638,0.246584512075965,16.9840271701095,1.07826648179004e-64,1.36097447498437e-61,Upregulated,NA
17,CDH6,1083.86744259346,2.8966401386661,0.171485992783306,16.8914095644323,5.20446146044948e-64,6.18259407022219e-61,Upregulated,NA
18,SFRP2,1474.74560965154,4.40671658653532,0.262215196028077,16.8057254243323,2.21585092878547e-63,2.35521628983276e-60,Upregulated,NA
19,SAT1,410.834207617917,-2.67416324135871,0.15911426669308,-16.8065585628281,2.18493356680272e-63,2.35521628983276e-60,Downregulated,NA
20,KAZN,334.423949758702,-3.4946826787207,0.209393647470628,-16.6895353366004,1.56181587374474e-62,1.57704357851375e-59,Downregulated,NA
21,ABLIM1,1572.92802580693,2.34034637308847,0.140256037538191,16.686243345861,1.65034015205779e-62,1.58707711289557e-59,Upregulated,ABLIM1
22,S100A4,538.812949152839,3.71629911230119,0.225373603915368,16.4895047500626,4.36512668324446e-61,4.00698788036917e-58,Upregulated,NA
23,ADCYAP1R1,468.622505173065,-3.68133981755271,0.223648746469742,-16.4603641901063,7.06739539379431e-61,6.205480433812e-58,Downregulated,NA
24,STK32B,334.029667275133,-5.8129610843056,0.355039028948361,-16.3727382353535,2.99433348969703e-60,2.51960686768465e-57,Downregulated,NA
25,MAGEA6,347.413501605683,6.138896319063,0.376247353014983,16.3161182925811,7.58051374108523e-60,6.12353900004865e-57,Upregulated,MAGEA6
26,TENM4,407.405710938626,-3.34191547435038,0.204914017931255,-16.3088670462337,8.53613319014408e-60,6.63027729903691e-57,Downregulated,NA
27,AMPH,299.492259407277,4.84240699536834,0.303614333531704,15.9492041730721,2.88550484146666e-57,2.15825075086738e-54,Upregulated,NA
28,LOC101928034,263.686128990708,4.09256394221581,0.257341484776941,15.9032421288902,6.0168583975826e-57,4.31333124615633e-54,Upregulated,NA
29,COL23A1,407.974023105228,-7.66476483735614,0.482017474440497,-15.9014252465702,6.19393939779815e-57,4.31333124615633e-54,Downregulated,NA
30,PRKCQ,563.869354906477,3.1287129490856,0.198580488342907,15.7553895410055,6.30695418809623e-56,4.24563132762011e-53,Upregulated,NA
