,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,GSN,997.004540414557,2.86963407799151,0.131367560875016,21.8443126969655,8.80398535548189e-106,3.55592968507913e-102,Upregulated,GSN
2,EYA4,799.808935688509,4.44883264116063,0.208398856223941,21.3476826205803,4.09759743420646e-101,1.03438725229749e-97,Upregulated,EYA4
3,SFRP1,671.672643877303,7.00940778564184,0.375669995855803,18.6584179278782,1.078780805065e-77,1.81549819652397e-74,Upregulated,SFRP1
4,ITPKB,1892.88011847662,2.07913120562468,0.119750631056588,17.3621732702367,1.59567265317076e-67,2.01403807692396e-64,Upregulated,ITPKB
5,MAGEA6,347.413501605683,-6.51935373033874,0.37592525583189,-17.3421541362311,2.26102176991896e-67,2.68596086138314e-64,Downregulated,MAGEA6
6,DMRTA2,523.936408717557,7.59136399924027,0.453822109582165,16.7276204463234,8.24678069407909e-63,6.9393223382053e-60,Upregulated,DMRTA2
7,ANK1,387.031114382409,4.37274719865351,0.261687834201651,16.709784052414,1.1123762841328e-62,8.64016886848535e-60,Upregulated,ANK1
8,PCDH1,289.431154026496,4.62424277595393,0.292948524465453,15.7851717614617,3.93576501480143e-56,2.64942581579716e-53,Upregulated,PCDH1
9,ABLIM1,1572.92802580693,-2.16560177878705,0.138446023002485,-15.6422100961916,3.7546734912954e-55,2.2977463986882e-52,Downregulated,ABLIM1
10,PDLIM3,306.651453292998,6.57456817085217,0.432434397659695,15.2036198009069,3.34608846219809e-52,1.68935641235226e-49,Upregulated,PDLIM3
11,NT5E,285.765728648728,6.25801551014534,0.413595748852891,15.1307539487578,1.01525543596497e-51,5.00075208032015e-49,Upregulated,NT5E
12,RAB29,194.429221899749,3.82174912501228,0.258070294235873,14.8089462846865,1.28234788412711e-49,5.3952115666556e-47,Upregulated,RAB29
13,CDH8,376.694766636911,-2.84297423058564,0.193071008415514,-14.725018810008,4.45345738458777e-49,1.66551059040278e-46,Downregulated,CDH8
14,ARHGAP29,510.936321547192,3.15244951404646,0.214683796369753,14.6841520755341,8.14466553178063e-49,2.990573098442e-46,Upregulated,ARHGAP29
15,CCND2,2303.22744504617,1.38118150739393,0.0941349925654985,14.6723494606207,9.69297804406553e-49,3.49553020714113e-46,Upregulated,CCND2
16,CDH11,225.328322120498,-3.28240051051828,0.224563735424276,-14.6167879881261,2.19514880934581e-48,7.51373393300655e-46,Downregulated,CDH11
17,VCAN,872.199371334306,-2.58098091059971,0.180964711266176,-14.262343705251,3.75624247805959e-46,1.18527057569396e-43,Downregulated,VCAN
18,LINC01694,235.093558546334,-5.02890220806061,0.357572267986673,-14.0640163074616,6.31954773799006e-45,1.93368585710166e-42,Downregulated,LINC01694
19,RIMS4,1156.44796431947,2.58389055822047,0.183996738842226,14.0431323646237,8.48765734638728e-45,2.55833194194464e-42,Upregulated,RIMS4
20,STOM,467.781230913486,2.62803491285139,0.187460180047799,14.0191634947821,1.19009130332995e-44,3.53439615746299e-42,Upregulated,STOM
21,RUNX1,245.64295023153,3.29367944282035,0.238695140746066,13.7986866114057,2.59538111345241e-43,7.17996186111938e-41,Upregulated,RUNX1
22,CHST2,258.386662350014,3.2284213015878,0.23483046566549,13.7478810189245,5.24431179963297e-43,1.39353785254721e-40,Upregulated,CHST2
23,S1PR3,195.335278294379,5.13452603867083,0.379533209637877,13.5285290148122,1.06126006015984e-41,2.74771114293949e-39,Upregulated,S1PR3
24,SLIT2,479.807136231711,-3.11253895592731,0.230681527873132,-13.4927966908521,1.72433394495939e-41,4.40796506562721e-39,Downregulated,SLIT2
25,OTULINL,322.327415955249,-7.31956349331699,0.54999093152829,-13.3085166931348,2.06541558781713e-40,4.90718444658435e-38,Downregulated,OTULINL
26,CAVIN1,930.227101754107,4.41832798005472,0.332307347075835,13.2959081974387,2.44486467742789e-40,5.74116769309957e-38,Upregulated,CAVIN1
27,IGSF9B,304.554298864788,3.04781837232126,0.230440312276294,13.2260642342256,6.20526564722878e-40,1.44040620397454e-37,Upregulated,IGSF9B
28,NAB1,362.673664940507,-2.01390843213451,0.154059895967038,-13.0722432304212,4.74454668669301e-39,1.03028086384694e-36,Downregulated,NAB1
29,HSPA12A,351.118855249779,-2.32142396639304,0.179511559549556,-12.9318912510043,2.97411725883336e-38,6.38960617469572e-36,Downregulated,HSPA12A
30,LIMS2,165.074455726464,-4.65388278768773,0.362075772378231,-12.8533393911432,8.23758967834418e-38,1.75113814267538e-35,Downregulated,LIMS2
31,ADARB2,321.129816544504,-7.32218454094452,0.569783931441403,-12.8508091171004,8.51152917696138e-38,1.79052428884099e-35,Downregulated,ADARB2
32,EFHD1,280.366552483032,2.62798709052851,0.20962616195434,12.5365415558242,4.71110565446634e-36,8.5712413235989e-34,Upregulated,EFHD1
33,TNFRSF19,322.501485221999,2.09737257629482,0.169047222503065,12.4070218086948,2.39392726138294e-35,4.20394443857639e-33,Upregulated,TNFRSF19
34,MAML3,141.857864698744,3.81830684515808,0.326352127544913,11.6999600213502,1.27513558122383e-31,1.76379199060378e-29,Upregulated,MAML3
35,SEZ6,268.459243154996,5.88925685150494,0.506471596779708,11.6280101173502,2.96938888536435e-31,3.99778723599554e-29,Upregulated,SEZ6
36,UACA,213.54548040926,-3.09024341036692,0.266734041173692,-11.585485664931,4.88191745599288e-31,6.52916046515075e-29,Downregulated,UACA
