,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,DMRTA2,523.936408717557,-5.65390562844294,0.238640639517661,-23.692132404064,4.34608120838658e-124,2.92563700011224e-120,Downregulated,DMRTA2
2,GSN,997.004540414557,-2.93701749793893,0.129001560413856,-22.7673021048471,9.67191577815626e-115,4.88310847849664e-111,Downregulated,GSN
3,SFRP1,671.672643877303,-6.46285404412419,0.308558916665484,-20.945283688336,2.07161435690627e-97,5.22953149221528e-94,Downregulated,SFRP1
4,EYA4,799.808935688509,-3.38084923448753,0.188541298405607,-17.9316110744837,6.68152431785132e-72,1.03794910460775e-68,Downregulated,EYA4
5,PDLIM3,306.651453292998,-4.27633129577782,0.240851594113495,-17.7550466772609,1.57539606109721e-70,2.27250881813273e-67,Downregulated,PDLIM3
6,ABLIM1,1572.92802580693,2.43783861660124,0.14007751915646,17.4034965159419,7.76171678083757e-68,9.22046296405969e-65,Upregulated,ABLIM1
7,ITPKB,1892.88011847662,-2.00938446248661,0.119694584428277,-16.7875971338592,3.00778224502532e-63,3.03710812191432e-60,Downregulated,ITPKB
8,MAGEA6,347.413501605683,6.17488973702351,0.376073860190652,16.41935372454,1.39039744118752e-60,1.11062907871047e-57,Upregulated,MAGEA6
9,NT5E,285.765728648728,-4.71688737710129,0.294080510048925,-16.0394423156997,6.77600919533475e-58,4.56138352332617e-55,Downregulated,NT5E
10,RAB29,194.429221899749,-3.7878480549799,0.249658164593755,-15.1721377153577,5.4086168116059e-52,2.87439517132582e-49,Downregulated,RAB29
11,CDH8,376.694766636911,2.90624978140311,0.196355633444749,14.8009493306484,1.44429671917539e-49,6.94466005803499e-47,Upregulated,CDH8
12,ANK1,387.031114382409,-3.53299274953425,0.244757161705517,-14.4346858940333,3.13068684581094e-47,1.23969060492455e-44,Downregulated,ANK1
13,STOM,467.781230913486,-2.67238211707694,0.186685807326026,-14.3148649345899,1.7670711569314e-46,6.48836400258719e-44,Downregulated,STOM
14,SLIT2,479.807136231711,3.46507268850275,0.242727665627966,14.2755572568878,3.10793478179564e-46,1.12079898068505e-43,Upregulated,SLIT2
15,ARHGAP29,510.936321547192,-3.00986516719318,0.211992376452645,-14.1979877652134,9.4280917354341e-46,3.34035636135249e-43,Downregulated,ARHGAP29
16,LINC01694,235.093558546334,4.40243962052171,0.310659897333116,14.1712517718405,1.38018161301221e-45,4.80564959910026e-43,Upregulated,LINC01694
17,HSPA12A,351.118855249779,2.64957210451309,0.187658104056194,14.1191456550135,2.89479472779004e-45,9.90853890300338e-43,Upregulated,HSPA12A
18,RPS6KA2,1046.17847720412,1.86920074537321,0.134530679893643,13.8942339907221,6.86540564883077e-44,2.1663572980959e-41,Upregulated,RPS6KA2
19,S1PR3,195.335278294379,-4.8278926623656,0.357888538176448,-13.4899337289906,1.79261609403589e-41,5.02803916931316e-39,Downregulated,S1PR3
20,WLS,2402.81983706314,1.58557858667216,0.118283474234883,13.4049037444029,5.65966643093606e-41,1.52395951430338e-38,Upregulated,WLS
21,PCDH1,289.431154026496,-2.92909471470393,0.218624269674543,-13.3978479107757,6.22419196206136e-41,1.65391521939249e-38,Downregulated,PCDH1
22,CAVIN1,930.227101754107,-4.33736765391153,0.328613379265869,-13.1989989683357,8.89086675022961e-40,2.30193659001137e-37,Downregulated,CAVIN1
23,LIMS2,165.074455726464,4.62432480650475,0.356342811965692,12.9771799829372,1.64838707581242e-38,3.96299726143235e-36,Upregulated,LIMS2
24,ADARB2,321.129816544504,7.34304640813283,0.568296536970579,12.9211528320698,3.41978865999957e-38,8.12501552808133e-36,Upregulated,ADARB2
25,ADIPOR2,954.215099039818,-1.31700733219755,0.102701791427604,-12.8236062281925,1.20941860868152e-37,2.74429312385655e-35,Downregulated,ADIPOR2
26,B4GALNT3,129.360914998528,-5.19957656611611,0.407721938400092,-12.7527515112857,3.00932989304386e-37,6.53477604193771e-35,Downregulated,B4GALNT3
27,CDH11,225.328322120498,2.92665512055328,0.230951806459237,12.6721464768877,8.43735883773579e-37,1.79360486029552e-34,Upregulated,CDH11
28,RGS12,1304.7400474423,1.16419561720193,0.0933024725196429,12.477650224723,9.88612668846829e-36,2.03724824973079e-33,Upregulated,RGS12
29,COL2A1,747.008548776449,-8.1419245057252,0.653691936438961,-12.4552928556515,1.30870208645131e-35,2.6167563005826e-33,Downregulated,COL2A1
30,CCND2,2303.22744504617,-1.15489374363984,0.0937484856683746,-12.3190655870981,7.1518146511086e-35,1.38875862383787e-32,Downregulated,CCND2
31,CHST2,258.386662350014,-2.73930315534014,0.224079054406863,-12.2247175783166,2.29377485854434e-34,4.37007389323612e-32,Downregulated,CHST2
32,RIMS4,1156.44796431947,-2.2062221322378,0.181694714989094,-12.1424672829379,6.29002999224526e-34,1.17617736753142e-31,Downregulated,RIMS4
33,TFAP2A,178.537899552174,-6.69390534855156,0.565543327257721,-11.8362378723657,2.5357449891429e-32,4.26744750464507e-30,Downregulated,TFAP2A
34,VCAN,872.199371334306,2.15994264095937,0.182722492120945,11.8208908815106,3.04438795208851e-32,5.03946022069077e-30,Upregulated,VCAN
35,TRIO,2950.34035307847,1.3999773223888,0.119842864728697,11.6817745099644,1.57962972912783e-31,2.53179542696322e-29,Upregulated,TRIO
36,TNFRSF19,322.501485221999,-1.90190693439811,0.163362107784635,-11.6422771485383,2.51217394265029e-31,3.99475218675768e-29,Downregulated,TNFRSF19
37,MAML3,141.857864698744,-3.44351970071347,0.297733427452533,-11.5657812768184,6.14295907781739e-31,9.61682624624203e-29,Downregulated,MAML3
38,SEZ6,268.459243154996,-5.52219016480681,0.47923194972754,-11.5230008515634,1.01030021574446e-30,1.53406111706462e-28,Downregulated,SEZ6
39,OTULINL,322.327415955249,5.27935416062657,0.458730269778854,11.5086239309467,1.19367853576551e-30,1.79898044998391e-28,Upregulated,OTULINL
40,RUNX1,245.64295023153,-2.50572493935758,0.218101757602288,-11.4887883843963,1.50203782113678e-30,2.2469373183598e-28,Downregulated,RUNX1
41,DYRK3,344.734701381308,-1.7085681520565,0.149765780621474,-11.4082679298739,3.80225102342097e-30,5.48474710128475e-28,Downregulated,DYRK3
42,EBF3,491.141177570438,1.62542073047104,0.14351687812099,11.3256416370815,9.79589309230004e-30,1.34576912244217e-27,Upregulated,EBF3
43,FZD8,93.2945755241446,-3.9783685277564,0.352486637048101,-11.286579715683,1.52870263637421e-29,2.05814331610514e-27,Downregulated,FZD8
44,ADAMTS18,135.986053343535,-3.34849702626349,0.305754037954716,-10.951603611395,6.52815198088034e-28,7.70970931309231e-26,Downregulated,ADAMTS18
45,HEY2,169.874080117948,-2.52243257148213,0.231766338427002,-10.8835156502962,1.38130574730439e-27,1.60318790613863e-25,Downregulated,HEY2
46,NAB1,362.673664940507,1.68764071329784,0.157959617196686,10.6840010329756,1.20944083020465e-26,1.3202517603234e-24,Upregulated,NAB1
47,ADORA1,357.259785797016,-2.0054179823636,0.189725272426448,-10.570115181366,4.09990780382587e-26,4.2679194896012e-24,Downregulated,ADORA1
48,PERP,119.260959501642,4.08715740900627,0.39174338438582,10.4332518988525,1.7480146545151e-25,1.73897319940554e-23,Upregulated,PERP
49,COL9A3,388.54958309173,-3.2649618168787,0.315253047577996,-10.356638395608,3.9044370728927e-25,3.7369718809037e-23,Downregulated,COL9A3
50,EFHD1,280.366552483032,-2.0186354414259,0.195675233260135,-10.3162541717392,5.94993339604766e-25,5.56291226542511e-23,Downregulated,EFHD1
51,CDKN2A,379.979865281705,1.71077019199887,0.168794825709026,10.1352051806846,3.85563272680458e-24,3.4151097770973e-22,Upregulated,CDKN2A
52,SLC1A2,345.148488465254,-7.53580101625698,0.744532120921025,-10.1215257267004,4.43448332439465e-24,3.87681345178139e-22,Downregulated,SLC1A2
53,DLX1,214.762849311371,4.25851303246563,0.425741141373507,10.0025875317734,1.48466137473591e-23,1.23895605218148e-21,Upregulated,DLX1
54,SOCS2,96.8237767533797,-5.69458079511133,0.576789407920556,-9.87289419138514,5.45670128913009e-23,4.32149343270518e-21,Downregulated,SOCS2
55,TACC1,470.114100230106,1.41261459150554,0.143692811751841,9.83079511273772,8.29611572823553e-23,6.44384835121987e-21,Upregulated,TACC1
56,UCHL1,2791.51655780321,1.05942537361682,0.107878563112102,9.82053656495141,9.18533281646069e-23,7.10719525779401e-21,Upregulated,UCHL1
57,IGSF9B,304.554298864788,-2.10106252948029,0.214532038794045,-9.79370047145896,1.19828317995034e-22,9.16641243147619e-21,Downregulated,IGSF9B
58,DLX6-AS1,204.254403611109,6.93487626237816,0.709672288733084,9.77194174336213,1.48576761083602e-22,1.12801040980577e-20,Upregulated,DLX6-AS1
59,JAZF1,111.303438966988,2.75466630086633,0.282782185932017,9.74130068266949,2.0096539650428e-22,1.49209418470733e-20,Upregulated,JAZF1
60,SVIL,2068.69820135318,-1.25416885265118,0.129593696217818,-9.6776995274771,3.75060169219213e-22,2.75430549722982e-20,Downregulated,SVIL
