,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,-5.44514092724175,0.193433035172211,-28.1500051032856,2.39603584162821e-174,4.83879438216817e-170,Downregulated,NA
2,LOC105371692,924.275766933459,3.81588843291621,0.158123644705934,24.1323076002497,1.14534301675259e-128,1.15651011116592e-124,Upregulated,NA
3,WWTR1,594.428245999385,5.14828511184571,0.213936646023499,24.0645312878291,5.88148365853027e-128,3.95921874946729e-124,Upregulated,NA
4,GSN,997.004540414557,3.0463074507002,0.131140814759823,23.2292856825646,2.30416772861229e-119,1.16331668198313e-115,Upregulated,GSN
5,PRSS12,586.454283777832,-3.53323329104688,0.162059126347512,-21.8021247595176,2.21493072516359e-105,8.94610519893572e-102,Downregulated,NA
6,LRRN2,973.817999575366,3.97265548617146,0.187343993869077,21.2051392955127,8.56167990954725e-100,2.88171876288845e-96,Upregulated,NA
7,EYA4,799.808935688509,4.39822445080745,0.208480544908491,21.0965701990945,8.55187806437400e-99,2.4672168215719e-95,Upregulated,EYA4
8,ARHGEF6,1532.86918573465,3.5925935946895,0.170879162354462,21.02417606213,3.94179219591793e-98,9.95056167457033e-95,Upregulated,NA
9,KLHDC8A,2536.58406993876,3.15538922151549,0.15095841519623,20.9023737922382,5.09474189850203e-97,1.14320347378054e-93,Upregulated,NA
10,DAB1,437.913451091098,-4.84850200919985,0.24073079501037,-20.1407634988743,3.24298400728179e-90,6.54920620270558e-87,Downregulated,NA
11,SFRP1,671.672643877303,7.29912850155925,0.375480733137224,19.4394222056973,3.58176807506212e-84,6.57580057053451e-81,Upregulated,SFRP1
12,TARID,493.207934154539,4.28402192735376,0.225573235356801,18.9917120290335,1.99710168657754e-80,3.36095571336946e-77,Upregulated,NA
13,SEMA3C,898.977459482895,-7.7780003434395,0.416868846019589,-18.6581473230888,1.08425700126927e-77,1.68435154927946e-74,Downregulated,NA
14,S100A4,538.812949152839,-4.07817982286638,0.224837981558989,-18.1383047232009,1.58856097862635e-73,2.29149921166851e-70,Downregulated,NA
15,TENM4,407.405710938626,3.95577519732321,0.218745260719038,18.0839355527986,4.26524271029266e-73,5.74243843562401e-70,Upregulated,NA
16,SLFN11,595.002395648243,-7.74110351026221,0.432037875195383,-17.9176501753727,8.58798561325589e-72,1.08396480912314e-68,Downregulated,NA
17,ITPKB,1892.88011847662,2.10857947998049,0.119746503316172,17.6086935450057,2.11265115763439e-69,2.50970530167215e-66,Upregulated,ITPKB
18,KITLG,459.457849043419,-4.00053830368214,0.229111530380728,-17.4610954631319,2.83442442132471e-68,3.18006673270291e-65,Downregulated,NA
19,ISLR2,508.375491154336,7.60142931062908,0.438621339813671,17.330276985288,2.77986479597455e-67,2.954703660774e-64,Upregulated,NA
