,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,CDKN2A,379.979865281705,1.24105635457585,0.171339106018291,7.24327553362726,4.37975845600849e-13,6.95856023490629e-09,Upregulated,CDKN2A
2,RPH3A,127.672428346071,1.97674515551186,0.300778882123715,6.57208757993453,4.96146637048003e-11,3.94138888470934e-07,Upregulated,NA
3,IGF2BP1,172.436698621361,1.30397167117228,0.22271715762688,5.85483258257468,4.77490770760417e-09,2.52879112194717e-05,Upregulated,IGF2BP1
4,ACTG2,70.3024406369488,3.92606877142575,0.705903938653418,5.56176068221848,2.67066368435812e-08,8.48630092341636e-05,Upregulated,NA
5,DIPK2A,201.054826262627,-1.0551640383985,0.189271563996375,-5.57486827983686,2.4771722705114e-08,8.48630092341636e-05,Downregulated,NA
6,ASCL1,270.518376403719,-0.865584913317778,0.169825149538191,-5.0969183049247,3.45227219995991e-07,0.000914161678549384,Downregulated,NA
7,IGFBPL1,275.93938471587,0.985433500597089,0.211407156959118,4.66130624323023,3.14208783906008e-06,0.00713164165528379,Upregulated,NA
8,CNN2,1523.76503362516,0.480755981225799,0.105604601233721,4.55241509943119,5.30335653153243e-06,0.0105324660716234,NS,NA
9,LOC100506071,664.626201500871,-0.694424605865346,0.159289525369006,-4.35951205364359,1.30352774065909e-05,0.0220179769165001,Downregulated,NA
10,HLA-A_5,14.0665381447889,3.01888733279207,0.694620615649344,4.34609521338488,1.38582432757427e-05,0.0220179769165001,Upregulated,NA
11,TEX15,164.459202605166,-1.06702978557867,0.247927545521532,-4.30379683441024,1.67895639101269e-05,0.0242502355821906,Downregulated,TEX15
12,CUTA,36.1801761211615,-3.26643466404509,0.772721464709003,-4.22718251430376,2.36635719024895e-05,0.0313305691988961,Downregulated,NA
13,LRRC58,949.340416646313,-0.512801712691064,0.124515689897365,-4.11837024806875,3.81561308070571e-05,0.0433017575901802,NS,NA
14,HLA-C_6,78.6247142993613,-1.86925521743147,0.452825197562908,-4.12798410400249,3.65957406091317e-05,0.0433017575901802,Downregulated,NA
15,THOC3,359.505979588772,-0.766486794144736,0.188466471948126,-4.06696632149885,4.76291232619669e-05,0.0504487673590754,Downregulated,NA
16,HILPDA,108.319553692842,-0.993987701021902,0.249365877003484,-3.9860614169276,6.71791296180627e-05,0.0570447484147775,Downregulated,HILPDA
17,ADGRA2,362.962675623626,-0.633351861194386,0.159525940007303,-3.97021237527509,7.18085956882899e-05,0.0570447484147775,Downregulated,ADGRA2
18,COCH,869.251731239507,-0.537686365480764,0.134167327551824,-4.00758049885933,6.13439559992827e-05,0.0570447484147775,NS,NA
19,CENPVL3,116.907714350603,1.41292314042399,0.355008309129309,3.97997202907536,6.89233773160441e-05,0.0570447484147775,Upregulated,NA
20,PRRC2A_1,17.0898052782485,-3.47559551165514,0.870258446088863,-3.99375096820404,6.50361710117939e-05,0.0570447484147775,Downregulated,NA
