,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,COL20A1,191.662436356869,1.81734608016538,0.295795867138691,6.14391978408974,8.05095119035467e-10,8.3786249038021e-06,Upregulated,NA
2,CDKN2A,379.979865281705,0.851452665543156,0.159112707753316,5.35125495358438,8.73463578416059e-08,0.000454506773028796,Upregulated,CDKN2A
3,TARID,493.207934154539,1.27084092428376,0.242330927423952,5.2442374474986,1.56929995348838e-07,0.000544390153865119,Upregulated,NA
4,EYA4,799.808935688509,1.14289816455983,0.222481124757225,5.137056753947,2.79074695244034e-07,0.000726082588351165,Upregulated,EYA4
5,DSE,2168.14125074521,0.374779730831667,0.0750385997555892,4.99449259517602,5.89906547861743e-07,0.00122783148871943,NS,NA
6,ITGA5,300.484865367695,1.25328798206302,0.260791443764747,4.80570974250819,1.54203481082249e-06,0.00267465937937161,Upregulated,ITGA5
7,PDLIM3,306.651453292998,2.19691110249859,0.469146086111755,4.68278680678423,2.83000809823011e-06,0.00420741346832582,Upregulated,PDLIM3
8,TRAM2,894.162957610259,0.531405273660234,0.114296411262852,4.64936097108196,3.32965034829395e-06,0.00433145889683689,NS,NA
9,DMRTA2,523.936408717557,2.28236828543609,0.493588991903119,4.62402590591825,3.76362830782072e-06,0.00435200886661003,Upregulated,DMRTA2
10,PCDH1,289.431154026496,1.47476203169875,0.320740116685323,4.59799680482638,4.26572535410854e-06,0.00443934037602076,Upregulated,PCDH1
11,TSPYL1,1868.10573507487,0.378522217212477,0.0829501639056196,4.56324857468827,5.03681201418031e-06,0.00476528205741586,NS,NA
12,IGSF9B,304.554298864788,1.04071106474711,0.24493087867361,4.24899902528801,2.14727853190044e-05,0.0186222730679065,Upregulated,IGSF9B
13,SIPA1L2,1446.35404723861,0.392021024058572,0.0937046765936076,4.1835801403888,2.86953867093106e-05,0.0229717607295227,NS,NA
14,PFDN4,379.056075137729,-0.720578465299514,0.173801039160387,-4.14599630002529,3.38339289133653e-05,0.0251506927286709,Downregulated,NA
15,FN1,515.279042490332,1.16464867006511,0.285420902452208,4.08046033089719,4.4946599779027e-05,0.0311839509266889,Upregulated,FN1
16,MXD4,876.750797086162,0.577629132987815,0.144063678356863,4.00954036142934,6.08370540406888e-05,0.0372430130236146,NS,NA
17,CLIP3,793.657837250807,0.552920342079084,0.137803405095634,4.01238519248028,6.01083142156968e-05,0.0372430130236146,NS,NA
18,BMAL2-AS1,180.383490552854,-0.971313125108349,0.246632949283758,-3.93829424628428,8.20629213458737e-05,0.0474460456914726,Downregulated,NA
19,ZNF618,458.91073311952,0.522881616070833,0.133706681797087,3.91066182365036,9.20435685491462e-05,0.0504156535732087,NS,NA
20,GPR161,529.520930592752,0.46631760360161,0.119779220040643,3.89314276252075,9.8953879041577e-05,0.0514906509592846,NS,NA
21,SEZ6L2,143.710499403568,1.08962342521082,0.284917335131624,3.82434934928563,0.000131117889380191,0.0649782797514119,Upregulated,NA
22,ENO1,31652.6835547353,-0.379328246469265,0.100603530532183,-3.77052618792456,0.000162903705972584,0.0684499157617047,NS,NA
23,FOXC1,543.456746623457,0.531859052783072,0.141117227274578,3.76891654587437,0.000163957690305599,0.0684499157617047,NS,NA
24,SALL2,1211.7412861417,0.456855806063445,0.120967013909004,3.776697392953,0.000158921618840815,0.0684499157617047,NS,NA
25,GRIK5,869.830683722072,0.50370648359913,0.133868809357481,3.76268741028421,0.00016809725460924,0.0684499157617047,NS,NA
