,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,PCDH1,289.431154026496,3.2395177347652,0.299322567592793,10.8228315720328,2.68356013436559e-27,2.3944065298877e-23,Upregulated,PCDH1
2,EFHD1,280.366552483032,1.96491573576546,0.213060033567711,9.22235720544466,2.90639410600372e-20,1.03729205643273e-16,Upregulated,EFHD1
3,CDKN2A,379.979865281705,1.29167911674655,0.15746564823984,8.2029263600348,2.34604919620723e-16,5.23315598828976e-13,Upregulated,CDKN2A
4,SP8,112.877529952676,-2.04515057679841,0.2583204076545,-7.91710804178418,2.43098496778898e-15,3.33699436539957e-12,Downregulated,SP8
5,DLX5,86.7781042561026,-2.11893075094161,0.269073134926863,-7.87492497724663,3.40947380073287e-15,4.34586142671987e-12,Downregulated,DLX5
6,PDLIM3,306.651453292998,3.49220168098249,0.447287164166902,7.80751597798902,5.83260840339923e-15,6.93885979724396e-12,Upregulated,PDLIM3
7,RTN1,416.446219861853,1.55392151984394,0.199849080113147,7.7754749682319,7.5164842047551e-15,8.38322878961592e-12,Upregulated,RTN1
8,RAB29,194.429221899749,2.09528723157207,0.271528536896562,7.71663728431706,1.1943891978912e-14,1.2467573441875e-11,Upregulated,RAB29
9,MAML3,141.857864698744,2.52369425721757,0.33648097401985,7.50025841600388,6.36921418248354e-14,5.41231557554375e-11,Upregulated,MAML3
10,CPNE5,227.239070244209,2.28374119206413,0.307268974159017,7.43238460151936,1.06657141551925e-13,8.65134859542772e-11,Upregulated,CPNE5
11,ITGA5,300.484865367695,1.84860544431824,0.257233254745857,7.18649478717144,6.64758268889958e-13,4.5625428109005e-10,Upregulated,ITGA5
12,ABHD4,892.958539448882,1.30159474487988,0.190837684587865,6.82042830110212,9.07694816080088e-12,4.62794685512833e-09,Upregulated,ABHD4
13,EYA4,799.808935688509,1.49307644681859,0.219651982484917,6.79746401524564,1.06476732181896e-11,5.13534401563767e-09,Upregulated,EYA4
