,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC105371692,924.275766933459,2.01304217942714,0.163086238927164,12.3434214478769,5.28608607739145e-35,9.43302060510504e-31,Upregulated,NA
2,PCDH1,289.431154026496,3.2395177347652,0.299322567592793,10.8228315720328,2.68356013436559e-27,2.3944065298877e-23,Upregulated,PCDH1
3,LRRN2,973.817999575366,1.90924961961838,0.19207427802074,9.94016293744561,2.78371437472613e-23,1.65584610056626e-19,Upregulated,NA
4,SEZ6L2,143.710499403568,2.58475068467813,0.278393276182553,9.28452985690364,1.624226416048e-20,7.24608009859416e-17,Upregulated,NA
5,EFHD1,280.366552483032,1.96491573576546,0.213060033567711,9.22235720544466,2.90639410600372e-20,1.03729205643273e-16,Upregulated,EFHD1
6,GPX3,162.085002870788,2.13045865286541,0.246467058587579,8.64398944457066,5.42835720066316e-18,1.61448390409724e-14,Upregulated,NA
7,HLA-B_1,1774.50355240168,1.91959836191562,0.23260472923233,8.25261966190847,1.5495961009754e-16,3.95036320312943e-13,Upregulated,NA
8,CDKN2A,379.979865281705,1.29167911674655,0.15746564823984,8.2029263600348,2.34604919620723e-16,5.23315598828976e-13,Upregulated,CDKN2A
9,SYN3,545.148262869694,1.30025821307716,0.159264680018448,8.16413415031221,3.23748957747002e-16,6.41922238999473e-13,Upregulated,NA
10,GNG7,432.265610404932,1.4037499078495,0.172970839141725,8.11552926964367,4.83672111361406e-16,8.63112882724429e-13,Upregulated,NA
11,RPH3A,127.672428346071,2.65961071874072,0.330892283799182,8.03769337925945,9.15453561236816e-16,1.48511534547918e-12,Upregulated,NA
12,LOC105371623,142.280353104908,2.0170032666591,0.254038612469737,7.93975076091781,2.025879240725e-15,3.01265125422813e-12,Upregulated,NA
13,SP8,112.877529952676,-2.04515057679841,0.2583204076545,-7.91710804178418,2.43098496778898e-15,3.33699436539957e-12,Downregulated,SP8
14,DLX5,86.7781042561026,-2.11893075094161,0.269073134926863,-7.87492497724663,3.40947380073287e-15,4.34586142671987e-12,Downregulated,DLX5
15,PDLIM3,306.651453292998,3.49220168098249,0.447287164166902,7.80751597798902,5.83260840339923e-15,6.93885979724396e-12,Upregulated,PDLIM3
16,RTN1,416.446219861853,1.55392151984394,0.199849080113147,7.7754749682319,7.5164842047551e-15,8.38322878961592e-12,Upregulated,RTN1
17,RAB29,194.429221899749,2.09528723157207,0.271528536896562,7.71663728431706,1.1943891978912e-14,1.2467573441875e-11,Upregulated,RAB29
18,TMEM132B,86.6463446949135,2.21798695658465,0.287674411483382,7.71005994293231,1.25758656180302e-14,1.2467573441875e-11,Upregulated,NA
19,CD74,39.9734538017287,3.80751594380131,0.499616375860147,7.62087899390055,2.51954054569374e-14,2.36637900199499e-11,Upregulated,NA
20,HLA-C_2,307.734111218643,1.70790745952734,0.225521879940867,7.57313418979641,3.64325624482383e-14,3.25069538444406e-11,Upregulated,NA
21,MAML3,141.857864698744,2.52369425721757,0.33648097401985,7.50025841600388,6.36921418248354e-14,5.41231557554375e-11,Upregulated,MAML3
22,CPNE5,227.239070244209,2.28374119206413,0.307268974159017,7.43238460151936,1.06657141551925e-13,8.65134859542772e-11,Upregulated,CPNE5
23,COL1A1,108.388590667635,2.99044014199261,0.408505176730485,7.32044613467796,2.47147904685883e-13,1.91754537353025e-10,Upregulated,NA
24,CDKN1A,164.591676143755,2.25583921666936,0.310226920866245,7.27157788360338,3.55312418630753e-13,2.64189587936074e-10,Upregulated,NA
25,GRIA1,1790.28270559302,1.28838369561341,0.178984096399516,7.19831382525502,6.09617089576699e-13,4.35144678539848e-10,Upregulated,NA
