,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,5.69048400152142,0.206113103471941,27.6085503816407,8.78498487802444e-168,1.77412769611704e-163,Upregulated,NA
2,DMRTA2,523.936408717557,-5.12804712633237,0.221183160763403,-23.1846181627623,6.50931474852644e-119,6.57278056732457e-115,Downregulated,DMRTA2
3,WWTR1,594.428245999385,-4.74420569032208,0.207688869769345,-22.8428499591282,1.72125159138403e-115,1.15868919626668e-111,Downregulated,NA
4,PRSS12,586.454283777832,3.69793767384159,0.171783808699166,21.5266951049941,8.75593632028605e-103,4.42065334970442e-99,Upregulated,NA
5,DAB1,437.913451091098,4.89021395223762,0.231243182107072,21.147494631748,2.9099128239036e-99,1.17531378957466e-95,Upregulated,NA
6,SFRP1,671.672643877303,-5.73512919867106,0.27233919102358,-21.0587729849521,1.90033149337985e-98,6.39619908480102e-95,Downregulated,SFRP1
7,ZIC1,599.964026578577,-6.2416518267096,0.29873984138053,-20.8932688651966,6.1651709242446e-97,1.77865181164457e-93,Downregulated,NA
8,KLHDC8A,2536.58406993876,-2.87775269389708,0.149302016108777,-19.2747075283996,8.7594109395802e-83,2.21120379906028e-79,Downregulated,NA
9,ARHGEF6,1532.86918573465,-3.08608053269162,0.166564314846077,-18.5278613581996,1.23082502705764e-76,2.76183460238101e-73,Downregulated,NA
10,GASK1B,312.140483249856,4.41917058734078,0.239359415003215,18.4624890868881,4.13823969339825e-76,8.35717506081777e-73,Upregulated,NA
11,GSN,997.004540414557,-2.21222661516444,0.124294466709623,-17.798271103513,7.28844008222197e-71,1.33809134054975e-67,Downregulated,GSN
12,CDH6,1083.86744259346,3.04754576779759,0.171433526962379,17.7768364321547,1.06841084945842e-70,1.79804642540106e-67,Upregulated,NA
13,SORL1,384.367521700975,-4.00066951205043,0.231574429285967,-17.2759553996788,7.13815102626541e-67,1.10888430750331e-63,Downregulated,NA
14,ABLIM1,1572.92802580693,2.40653368576546,0.140292995093741,17.153626837587,5.90493363195525e-66,8.51786676409544e-63,Upregulated,ABLIM1
15,GNG12-AS1,2314.17120925851,2.10031466618006,0.123868015997636,16.956069323175,1.73574529823585e-64,2.33689175319153e-61,Upregulated,NA
16,KITLG,459.457849043419,4.1623466280283,0.246807734895196,16.8647333107116,8.1770346112082e-64,1.03209508733344e-60,Upregulated,NA
17,SYT1,463.348374633951,3.23237257273371,0.191844225415318,16.8489438018582,1.0680514137423e-63,1.2687822529721e-60,Upregulated,NA
18,EPB41L3,553.614247632543,2.70505417241513,0.160737620526291,16.8290047069142,1.49595632053355e-63,1.67837988295417e-60,Upregulated,NA
19,WLS,2402.81983706314,1.97965446642371,0.118136028395643,16.7574151028149,4.9989017334258e-63,5.31330634244916e-60,Upregulated,WLS
20,AMPH,299.492259407277,5.0115624307758,0.30350211721066,16.5124463606206,2.98532305594701e-61,3.0144299557425e-58,Upregulated,NA
21,LOC107985485,243.153942698489,4.84531581722402,0.295843800227905,16.3779528707088,2.74838673473615e-60,2.6430319099046e-57,Upregulated,NA
22,PRKCQ,563.869354906477,3.21753344651993,0.198599699814031,16.2010992440212,4.95336641032176e-59,4.54696521165672e-56,Upregulated,NA
23,MAGEA6,347.413501605683,6.07017221625196,0.376474567776362,16.1237245110747,1.73810597815201e-58,1.5261326186426e-55,Upregulated,MAGEA6
24,COL23A1,407.974023105228,-7.43866215235681,0.462839548395901,-16.071794595206,4.02269784567967e-58,3.3849326247292e-55,Downregulated,NA
25,CGNL1,1178.00013539745,2.93346402059786,0.182723823613122,16.0540862302052,5.35213339597776e-58,4.32345335727083e-55,Upregulated,NA
26,HSPA12A,351.118855249779,2.98990614187012,0.187286104241283,15.9643778911552,2.26286662065143e-57,1.75763813092522e-54,Upregulated,HSPA12A
27,HLA-B_1,1774.50355240168,3.75815985411155,0.236517913600371,15.8895357941533,7.48800215454034e-57,5.60074827818304e-54,Upregulated,NA
28,STK32B,334.029667275133,-6.12305291627913,0.393119050933864,-15.5755690336901,1.06699288870289e-54,7.69568620976959e-52,Downregulated,NA
29,RPS6KA2,1046.17847720412,2.09299572937659,0.134503660627577,15.5608830243797,1.34234102581615e-54,9.34778517805421e-52,Upregulated,RPS6KA2
30,TARID,493.207934154539,-3.08391752305371,0.198659763136339,-15.5236142154123,2.40135861902684e-54,1.61651457704156e-51,Downregulated,NA
31,EYA4,799.808935688509,-2.86123446401738,0.18501037946442,-15.4652645559685,5.95281990777493e-54,3.87797413024241e-51,Downregulated,EYA4
32,PALM2AKAP2,1288.28798240387,2.17920923847312,0.141225736709396,15.4306806199024,1.0179105040485e-53,6.42396957164359e-51,Upregulated,NA
33,CD99,4090.17375322908,2.00280788799779,0.130363092984783,15.363304460961,2.88487621297042e-53,1.76545682184659e-50,Upregulated,NA
34,TENM4,407.405710938626,-3.09287564349329,0.201430644610846,-15.3545437411898,3.30224613757951e-53,1.96143708083583e-50,Downregulated,NA
35,TUBB4A,581.73547813044,3.05330895193192,0.199357069117663,15.3157796984355,5.99881820679745e-53,3.46131810532213e-50,Upregulated,NA
36,LAMA2,223.590301344984,3.96834325308666,0.262212397928122,15.1340794121202,9.652193148359e-52,5.41461223975306e-49,Upregulated,NA
37,KAZN,334.423949758702,-3.01856420585793,0.199715599758562,-15.1143136014768,1.30321955723411e-51,7.11311323198454e-49,Downregulated,NA
38,LINC01694,235.093558546334,4.6854190934322,0.310494972360966,15.0901609060038,1.87983325004338e-51,9.99032433805951e-49,Upregulated,LINC01694
39,CEMIP2,936.87177605087,2.59580552096194,0.173385547768593,14.9712911737396,1.13103861850459e-50,5.85674997453849e-48,Upregulated,NA
40,PAK3,701.735525218738,2.71257810877143,0.183042399720761,14.8193976527274,1.0976429503478e-49,5.54172484556846e-47,Upregulated,NA
41,SLC44A5,223.653765334989,4.11205297686278,0.27868606021403,14.7551440990796,2.85081850271266e-49,1.40420194298249e-46,Upregulated,NA
42,PDLIM3,306.651453292998,-3.01133539155516,0.205253092577148,-14.6713277434458,9.84005386731618e-49,4.7314259012012e-46,Downregulated,PDLIM3
43,SFRP2,1474.74560965154,3.84534974020339,0.262567905513285,14.6451628681969,1.44654218006812e-48,6.79370216894785e-46,Upregulated,NA
44,SAT1,410.834207617917,-2.24859423857721,0.153844420233125,-14.6160272512312,2.21980787651483e-48,1.01884136514129e-45,Downregulated,NA
45,CERK,1841.01962362089,1.33000003130333,0.0919698830021592,14.461256096978,2.12877156575798e-47,9.55345372677385e-45,Upregulated,NA
46,ZFP36L2,602.836366634906,-2.31419735368375,0.160343867009662,-14.4327151193397,3.22145541970156e-47,1.41428896088854e-44,Downregulated,NA
47,SLIT2,479.807136231711,3.50437743517945,0.242992669766007,14.421741357688,3.77691562623979e-47,1.62286832067899e-44,Upregulated,SLIT2
48,ISLR2,508.375491154336,-8.0812575096331,0.562394921707757,-14.3693642984786,8.05673634497849e-47,3.38970396847585e-44,Downregulated,NA
49,NT5E,285.765728648728,-3.50515668318718,0.244153622780271,-14.3563574575409,9.72034406725656e-47,4.00617037629074e-44,Downregulated,NT5E
50,S100A4,538.812949152839,3.23385944908411,0.226375105126794,14.2854023072581,2.69846636992711e-46,1.08991056681356e-43,Upregulated,NA
51,HLA-B_3,208.15407956979,4.75094822680999,0.338153173203034,14.0496928708619,7.7368839282165e-45,3.0636543319673e-42,Upregulated,NA
52,HLA-C_2,307.734111218643,3.40590581407689,0.243831167264614,13.9682955722419,2.43381703853824e-44,9.45210290255378e-42,Upregulated,NA
53,PLPPR5,228.963048935776,5.93595349677992,0.425040307221476,13.9656248970451,2.52679408407679e-44,9.47183706176309e-42,Upregulated,NA
54,STOM,467.781230913486,-2.64098675718515,0.189108488974816,-13.9654585127422,2.53270216061009e-44,9.47183706176309e-42,Downregulated,STOM
55,KCNN4,258.41824715618,-2.89266765540482,0.208182683502941,-13.8948523802844,6.80636926246325e-44,2.4991750410081e-41,Downregulated,NA
56,ME1,204.438116875599,3.46867446376253,0.25004428122336,13.872240735888,9.33154724221773e-44,3.36518922422477e-41,Upregulated,NA
57,ITPKB,1892.88011847662,-1.64159725861389,0.119104692460751,-13.782809263832,3.23436743958563e-43,1.14593070951635e-40,Downregulated,ITPKB
58,GALNT17,300.984912862849,3.97597162390643,0.289456302338023,13.7359994990309,6.17973167820817e-43,2.15171864209335e-40,Upregulated,NA
59,PLK2,471.281894439632,3.09676212101979,0.226222577752817,13.6890055439271,1.18114707042358e-42,4.04292628596681e-40,Upregulated,NA
60,SORBS2,379.275721384663,2.39184492626025,0.175270923675835,13.6465585739936,2.11639723545337e-42,7.12344036166347e-40,Upregulated,NA
61,SHC1,2710.87343240678,-1.33304434262521,0.0983219382894621,-13.5579542655139,7.10912472009122e-42,2.35358645446299e-39,Downregulated,NA
62,LIMS2,165.074455726464,4.82355979869679,0.356373246351427,13.5351344358217,9.70048260860598e-42,3.15969752065803e-39,Upregulated,LIMS2
63,NDUFS2,2742.51159043455,-0.97220014274929,0.072397107913122,-13.4287151900591,4.10471277436779e-41,1.31578848378345e-38,Downregulated,NA
64,MAGEH1,526.734173183285,1.97084859590941,0.148204643369051,13.2981568667975,2.37244696087856e-40,7.48618224608477e-38,Upregulated,NA
65,SEMA3C,898.977459482895,9.17078155172619,0.691949694429142,13.2535379747397,4.3042345156019e-40,1.33729255450124e-37,Upregulated,NA
66,PAX3,622.403787365384,-1.59108164136501,0.120355353608016,-13.2198659525108,6.73839272845231e-40,2.06184607804688e-37,Downregulated,NA
67,CDH11,225.328322120498,3.05364579787959,0.231257637438024,13.2045186991844,8.26261353917241e-40,2.49049970781473e-37,Upregulated,CDH11
68,LOC101928034,263.686128990708,3.42538023192494,0.259826444675713,13.1833395026443,1.0943712093593e-39,3.25012155485458e-37,Upregulated,NA
69,ZNF704,703.200974021287,1.72683067533657,0.131033997416392,13.1784934397533,1.16697981016022e-39,3.41553003857763e-37,Upregulated,NA
70,DSG2,203.425289981218,5.56044744420035,0.422654148425312,13.1560224001515,1.57143382983037e-39,4.53358659906061e-37,Upregulated,NA
71,ADARB2,321.129816544504,7.4653771935467,0.568370013597647,13.1347133292494,2.08278686906255e-39,5.92420856629834e-37,Upregulated,ADARB2
72,GFAP,1527.2604572315,-4.66045601485095,0.355731224390776,-13.1010597195465,3.24692229329788e-39,9.10716607127094e-37,Downregulated,NA
73,ARK2C,203.079152399574,3.79176410530118,0.289565023200188,13.0946896258247,3.53114819033295e-39,9.76870379503751e-37,Upregulated,NA
74,HLA-A_6,558.90274629357,2.58241541821941,0.197745106427775,13.0593139060188,5.62322797147973e-39,1.53460930924369e-36,Upregulated,NA
75,KIF26A,263.403687255879,4.38512536172467,0.337326310778295,12.9996541082346,1.22897879662848e-38,3.30923023972162e-36,Upregulated,NA
76,PRKX,562.034197561753,1.68252879034054,0.129640231207546,12.9784463871166,1.6213605893261e-38,4.30833909229482e-36,Upregulated,NA
77,TULP3,657.848427248908,-1.50582828063083,0.116600459513509,-12.9144283557165,3.73205354545388e-38,9.78815861694041e-36,Downregulated,NA
78,ADIPOR2,954.215099039818,-1.3361347230002,0.10401862236862,-12.8451491913172,9.15752160067412e-38,2.370976265713e-35,Downregulated,ADIPOR2
79,CDH8,376.694766636911,2.53972448808298,0.197926694781567,12.8316419919295,1.09028698354944e-37,2.78713235857986e-35,Upregulated,CDH8
80,S1PR3,195.335278294379,-4.03652512040978,0.314847585370491,-12.8205687703143,1.25774495702801e-37,3.17501992589757e-35,Downregulated,S1PR3
81,TFAP2A,178.537899552174,-5.17265544416106,0.405024279479991,-12.7712231247031,2.37394419473177e-37,5.91874111266768e-35,Downregulated,TFAP2A
82,C1orf226,576.214976835202,-1.73219391858902,0.135770683181534,-12.758232322312,2.80494079095547e-37,6.90802186260313e-35,Downregulated,NA
83,XYLT1,330.672134998089,2.11571928785531,0.166302794842687,12.7220909898517,4.45769461004146e-37,1.08461617650346e-34,Upregulated,NA
84,CYP1B1,191.515854278339,-5.5282242136623,0.435114239758234,-12.7052247628898,5.53102893218585e-37,1.32975153911301e-34,Downregulated,NA
85,DUSP6,1128.85209844201,-1.76982601581526,0.139735112172643,-12.6655783811061,9.17416887260343e-37,2.17967459273207e-34,Downregulated,NA
86,LIMD1,767.551274137899,1.45197570142836,0.116844560304958,12.4265579641772,1.87536873125412e-35,4.40384552647407e-33,Upregulated,NA
87,ARHGAP29,510.936321547192,-2.59775682582434,0.209604494681203,-12.393612216071,2.83002680993026e-35,6.56924039385536e-33,Downregulated,ARHGAP29
88,ANK1,387.031114382409,-2.88806979618852,0.235020365005261,-12.2885937826021,1.04304659133706e-34,2.39367339909681e-32,Downregulated,ANK1
89,TBC1D9,414.071831758934,1.91702696218616,0.156151499676649,12.2767118225303,1.20809265049286e-34,2.74128439064082e-32,Upregulated,NA
90,PTPRM,196.38341403901,-3.76226765003708,0.307255937991272,-12.2447353650296,1.79260836141386e-34,4.02241398430587e-32,Downregulated,NA
91,GPD2,150.270730653802,4.13383358860358,0.339308898352057,12.1830980816614,3.82472047264528e-34,8.48793735660125e-32,Upregulated,NA
92,M6PR,1142.36026096189,-1.16301781280325,0.0954887256633892,-12.1796348702259,3.99064402785458e-34,8.75989740679601e-32,Downregulated,NA
93,GASK1B-AS1,119.500775336403,4.65734730982921,0.38397137445936,12.129412814658,7.37765350854907e-34,1.60206142586181e-31,Upregulated,NA
94,COL2A1,747.008548776449,-6.27587864162262,0.518772104413626,-12.0975638208541,1.08791987647994e-33,2.33729169207578e-31,Downregulated,COL2A1
95,LOC105371692,924.275766933459,-1.65480174390486,0.137361358959269,-12.0470688150046,2.00970185083077e-33,4.27220303973973e-31,Downregulated,NA
96,TM7SF3,858.372331345191,-1.50800186166771,0.126276122377922,-11.9420982626828,7.13989699984851e-33,1.50198145741605e-30,Downregulated,NA
97,BOC,3299.86962897205,-1.79554869653774,0.150646022641219,-11.9189917201734,9.42421505763594e-33,1.9620827122573e-30,Downregulated,NA
98,CD44,755.856763980773,-3.78893181870507,0.318029750052488,-11.9137653571081,1.00341510891041e-32,2.06775184943324e-30,Downregulated,NA
99,EMILIN1,1410.62861101417,-1.8958324081328,0.159560008064931,-11.8816264245945,1.47469756410902e-32,3.00823407143249e-30,Downregulated,NA
100,ANGPTL2,567.259549665735,1.80561093422559,0.152187128492296,11.8644129244937,1.81168812672046e-32,3.65870417191197e-30,Upregulated,NA
101,ADAMTS18,135.986053343535,-4.83016877555329,0.407560078443633,-11.8514276324572,2.1155559934829e-32,4.23006468201853e-30,Downregulated,ADAMTS18
102,DYRK3,344.734701381308,-1.81638998621955,0.153440128239179,-11.8377767736756,2.48965282803901e-32,4.92926851590666e-30,Downregulated,DYRK3
103,SMARCA2,389.864345924006,1.93029485810996,0.163718238660463,11.7903470859665,4.37733310164173e-32,8.58254776579173e-30,Upregulated,NA
104,CSNK2A1,2120.78129595707,-1.10844664699675,0.0940645206933527,-11.7838972529319,4.72564572807927e-32,9.17638610370777e-30,Downregulated,NA
105,RAB3GAP2,2222.57834073579,-1.1493011868472,0.0975689106130872,-11.7793791037064,4.98589819824062e-32,9.53659181176041e-30,Downregulated,NA
106,FAM107A,127.50103628204,-3.95263787139085,0.335565171207363,-11.7790468455629,5.00558916586582e-32,9.53659181176041e-30,Downregulated,NA
107,ENAH,6938.14920544938,-0.908390303474141,0.0774333040583432,-11.7312610448561,8.81357238480977e-32,1.66345882533863e-29,Downregulated,NA
108,TOX,166.718571210484,3.35681824459087,0.286307285142004,11.7245296183293,9.54296491421266e-32,1.76807501323417e-29,Upregulated,NA
109,LDHB,9894.72821980804,-1.18571276121932,0.101125203225603,-11.7251953360636,9.46823768290324e-32,1.76807501323417e-29,Downregulated,NA
110,LMO2,167.885110693426,-7.13503985736701,0.6091134891278,-11.7138102910572,1.08300823681136e-31,1.94528949812881e-29,Downregulated,LMO2
111,CDK16,2687.11993302072,1.1888122580124,0.101489695581158,11.7136252227868,1.08537547602553e-31,1.94528949812881e-29,Upregulated,NA
112,NAP1L2,127.699831350878,3.11489771100191,0.2658809386682,11.7153855654507,1.06306504583357e-31,1.94528949812881e-29,Upregulated,NA
113,HLA-C_4,760.168021482392,3.08663941285765,0.263513905198021,11.713383438108,1.08847592616269e-31,1.94528949812881e-29,Upregulated,NA
114,ITGB5,2271.5659345613,-1.63336318517037,0.139475025804793,-11.710793210079,1.12224765595065e-31,1.98805187823889e-29,Downregulated,NA
115,ADGRL2,2936.29052313164,-1.31415671602247,0.112361164582215,-11.6958267646016,1.33876996575949e-31,2.35099647465329e-29,Downregulated,NA
116,CDKN2A,379.979865281705,1.9656158441861,0.168611475167553,11.6576635263574,2.09718444531188e-31,3.65108964423047e-29,Upregulated,CDKN2A
117,NYNRIN,330.311032049862,2.36543537382559,0.203109422980639,11.6461134058318,2.4016442209326e-31,4.14540214031913e-29,Upregulated,NA
118,GPM6A,2624.52076710305,1.58214782047758,0.136209221292099,11.6155705573316,3.43487728460828e-31,5.87858870870035e-29,Upregulated,NA
119,LOC105369625,615.644039505496,-4.52713645392611,0.390522492768179,-11.5925114116628,4.4974886430294e-31,7.63250278537636e-29,Downregulated,NA
120,SERPINH1,2014.82456432813,-1.57209429028062,0.136100140044989,-11.5510115548812,7.29566434110404e-31,1.22779951140497e-28,Downregulated,NA
121,BEND4,132.462112930183,4.00619731424887,0.347423287668018,11.5311709273703,9.1885392445354e-31,1.53357479374705e-28,Upregulated,NA
122,RGS12,1304.7400474423,1.08096141042436,0.0939051189014131,11.5112085802182,1.15843430854448e-30,1.9175885951685e-28,Upregulated,RGS12
123,COPB2-DT,183.526725956944,3.192926277349,0.277610860703773,11.5014458341241,1.29723985609546e-30,2.1298990970608e-28,Upregulated,NA
124,FBLN2,167.899332318519,-4.16019487357967,0.362987696453088,-11.4609803974921,2.07156438475154e-30,3.37380989919818e-28,Downregulated,NA
125,PCNA,1708.34686367831,-1.79381597791066,0.156776011666542,-11.4419033807676,2.58158829473615e-30,4.17081404897572e-28,Downregulated,NA
126,LOC112267900,227.267711304362,7.61441051211637,0.666681814673736,11.4213562519967,3.27089248796048e-30,5.24251379320332e-28,Upregulated,NA
127,TMEM132B,86.6463446949135,4.2749172736782,0.374601534165451,11.4119054082413,3.6465271422396e-30,5.79855241240383e-28,Upregulated,NA
128,CD9,605.997788604729,-4.65652835859878,0.40884652120925,-11.3894288370759,4.72073937822198e-30,7.44807279243694e-28,Downregulated,NA
129,RBP1,133.03940532375,4.56017931520134,0.400891967906653,11.3750827660962,5.56500413614535e-30,8.71203554491902e-28,Upregulated,NA
130,TNFRSF19,322.501485221999,-1.89035243966895,0.166221440411112,-11.3724946372357,5.73254004591393e-30,8.90528047901784e-28,Downregulated,TNFRSF19
131,LINC02587,145.644795907904,-3.40137109123424,0.299142631541114,-11.3703990424606,5.87185269964733e-30,9.05206605109755e-28,Downregulated,NA
132,UCHL1,2791.51655780321,1.22284083796457,0.107910241203573,11.3320183916341,9.10813187309304e-30,1.3934751755842e-27,Upregulated,UCHL1
133,ARHGEF2,2256.27628077813,-1.06761919794551,0.0943343309634101,-11.3173983113275,1.07618489164272e-29,1.63410179599433e-27,Downregulated,NA
