,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,GSN,997.004540414557,3.02359257803717,0.131427983501459,23.0056986151934,4.0875984023945e-117,2.06372624340892e-113,Upregulated,GSN
2,EYA4,799.808935688509,4.41151227948334,0.208669013467731,21.1411948816519,3.32551261871273e-99,1.11931212224839e-95,Upregulated,EYA4
3,ITPKB,1892.88011847662,2.37741773490749,0.119654948586885,19.8689461905637,7.557271446162e-88,1.90773871069052e-84,Upregulated,ITPKB
4,SFRP1,671.672643877303,7.38423023193506,0.375535029386245,19.6632262082274,4.45476420107799e-86,8.17854209461546e-83,Upregulated,SFRP1
5,ANK1,387.031114382409,4.59889980916604,0.261635464908756,17.5775092675983,3.66318520192128e-69,3.89358027120001e-66,Upregulated,ANK1
6,DMRTA2,523.936408717557,7.58623823739644,0.453973888131112,16.7107369735007,1.09474158415321e-62,9.61230708346701e-60,Upregulated,DMRTA2
7,NT5E,285.765728648728,6.88139526369521,0.413041828701146,16.6602866478063,2.54800348808589e-62,2.14403876841227e-59,Upregulated,NT5E
8,PCDH1,289.431154026496,4.69561313550688,0.293254177174956,16.0120929247854,1.05210377545149e-57,6.85394701459444e-55,Upregulated,PCDH1
9,CHST2,258.386662350014,3.61455349998454,0.234227858903573,15.4317830376983,1.00066970745163e-53,5.77386421199589e-51,Upregulated,CHST2
10,VCAN,872.199371334306,-2.74576273180108,0.183708086908322,-14.9463356676907,1.64558310736534e-50,8.30813771331075e-48,Downregulated,VCAN
11,RAB29,194.429221899749,3.85633210938089,0.258689136459164,14.9072054673994,2.95879110781677e-50,1.4573850346917e-47,Upregulated,RAB29
12,ARHGAP29,510.936321547192,3.1623881804647,0.214996132423529,14.7090468317588,5.63961802468186e-49,2.58845650019205e-46,Upregulated,ARHGAP29
13,PDLIM3,306.651453292998,6.35521927336432,0.433042019727598,14.6757565867673,9.21815843465953e-49,4.13690465750998e-46,Upregulated,PDLIM3
14,CDH11,225.328322120498,-3.53426313686278,0.241570775695185,-14.6303422948905,1.7987988604422e-48,7.8971180405718e-46,Downregulated,CDH11
15,MAGEA6,347.413501605683,-7.24541974030549,0.500751149835823,-14.4691025525972,1.89934164530025e-47,7.52102049545856e-45,Downregulated,MAGEA6
16,STOM,467.781230913486,2.7050296286317,0.187723820236815,14.4096238038374,4.50155635745359e-47,1.71526284224104e-44,Upregulated,STOM
