,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,-4.62418730392053,0.166116039690096,-27.8370909428575,1.54373173837071e-170,3.11756624563965e-166,Downregulated,NA
2,LOC105371692,924.275766933459,3.85479593962466,0.158295385974789,24.351915982179,5.53261208082097e-131,5.58655504860898e-127,Upregulated,NA
3,WWTR1,594.428245999385,5.02654059699348,0.214348319335383,23.4503382745383,1.31144177857228e-121,8.82818890608908e-118,Upregulated,NA
4,GSN,997.004540414557,3.02359257803717,0.131427983501459,23.0056986151934,4.0875984023945e-117,2.06372624340892e-113,Upregulated,GSN
5,LRRN2,973.817999575366,3.97843670245883,0.187507825420807,21.2174435575175,6.5911616291468e-100,2.66217018201239e-96,Upregulated,NA
6,EYA4,799.808935688509,4.41151227948334,0.208669013467731,21.1411948816519,3.32551261871273e-99,1.11931212224839e-95,Upregulated,EYA4
7,PRSS12,586.454283777832,-3.13881344410645,0.157556894288295,-19.9217778332385,2.63468418972216e-88,7.60106388734844e-85,Downregulated,NA
8,ITPKB,1892.88011847662,2.37741773490749,0.119654948586885,19.8689461905637,7.557271446162e-88,1.90773871069052e-84,Upregulated,ITPKB
9,C1orf226,576.214976835202,2.69793216809299,0.136908897876107,19.7060396361851,1.91370974475207e-86,4.29415203280757e-83,Upregulated,NA
10,SFRP1,671.672643877303,7.38423023193506,0.375535029386245,19.6632262082274,4.45476420107799e-86,8.17854209461546e-83,Upregulated,SFRP1
11,ARHGEF6,1532.86918573465,3.36673517598365,0.171214723114199,19.663818127008,4.4030829840639e-86,8.17854209461546e-83,Upregulated,NA
12,TENM4,407.405710938626,4.27373159193248,0.218457361799288,19.5632298986521,3.1826421439457e-85,5.35612150808196e-82,Upregulated,NA
13,DAB1,437.913451091098,-4.46990840876131,0.229322155064268,-19.4918297689493,1.28792480021286e-84,2.00074164156144e-81,Downregulated,NA
14,KLHDC8A,2536.58406993876,2.87337089569231,0.151229875801937,19.0000215265369,1.70474547779486e-80,2.45909535171909e-77,Upregulated,NA
15,TARID,493.207934154539,4.20774330622873,0.226015747786815,18.617035969536,2.33802110408632e-77,3.14775574646822e-74,Upregulated,NA
16,COL23A1,407.974023105228,6.71248380783879,0.365729356539623,18.3536915694968,3.08427272413288e-75,3.89293047899146e-72,Upregulated,NA
