,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,GSN,997.004540414557,-2.79096143179599,0.12929685269806,-21.5856873044975,2.44821639306613e-103,9.88834601159412e-100,Downregulated,GSN
2,EYA4,799.808935688509,-4.0278424921255,0.201810212074381,-19.9585662723597,1.26283569168831e-88,3.18787084920568e-85,Downregulated,EYA4
3,DMRTA2,523.936408717557,-7.09481460459312,0.37329233518579,-19.0060548686648,1.51960165248697e-80,3.06883553719743e-77,Downregulated,DMRTA2
4,ABLIM1,1572.92802580693,2.42257390040731,0.140243336169219,17.274074951299,7.37463709282393e-67,9.92871973930529e-64,Upregulated,ABLIM1
5,SFRP1,671.672643877303,-7.61919472930348,0.446563737974802,-17.0618303310006,2.85468808430765e-65,3.20280143681072e-62,Downregulated,SFRP1
6,MAGEA6,347.413501605683,6.07303165594805,0.376435499945868,16.1329939838866,1.49589429628966e-58,1.16190712744499e-55,Upregulated,MAGEA6
7,PCDH1,289.431154026496,-3.81984276990946,0.252779405822917,-15.1113685763841,1.36279628440659e-51,8.33990029199728e-49,Downregulated,PCDH1
8,RAB29,194.429221899749,-4.30809460645562,0.290494552751814,-14.8302078839195,9.34431322300502e-50,4.96601067206806e-47,Downregulated,RAB29
9,ITPKB,1892.88011847662,-1.77045566789787,0.119451379971041,-14.821558933242,1.06288761068841e-49,5.50385007637245e-47,Downregulated,ITPKB
10,ARHGAP29,510.936321547192,-3.2182829997663,0.217362989232861,-14.8060302773926,1.33919220115989e-49,6.76124662560598e-47,Downregulated,ARHGAP29
11,PDLIM3,306.651453292998,-6.61812568036654,0.448483174005464,-14.7566866807046,2.78637186307443e-49,1.37245804328751e-46,Downregulated,PDLIM3
12,RIMS4,1156.44796431947,-2.72843041560672,0.185510955217262,-14.7076511595302,5.75712606691998e-49,2.76821811717736e-46,Downregulated,RIMS4
13,SLIT2,479.807136231711,3.55178729116477,0.242859025378519,14.6248931273152,1.94876649374551e-48,9.15240449795128e-46,Upregulated,SLIT2
14,CDH8,376.694766636911,2.8561158107486,0.196882714051846,14.5066865037044,1.09902672153412e-47,4.72230737050673e-45,Upregulated,CDH8
15,ANK1,387.031114382409,-3.66418456481261,0.253119589724666,-14.476100284448,1.71558294809946e-47,7.07065257895278e-45,Downregulated,ANK1
16,HSPA12A,351.118855249779,2.71766008952053,0.187976687758827,14.4574315140996,2.2504002213926e-47,9.08936649420469e-45,Upregulated,HSPA12A
17,STOM,467.781230913486,-2.68718794753281,0.189313080950079,-14.1944124201402,9.92145359098238e-46,3.78044821263942e-43,Downregulated,STOM
18,NT5E,285.765728648728,-6.1477280422581,0.440449555548973,-13.9578482139586,2.81814471350883e-44,9.48540541488514e-42,Downregulated,NT5E
19,LINC01694,235.093558546334,4.30442041208039,0.311323926147922,13.826179263958,1.77184763080068e-43,5.86597752524914e-41,Upregulated,LINC01694
20,CAVIN1,930.227101754107,-4.61754687232203,0.334456114117085,-13.8061368216027,2.34050858409942e-43,7.62364046062706e-41,Downregulated,CAVIN1
21,CDH11,225.328322120498,3.16273548954574,0.230721372112791,13.7080299955897,9.08922812258676e-43,2.78116608993393e-40,Upregulated,CDH11
22,CCND2,2303.22744504617,-1.29067297591073,0.0945666205879554,-13.6482933183626,2.06662046750149e-42,5.96220004874179e-40,Downregulated,CCND2
23,VCAN,872.199371334306,2.47713963878122,0.182529165992162,13.5711990208052,5.93432652306269e-42,1.68793977652466e-39,Upregulated,VCAN
24,HEY2,169.874080117948,-3.85283457613899,0.287100992611512,-13.4197884204198,4.63033289173632e-41,1.24679430331487e-38,Downregulated,HEY2
25,OTULINL,322.327415955249,6.11260436230642,0.45798359209331,13.3467758841916,1.23687405918151e-40,3.12233395314633e-38,Upregulated,OTULINL
26,EFHD1,280.366552483032,-2.82582086890526,0.2123192878999,-13.3092989188882,2.04390615724654e-40,5.09588701797455e-38,Downregulated,EFHD1
27,S1PR3,195.335278294379,-4.34108412069756,0.333044049443959,-13.034564430577,7.78100936684889e-39,1.80617797889096e-36,Downregulated,S1PR3
28,RUNX1,245.64295023153,-3.1120440431054,0.239005354766474,-13.0208130531054,9.31734947066467e-39,2.09070969511192e-36,Downregulated,RUNX1
29,TFAP2A,178.537899552174,-5.44015696053487,0.427253857243717,-12.7328445801056,3.88425408590086e-37,8.08685683141937e-35,Downregulated,TFAP2A
30,ADARB2,321.129816544504,7.16331920374947,0.568632365989881,12.597452470507,2.18074805650357e-36,4.23463528856631e-34,Upregulated,ADARB2
