,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,TET3,797.940922895776,0.482995746129039,0.103162707531583,4.68188318905038,2.8425144984647e-06,0.0574045802964945,NS,NA
2,CUTA,36.1801761211615,-3.43309280840579,0.779828609765201,-4.40236837353205,1.07075552059925e-05,0.108119538692509,NS,NA
3,MIR130AHG,28.5537859443994,1.83152470846589,0.447049870790815,4.09691362895595,4.18695030234325e-05,0.28185153785274,NS,NA
4,HADHB,707.453343673254,-0.405006018724155,0.101842971922507,-3.97676944298449,6.98578359141136e-05,0.282155799257105,NS,NA
5,LSS_1,65.1897021595417,2.53447851694152,0.636423559571881,3.98237695450252,6.82294504930868e-05,0.282155799257105,NS,NA
6,ERC2,56.5592329428372,-1.51753173457306,0.391622954790416,-3.87498157605493,0.000106632766959105,0.307635532677018,NS,NA
7,TMEM71,100.925739522793,-1.56493701661531,0.401786415516097,-3.89494755467315,9.82199790903203e-05,0.307635532677018,NS,NA
8,CHRNA7_3,16.8361956800288,-3.23619458960692,0.847756319694335,-3.81736415810353,0.000134885009327737,0.340500345421705,NS,NA
9,POU2F1,266.163075297434,0.769492370884235,0.203202379252389,3.78682756429973,0.000152582908622929,0.34237909329334,NS,NA
10,NDE1,4.08553042557105,-7.34855752213509,1.95522853954539,-3.75841359386238,0.000170994067392469,0.345322519099092,NS,NA
11,EBF3-AS1,31.1031615393574,2.74140185117461,0.751362513466427,3.64857415966508,0.000263699785943814,0.430714657264182,NS,NA
12,LGR4,529.978630934315,-0.495032978752425,0.136160116600683,-3.63566799964053,0.000277261230227005,0.430714657264182,NS,NA
13,SRRM2,8219.24642355693,0.421009442137,0.115151364852777,3.65613940117226,0.000256042155472884,0.430714657264182,NS,NA
14,SON,4563.85617367549,0.280553426586806,0.0777479738983556,3.60849823499696,0.000307974609423675,0.444253374093652,NS,NA
15,LPP,578.618975878948,0.629496388093255,0.176138343864694,3.57387479796461,0.000351737165674869,0.458823526772554,NS,NA
16,PALM2AKAP2,1288.28798240387,0.516838830649179,0.144965810845181,3.56524636833956,0.000363514554511556,0.458823526772554,NS,NA
17,OSR2,81.9990038695891,-2.49015468237381,0.701752200443297,-3.5484814736609,0.00038745925413006,0.460278802185681,NS,NA
18,C1orf74,47.4696145783665,-1.25162159212279,0.357132430432203,-3.50464277525307,0.000457220330884868,0.461941562720267,NS,NA
