,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,GSN,997.004540414557,3.01178774335053,0.131685012319169,22.8711505607849,9.00280742796483e-116,4.54529240019374e-112,Upregulated,GSN
2,EYA4,799.808935688509,4.35431091083596,0.208954149259091,20.8385950998124,1.93432451886251e-96,4.88296045730356e-93,Upregulated,EYA4
3,SFRP1,671.672643877303,7.03397638402723,0.37593957410776,18.7103908938595,4.07376154428664e-78,6.85580119890572e-75,Upregulated,SFRP1
4,DMRTA2,523.936408717557,7.73461770847558,0.453975010771991,17.037540668423,4.3254176206754e-65,5.45948805309623e-62,Upregulated,DMRTA2
5,ITPKB,1892.88011847662,1.9811653633137,0.120231313212688,16.4779483012802,5.28480946712377e-61,4.85121487220748e-58,Upregulated,ITPKB
6,MAGEA6,347.413501605683,-6.1814379476716,0.376263209676829,-16.4284941729509,1.19591923615603e-60,1.05006908583353e-57,Downregulated,MAGEA6
7,PCDH1,289.431154026496,4.61378929364134,0.293884190798764,15.6993449736145,1.52811741018676e-55,1.1021546820972e-52,Upregulated,PCDH1
8,ABLIM1,1572.92802580693,-2.20216589355851,0.140457324105926,-15.6785408491603,2.12070106138001e-55,1.47681234257136e-52,Downregulated,ABLIM1
9,ANK1,387.031114382409,3.98255587831716,0.263255750611798,15.1280869233125,1.05724404440275e-51,5.93084541019823e-49,Upregulated,ANK1
10,PDLIM3,306.651453292998,6.50353707253765,0.43303063332837,15.0186535824268,5.54220457725259e-51,2.945390037832e-48,Upregulated,PDLIM3
11,RAB29,194.429221899749,3.81537515859947,0.259506865237647,14.7024054839762,6.22099406882555e-49,3.06421890780322e-46,Upregulated,RAB29
12,ARHGAP29,510.936321547192,3.09864621084205,0.215426757936857,14.3837573406285,6.54429988048548e-47,2.87308991492183e-44,Upregulated,ARHGAP29
13,NT5E,285.765728648728,5.92656635434862,0.414803757071284,14.2876390421173,2.61319438935263e-46,1.07700940189747e-43,Upregulated,NT5E
14,SLIT2,479.807136231711,-3.46521594728271,0.242983345449703,-14.2611253494326,3.82240418423409e-46,1.54386905001215e-43,Downregulated,SLIT2
15,CCND2,2303.22744504617,1.32543522413077,0.0946656637539667,14.0012246422899,1.53207729365904e-44,5.72968536026747e-42,Upregulated,CCND2
16,STOM,467.781230913486,2.62773035085286,0.188290136950097,13.9557514451715,2.90226560800367e-44,1.04662953488633e-41,Upregulated,STOM
17,RIMS4,1156.44796431947,2.56606969441985,0.184392037534621,13.9163801687372,5.03779830095635e-44,1.7848830997862e-41,Upregulated,RIMS4
