,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,Label
1,LOC151760,875.61883346323,-5.40046872008046,0.206357508526648,-26.1704493266988,5.76764026786075e-151,1.16477495209448e-146,Downregulated,NA
2,LOC105371692,924.275766933459,3.667843923332,0.158813791128848,23.0952481976595,5.16813548441886e-118,5.21852480539195e-114,Upregulated,NA
3,WWTR1,594.428245999385,4.94220958727912,0.214728998167729,23.0160324383326,3.22109057862704e-117,2.16833080784577e-113,Upregulated,NA
4,GSN,997.004540414557,3.01178774335053,0.131685012319169,22.8711505607849,9.00280742796483e-116,4.54529240019374e-112,Upregulated,GSN
5,KLHDC8A,2536.58406993876,3.34503094397059,0.151034321753056,22.1474887637778,1.10298142792918e-108,4.45494198740595e-105,Upregulated,NA
6,ARHGEF6,1532.86918573465,3.70593406693249,0.171037159462666,21.6674205685778,4.16440201174334e-104,1.40166831045261e-100,Upregulated,NA
7,PRSS12,586.454283777832,-3.63267553895181,0.171819909556346,-21.1423434474602,3.24555716071034e-99,9.36343240864934e-96,Downregulated,NA
8,EYA4,799.808935688509,4.35431091083596,0.208954149259091,20.8385950998124,1.93432451886251e-96,4.88296045730356e-93,Upregulated,EYA4
9,LRRN2,973.817999575366,3.72275082564474,0.188001430417883,19.8017154304089,2.87726995912558e-87,6.45627409161567e-84,Upregulated,NA
10,DAB1,437.913451091098,-4.396047235671,0.232066131461874,-18.9430797504944,5.03631461777944e-80,1.01708373706056e-76,Downregulated,NA
11,TARID,493.207934154539,4.25667553104518,0.226225330233968,18.8160871580685,5.57529925235766e-79,1.02357425819421e-75,Upregulated,NA
12,SFRP1,671.672643877303,7.03397638402723,0.37593957410776,18.7103908938595,4.07376154428664e-78,6.85580119890572e-75,Upregulated,SFRP1
13,COL23A1,407.974023105228,6.68626966801865,0.365935849506422,18.2716989249267,1.39053444229786e-74,2.16014177401579e-71,Upregulated,NA
14,TENM4,407.405710938626,3.80737189997609,0.219882635839379,17.3154732543652,3.59554093348038e-67,5.18656779654545e-64,Upregulated,NA
15,KITLG,459.457849043419,-4.21414773257087,0.246636919079002,-17.0864432961109,1.87252097875963e-65,2.52103741107004e-62,Downregulated,NA
16,DMRTA2,523.936408717557,7.73461770847558,0.453975010771991,17.037540668423,4.3254176206754e-65,5.45948805309623e-62,Upregulated,DMRTA2
17,KAZN,334.423949758702,3.70192639769075,0.217587578639407,17.0135005906091,6.52216228933731e-65,7.74794514312747e-62,Upregulated,NA
18,SORL1,384.367521700975,6.47086546381769,0.384476475878928,16.8303286931275,1.46287738973411e-63,1.64126716031557e-60,Upregulated,NA
19,EPB41L3,553.614247632543,-2.7023260660427,0.160643891081696,-16.821841452212,1.68828506044878e-63,1.79446930504017e-60,Downregulated,NA
20,S100A4,538.812949152839,-3.78862468394405,0.225353626520156,-16.8119090979226,1.99637080229688e-63,2.01583541761927e-60,Downregulated,NA
21,ISLR2,508.375491154336,7.34707269072078,0.439101763056531,16.7320500823744,7.65571867903659e-63,7.36224946300685e-60,Upregulated,NA
22,ITPKB,1892.88011847662,1.9811653633137,0.120231313212688,16.4779483012802,5.28480946712377e-61,4.85121487220748e-58,Upregulated,ITPKB
23,MAGEA6,347.413501605683,-6.1814379476716,0.376263209676829,-16.4284941729509,1.19591923615603e-60,1.05006908583353e-57,Downregulated,MAGEA6
24,SFRP2,1474.74560965154,-4.27459665864674,0.262302177308753,-16.2964589257494,1.0457809409818e-59,8.79981087630308e-57,Downregulated,NA
25,CDH6,1083.86744259346,-2.77875680492859,0.171688585614178,-16.1848663088941,6.44898033172393e-59,5.20948631196659e-56,Downregulated,NA
26,LOC101928034,263.686128990708,-4.14002229823897,0.257366744529892,-16.086080996211,3.1942772777837e-58,2.4810934471093e-55,Downregulated,NA
27,STK32B,334.029667275133,6.09589629243562,0.386159825272909,15.785941191908,3.88806276225538e-56,2.9081269438425e-53,Upregulated,NA
28,PCDH1,289.431154026496,4.61378929364134,0.293884190798764,15.6993449736145,1.52811741018676e-55,1.1021546820972e-52,Upregulated,PCDH1
29,ABLIM1,1572.92802580693,-2.20216589355851,0.140457324105926,-15.6785408491603,2.12070106138001e-55,1.47681234257136e-52,Downregulated,ABLIM1
30,GASK1B,312.140483249856,-3.75471542938612,0.240745499033734,-15.596201982825,7.7255535426512e-55,5.20058512646136e-52,Downregulated,NA
31,ZFP36L2,602.836366634906,2.48884822147727,0.161788011167436,15.3833909170287,2.11570940447148e-53,1.37828230397747e-50,Upregulated,NA
32,TRIB2,2763.53782038317,1.53240184093273,0.0997115229383094,15.368352581284,2.66868979205548e-53,1.68419344845501e-50,Upregulated,NA
33,SYT1,463.348374633951,-2.95235909958701,0.192374406600464,-15.346943243436,3.71272898907831e-53,2.27207763437686e-50,Downregulated,NA
34,PRKCQ,563.869354906477,-3.0274902353078,0.19887791544449,-15.2228578449316,2.49394357181441e-52,1.48132913037624e-49,Downregulated,NA
35,ADCYAP1R1,468.622505173065,3.30624801518359,0.217399675679435,15.2081552322957,3.12217863517545e-52,1.80149707249624e-49,Upregulated,NA
36,ANK1,387.031114382409,3.98255587831716,0.263255750611798,15.1280869233125,1.05724404440275e-51,5.93084541019823e-49,Upregulated,ANK1
37,AMPH,299.492259407277,-4.58463401483673,0.304322442142877,-15.0650539689225,2.74941032308654e-51,1.50065787769548e-48,Downregulated,NA
38,PDLIM3,306.651453292998,6.50353707253765,0.43303063332837,15.0186535824268,5.54220457725259e-51,2.945390037832e-48,Upregulated,PDLIM3
39,SAT1,410.834207617917,2.28290207223064,0.15371197713527,14.851816460741,6.77088445228969e-50,3.50610285933308e-47,Upregulated,NA
40,C1orf226,576.214976835202,2.05986818473131,0.13931748251705,14.7854249697573,1.81905534881396e-49,9.1839556923245e-47,Upregulated,NA
41,RAB29,194.429221899749,3.81537515859947,0.259506865237647,14.7024054839762,6.22099406882555e-49,3.06421890780322e-46,Upregulated,RAB29
42,NDUFS2,2742.51159043455,1.0596558251028,0.0725238908324958,14.611127628966,2.38536909534431e-48,1.14696497334472e-45,Upregulated,NA
43,KCNN4,258.41824715618,3.08305515814019,0.212150831566742,14.532373667224,7.55562101795327e-48,3.54850619668759e-45,Upregulated,NA
44,REEP1,256.367762379528,4.48245830084365,0.310526767083096,14.4350142274343,3.11581403019638e-47,1.40902220271032e-44,Upregulated,NA
45,GFAP,1527.2604572315,5.21386265624386,0.361208702306949,14.4344879371517,3.13968799811659e-47,1.40902220271032e-44,Upregulated,NA
46,ARHGAP29,510.936321547192,3.09864621084205,0.215426757936857,14.3837573406285,6.54429988048548e-47,2.87308991492183e-44,Upregulated,ARHGAP29
47,CD99,4090.17375322908,-1.87380423037594,0.130398108890874,-14.3698727405937,7.9978070621804e-47,3.43650454512198e-44,Downregulated,NA
48,ITGB5,2271.5659345613,2.00761707744898,0.140339657761614,14.3054152295226,2.02425983196549e-46,8.51665152219649e-44,Upregulated,NA
49,NT5E,285.765728648728,5.92656635434862,0.414803757071284,14.2876390421173,2.61319438935263e-46,1.07700940189747e-43,Upregulated,NT5E
50,SLIT2,479.807136231711,-3.46521594728271,0.242983345449703,-14.2611253494326,3.82240418423409e-46,1.54386905001215e-43,Downregulated,SLIT2
51,KIF26A,263.403687255879,-4.79343289079596,0.336265135111216,-14.2549208653778,4.17775594525231e-46,1.65430943753667e-43,Downregulated,NA
52,CERK,1841.01962362089,-1.31027034977526,0.0919309791861887,-14.2527618151609,4.3089705420303e-46,1.67345500185196e-43,Downregulated,NA
53,LOC107985485,243.153942698489,-4.16972567607829,0.297510891378085,-14.0153715272874,1.25539578265163e-44,4.7835316661603e-42,Downregulated,NA
54,CCND2,2303.22744504617,1.32543522413077,0.0946656637539667,14.0012246422899,1.53207729365904e-44,5.72968536026747e-42,Upregulated,CCND2
55,ZNF704,703.200974021287,-1.82554674093775,0.13065219338153,-13.9725686472541,2.29208368419439e-44,8.41611454587377e-42,Downregulated,NA
56,STOM,467.781230913486,2.62773035085286,0.188290136950097,13.9557514451715,2.90226560800367e-44,1.04662953488633e-41,Upregulated,STOM
57,RIMS4,1156.44796431947,2.56606969441985,0.184392037534621,13.9163801687372,5.03779830095635e-44,1.7848830997862e-41,Upregulated,RIMS4
58,CEMIP2,936.87177605087,-2.39453592921971,0.173594524619263,-13.793844791312,2.77563559426854e-43,9.66447600452639e-41,Downregulated,NA
59,DSG2,203.425289981218,-5.7977247899369,0.422120804613998,-13.7347525318932,6.28705188737461e-43,2.15198326890729e-40,Downregulated,NA
60,LAMA2,223.590301344984,-3.61313788853979,0.263169971283303,-13.7292939271184,6.77909322745593e-43,2.24432438899135e-40,Downregulated,NA
61,CDH8,376.694766636911,-2.70849623408692,0.197270525369985,-13.7298576612349,6.72655338311562e-43,2.24432438899135e-40,Downregulated,CDH8
62,PLK2,471.281894439632,-3.08522537473948,0.226149286921147,-13.6424280471653,2.23977122340723e-42,7.29551288011436e-40,Downregulated,NA
63,SLC44A5,223.653765334989,-3.80395986677851,0.279532915475286,-13.6082717139435,3.57600493233231e-42,1.14630824775319e-39,Downregulated,NA
64,CDH11,225.328322120498,-3.12797767269802,0.230814585985218,-13.551906433237,7.7198776744184e-42,2.43598327554499e-39,Downregulated,CDH11
65,CAVIN1,930.227101754107,4.4937378473538,0.332472877710603,13.5161035639885,1.25657141494089e-41,3.90407072688173e-39,Upregulated,CAVIN1
66,SEMA3C,898.977459482895,-9.34117847618383,0.691887690536782,-13.5010039981153,1.54259499582694e-41,4.72010696071593e-39,Downregulated,NA
67,GPD2,150.270730653802,-4.55583578297493,0.337631878000346,-13.4935001101118,1.70795703954564e-41,5.14808841994392e-39,Downregulated,NA
68,PTPRA,1499.28606479639,1.31973177448265,0.0978481689319119,13.4875469708686,1.85159137007029e-41,5.49895407626022e-39,Upregulated,NA
69,ARK2C,203.079152399574,-3.87055061564646,0.289148779014761,-13.3860174987938,7.29908881616873e-41,2.13630577742794e-38,Downregulated,NA
70,VCAN,872.199371334306,-2.44174262071911,0.182585536938873,-13.3731436873697,8.67935706509032e-41,2.50399451327856e-38,Downregulated,VCAN
71,CD44,755.856763980773,4.32361279425069,0.325493893968925,13.2832377945114,2.89596076265494e-40,8.2371729016643e-38,Upregulated,NA
72,PLPPR5,228.963048935776,-5.64077354747375,0.425480645027619,-13.2574151454236,4.08742957497594e-40,1.14646722592554e-37,Downregulated,NA
73,CGNL1,1178.00013539745,-2.4272451626253,0.183195150589828,-13.249505539914,4.541857801592e-40,1.25647696305686e-37,Downregulated,NA
74,ATP1A2,945.058292385226,6.80807417684698,0.51603054787508,13.1931611507912,9.60706052032285e-40,2.62181874605297e-37,Upregulated,NA
75,RUNX1,245.64295023153,3.16543771892472,0.240502819540657,13.1617488932998,1.45674414523857e-39,3.92252640174573e-37,Upregulated,RUNX1
76,OTULINL,322.327415955249,-6.01630223552279,0.458062180896372,-13.134247895667,2.09563184131398e-39,5.56859013622838e-37,Downregulated,OTULINL
77,PTPRM,196.38341403901,4.32818266800249,0.329813305480381,13.1231293464598,2.42702058767669e-39,6.36541308677022e-37,Upregulated,NA
78,ADAMTS4,1626.24948718539,2.31881785386836,0.176851533456789,13.1116638263978,2.82335636204365e-39,7.30995919634251e-37,Upregulated,NA
79,SHC1,2710.87343240678,1.28347384165768,0.0980861365167467,13.0851707207221,4.00259871974747e-39,1.02319596386456e-36,Upregulated,NA
80,EFHD1,280.366552483032,2.74941854434559,0.210432432156077,13.0655646383746,5.17988566476246e-39,1.30759738749847e-36,Upregulated,EFHD1
81,LINC01694,235.093558546334,-4.07168830864646,0.311965089076176,-13.0517434521407,6.21095955651263e-39,1.54852257091077e-36,Downregulated,LINC01694
82,MIR9-1HG,3056.11781072967,3.00019483067777,0.230102109943292,13.0385368105367,7.38609153766988e-39,1.81905022686882e-36,Upregulated,NA
83,TM7SF3,858.372331345191,1.65241523236123,0.126905122241254,13.0208710505782,9.31027489413858e-39,2.26531327092926e-36,Upregulated,NA
84,KCNJ10,257.319873887458,3.22645342209285,0.248309044012985,12.9937007929688,1.3284458043996e-38,3.19380512141071e-36,Upregulated,NA
85,SEMA5A,328.735142086906,-7.13788835332079,0.550496842950899,-12.9662657374357,1.90066822083341e-38,4.5157640846742e-36,Downregulated,NA
86,PGBD5,1172.86254809029,2.05673190835667,0.158738278593896,12.956748218358,2.15177419401731e-38,5.05291626141623e-36,Upregulated,NA
87,BOC,3299.86962897205,1.95324604193814,0.150847355089145,12.9484937988064,2.39609175440319e-38,5.56196241151407e-36,Upregulated,NA
88,S1PR3,195.335278294379,4.92634374588684,0.381220349850266,12.9225623653663,3.35770314714379e-38,7.7055471655192e-36,Upregulated,S1PR3
89,LOC105369625,615.644039505496,5.14538089656923,0.399497813822848,12.8796221619648,5.86218413302168e-38,1.33018886029632e-35,Upregulated,NA
90,HSPA12A,351.118855249779,-2.42850088056773,0.188927241400379,-12.8541594243744,8.15070345806275e-38,1.82892729261753e-35,Downregulated,HSPA12A
91,TUBB4A,581.73547813044,-2.56946727787331,0.200134416905113,-12.8387076925981,9.95218905588567e-38,2.20862041740232e-35,Downregulated,NA
92,LOC124901231,147.673310473259,4.76818901677868,0.373218647590296,12.7758595331844,2.23663114945454e-37,4.90964848513417e-35,Upregulated,NA
93,SIPA1L2,1446.35404723861,1.1780127119814,0.0922162902991493,12.774453495797,2.27741694403928e-37,4.94542313815841e-35,Upregulated,NA
94,CHST2,258.386662350014,3.02485618820413,0.237009782036133,12.762579511351,2.65268919815061e-37,5.69904876134592e-35,Upregulated,CHST2
95,TNFRSF19,322.501485221999,2.16980278864167,0.170194828686422,12.7489348847341,3.16033610263837e-37,6.71820922029282e-35,Upregulated,TNFRSF19
96,ME1,204.438116875599,-3.19754178476594,0.250903316932078,-12.7441192243447,3.36165905031729e-37,7.07174005428726e-35,Downregulated,NA
97,CADM3,388.568702440882,2.69703408850404,0.211644194933617,12.7432462267627,3.39949709296443e-37,7.07761276210481e-35,Upregulated,NA
98,CD9,605.997788604729,5.36045720320996,0.420948626082869,12.7342313789966,3.81585404668966e-37,7.86338494621404e-35,Upregulated,NA
99,RAB3GAP2,2222.57834073579,1.2294068104897,0.0976635364846257,12.5881864894707,2.4524305742873e-36,5.00271065128607e-34,Upregulated,NA
100,PAX3,622.403787365384,1.49545731034012,0.119056566784596,12.5608973173717,3.46381995916808e-36,6.99518440753994e-34,Upregulated,NA
101,NAB1,362.673664940507,-1.94693610753751,0.157656447792443,-12.3492323644174,4.91784264399137e-35,9.83325071241641e-33,Downregulated,NAB1
102,LOC105371716,276.323284362958,5.6585278462812,0.458953660934289,12.3291920904654,6.30759579288305e-35,1.2488421278164e-32,Upregulated,NA
