,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,382.938793130168,1.4853066410141,0.157634323540316,9.42248241154297,4.40547045111607e-21,5.53811690409801e-17,Upregulated,PcB target,CDKN2A
2,RAB29,194.875300146779,1.87443885199207,0.274442154162884,6.82999613419289,8.49169209506615e-12,5.33745306635383e-08,Upregulated,PcB target,RAB29
3,MAML3,142.198757537565,2.26427503371951,0.341573213553253,6.62895960185268,3.38061077929426e-11,1.41658860355027e-07,Upregulated,PcB target,MAML3
4,CLIP3,797.491667807203,0.865031057610921,0.139034236653868,6.2217125682824,4.91757322704807e-10,1.54547032593053e-06,Upregulated,Non-PcB,NA
5,PDLIM3,306.845875619076,2.82566794091032,0.456950090542304,6.18375616811202,6.25940268310997e-10,1.57373902258751e-06,Upregulated,PcB target,PDLIM3
6,RTN1,418.172954342653,1.24656648484096,0.203553375587053,6.1240275738284,9.1239096431785e-10,1.91161113540662e-06,Upregulated,PcB target,RTN1
7,RGS12,1313.39388224471,0.515829335147288,0.0885818904767443,5.82319176494332,5.77342445771285e-09,8.66076790388483e-06,NS,PcB target,NA
8,DEK,2928.37149948366,-0.846537859167303,0.145672063786824,-5.81125740352058,6.2005338584809e-09,8.66076790388483e-06,Downregulated,PcB target,DEK
9,EYA4,800.994906584477,1.29585466182928,0.221740324472681,5.84401896637852,5.09562225514118e-09,8.66076790388483e-06,Upregulated,PcB target,EYA4
10,ITGA5,301.47651666796,1.49954330599986,0.260160299966285,5.76392057586878,8.21821011657673e-09,1.03311119375486e-05,Upregulated,PcB target,ITGA5
11,PCDH1,290.054928749601,1.80646081080956,0.31662690497958,5.70532946631954,1.16118262902386e-08,1.12286360226608e-05,Upregulated,PcB target,PCDH1
12,ATAD2,641.935651889108,-0.857107113149643,0.150086537321107,-5.71075279933923,1.12477523513715e-08,1.12286360226608e-05,Downregulated,Non-PcB,NA
13,FADS1,1044.47586529478,-0.587833324690458,0.102636155632362,-5.72735135166259,1.02010754110355e-08,1.12286360226608e-05,Downregulated,Non-PcB,NA
14,DSE,2179.44081419802,0.414912094309621,0.0741972798550556,5.5920122020666,2.24453041934511e-08,2.01542799297052e-05,NS,Non-PcB,NA
15,CSE1L,2449.74946443261,-0.675815409354326,0.121557818848016,-5.55962105736117,2.70361015482759e-08,2.26580555042251e-05,Downregulated,Non-PcB,NA
16,GRIA1,1798.37038848146,0.987446663522184,0.179553297825864,5.4994626970307,3.80950285801241e-08,2.81701531929847e-05,Upregulated,Non-PcB,NA
17,TRAM2,899.29193419874,0.628612905574606,0.114304194873294,5.49947363061719,3.80926666395839e-08,2.81701531929847e-05,Upregulated,Non-PcB,NA
18,MXD4,882.297356998161,0.790897811281141,0.144495126253892,5.47352586751928,4.41168450590834e-08,3.08107144020965e-05,Upregulated,Non-PcB,NA
19,LBR,2949.60647731682,-0.582013688545972,0.107275994487583,-5.42538609244343,5.78293996233475e-08,3.82617569823737e-05,NS,PcB target,NA
20,GMNN,730.331525598939,-0.816756763067219,0.151404669228987,-5.39452823500407,6.87038233635858e-08,4.1127417309697e-05,Downregulated,Non-PcB,NA
21,HLA-B_1,1792.61598431093,1.27635529918171,0.236595882389325,5.3946640418764,6.86518818005628e-08,4.1127417309697e-05,Upregulated,Non-PcB,NA
22,CDKN1A,166.029303687346,1.69507432928417,0.316474449502532,5.35611747472402,8.502923682603e-08,4.85864789154556e-05,Upregulated,Non-PcB,NA
23,SEZ6L2,145.026903643611,1.53413166686435,0.287313605053644,5.3395719516238,9.31662893107523e-08,5.09214531706725e-05,Upregulated,Non-PcB,NA
24,GNG7,434.630984083606,0.926715566023258,0.174492692016748,5.31091334148429,1.09077191299374e-07,5.71337238260182e-05,Upregulated,Non-PcB,NA
25,TOM1L2,578.484104436293,0.880482164469329,0.166700740715341,5.28181315026574,1.27911617963742e-07,6.18452672854691e-05,Upregulated,Non-PcB,NA
26,COL20A1,193.055348660287,1.58143875307635,0.299354777629532,5.28282449874066,1.2720724068984e-07,6.18452672854691e-05,Upregulated,Non-PcB,NA
27,SLC6A1,226.059314176843,1.38858712788111,0.266692626662888,5.20669485788352,1.92233816759479e-07,8.95026411290151e-05,Upregulated,Non-PcB,NA
