,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,-4.59612919399341,0.161703881812449,-28.4231222063313,1.04748823733788e-177,1.31679746315745e-173,Downregulated,Non-PcB,NA
2,LOC105371692,926.056816580386,4.10344073326565,0.158205774292162,25.9373638644044,2.52493364785109e-148,1.5870470443568e-144,Upregulated,Non-PcB,NA
3,GSN,998.927562272758,3.28993697584427,0.13082427226275,25.1477567498842,1.49534664467914e-139,6.26600089008716e-136,Upregulated,PcB target,GSN
4,WWTR1,594.696609855573,5.09381647975764,0.214919326699706,23.7010628963812,3.51583393171583e-124,1.10493870888999e-120,Upregulated,Non-PcB,NA
5,ARHGEF6,1534.88136495305,3.84076641939525,0.170430177853193,22.5357179566148,1.85407549312476e-112,4.66151660481427e-109,Upregulated,Non-PcB,NA
6,LRRN2,975.639956130488,4.1767807191146,0.188552414695467,22.1518283171316,1.00170359783236e-108,2.09873598805843e-105,Upregulated,Non-PcB,NA
7,KLHDC8A,2541.52438895207,3.35506882957101,0.151797888797168,22.1022100910379,3.00969561773116e-108,5.40498337292835e-105,Upregulated,Non-PcB,NA
8,EYA4,800.994906584477,4.59138098270034,0.209373099472743,21.9291828523466,1.3686312302878e-106,2.1506328994935e-103,Upregulated,PcB target,EYA4
9,SLFN11,600.220786864598,-6.55841530786628,0.317106523220965,-20.6820573769663,5.0251382172728e-95,7.01900139214848e-92,Downregulated,Non-PcB,NA
10,PRSS12,591.356820159928,-3.14543782511142,0.15322180804502,-20.5286562353266,1.19432135906248e-93,1.50138138047745e-90,Downregulated,Non-PcB,NA
11,SFRP1,671.963696465279,7.4746486128218,0.37486526062541,19.9395606846881,1.84679442542986e-88,2.1105502474617e-85,Upregulated,PcB target,SFRP1
12,TARID,493.886787495417,4.45004831925609,0.226419665981936,19.6539832348799,5.34491617815493e-86,5.16853394427581e-83,Upregulated,Non-PcB,NA
13,SEMA3C,905.944991242487,-6.32853940949641,0.321976307632021,-19.6552953105145,5.20849566140194e-86,5.16853394427581e-83,Downregulated,Non-PcB,NA
14,DAB1,442.016710500266,-4.17683617338436,0.213061585080751,-19.6038913903759,1.43239706016396e-85,1.28619024595151e-82,Downregulated,Non-PcB,NA
15,TENM4,408.139782015451,4.06700393654349,0.220307118692589,18.4606106270152,4.28470174216481e-76,3.59086570671692e-73,Upregulated,Non-PcB,NA
16,COL23A1,408.440862074685,6.63183620493004,0.36613808606289,18.1129373243922,2.51939692817315e-73,1.97945867400404e-70,Upregulated,Non-PcB,NA
17,S100A4,542.967029443274,-4.10429490230743,0.227709178004734,-18.0242840375196,1.25627761497945e-72,9.28980346935687e-70,Downregulated,Non-PcB,NA
18,ITPKB,1897.00053047159,2.10048990072297,0.11981663858204,17.5308698823556,8.32855160547265e-69,5.81656790179982e-66,Upregulated,PcB target,ITPKB
19,KAZN,334.961892443747,3.8127898707153,0.218006505839643,17.4893398526365,1.727467041825e-68,1.14294674646221e-65,Upregulated,Non-PcB,NA
20,PCDH1,290.054928749601,5.15090110927636,0.294617388283207,17.4833574463872,1.91862072605896e-68,1.20594905736436e-65,Upregulated,PcB target,PCDH1
21,ISLR2,508.794478946576,7.56811930761243,0.438174960085182,17.2719119005367,7.65633535787996e-67,4.58322818018614e-64,Upregulated,Non-PcB,NA
22,SHC1,2719.57178847873,1.67154936433618,0.0968243778326309,17.2637242991181,8.8232165693492e-67,5.04166615878585e-64,Upregulated,Non-PcB,NA
23,NDUFS2,2751.0075302903,1.23272389740821,0.0718930257183427,17.1466409306195,6.65921802870009e-66,3.63969694951256e-63,Upregulated,Non-PcB,NA
24,SORL1,384.995737529054,6.56121745205727,0.38506529459017,17.0392334604978,4.20202927839254e-65,2.20098791911136e-62,Upregulated,Non-PcB,NA
25,KITLG,462.924994792144,-3.78506245650622,0.223286036965245,-16.9516307779486,1.87188759142e-64,9.41259956469633e-62,Downregulated,Non-PcB,NA
26,LOC101928034,265.75030942444,-4.80803973728986,0.283848633864571,-16.938745386331,2.33041863437772e-64,1.12675740972163e-61,Downregulated,Non-PcB,NA
27,MAGEA6,350.268419182366,-6.52125607448348,0.386625721816555,-16.8671035228682,7.85550218497042e-64,3.65746362841715e-61,Downregulated,PcB target,MAGEA6
28,C1orf226,577.607915336474,2.33365574090184,0.138644967404282,16.831882069668,1.42499544213274e-63,6.39772060823239e-61,Upregulated,Non-PcB,NA
29,TRIB2,2772.45936354416,1.62644846960534,0.0978096905259278,16.6287047925399,4.31828416917098e-62,1.87190173416029e-59,Upregulated,Non-PcB,NA
30,RTN1,418.172954342653,3.24714102530281,0.196334203729578,16.5388453138572,1.9268031912629e-61,8.07394763912196e-59,Upregulated,PcB target,RTN1
31,CCND2,2312.90840045911,1.58485295087923,0.0964663558502885,16.4290745401314,1.18452911997014e-60,4.8034566345628e-58,Upregulated,PcB target,CCND2
32,DMRTA2,524.163455548573,7.45244495272649,0.454115874854421,16.4108884216293,1.59849178504104e-60,6.27957507179715e-58,Upregulated,PcB target,DMRTA2
33,ITGB5,2277.29725665492,2.26604544642794,0.139276992240911,16.2700630590033,1.60991880449524e-59,6.13281493676052e-57,Upregulated,Non-PcB,NA
34,STK32B,334.305804935746,6.24323870323102,0.385003703841799,16.2160484196184,3.88392873771393e-59,1.43602553417064e-56,Upregulated,Non-PcB,NA
35,PGBD5,1176.39404768113,2.53382208827475,0.156477343590158,16.192900710989,5.65964662401714e-59,2.0327833631577e-56,Upregulated,Non-PcB,NA
36,CADM3,389.653391220031,3.38825042655653,0.210607486925038,16.0879865954742,3.09747685086247e-58,1.08162170811645e-55,Upregulated,Non-PcB,NA
37,ANK1,387.440615080076,4.24009916324745,0.263703505797809,16.0790397928896,3.57882999541026e-58,1.21593167222439e-55,Upregulated,PcB target,ANK1
38,ADCYAP1R1,469.755685387403,3.50482792118221,0.218369341397136,16.0499999622574,5.71640905882098e-58,1.89107837574838e-55,Upregulated,Non-PcB,NA
39,IGSF9B,305.638615009458,3.69149316905445,0.232383439212374,15.8853538856563,8.00449327141023e-57,2.5801149978179e-54,Upregulated,PcB target,IGSF9B
40,RIMS4,1159.3341581593,2.86006778464029,0.182242816335498,15.6937202911476,1.66976020531184e-55,5.24763888524379e-53,Upregulated,PcB target,RIMS4
41,CHST2,258.973351906038,3.68698339499884,0.234991806792065,15.6898380642747,1.7750782536713e-55,5.44256310412241e-53,Upregulated,PcB target,CHST2
42,RAB29,194.875300146779,4.00846294160783,0.258755839969933,15.4912945813072,3.97210854459545e-54,1.18888991700261e-51,Upregulated,PcB target,RAB29
43,ADARB2,324.155308292044,-6.0361765319046,0.399648216855715,-15.1037244189278,1.53039334039057e-51,4.47408713536044e-49,Downregulated,PcB target,ADARB2
44,GABRB3,511.292445192848,1.72469901937732,0.114305102487389,15.088556694725,1.92609569071217e-51,5.50294293816878e-49,Upregulated,Non-PcB,NA
