,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,382.938793130168,2.15414721723734,0.168972460592483,12.7485106725916,3.17757848498764e-37,3.99453391347796e-33,Upregulated,PcB target,CDKN2A
2,RPH3A,128.926473390688,3.3475101527078,0.298700079055682,11.2069275752812,3.77055381458937e-29,2.36998160016015e-25,Upregulated,Non-PcB,NA
3,FN1,519.715216240904,2.78563462083004,0.294022241946864,9.4742309370373,2.68732929983981e-21,1.12608055427621e-17,Upregulated,PcB target,FN1
4,PAK3,707.539625807272,1.6277079276314,0.186335282801166,8.735371547257,2.42856542861475e-18,7.63237400077901e-15,Upregulated,Non-PcB,NA
5,TYMS,1047.20349163421,-1.07360803756878,0.132372195642729,-8.11052526820992,5.04014052435294e-16,1.26719213063282e-12,Downregulated,Non-PcB,NA
6,PCLAF,876.64676792657,-1.32884917133595,0.164703100395846,-8.06814910066781,7.13718554603421e-16,1.4953593249866e-12,Downregulated,Non-PcB,NA
7,MYHAS,49.9424802132619,4.79238913260836,0.602869451776447,7.94929834060567,1.87570841663405e-15,3.36850435792952e-12,Upregulated,Non-PcB,NA
8,ATAD2,641.935651889108,-1.22518590628967,0.154747363809338,-7.91732974397678,2.42665574774569e-15,3.81318617561389e-12,Downregulated,Non-PcB,NA
9,ATP9A,819.976257734184,1.19468632978581,0.154481653833678,7.73351592333459,1.04616278106538e-14,1.46125692453032e-11,Upregulated,Non-PcB,NA
10,ACTC1,47.0806072073745,4.09133166584927,0.531694480808159,7.69489211103071,1.41613614966649e-14,1.78022475374575e-11,Upregulated,PcB target,ACTC1
11,TMEM132B,87.5325441310767,2.94828028742452,0.385307645403561,7.65175651870745,1.9825235424688e-14,2.26566395021593e-11,Upregulated,Non-PcB,NA
12,ASCL1,271.597837178164,-1.30750106370827,0.175116332097743,-7.46647127681083,8.23739439435672e-14,8.62935707762152e-11,Downregulated,Non-PcB,NA
13,GNG12-AS1,2329.55937921613,0.930966878553499,0.125411484232707,7.42329846623968,1.14238943042433e-13,1.10469057922033e-10,Upregulated,Non-PcB,NA
14,MYH3,59.0232410345409,2.45217716585641,0.332210445099085,7.38139694892804,1.56637230151327e-13,1.4064904430231e-10,Upregulated,Non-PcB,NA
15,MASTL,383.478408439966,-1.27426959124567,0.174077489959857,-7.32012847576977,2.47733661704885e-13,2.0761732408614e-10,Downregulated,Non-PcB,NA
16,COL1A1,109.269403430309,2.8693299232912,0.392487771886794,7.31062246728748,2.65907669086578e-13,2.0892033175546e-10,Upregulated,Non-PcB,NA
17,CCND1,1153.71874212208,1.33174133255815,0.184239508212842,7.22831571510526,4.89020829857311e-13,3.61616520713897e-10,Upregulated,Non-PcB,NA
18,IGF2BP1,173.310145150788,1.61257080546069,0.223975778644294,7.19975532721191,6.03207018594413e-13,4.21273079486132e-10,Upregulated,PcB target,IGF2BP1
19,CKS2,613.618492871541,-1.06440324832255,0.148666790571345,-7.15965713816727,8.08790876842527e-13,5.35121584883548e-10,Downregulated,Non-PcB,NA
20,PRC1,1827.45884536268,-1.17480142470108,0.164995536883633,-7.12020123022866,1.07769602404419e-12,6.77385835912978e-10,Downregulated,Non-PcB,NA
21,EMP2,593.710015569397,-0.960361658755628,0.136555055761297,-7.0327799538552,2.02458532771655e-12,1.21195534070118e-09,Downregulated,Non-PcB,NA
22,WDR76,329.955034200062,-1.40402312455442,0.200867362636499,-6.98980215663616,2.75274149467535e-12,1.57294151498017e-09,Downregulated,Non-PcB,NA
23,CCN2-AS1,145.860723708254,2.23448600046628,0.32040589173127,6.97392294627459,3.08222942612953e-12,1.68463939634236e-09,Upregulated,Non-PcB,NA
24,NEFM,247.803437357955,1.66397124971614,0.239259988717666,6.95465739438649,3.53419865026667e-12,1.85118380135426e-09,Upregulated,Non-PcB,NA
25,RPS6KA2,1053.99229118526,0.958621735439023,0.137967220212204,6.94818474971513,3.70016245030623e-12,1.86058968651199e-09,Upregulated,PcB target,RPS6KA2
26,BTG3,435.601988049175,-1.1786777289872,0.170318666911966,-6.92042598945675,4.50287521800449e-12,2.17714016790517e-09,Downregulated,Non-PcB,NA
27,CCN2,133.439675469941,2.48280931372442,0.36064273869638,6.884401229591,5.80311007899133e-12,2.60538917153572e-09,Upregulated,Non-PcB,NA
28,PCNA,1712.4283396126,-1.04334883048532,0.151499119537118,-6.88683098405531,5.70489332581237e-12,2.60538917153572e-09,Downregulated,Non-PcB,NA
29,DTL,959.423281723258,-0.9913919219403,0.144126486623898,-6.87862408335371,6.04333984781829e-12,2.61968362851461e-09,Downregulated,Non-PcB,NA
30,MXD4,882.297356998161,1.01739093272142,0.148147071474547,6.86743870530184,6.53648221698921e-12,2.73900393165905e-09,Upregulated,Non-PcB,NA
31,BIRC5,1144.51096240023,-1.32970122454554,0.194797697993697,-6.82606231100617,8.72770333279908e-12,3.53922447085862e-09,Downregulated,Non-PcB,NA
32,KNTC1,708.320376476153,-1.04991219484055,0.155270569837966,-6.76182354412813,1.36265607205353e-11,5.35310921305778e-09,Downregulated,Non-PcB,NA
33,GMNN,730.331525598939,-1.03298611033324,0.153254286254477,-6.74034074725956,1.58015612716815e-11,6.01943717413054e-09,Downregulated,Non-PcB,NA
34,MCM4,1815.25660324165,-0.905785262044782,0.137862807538165,-6.57019306526188,5.02500646427109e-11,1.85792224301035e-08,Downregulated,Non-PcB,NA
35,HJURP,319.317562958739,-1.50425274323444,0.229247694147561,-6.56169192378522,5.32006433211429e-11,1.91081510625739e-08,Downregulated,Non-PcB,NA
36,ZWINT,711.099271187298,-1.03562345088615,0.158044945223225,-6.55271479529713,5.65003633144914e-11,1.97296129785131e-08,Downregulated,Non-PcB,NA
37,PNP,869.449293976115,-0.940345440142094,0.144800306867298,-6.49408458093857,8.35398065400029e-11,2.83832137301183e-08,Downregulated,Non-PcB,NA
38,HMGB2,1883.01259761222,-1.12421553996982,0.174812876601407,-6.43096528028171,1.26796123874064e-10,4.08706172620732e-08,Downregulated,Non-PcB,NA
39,TRO,603.392203038423,1.00985145886226,0.156969503822585,6.43342454597833,1.2476054188827e-10,4.08706172620732e-08,Upregulated,Non-PcB,NA
40,NEURL1B,553.438085363532,-0.911530415513554,0.142600680665035,-6.39218839112496,1.63528243456664e-10,5.13928387123431e-08,Downregulated,PcB target,NEURL1B
41,SULF2,66.5205831949282,2.45038774752021,0.383725525152727,6.38578251093652,1.70523213792954e-10,5.22840809900299e-08,Upregulated,Non-PcB,NA
42,CLSPN,550.175455744457,-1.1681046255032,0.183060281414438,-6.38098344697004,1.75954328451408e-10,5.26648062610155e-08,Downregulated,Non-PcB,NA
43,WLS,2418.74463821404,0.763331748265437,0.119926384149371,6.36500261122433,1.95286413553047e-10,5.70917559250083e-08,Upregulated,PcB target,WLS
44,LOC124901460,163.02820478776,1.52751234506858,0.241725990351556,6.31918952052708,2.62938651379667e-10,7.51227678748588e-08,Upregulated,Non-PcB,NA
45,KIF11,1105.48596098012,-1.18790052767484,0.188566102601208,-6.2996504211952,2.9831767561038e-10,8.33367000021798e-08,Downregulated,Non-PcB,NA
46,EXO1,509.732698823882,-1.19739355450008,0.190252878790775,-6.29369480299367,3.09997040719895e-10,8.47167999758651e-08,Downregulated,Non-PcB,NA
47,MCM3,2447.79383987786,-0.841564179041983,0.133844909581558,-6.28760691514516,3.2239697450454e-10,8.62309014148206e-08,Downregulated,Non-PcB,NA
48,ARL6IP6,521.561593126624,-0.892375578524146,0.142114737104657,-6.27926136799574,3.40185292874086e-10,8.72748840146965e-08,Downregulated,Non-PcB,NA
49,NUSAP1,1293.74992905859,-1.17754137978296,0.187476983105357,-6.28099172644151,3.36420047104738e-10,8.72748840146965e-08,Downregulated,Non-PcB,NA
50,LIMCH1,133.848987056983,1.99565211635027,0.318829626121521,6.25930576347893,3.86695033965909e-10,9.72228654397087e-08,Upregulated,PcB target,LIMCH1
51,FEN1,595.922614090342,-0.909719571125771,0.146415720978092,-6.21326429326459,5.18950539423458e-10,1.27916220217496e-07,Downregulated,Non-PcB,NA
52,RAD51AP1,311.908320514231,-1.12706974768505,0.181814629107596,-6.19900474025144,5.68213207626008e-10,1.37365542943587e-07,Downregulated,Non-PcB,NA
53,NFASC,205.516623726826,1.76730300275458,0.285944785622148,6.18057433329076,6.38688143544587e-10,1.51489597216962e-07,Upregulated,Non-PcB,NA
54,UBE2T,578.704851757779,-1.14645979383255,0.185815175129697,-6.16989324489955,6.83361155343369e-10,1.59083945996694e-07,Downregulated,Non-PcB,NA
55,SLC39A8,200.059544949806,-1.25462746832822,0.20399060539201,-6.15041788771204,7.7279059631993e-10,1.76631828842506e-07,Downregulated,PcB target,SLC39A8
56,STIL,295.647053081145,-1.20130811285218,0.195573575516373,-6.1424868348414,8.12394130394186e-10,1.82367975235452e-07,Downregulated,Non-PcB,NA
57,COL20A1,193.055348660287,1.72791685810204,0.281902764755969,6.12947822486887,8.8167740505864e-10,1.94448537877055e-07,Upregulated,Non-PcB,NA
58,ACTG2,70.8310283398996,4.3152556062526,0.704864846057017,6.12210359247159,9.23479488403322e-10,2.00156218081348e-07,Upregulated,Non-PcB,NA
