,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,382.938793130168,1.3584998621975,0.15801905937916,8.59706333865615,8.17818552287663e-18,1.02807970208082e-13,Upregulated,PcB target,CDKN2A
2,PDLIM3,306.845875619076,3.68033975033621,0.445920587546348,8.25335239753577,1.54012057634985e-16,9.68042788264699e-13,Upregulated,PcB target,PDLIM3
3,SP8,113.620198666822,-1.89581510059761,0.258523551744068,-7.33323941980506,2.24655067829008e-13,7.06034714419616e-10,Downregulated,PcB target,SP8
4,PCDH1,290.054928749601,2.17522742459364,0.311147282438218,6.99098962892454,2.7295394100954e-12,6.86260798486185e-09,Upregulated,PcB target,PCDH1
5,RAB29,194.875300146779,1.88692761021284,0.274167568912878,6.88238808731038,5.88574012838101e-12,1.23316065256463e-08,Upregulated,PcB target,RAB29
6,RTN1,418.172954342653,1.27853572219608,0.203292728741732,6.28913650827309,3.19236662937152e-10,4.01312408978293e-07,Upregulated,PcB target,RTN1
7,DLX5,87.3454416098407,-1.56713156933004,0.26068361404529,-6.01162284430265,1.83675248097137e-09,2.09907413075374e-06,Downregulated,PcB target,DLX5
8,EYA4,800.994906584477,1.32171778168828,0.221429899880429,5.96901223548401,2.38694213906858e-09,2.50052080251926e-06,Upregulated,PcB target,EYA4
9,OSR2,82.5171110783552,-2.29050102861103,0.409395081980686,-5.59484256022179,2.20822061391863e-08,1.92473196766989e-05,Downregulated,PcB target,OSR2
10,MCF2L,371.226460101828,0.960500679142774,0.177078263830442,5.42415911679867,5.82279961435647e-08,4.5749008720047e-05,Upregulated,PcB target,MCF2L
11,EFHD1,281.274649936933,1.16500633669605,0.220989784038643,5.27176557850444,1.35117589861685e-07,8.49281611075622e-05,Upregulated,PcB target,EFHD1
12,RGS12,1313.39388224471,0.462836220988035,0.0886660288831033,5.21999492723684,1.78928031622158e-07,8.99721714208862e-05,NS,PcB target,NA
13,RIMS4,1159.3341581593,0.970921279321588,0.185411410892468,5.23657780633948,1.63581299717559e-07,8.99721714208862e-05,Upregulated,PcB target,RIMS4
14,ITGA5,301.47651666796,1.30554918797759,0.261454639478311,4.99340608597574,5.93236391552636e-07,0.000227233195422301,Upregulated,PcB target,ITGA5
15,ZNF618,461.209055460947,0.657598293065627,0.132909049464016,4.94773151803834,7.50833736624783e-07,0.000242018741105388,Upregulated,PcB target,ZNF618
16,MAML3,142.198757537565,1.69079781183299,0.350036634120377,4.83034530394759,1.36296473133885e-06,0.000398461154364201,Upregulated,PcB target,MAML3
17,CCDC184,151.728679114527,1.04526328949479,0.218893941975594,4.77520428414293,1.79524919263531e-06,0.000480171863842947,Upregulated,PcB target,CCDC184
18,DEK,2928.37149948366,-0.691139643237374,0.145505421924453,-4.74992363924565,2.03493473839729e-06,0.000532940929091506,Downregulated,PcB target,DEK
19,CDCA7L,683.537745366708,-0.730738528526733,0.15406524964932,-4.74304575619761,2.10528693838654e-06,0.000540113512295044,Downregulated,PcB target,CDCA7L
20,SESN2,446.624157480636,0.860564162008519,0.184383178318787,4.66725961584553,3.05243542582856e-06,0.000676307222941396,Upregulated,PcB target,SESN2
21,ABHD4,898.227835171181,0.894170890745489,0.191603629486059,4.66677428368103,3.05965123298074e-06,0.000676307222941396,Upregulated,PcB target,ABHD4
22,CCND2,2312.90840045911,0.450439166900479,0.0980922296059098,4.59199641714884,4.39025907534575e-06,0.000819119420927868,NS,PcB target,NA
23,IGSF9B,305.638615009458,1.13009871092538,0.246715477503003,4.58057484825461,4.63699625521676e-06,0.000832738284633284,Upregulated,PcB target,IGSF9B
24,SH3PXD2B,4331.10179961951,0.456346280186818,0.0996937924122638,4.57747939109076,4.70612136869862e-06,0.000833248615857893,NS,PcB target,NA
25,OTULINL,324.686506442772,-1.57402062989925,0.346370976137228,-4.54432021831887,5.51128220525717e-06,0.000890516437189409,Downregulated,PcB target,OTULINL
26,RPS6KA2,1053.99229118526,0.579547834033446,0.128198457796217,4.52070831425047,6.16330619809707e-06,0.000938584394365825,NS,PcB target,NA
27,NAB1,365.072461659558,-0.649437008311322,0.144233270628666,-4.50268516744187,6.7100248281511e-06,0.000969777160289176,Downregulated,PcB target,NAB1
28,SALL2,1218.31078386561,0.542130792019242,0.12046791709478,4.50020889456162,6.78867155400903e-06,0.000969777160289176,NS,PcB target,NA
29,VCAN,878.163811715014,-0.7807395059056,0.173985355039788,-4.48738634195421,7.21022548588122e-06,0.00101842409643835,Downregulated,PcB target,VCAN
30,LBR,2949.60647731682,-0.475062812504937,0.107109644745494,-4.4352944464875,9.19465281673452e-06,0.00114441564910069,NS,PcB target,NA
31,PDZD4,50.7402833541199,2.41704366021182,0.54661001720492,4.42187955605228,9.78459979412636e-06,0.00118505833119466,Upregulated,PcB target,PDZD4
32,FAM131B,569.198657705333,0.734967158331767,0.166426428691971,4.41616853830395,1.00465763103043e-05,0.00119146708298901,Upregulated,PcB target,FAM131B
33,IGF2BP1,173.310145150788,-1.20142077335133,0.272030231366416,-4.41649726692715,1.00313168690034e-05,0.00119146708298901,Downregulated,PcB target,IGF2BP1
34,NRG2,206.842000556083,0.858099361039169,0.195826293812184,4.38194148668395,1.17626403332856e-05,0.0013202513538369,Upregulated,PcB target,NRG2
35,ANLN,567.974246539339,-0.807809405854309,0.18602145086045,-4.34256050642414,1.40831681899996e-05,0.00150033480776683,Downregulated,PcB target,ANLN
36,RYR2,232.452675742562,0.931535413142994,0.215776105547289,4.3171388730938,1.58064717314302e-05,0.00164217484409759,Upregulated,PcB target,RYR2
37,NPTXR,543.327808382416,0.770530771526473,0.179413227835625,4.29472665322323,1.74908708176193e-05,0.0017876238784414,Upregulated,PcB target,NPTXR
38,ANKS1B,396.207977784709,0.927699612937014,0.219747397005953,4.22166371741769,2.42505720865796e-05,0.00218651568215406,Upregulated,PcB target,ANKS1B
39,LIMCH1,133.848987056983,1.33271960941421,0.320694315054381,4.15573194426042,3.24247807894719e-05,0.00272508073092036,Upregulated,PcB target,LIMCH1
40,GNAO1,2016.05470362276,0.63423519246709,0.152640626302934,4.15508772355516,3.2516276321538e-05,0.00272508073092036,Upregulated,PcB target,GNAO1
41,ZIC4,88.4639220814007,6.16070479116663,1.49977032400211,4.10776549753757,3.99505419465419e-05,0.00313886414256236,Upregulated,PcB target,ZIC4
42,ANK1,387.440615080076,1.16053057440773,0.282762156341169,4.10426412580997,4.05603860177806e-05,0.00316698517161193,Upregulated,PcB target,ANK1
43,MAPRE3,231.113845357344,0.796739077725226,0.196479134069058,4.05508239590058,5.01166336395801e-05,0.0037059776557833,Upregulated,PcB target,MAPRE3
44,MCTP1,225.748815337009,0.911532843400123,0.224898428811069,4.05308675662593,5.05462468651072e-05,0.00371588812480271,Upregulated,PcB target,MCTP1
45,RRAGD,103.320519850599,1.07323060268817,0.266236774389897,4.03111330186283,5.55132729184914e-05,0.00388860178659467,Upregulated,PcB target,RRAGD
46,PCOLCE-AS1,125.592570741739,-1.347612058815,0.334896130827919,-4.02397022468872,5.72251553781304e-05,0.00393102419813375,Downregulated,PcB target,PCOLCE-AS1
47,KCNA2,337.026232340806,0.827395939753217,0.207609910936636,3.98533931265806,6.73837650667302e-05,0.00433805080746129,Upregulated,PcB target,KCNA2
48,DMRTA2,524.163455548573,1.9966398136407,0.50134253323793,3.98258611880657,6.8169410887029e-05,0.00435003890487737,Upregulated,PcB target,DMRTA2
49,CPNE5,228.162522828269,1.25664315266385,0.318793355103305,3.94187373277161,8.08475373062365e-05,0.00488622303594567,Upregulated,PcB target,CPNE5
50,GCNT2,925.631630002456,0.511591558294486,0.131042672815995,3.90400735348891,9.4612904011381e-05,0.00543095349921037,NS,PcB target,NA
51,SH3BP5,235.468900529002,0.775398554711663,0.19916669047874,3.8932140351774,9.8924798837704e-05,0.00562707532212116,Upregulated,PcB target,SH3BP5
52,PFKP,2191.1796974177,-0.43475181007778,0.112897833317208,-3.85084281339805,0.000117712034178266,0.00629684247512757,NS,PcB target,NA
53,SLC25A44,645.647289660208,0.484693759087577,0.128575106586194,3.76973250854471,0.000163422603384091,0.0079937180822623,NS,PcB target,NA
54,ABR,32.181102055274,2.51277476684208,0.666510628398478,3.77004455709865,0.000163218404793767,0.0079937180822623,Upregulated,PcB target,ABR
55,CMIP,965.055200893259,0.490526164482093,0.133315888792135,3.67942762806701,0.000233758013657939,0.0101330068610136,NS,PcB target,NA
56,ADAMTS18,135.97082886867,2.06577813613376,0.56200699832042,3.6757160361124,0.000237183230249519,0.0102110629707764,Upregulated,PcB target,ADAMTS18
57,TTBK1,47.4484397012329,1.76803418559946,0.487327138772937,3.62802324133082,0.000285599556669249,0.0114737227779871,Upregulated,PcB target,TTBK1
58,TVP23B,288.414555673868,-0.642659295642861,0.177927906692439,-3.61190837114575,0.000303951970929432,0.0119779944406078,Downregulated,PcB target,TVP23B
59,ARMH4,158.004582545538,0.790494241296899,0.220664374985322,3.58233739066163,0.000340533588405678,0.0131314347848092,Upregulated,PcB target,ARMH4
60,RIPK1,357.027745730769,0.509210899482281,0.142205014132683,3.58082239636901,0.000342514425365466,0.013145057124222,NS,PcB target,NA
61,NTRK2,147.133259463735,0.965799681977174,0.271778531427652,3.5536275691234,0.000379956869695373,0.0141734059612479,Upregulated,PcB target,NTRK2
62,SOCS2,96.9440030805978,3.29064888054906,0.928218103827854,3.54512465009985,0.000392427458799797,0.0143731465176824,Upregulated,PcB target,SOCS2
63,DNAH11,201.099764653776,-0.648662944321213,0.183499089087095,-3.53496547338899,0.000407828442807358,0.0146063001553598,Downregulated,PcB target,DNAH11
64,CCDC65,58.6417162022348,1.27026099281486,0.359331204487654,3.53507008840505,0.000407667012151624,0.0146063001553598,Upregulated,PcB target,CCDC65
65,TMEM108,309.642178710207,0.725285567572612,0.206122099696957,3.51871812211759,0.00043363718033776,0.0151845487298774,Upregulated,PcB target,TMEM108
66,CYP26B1,32.8737282111056,2.62001928423648,0.745933750585693,3.51240211638002,0.000444075549250109,0.0154211981481302,Upregulated,PcB target,CYP26B1
67,MICALL2,97.5855963479566,0.960566393590741,0.273680856241307,3.50980483904874,0.000448435701649766,0.0154461422612529,Upregulated,PcB target,MICALL2
68,ACTC1,47.0806072073745,3.49497772719438,0.998760451794968,3.49931529718986,0.000466454647661943,0.01573279908387,Upregulated,PcB target,ACTC1
69,IQSEC1,838.090132169507,0.548473505373853,0.157783083255406,3.47612363795699,0.00050871770089116,0.0165247809248134,NS,PcB target,NA
70,CD276,1955.06992517604,0.430734821503336,0.124451093310427,3.46107703874425,0.000538018823512533,0.0169540749543585,NS,PcB target,NA
71,WLS,2418.74463821404,0.395092139121506,0.115502815738757,3.4206277707993,0.000624767799859842,0.0188797019520146,NS,PcB target,NA
72,KIF5A,505.630757176761,0.540184082489889,0.159024476517331,3.39686125255704,0.000681635189585531,0.0200675315416387,NS,PcB target,NA
73,ABT1,455.117833201854,-0.430395088621504,0.127647038837981,-3.37175928669831,0.00074689696649718,0.021290797654957,NS,PcB target,NA
74,UNC5B,181.563374919394,1.01014702227454,0.302385038462009,3.34059855412276,0.000835980043758345,0.0227963234925947,Upregulated,PcB target,UNC5B
75,CDCA4,339.250980792372,-0.567786104672599,0.170212265759721,-3.3357531676014,0.000850686576944976,0.0230473727559812,NS,PcB target,NA
76,MAP3K9,224.105940685167,0.660181929169896,0.198676183833218,3.32290421746825,0.000890854977480816,0.0234209375182109,Upregulated,PcB target,MAP3K9
77,LIMK1,788.811544478481,0.454978201603611,0.137315690037102,3.31337374105376,0.000921777146613309,0.0238920835259297,NS,PcB target,NA
78,SLC47A1,40.5548089787865,3.66561397396189,1.11316793221799,3.2929568557173,0.000991396864703088,0.0248768484384788,Upregulated,PcB target,SLC47A1
79,KIF18B,443.218726485205,-0.629416599645623,0.191205894461141,-3.29182633945179,0.000995390562767866,0.0248768484384788,Downregulated,PcB target,KIF18B
80,NRN1,386.025813912512,-0.790134378661074,0.242507557476692,-3.25818455673084,0.00112127457886676,0.027316943277004,Downregulated,PcB target,NRN1
81,STAG3,138.760157983331,0.750285874606845,0.230375211991545,3.25679949731042,0.00112675992711698,0.0273974836436896,Upregulated,PcB target,STAG3
82,FOS,2645.26168792441,-1.14936263758572,0.354442981866456,-3.24272928619804,0.00118390643963869,0.0284567645367074,Downregulated,PcB target,FOS
83,TACC1,473.285090436679,0.433498960091009,0.133870184212071,3.23820395588819,0.00120284785176872,0.0287471489440771,NS,PcB target,NA
84,MYLIP,118.209297307324,0.945254539458583,0.292024780052135,3.23689838680755,0.0012083643033772,0.028824189103899,Upregulated,PcB target,MYLIP
85,NEO1,1135.61392512871,0.410097557063106,0.127505446183083,3.21631404257239,0.00129848654888892,0.0303971590429843,NS,PcB target,NA
86,KCNN3,182.293288997491,0.881476542543304,0.275831551800484,3.19570599081029,0.00139489172102092,0.0319402255463642,Upregulated,PcB target,KCNN3
87,KIF1A,8664.48904052976,0.422871075550924,0.133327402332264,3.17167415065277,0.00151562962874006,0.0333195216494495,NS,PcB target,NA
88,TMCC2,159.546240213943,0.710641495022482,0.225198403790659,3.15562403223374,0.00160155155583232,0.0345929632446187,Upregulated,PcB target,TMCC2
89,CCDC136,160.562079915839,0.804999355474847,0.255078911560594,3.15588360695831,0.00160012699695696,0.0345929632446187,Upregulated,PcB target,CCDC136
90,PRAG1,382.094029667543,0.64600836087669,0.207508585584922,3.11316449416168,0.00185092823471774,0.0380196386252235,Upregulated,PcB target,PRAG1
91,POLE3,861.921101029927,-0.374118444193769,0.12061044278198,-3.10187439465785,0.00192299532862608,0.0389274948086287,NS,PcB target,NA
92,BSDC1,698.482593452346,0.41936193315428,0.135480647844994,3.09536409682717,0.00196571432521313,0.0393487178061374,NS,PcB target,NA
93,HRK,461.644470208946,0.584523669729153,0.188922001226266,3.09399469588027,0.00197481017000152,0.0394052994398239,NS,PcB target,NA
94,GSDME,130.007319028315,0.82921682237538,0.269428360954906,3.07768944381533,0.00208612193514166,0.0410401233907133,Upregulated,PcB target,GSDME
