,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,DMRTA2,524.163455548573,-5.72795382781704,0.251487456770992,-22.7763002630902,7.87685332353265e-115,2.47549807825322e-111,Downregulated,PcB target,DMRTA2
2,SFRP1,671.963696465279,-6.02074344242117,0.285609727693464,-21.080316455058,1.20574700546639e-98,2.52624093428633e-95,Downregulated,PcB target,SFRP1
3,GSN,998.927562272758,-2.61613249147264,0.127051209489447,-20.5911655779234,3.29349913596336e-94,5.17532220477442e-91,Downregulated,PcB target,GSN
4,ABLIM1,1584.49388415234,2.45389604707258,0.137771629716927,17.8113306209304,5.77211467895521e-71,4.83741690860973e-68,Upregulated,PcB target,ABLIM1
5,EYA4,800.994906584477,-3.02260454345838,0.187118546771364,-16.1534203616472,1.07435574772224e-58,6.13896641118922e-56,Downregulated,PcB target,EYA4
6,MAGEA6,350.268419182366,6.07379603034665,0.376709962748798,16.1232689096594,1.75097002372575e-58,9.17143507010681e-56,Upregulated,PcB target,MAGEA6
7,NT5E,285.683928710892,-4.56017438332033,0.293646484692284,-15.5294703701255,2.19182543842571e-54,8.34952654134836e-52,Downregulated,PcB target,NT5E
8,RPS6KA2,1053.99229118526,2.10281629596828,0.135494776779455,15.5195376969478,2.55887871008633e-54,9.46107772485155e-52,Upregulated,PcB target,RPS6KA2
9,HSPA12A,353.951599107879,2.91474298744834,0.188586733006846,15.4557160038534,6.90401333755839e-54,2.47972433332704e-51,Upregulated,PcB target,HSPA12A
10,WLS,2418.74463821404,1.78071820648529,0.118684389045651,15.003811544249,6.93214846148466e-51,2.23446252075189e-48,Upregulated,PcB target,WLS
11,LINC01694,237.239077924703,4.57805661118522,0.313269288306037,14.6138060195446,2.29339753762266e-48,6.00631259280301e-46,Upregulated,PcB target,LINC01694
12,ITPKB,1897.00053047159,-1.72838873530695,0.119155366870317,-14.5053368614781,1.1208587040986e-47,2.8180629538447e-45,Downregulated,PcB target,ITPKB
13,LMO2,167.960312981889,-5.88079158682397,0.406208424973181,-14.4772762583943,1.68648798478687e-47,4.15702754054033e-45,Downregulated,PcB target,LMO2
14,SLIT2,483.848039740238,3.54524324992338,0.244922469205917,14.4749612455636,1.74424026071388e-47,4.21670083027581e-45,Upregulated,PcB target,SLIT2
15,RGS12,1313.39388224471,1.32313695907434,0.0931004829027274,14.2119236960003,7.72732590499233e-46,1.73464667770819e-43,Upregulated,PcB target,RGS12
16,PDLIM3,306.845875619076,-2.81322539560963,0.202276731904677,-13.9078052582704,5.67956272209172e-44,1.17045545867893e-41,Downregulated,PcB target,PDLIM3
17,STOM,468.523918909637,-2.57449546655327,0.187175223430127,-13.7544671745207,4.78795138817249e-43,9.5538630001137e-41,Downregulated,PcB target,STOM
18,LIMS2,166.649580686844,4.88924528874087,0.357313626144447,13.683344073658,1.27682852915313e-42,2.50797053749749e-40,Upregulated,PcB target,LIMS2
19,CDH11,227.170807351541,3.07001947952651,0.234064519713455,13.116124918398,2.66202670681774e-39,4.38526166841883e-37,Upregulated,PcB target,CDH11
20,ADARB2,324.155308292044,7.47437007365089,0.57012522408218,13.1100497889451,2.88409022902717e-39,4.64819208578213e-37,Upregulated,PcB target,ADARB2
21,CDH8,379.598642087865,2.60359919180354,0.199059085812852,13.0795295335142,4.31100098581812e-39,6.859948530724e-37,Upregulated,PcB target,CDH8
22,TFAP2A,178.617454535194,-4.98506125093863,0.385491817129601,-12.9316914897383,2.98185566804669e-38,4.62776637074259e-36,Downregulated,PcB target,TFAP2A
23,ADIPOR2,957.012721803751,-1.28837374738604,0.100660083825173,-12.7992516837528,1.65538694412109e-37,2.47736538982693e-35,Downregulated,PcB target,ADIPOR2
24,S1PR3,195.405295049565,-5.18681477754607,0.405982513755063,-12.7759561109456,2.23385645667053e-37,3.30374229609473e-35,Downregulated,PcB target,S1PR3
25,COL2A1,748.074715594137,-7.60213474987861,0.608412051272925,-12.4950430123357,7.94533076968341e-36,1.12225565287292e-33,Downregulated,PcB target,COL2A1
26,CAVIN1,930.751382296716,-4.00398974814265,0.330608785628269,-12.1109599085025,9.24063618390419e-34,1.19756739657587e-31,Downregulated,PcB target,CAVIN1
27,CDKN2A,382.938793130168,2.04237518623128,0.169128225611636,12.0758979102703,1.41609959730877e-33,1.78017880377685e-31,Upregulated,PcB target,CDKN2A
28,ANK1,387.440615080076,-2.81187596463605,0.234137273412265,-12.0095187052296,3.16682722636142e-33,3.86506651093102e-31,Downregulated,PcB target,ANK1
29,DYRK3,345.806221786815,-1.82026978318719,0.152611463399773,-11.9274774164173,8.5113748222916e-33,1.0288124316445e-30,Downregulated,PcB target,DYRK3
30,B4GALNT3,129.438746746573,-5.64856206954826,0.474630179172911,-11.9009753644225,1.1697194706393e-32,1.38722108164213e-30,Downregulated,PcB target,B4GALNT3
31,TRIO,2970.05719357549,1.40339206317072,0.122098425159264,11.4939407395316,1.41506196532132e-30,1.40068850126412e-28,Upregulated,PcB target,TRIO
32,ARHGAP29,511.884944383011,-2.39104704960917,0.209090761400109,-11.4354504885739,2.78089604787015e-30,2.73114407951372e-28,Downregulated,PcB target,ARHGAP29
33,ADAMTS18,135.97082886867,-3.78571237001285,0.333968264020841,-11.3355452534155,8.74855400489852e-30,8.20731883549099e-28,Downregulated,PcB target,ADAMTS18
34,PCDH1,290.054928749601,-2.42870115299075,0.214422578135449,-11.3267043709201,9.67779510866939e-30,9.01181943045059e-28,Downregulated,PcB target,PCDH1
35,HEY2,170.14986830761,-2.70578064708274,0.241232928066339,-11.2164648034229,3.38534479974187e-29,3.03979781982536e-27,Downregulated,PcB target,HEY2
36,NRN1,386.025813912512,-2.61218001932157,0.236286664253959,-11.0551309680093,2.07034440914886e-28,1.69001945242924e-26,Downregulated,PcB target,NRN1
37,TACC1,473.285090436679,1.59759197580134,0.144635593081979,11.0456350456961,2.3013464214494e-28,1.8664661847768e-26,Upregulated,PcB target,TACC1
38,UCHL1,2808.13474027454,1.15481478717955,0.10604380620779,10.8899786652011,1.28670411202134e-27,1.00466816100747e-25,Upregulated,PcB target,UCHL1
39,TNFRSF19,323.239810112533,-1.78387715593062,0.164261752317164,-10.8599666737162,1.78814452586704e-27,1.37906532728065e-25,Downregulated,PcB target,TNFRSF19
40,RUNX1,246.066106814814,-2.35581276299609,0.220402983870419,-10.6886609320187,1.15019577433669e-26,8.35786767583034e-25,Downregulated,PcB target,RUNX1
41,ANK3,416.023801440413,1.86442997792261,0.174583375083548,10.6793099688351,1.27213710902364e-26,9.19082505605524e-25,Upregulated,PcB target,ANK3
42,YBX3,1900.12902654977,-1.03583905420028,0.0993002724084704,-10.4313817986256,1.78276627821349e-25,1.13187650926373e-23,Downregulated,PcB target,YBX3
43,CHST2,258.973351906038,-2.26807829710738,0.217674387974535,-10.4195919336762,2.01817227395048e-25,1.25596255721938e-23,Downregulated,PcB target,CHST2
44,COL9A3,389.25019891759,-3.3394010756825,0.3220083973918,-10.3705403422114,3.37610277489324e-25,2.07029209674063e-23,Downregulated,PcB target,COL9A3
45,EBF3,494.267324038929,1.50682766862545,0.145335388278486,10.3679336909888,3.46945636398889e-25,2.11721048309244e-23,Upregulated,PcB target,EBF3
46,PERP,120.195470572685,4.06143822040542,0.396041564570256,10.2550807383373,1.12282128734805e-24,6.56510995500111e-23,Upregulated,PcB target,PERP
47,THBS4,356.299739017899,2.03020180197111,0.204112236776998,9.9464972508689,2.61215933447877e-23,1.36822729140553e-21,Upregulated,PcB target,THBS4
48,GLIPR2,497.844376740965,1.30997031492035,0.131734702210539,9.94400331073548,2.67841715001909e-23,1.39711128601203e-21,Upregulated,PcB target,GLIPR2
49,FZD8,93.4309236357237,-5.8502511044828,0.59113477839418,-9.89664509399198,4.30473813382755e-23,2.16459452321385e-21,Downregulated,PcB target,FZD8
50,RAB29,194.875300146779,-1.91842751846634,0.194342704444329,-9.87136370234002,5.54061571588744e-23,2.76393175255639e-21,Downregulated,PcB target,RAB29
51,SEZ6,268.71615204056,-4.37542991090398,0.445717964325629,-9.81658865270103,9.55213723473261e-23,4.6542603557296e-21,Downregulated,PcB target,SEZ6
52,PRAG1,382.094029667543,2.15550341693936,0.220088824802955,9.79378857090619,1.19723916289019e-22,5.76647261175962e-21,Upregulated,PcB target,PRAG1
53,SLC1A2,345.436839031885,-7.62151426403437,0.778817664543459,-9.78600590486361,1.29303076616409e-22,6.20408006162167e-21,Downregulated,PcB target,SLC1A2
54,GJC1,418.852275428609,-1.35146173516562,0.138817823524519,-9.73550586554842,2.12756456805351e-22,9.94260750371774e-21,Downregulated,PcB target,GJC1
55,ERRFI1,777.030103941832,-1.62275703028054,0.167181024739626,-9.70658621579742,2.82645213501295e-22,1.29676386092145e-20,Downregulated,PcB target,ERRFI1
56,PDE8B,234.895018545876,2.26362962815937,0.235531664640396,9.61072317650122,7.20412100244667e-22,3.18883820851257e-20,Upregulated,PcB target,PDE8B
57,OTULINL,324.686506442772,4.45270231282914,0.464026216853722,9.5957990111425,8.32693919186717e-22,3.63465113128341e-20,Upregulated,PcB target,OTULINL
58,RAB6A,1930.79099389995,0.747501770020553,0.0786781101619316,9.50075908638475,2.08365800384859e-21,8.78982039140288e-20,Upregulated,PcB target,RAB6A
59,JAZF1,112.106751700283,2.71977861673467,0.286993943521168,9.4767805319002,2.62249403570255e-21,1.09891241742722e-19,Upregulated,PcB target,JAZF1
60,EYA2,124.075679893495,3.52130095186417,0.37739092497237,9.33064554247556,1.05228028802842e-20,4.18614414582444e-19,Upregulated,PcB target,EYA2
61,SVIL,2075.02814111196,-1.21671388583933,0.130759110362039,-9.30500278313734,1.33988826127498e-20,5.2967721171345e-19,Downregulated,PcB target,SVIL
62,PDIA6,4518.69352363065,-0.894328617706461,0.0963664643396064,-9.28049632032513,1.68690922139524e-20,6.60627284179424e-19,Downregulated,PcB target,PDIA6
63,UACA,215.181244882669,2.40405521164501,0.261052424386426,9.20908977304258,3.28902033973987e-20,1.24913216588731e-18,Upregulated,PcB target,UACA
64,SOCS2,96.9440030805978,-3.81495083490786,0.416142922701254,-9.16740529946869,4.84541125630742e-20,1.8237025420072e-18,Downregulated,PcB target,SOCS2
65,VCAN,878.163811715014,1.67053872494951,0.183707148921185,9.09348784061859,9.59117858712515e-20,3.54619723584559e-18,Upregulated,PcB target,VCAN
66,CCND2,2312.90840045911,-0.86502493816543,0.095872675202853,-9.02264317059224,1.83604826924654e-19,6.67079849499951e-18,Downregulated,PcB target,CCND2
67,ETS1,285.595451101211,2.00770170513856,0.22289637792344,9.00733212375556,2.11129909912532e-19,7.56157862538586e-18,Upregulated,PcB target,ETS1
68,MEOX2,770.276375225321,-1.51557790051611,0.169176610530679,-8.95855458837952,3.28962106537509e-19,1.14553535769613e-17,Downregulated,PcB target,MEOX2
69,NEDD4L,308.318586593034,1.56757256068067,0.175348017260661,8.93977921832109,3.89948662956512e-19,1.34302592932228e-17,Upregulated,PcB target,NEDD4L
