,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,5.65470073697855,0.206051762602967,27.4431078169147,8.39647756693315e-166,1.05552119493917e-161,Upregulated,Non-PcB,NA
2,WWTR1,594.696609855573,-5.11656338154797,0.222788140258435,-22.9660491604838,1.01863995810431e-116,6.40266145666465e-113,Downregulated,Non-PcB,NA
3,PRSS12,591.356820159928,3.85502183905007,0.168990595258779,22.8120495885986,3.48159229955521e-115,1.45890322659028e-111,Upregulated,Non-PcB,NA
4,DMRTA2,524.163455548573,-5.72795382781704,0.251487456770992,-22.7763002630902,7.87685332353265e-115,2.47549807825322e-111,Downregulated,PcB target,DMRTA2
5,DAB1,442.016710500266,4.98307180600623,0.232866529641408,21.3988322567425,1.369962917239e-101,3.4443607665223e-98,Upregulated,Non-PcB,NA
6,SFRP1,671.963696465279,-6.02074344242117,0.285609727693464,-21.080316455058,1.20574700546639e-98,2.52624093428633e-95,Downregulated,PcB target,SFRP1
7,KLHDC8A,2541.52438895207,-3.13306390696328,0.150910110163577,-20.7611266307289,9.72596400243197e-96,1.74664419249389e-92,Downregulated,Non-PcB,NA
8,GSN,998.927562272758,-2.61613249147264,0.127051209489447,-20.5911655779234,3.29349913596336e-94,5.17532220477442e-91,Downregulated,PcB target,GSN
9,ZIC1,600.023909186776,-6.9392759372796,0.349633283312403,-19.8472979218035,1.16288473949031e-87,1.62429156223697e-84,Downregulated,Non-PcB,NA
10,LOC105371692,926.056816580386,-2.90355301919206,0.147404236802567,-19.6978939152276,2.24777693852047e-86,2.82568038941408e-83,Downregulated,Non-PcB,NA
11,ARHGEF6,1534.88136495305,-3.21026028140415,0.166587319251409,-19.2707361870643,9.4581062746823e-83,1.08088958162756e-79,Downregulated,Non-PcB,NA
12,CDH6,1092.50514608623,3.18356071579334,0.16978439105686,18.7506089103749,1.91387140745964e-78,2.00493978859793e-75,Upregulated,Non-PcB,NA
13,SORL1,384.995737529054,-5.26935159126791,0.286881856858483,-18.36767109977,2.38425152855023e-75,2.30557122810808e-72,Downregulated,Non-PcB,NA
14,ISLR2,508.794478946576,-6.95839442465656,0.385881882887619,-18.0324465418944,1.08387919082146e-72,9.7324609341547e-70,Downregulated,Non-PcB,NA
