,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,998.927562272758,3.35854842299919,0.13081474090237,25.6740822924975,2.27687289451815e-145,9.54085638566255e-142,Upregulated,PcB target,GSN
2,EYA4,800.994906584477,4.48105189907051,0.209571419439957,21.381980000161,1.96608591146373e-101,2.7461851103345e-98,Upregulated,PcB target,EYA4
3,SFRP1,671.963696465279,7.3097615027137,0.37501579271328,19.4918764615932,1.28675009302558e-84,1.47052140176587e-81,Upregulated,PcB target,SFRP1
4,CCND2,2312.90840045911,1.77859834854898,0.0963528943977515,18.4592103814422,4.39722986719208e-76,3.07097648113732e-73,Upregulated,PcB target,CCND2
5,ITPKB,1897.00053047159,2.1795480374229,0.119803295753089,18.1927218589619,5.89391644296704e-74,3.89960124234414e-71,Upregulated,PcB target,ITPKB
6,PCDH1,290.054928749601,5.10056134740977,0.294827655210603,17.300145550343,4.69202006103334e-67,2.28492700146701e-64,Upregulated,PcB target,PCDH1
7,RTN1,418.172954342653,3.29031927509078,0.196379952746279,16.754863360935,5.21806580732522e-63,2.34272518799591e-60,Upregulated,PcB target,RTN1
8,DMRTA2,524.163455548573,7.44340403075493,0.454182549272268,16.3885733669896,2.30797889075816e-60,9.35922665668416e-58,Upregulated,PcB target,DMRTA2
9,ADARB2,324.155308292044,-4.68034188657251,0.288041264978481,-16.2488589505471,2.27560407630031e-59,8.41371142446212e-57,Downregulated,PcB target,ADARB2
10,CHST2,258.973351906038,3.69982442339999,0.235131876819377,15.7351035233819,8.69144677249313e-56,3.0350049271392e-53,Upregulated,PcB target,CHST2
11,IGSF9B,305.638615009458,3.62367702558388,0.232712545416643,15.5714726040925,1.13757755712455e-54,3.66679165913146e-52,Upregulated,PcB target,IGSF9B
12,RAB29,194.875300146779,4.0198971438456,0.2589551259238,15.5235279838735,2.40458853011963e-54,7.37270302734974e-52,Upregulated,PcB target,RAB29
13,RIMS4,1159.3341581593,2.82882349249947,0.182330418772303,15.5148192580644,2.75409148996888e-54,8.24325812390446e-52,Upregulated,PcB target,RIMS4
14,ANK1,387.440615080076,4.0441262915128,0.264257064577122,15.3037584746672,7.21659534289726e-53,2.0159960012347e-50,Upregulated,PcB target,ANK1
15,MAGEA6,350.268419182366,-6.98367314400667,0.456796344874771,-15.2883735221682,9.14045278288576e-53,2.49792678116645e-50,Downregulated,PcB target,MAGEA6
16,PDLIM3,306.845875619076,6.49807599486217,0.434222836367404,14.9648416679864,1.246201461066e-50,3.26374970147097e-48,Upregulated,PcB target,PDLIM3
17,CPNE5,228.162522828269,4.4291946945903,0.302678941890019,14.633309694203,1.72202292573479e-48,3.86563396418072e-46,Upregulated,PcB target,CPNE5
18,NT5E,285.683928710892,6.05940459382274,0.414587200929345,14.615512925242,2.23663563517499e-48,4.84771492582497e-46,Upregulated,PcB target,NT5E
19,VCAN,878.163811715014,-2.65823517153087,0.182708488647035,-14.5490512850018,5.92186236577169e-48,1.24072886333526e-45,Downregulated,PcB target,VCAN
20,STOM,468.523918909637,2.72661057597278,0.187592911676893,14.5347206970648,7.30107156144718e-48,1.50461919014676e-45,Upregulated,PcB target,STOM
21,RUNX1,246.066106814814,3.42178172195938,0.24119836911584,14.186587307794,1.10927061107312e-45,1.85928544690669e-43,Upregulated,PcB target,RUNX1
22,ARHGAP29,511.884944383011,3.01288635196463,0.217411520220943,13.8579885228842,1.13819287031406e-43,1.76644723119976e-41,Upregulated,PcB target,ARHGAP29
23,S1PR3,195.405295049565,5.23493946568842,0.381197254911173,13.7328886770401,6.4509307398054e-43,9.54054709765808e-41,Upregulated,PcB target,S1PR3
24,NAB1,365.072461659558,-2.1649682964681,0.159248734086942,-13.5948854405721,4.29432547177451e-42,5.9982183895197e-40,Downregulated,PcB target,NAB1
25,OTULINL,324.686506442772,-6.15276324992331,0.45915056673492,-13.4003172285649,6.02052667870141e-41,7.72286131407708e-39,Downregulated,PcB target,OTULINL
26,CAVIN1,930.751382296716,4.44241964553111,0.336372247723621,13.2068554275655,8.01013702513184e-40,9.96984480623093e-38,Upregulated,PcB target,CAVIN1
27,CDH11,227.170807351541,-2.89807007325602,0.220885338622514,-13.1202464198347,2.52113828225794e-39,3.04742589867929e-37,Downregulated,PcB target,CDH11
28,SLIT2,483.848039740238,-3.05665782056616,0.234500878101809,-13.0347393379018,7.7631870112888e-39,8.95330494668912e-37,Downregulated,PcB target,SLIT2
29,TNFRSF19,323.239810112533,2.21106303766043,0.169886929502511,13.0149096468763,1.00661288117839e-38,1.15037550266304e-36,Upregulated,PcB target,TNFRSF19
30,ABLIM1,1584.49388415234,-1.71491170618226,0.134768516388711,-12.7248689244005,4.30196123779811e-37,4.39674428620813e-35,Downregulated,PcB target,ABLIM1
31,CDH8,379.598642087865,-2.39444208362022,0.189570445106392,-12.6308828482013,1.42668512468456e-36,1.44635957277497e-34,Downregulated,PcB target,CDH8
32,LIMS2,166.649580686844,-3.83955916669879,0.312553197292012,-12.2844981269271,1.09723828750858e-34,1.00681624177156e-32,Downregulated,PcB target,LIMS2
33,ITGA5,301.47651666796,3.09445828087989,0.254063041511886,12.1798836322879,3.97849102769706e-34,3.57240076494141e-32,Upregulated,PcB target,ITGA5
34,HEY2,170.14986830761,3.08191439741354,0.253293077265084,12.1673850335363,4.63700768845189e-34,4.10505800362879e-32,Upregulated,PcB target,HEY2
35,MAML3,142.198757537565,3.92217235892014,0.329616592679442,11.8991957505444,1.19493168209793e-32,9.38842885978316e-31,Upregulated,PcB target,MAML3
36,SEZ6,268.71615204056,6.10978790646315,0.523394779358459,11.6733833569225,1.7434871562814e-31,1.26690040702968e-29,Upregulated,PcB target,SEZ6
37,RBBP7,2556.9742010384,-1.06339989745524,0.0930425196831335,-11.4291820672609,2.98911091681644e-30,2.03114126136754e-28,Downregulated,PcB target,RBBP7
38,EFHD1,281.274649936933,2.43760457753663,0.213825785169867,11.3999561633792,4.18329670697493e-30,2.79724589911606e-28,Upregulated,PcB target,EFHD1
