,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,382.938793130168,2.3664169970299,0.168542622951959,14.0404661775343,8.81309859394279e-45,1.10789462424455e-40,Upregulated,PcB target,CDKN2A
2,FN1,519.715216240904,2.75622288713859,0.2941054003952,9.371548034939,7.14763912075899e-21,1.28361387695802e-17,Upregulated,PcB target,FN1
3,IGF2BP1,173.310145150788,1.73608346868046,0.223821452837487,7.75655526613439,8.7267289648518e-15,4.76972651378922e-12,Upregulated,PcB target,IGF2BP1
4,NEURL1B,553.438085363532,-1.04309344828092,0.144361638486306,-7.22555839084539,4.99046984533883e-13,1.45895805641289e-10,Downregulated,PcB target,NEURL1B
5,DEK,2928.37149948366,-1.05717545035651,0.147038174655722,-7.18980259943925,6.48850635690215e-13,1.73546837048121e-10,Downregulated,PcB target,DEK
6,LIMCH1,133.848987056983,2.27923610068451,0.318147706720047,7.16408150221282,7.83098065139986e-13,2.00904607691322e-10,Upregulated,PcB target,LIMCH1
7,RPS6KA2,1053.99229118526,0.980207087290138,0.138100714724225,7.09776983593114,1.26786099203092e-12,2.95495535527418e-10,Upregulated,PcB target,RPS6KA2
8,BMP7,89.033293879594,1.7917639858086,0.287446171373685,6.2333896369045,4.56448963694294e-10,5.0333508092991e-08,Upregulated,PcB target,BMP7
9,PPP2R2B,61.2839375210832,2.30925763802304,0.370673102573893,6.22990344319007,4.66722742042313e-10,5.10188833931645e-08,Upregulated,PcB target,PPP2R2B
10,RTKN2,253.172171249336,-1.40526532623704,0.230935502109108,-6.08509871112457,1.1641956144933e-09,1.16537792173398e-07,Downregulated,PcB target,RTKN2
11,PFKP,2191.1796974177,-0.679206570334767,0.112373515089274,-6.04418727842744,1.50165005892947e-09,1.43009415839412e-07,Downregulated,PcB target,PFKP
12,GINS2,464.497392875126,-1.18275654489225,0.197797556122941,-5.97963174103683,2.23642629692045e-09,2.02259819989835e-07,Downregulated,PcB target,GINS2
13,KIF18B,443.218726485205,-1.19584031203059,0.200442210132595,-5.96601040888309,2.43124781348152e-09,2.16760399030327e-07,Downregulated,PcB target,KIF18B
14,CCDC184,151.728679114527,1.32179072360771,0.228326634718231,5.78903431585578,7.07922354555894e-09,5.42639751165984e-07,Upregulated,PcB target,CCDC184
15,ANLN,567.974246539339,-1.09902914870036,0.191263973058638,-5.74613781741019,9.13048969444806e-09,6.634646586642e-07,Downregulated,PcB target,ANLN
16,RTN1,418.172954342653,1.0158648201002,0.177434026140927,5.72531008958424,1.03244982931976e-08,7.37439022976066e-07,Upregulated,PcB target,RTN1
17,HMGA1,3808.23045527866,-0.795233258841403,0.143559516921411,-5.53939770692276,3.03513667552636e-08,1.87954202699713e-06,Downregulated,PcB target,HMGA1
18,DLX1,216.587774640106,2.36042539590055,0.431937883541467,5.46473343932552,4.63602923807587e-08,2.69812609036351e-06,Upregulated,PcB target,DLX1
19,CDCA4,339.250980792372,-1.00479165557956,0.184426266360442,-5.44820255492128,5.08813941034175e-08,2.94760371094038e-06,Downregulated,PcB target,CDCA4
20,TGFBI,339.086745155098,1.1558582247657,0.215135838731697,5.37269025737365,7.75705125479696e-08,4.27692505807248e-06,Upregulated,PcB target,TGFBI
21,KCNMB4,68.3100018779542,2.14462020585918,0.402139527928122,5.33302512416165,9.65899412715449e-08,5.18902628942133e-06,Upregulated,PcB target,KCNMB4
22,NEO1,1135.61392512871,0.672692929209849,0.126232626781903,5.32899414643481,9.87581792843803e-08,5.28293222035721e-06,Upregulated,PcB target,NEO1
23,LBR,2949.60647731682,-0.56516443055718,0.107500179033945,-5.25733478433295,1.46158098402663e-07,7.23367501976332e-06,NS,PcB target,NA
24,RBBP7,2556.9742010384,-0.485127609907623,0.0943247763985002,-5.14316204533655,2.70152409152968e-07,1.25780960572665e-05,NS,PcB target,NA
25,CEP55,389.022064286644,-1.27727487370576,0.248751123304086,-5.13475017415037,2.82519056429178e-07,1.31053396987867e-05,Downregulated,PcB target,CEP55
26,GJC1,418.852275428609,-0.686707630819794,0.133767196277262,-5.13360263151843,2.84247912127066e-07,1.31370606740785e-05,Downregulated,PcB target,GJC1
27,CDKN2B,49.0907669690238,2.67598450692163,0.524390843363051,5.10303438892995,3.34250234658805e-07,1.51146032370354e-05,Upregulated,PcB target,CDKN2B
28,SLC39A8,200.059544949806,-1.01670906978679,0.200167055762602,-5.07930271499127,3.78822682121255e-07,1.66509788005115e-05,Downregulated,PcB target,SLC39A8
29,WIPI1,193.06585350913,1.13984767281161,0.226385054421926,5.03499524614029,4.77860692184197e-07,2.03633449540595e-05,Upregulated,PcB target,WIPI1
30,MAP3K21,99.1258180807507,-1.26224343447711,0.2538493130446,-4.97241225252138,6.61249034940919e-07,2.63890845023565e-05,Downregulated,PcB target,MAP3K21
31,CPNE5,228.162522828269,1.28598285267558,0.259774372295551,4.95038383236853,7.4067257522838e-07,2.90062147763114e-05,Upregulated,PcB target,CPNE5
