,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,998.927562272758,2.86353932319845,0.131279987231511,21.812458879575,1.76718881612063e-105,4.44306612149049e-102,Upregulated,PcB target,GSN
2,EYA4,800.994906584477,4.44274889715474,0.209422226660687,21.2143141059857,7.04466452889532e-100,1.2651211113249e-96,Upregulated,PcB target,EYA4
3,SFRP1,671.963696465279,7.00343683031164,0.375118671905139,18.6699232931884,8.69776033114142e-78,9.11162876023156e-75,Upregulated,PcB target,SFRP1
4,MAGEA6,350.268419182366,-6.5255240448755,0.37625516506516,-17.3433474162286,2.21455993431207e-67,1.73995205838981e-64,Downregulated,PcB target,MAGEA6
5,ITPKB,1897.00053047159,2.07286913527359,0.119741970681797,17.3111326251849,3.87712593659214e-67,2.86702059699411e-64,Upregulated,PcB target,ITPKB
6,DMRTA2,524.163455548573,7.58518932823817,0.45393450932366,16.709875923599,1.1106638641733e-62,5.81756476521773e-60,Upregulated,PcB target,DMRTA2
7,ANK1,387.440615080076,4.36643387394239,0.263296758952133,16.5836977687074,9.14259976922354e-62,4.59726486795636e-59,Upregulated,PcB target,ANK1
8,ABLIM1,1584.49388415234,-2.17157757809111,0.136007597718791,-15.9665902090342,2.18403524955634e-57,9.4674162490251e-55,Downregulated,PcB target,ABLIM1
9,PCDH1,290.054928749601,4.61822368674272,0.295508086472566,15.6280788856567,4.68722822096419e-55,1.78554987774972e-52,Upregulated,PcB target,PCDH1
10,PDLIM3,306.845875619076,6.56845051992839,0.433890870330357,15.1384852023443,9.02690251143543e-52,2.98624188082249e-49,Upregulated,PcB target,PDLIM3
11,NT5E,285.683928710892,6.25220696155455,0.413985751899125,15.1024689445786,1.55981738207744e-51,4.90211607752387e-49,Upregulated,PcB target,NT5E
12,RAB29,194.875300146779,3.81545426679358,0.259076220754818,14.7271496229074,4.31526533038467e-49,1.06367059741697e-46,Upregulated,PcB target,RAB29
13,CDH8,379.598642087865,-2.84915382788711,0.194652209460767,-14.637151233885,1.6274555951484e-48,3.71977168847464e-46,Downregulated,PcB target,CDH8
14,ARHGAP29,511.884944383011,3.14616842480786,0.216881616601383,14.5063858989504,1.10385241061642e-47,2.35195400912864e-45,Upregulated,PcB target,ARHGAP29
15,CDH11,227.170807351541,-3.28839019889835,0.227768971904217,-14.4373931682021,3.01013318525747e-47,6.30673071197862e-45,Downregulated,PcB target,CDH11
16,VCAN,878.163811715014,-2.58677321854034,0.180918841761939,-14.2979757848778,2.25266960409977e-46,4.49496977668861e-44,Downregulated,PcB target,VCAN
17,CCND2,2312.90840045911,1.37501244441848,0.0965827158637486,14.2366305619138,5.42818794681212e-46,1.06621485436524e-43,Upregulated,PcB target,CCND2
18,RIMS4,1159.3341581593,2.57803538544014,0.18240630334733,14.133477506702,2.36186927808411e-45,4.56785518381466e-43,Upregulated,PcB target,RIMS4
19,LINC01694,237.239077924703,-5.03493396893806,0.359911969723217,-13.9893484865482,1.81063001025033e-44,3.29875795055896e-42,Downregulated,PcB target,LINC01694
20,STOM,468.523918909637,2.62185072980177,0.187446850432212,13.9871687561372,1.86697553694895e-44,3.30559851760355e-42,Upregulated,PcB target,STOM
21,CHST2,258.973351906038,3.22243691124518,0.236050822779578,13.6514538407446,1.97890724670828e-42,3.27326881557497e-40,Upregulated,PcB target,CHST2
22,RUNX1,246.066106814814,3.28770161407923,0.24107917005802,13.6374354254164,2.3984793799342e-42,3.91575120586401e-40,Upregulated,PcB target,RUNX1
23,S1PR3,195.405295049565,5.12850429538345,0.381031644693395,13.4595232884403,2.70656725827227e-41,4.20052555601737e-39,Upregulated,PcB target,S1PR3
24,SLIT2,483.848039740238,-3.11813461673289,0.232894917349363,-13.3885902372675,7.05063298968377e-41,1.06787358208813e-38,Downregulated,PcB target,SLIT2
25,OTULINL,324.686506442772,-7.32627011535907,0.552812058195212,-13.2527321116646,4.35071262440549e-40,6.2865297013105e-38,Downregulated,PcB target,OTULINL
26,CAVIN1,930.751382296716,4.41156401136626,0.336286550067196,13.1184670052512,2.58103214243361e-39,3.6456354002846e-37,Upregulated,PcB target,CAVIN1
27,NAB1,365.072461659558,-2.02001239737843,0.155033651356323,-13.0295092691568,8.31406435954715e-39,1.16129003404297e-36,Downregulated,PcB target,NAB1
28,IGSF9B,305.638615009458,3.04127174935412,0.233840679700306,13.005742855571,1.13490681525599e-38,1.55075147549815e-36,Upregulated,PcB target,IGSF9B
29,HSPA12A,353.951599107879,-2.32745650931697,0.180855627794559,-12.8691406383042,6.71450414631227e-38,8.88505596034648e-36,Downregulated,PcB target,HSPA12A
30,LIMS2,166.649580686844,-4.65995820885596,0.363329120269867,-12.8257217736765,1.17685495022847e-37,1.54106703951272e-35,Downregulated,PcB target,LIMS2
31,ADARB2,324.155308292044,-7.32828265982109,0.571691029352965,-12.8186070509365,1.28997140569577e-37,1.67177634443315e-35,Downregulated,PcB target,ADARB2
32,EFHD1,281.274649936933,2.62173232066523,0.212520128769976,12.33639531389,5.76809626103002e-35,6.25092569805245e-33,Upregulated,PcB target,EFHD1
33,TNFRSF19,323.239810112533,2.09127593986547,0.169683179127121,12.3245919284596,6.67806792038166e-35,7.11440608704389e-33,Upregulated,PcB target,TNFRSF19
34,MAML3,142.198757537565,3.8121357721015,0.329352279188918,11.5746451838423,5.53999838414748e-31,4.55185095994235e-29,Upregulated,PcB target,MAML3
35,UACA,215.181244882669,-3.09701223432381,0.26758367547746,-11.573995419555,5.5821282979221e-31,4.55668408007654e-29,Downregulated,PcB target,UACA
36,ADAMTS18,135.97082886867,5.97646759890789,0.519905359027571,11.4952990869074,1.39297700519985e-30,1.12250730335688e-28,Upregulated,PcB target,ADAMTS18
37,ADIPOR2,957.012721803751,1.13032167999292,0.099149465296806,11.40017928094,4.17258932720858e-30,3.31984939445184e-28,Upregulated,PcB target,ADIPOR2
38,B4GALNT3,129.438746746573,5.79707647665914,0.509873893540708,11.3696279611466,5.92395450782833e-30,4.65437700736937e-28,Upregulated,PcB target,B4GALNT3
39,SEZ6,268.71615204056,5.88784366227026,0.523462741055897,11.2478753509632,2.37237921152905e-29,1.79657705229709e-27,Upregulated,PcB target,SEZ6
40,TFAP2A,178.617454535194,6.73353774284341,0.598934026961313,11.2425366396462,2.52034494044529e-29,1.8972009728346e-27,Upregulated,PcB target,TFAP2A
41,HEY2,170.14986830761,2.8244431521435,0.253696292035666,11.1331668645217,8.65064713010467e-29,6.21413057557404e-27,Upregulated,PcB target,HEY2
42,EYA2,124.075679893495,-4.29420055976508,0.386989777854158,-11.0964185761604,1.30571844129939e-28,9.22145310425541e-27,Downregulated,PcB target,EYA2
43,RTN1,418.172954342653,2.19412151463414,0.198697343917985,11.0425306718735,2.3822751407283e-28,1.63647982481396e-26,Upregulated,PcB target,RTN1
44,FZD8,93.4309236357237,5.27784571426157,0.488406530882481,10.8062554051545,3.21528374038865e-27,2.05174273606222e-25,Upregulated,PcB target,FZD8
45,PERP,120.195470572685,-3.37791392490581,0.314189840961261,-10.751187608648,5.85034486820114e-27,3.64082600683943e-25,Downregulated,PcB target,PERP
46,NR5A1,251.738410403155,-7.96451510875732,0.743128963104302,-10.717540970933,8.42124916374651e-27,5.18938839399301e-25,Downregulated,PcB target,NR5A1
47,APOL4,222.507818315607,2.65676984262151,0.248840060319398,10.6766162940622,1.30958360961503e-26,7.85256801499391e-25,Upregulated,PcB target,APOL4
48,WLS,2418.74463821404,-1.25389504376697,0.117819814457241,-10.6424802105085,1.89029485061256e-26,1.12089134750238e-24,Downregulated,PcB target,WLS
49,GJC1,418.852275428609,1.43327642122228,0.13496976376805,10.6192407929632,2.42525527114386e-26,1.42466747726867e-24,Upregulated,PcB target,GJC1
50,SVIL,2075.02814111196,1.38245898110904,0.130455180711079,10.597194941386,3.07051953180651e-26,1.78701393677499e-24,Upregulated,PcB target,SVIL
51,RPS6KA2,1053.99229118526,-1.41248336915818,0.133852454443106,-10.5525399219224,4.94421442802823e-26,2.79971709796139e-24,Downregulated,PcB target,RPS6KA2
52,THBS4,356.299739017899,-2.16921539923081,0.207281653510513,-10.4650622112139,1.24994404210458e-25,6.89168708477926e-24,Downregulated,PcB target,THBS4
53,RAB6A,1930.79099389995,-0.810653202660072,0.0778649610002356,-10.4110140459406,2.20856424926976e-25,1.18310710310622e-23,Downregulated,PcB target,RAB6A
54,SLC1A2,345.436839031885,7.63150774372646,0.745735695364544,10.2335288375808,1.40311428060789e-24,7.08375486808105e-23,Upregulated,PcB target,SLC1A2
