,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,-5.31863599617794,0.186083515431149,-28.5819836531723,1.1252987649554e-179,1.41461307742544e-175,Downregulated,Non-PcB,NA
2,WWTR1,594.696609855573,5.08136967380572,0.214789878256935,23.6573981746351,9.90521364477356e-124,6.22592203642242e-120,Upregulated,Non-PcB,NA
3,LOC105371692,926.056816580386,3.63539059592006,0.158660066028502,22.9130788037551,3.44142518682076e-116,1.44207186745079e-112,Upregulated,Non-PcB,NA
4,PRSS12,591.356820159928,-3.62363631725573,0.160865534282773,-22.5258712713814,2.3156146392014e-112,7.2773979073502e-109,Downregulated,Non-PcB,NA
5,GSN,998.927562272758,2.86353932319845,0.131279987231511,21.812458879575,1.76718881612063e-105,4.44306612149049e-102,Upregulated,PcB target,GSN
6,ARHGEF6,1534.88136495305,3.68877420303409,0.170461321891873,21.6399483595109,7.55878596766639e-104,1.58369163999224e-100,Upregulated,Non-PcB,NA
7,EYA4,800.994906584477,4.44274889715474,0.209422226660687,21.2143141059857,7.04466452889532e-100,1.2651211113249e-96,Upregulated,PcB target,EYA4
8,KLHDC8A,2541.52438895207,3.21948007137725,0.151814437480339,21.20667918553,8.2860166860112e-100,1.30204394699808e-96,Upregulated,Non-PcB,NA
9,DAB1,442.016710500266,-4.74265300323334,0.235019527033085,-20.1798253239004,1.47265642150029e-90,2.05697376385335e-87,Downregulated,Non-PcB,NA
10,LRRN2,975.639956130488,3.6930208413626,0.188928123281764,19.5472266236133,4.35564867578714e-85,5.47548595033202e-82,Upregulated,Non-PcB,NA
11,TARID,493.886787495417,4.37436000457879,0.226380298347776,19.3230596324186,3.43664213890648e-83,3.92745712074485e-80,Upregulated,Non-PcB,NA
12,SFRP1,671.963696465279,7.00343683031164,0.375118671905139,18.6699232931884,8.69776033114142e-78,9.11162876023156e-75,Upregulated,PcB target,SFRP1
13,COL23A1,408.440862074685,6.58207863869,0.366084409403055,17.9796748225986,2.81136519579929e-72,2.71859014433791e-69,Upregulated,Non-PcB,NA
14,TENM4,408.139782015451,3.94916101501834,0.220338163506234,17.923182040621,7.77508258772074e-72,6.98146880073125e-69,Upregulated,Non-PcB,NA
15,S100A4,542.967029443274,-3.92304091102548,0.221535144845998,-17.7084358951381,3.6096443216256e-70,3.02512258447703e-67,Downregulated,Non-PcB,NA
16,MAGEA6,350.268419182366,-6.5255240448755,0.37625516506516,-17.3433474162286,2.21455993431207e-67,1.73995205838981e-64,Downregulated,PcB target,MAGEA6
