,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CUTA,36.298013888961,-3.46635632023805,0.776213203440844,-4.46572707713832,7.97972832563614e-06,0.100313164781572,NS,Non-PcB,NA
2,PLOD2,288.889535569004,-1.0589016374986,0.279304899073668,-3.79120323707357,0.000149919208943456,0.376926875125636,NS,Non-PcB,NA
3,SMAD1-AS1,181.826755813232,-0.977653382258039,0.254569081596253,-3.8404246742289,0.000122821655397751,0.376926875125636,NS,Non-PcB,NA
4,MIRLET7IHG,108.947394311164,1.21339963800419,0.310762712050701,3.90458568853726,9.43869454033946e-05,0.376926875125636,NS,Non-PcB,NA
5,NIN,707.263232936508,0.463607746790532,0.12144156293984,3.81753771581643,0.000134790186678325,0.376926875125636,NS,Non-PcB,NA
6,GRIN2B,49.4196232201079,5.57246960217177,1.50744157060389,3.69664052712796,0.000218471349001869,0.457733888050415,NS,Non-PcB,NA
7,MICU2,299.169377459478,-0.521758144508617,0.144512646483844,-3.61046702280791,0.000305646162535366,0.480284738654011,NS,Non-PcB,NA
8,THTPA,386.048114356855,0.609930008838053,0.167458523842677,3.64227508305917,0.00027023906524327,0.480284738654011,NS,Non-PcB,NA
9,WASH7P,107.652638868929,-0.200850767141745,0.261749706597434,-0.767339034502337,0.442879965828688,1,NS,Non-PcB,NA
10,MTND2P28,1119.76088679316,0.0988428707091365,0.143329755934316,0.689618635466272,0.490434045064227,1,NS,Non-PcB,NA
11,MTCO1P12,320.924365784948,0.179477123115028,0.573589228661916,0.312901836622207,0.754355242175543,1,NS,Non-PcB,NA
12,MTATP6P1,1386.00563902865,-0.0340247229567478,0.167570050298534,-0.203047757616181,0.839097704430586,1,NS,Non-PcB,NA
13,LOC100288069,54.4200833015451,0.526562329390788,0.353339328348637,1.49024545852771,0.136159707640414,1,NS,Non-PcB,NA
14,LINC01128,169.260408951302,0.41312868243549,0.198900844132763,2.07705846718143,0.0377961632687707,1,NS,Non-PcB,NA
15,SAMD11,221.232278017368,-0.123003605450595,0.192824852655732,-0.637903277282439,0.523536644257018,1,NS,PcB target,NA
16,NOC2L,2748.94928540186,-0.00353364653181326,0.102564577748311,-0.034452894063335,0.972516005118489,1,NS,Non-PcB,NA
17,KLHL17,144.013850691287,-0.0102894860854073,0.258492561618191,-0.0398057337549447,0.96824800498069,1,NS,PcB target,NA
18,HES4,359.629755071128,-0.247088166733279,0.234232178899858,-1.05488566043232,0.291477621229708,1,NS,Non-PcB,NA
19,ISG15,334.374548158745,0.302806517124368,0.172255416299953,1.75789257388042,0.078765789628209,1,NS,PcB target,NA
20,AGRN,10313.7281323572,-0.00286765393267463,0.259556512582471,-0.0110482834899528,0.991184924515089,1,NS,Non-PcB,NA
21,C1orf159,252.681975104202,0.0779140415718026,0.200309009054985,0.388969232783809,0.697298906368132,1,NS,PcB target,NA
22,SDF4,2248.39564803208,-0.00615958544248945,0.115912771701168,-0.0531398339638477,0.957620493359445,1,NS,PcB target,NA
23,B3GALT6,421.17112130731,-0.0250381898785533,0.158552664448416,-0.157917181434055,0.87452205911751,1,NS,Non-PcB,NA
24,UBE2J2,920.549198200512,0.0401788423136098,0.106196577160443,0.378344042604189,0.70517503144875,1,NS,Non-PcB,NA
25,ACAP3,985.683600665467,-0.0049153090171772,0.232234856608171,-0.0211652509402168,0.983113833801948,1,NS,Non-PcB,NA
26,PUSL1,194.511840774096,-0.0867182920307037,0.217434995992054,-0.398823987072774,0.690022901230975,1,NS,Non-PcB,NA
27,INTS11,1117.19243018308,0.132238944176399,0.12835817828511,1.03023388102836,0.302900228607776,1,NS,Non-PcB,NA
28,CPTP,233.010667570868,0.208912561474614,0.193490229190175,1.07970600039592,0.280273121043655,1,NS,Non-PcB,NA
29,DVL1,1313.03785905769,-0.0877222484953554,0.169134182210678,-0.518654758894842,0.604001515735486,1,NS,Non-PcB,NA
30,MXRA8,1943.58578455165,0.0121516565080283,0.176381447668518,0.0688941873913267,0.945073845317349,1,NS,Non-PcB,NA
31,AURKAIP1,817.656846361154,-0.00863329320961472,0.136110154559889,-0.0634287224015754,0.949425116125146,1,NS,Non-PcB,NA
32,CCNL2,943.712328315829,0.0353339761650577,0.199942299455113,0.176720865276385,0.859727650705906,1,NS,Non-PcB,NA
33,MRPL20-AS1,313.710074368628,0.12681442867751,0.144450781659497,0.87790752822951,0.379993903441023,1,NS,Non-PcB,NA
34,MRPL20,660.498600393337,0.0523568280457891,0.136314783047939,0.384087674682918,0.7009134663637,1,NS,Non-PcB,NA
35,VWA1,412.823077739069,-0.239761136860945,0.289025932720469,-0.829548873362965,0.406793893427527,1,NS,Non-PcB,NA
36,ATAD3B,481.821860737076,0.0858477174309536,0.148102997475271,0.579648750493978,0.562151510499303,1,NS,PcB target,NA
37,ATAD3A,900.910054754753,0.0290505600846156,0.135701312347815,0.214077222850699,0.830486837585545,1,NS,Non-PcB,NA
38,SSU72,1388.15134862241,0.0906034762975706,0.106323967215994,0.852145369195189,0.394133413612845,1,NS,PcB target,NA
