,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,382.938793130168,1.04868539454681,0.158726691729515,6.6068622934186,3.92550864354686e-11,2.46737845790138e-07,Upregulated,PcB target,CDKN2A
2,PCDH1,290.054928749601,1.69667283790481,0.316433299077517,5.3618656533653,8.23667911668202e-08,0.000345144310586032,Upregulated,PcB target,PCDH1
3,PDLIM3,306.845875619076,2.23893220605307,0.466053907073994,4.8040198184576,1.55511426533965e-06,0.00390986828591694,Upregulated,PcB target,PDLIM3
4,FOXC1,545.637639824219,0.632248866492481,0.138355798330097,4.56973162038374,4.88349182392671e-06,0.00614745621409538,Upregulated,PcB target,FOXC1
5,LMO1,98.8100444974336,1.54408331878143,0.331660639761601,4.655612194113,3.23019445622997e-06,0.00614745621409538,Upregulated,PcB target,LMO1
6,ADAMTS18,135.97082886867,2.52478086986277,0.547622205068326,4.61044283174704,4.01812129062148e-06,0.00614745621409538,Upregulated,PcB target,ADAMTS18
7,RTN1,418.172954342653,0.920206369135279,0.204988832044626,4.48905611079803,7.15394534469642e-06,0.00817565881165261,Upregulated,PcB target,RTN1
8,EYA4,800.994906584477,0.985068042375467,0.223594223879264,4.40560594672331,1.05488577146126e-05,0.0110508075275329,Upregulated,PcB target,EYA4
9,DMRTA2,524.163455548573,2.09220896832375,0.495127749738047,4.22559424195201,2.3831106263497e-05,0.0230446797568016,Upregulated,PcB target,DMRTA2
10,NFIL3,164.395657038757,0.723904076917614,0.186628663637949,3.87884724032507,0.000104952632990615,0.0694399762802644,Upregulated,PcB target,NFIL3
11,SESN2,446.624157480636,0.695779828463944,0.184579966130689,3.76953058909604,0.00016355486366296,0.0856686746294612,Upregulated,PcB target,SESN2
12,ACTC1,47.0806072073745,3.71187437218529,0.992548522772349,3.73974096683699,0.0001842099854099,0.0926281490635143,Upregulated,PcB target,ACTC1
13,RGS12,1313.39388224471,0.325324664565496,0.08870202418139,3.66761263418552,0.000244825713203758,0.100335604184899,NS,PcB target,NA
14,DLX5,87.3454416098407,-0.92559058303529,0.250830151188917,-3.69010893884988,0.000224158037423041,0.100335604184899,NS,PcB target,NA
15,ITGA5,301.47651666796,0.958307660118997,0.263325251022711,3.63925471027594,0.000273428246836934,0.100335604184899,NS,PcB target,NA
16,TMEM97,869.639257305598,-0.512085273976253,0.143414067008602,-3.57067674501929,0.000356060098274951,0.109171499888156,NS,PcB target,NA
17,GPR161,532.072390461973,0.427710584342603,0.120794140166232,3.54082229281987,0.000398882138507678,0.117890871671475,NS,PcB target,NA
18,PXDC1,591.093669299759,0.485246769573432,0.141318956247932,3.43369907659174,0.000595404802554576,0.141348803387035,NS,PcB target,NA
19,MCTP1,225.748815337009,0.767306324477583,0.225178241495044,3.40755092225228,0.000655486764282349,0.149536018150822,NS,PcB target,NA
20,CBX4,729.327083532107,0.502118148758751,0.147532167637303,3.40344859565253,0.000665409328021644,0.149536018150822,NS,PcB target,NA
21,MCF2L,371.226460101828,0.592644782155723,0.178100152196229,3.32759278893121,0.000875998109061213,0.163238030181746,NS,PcB target,NA
22,EFHD1,281.274649936933,0.742033462144082,0.224001289939799,3.31263030826075,0.000924230598677126,0.163667397103629,NS,PcB target,NA
23,SP8,113.620198666822,-0.79788477741614,0.244603050019908,-3.26195759763094,0.00110645692639948,0.173865875272099,NS,PcB target,NA
24,FAM131B,569.198657705333,0.539810160463807,0.166650883037594,3.2391677177134,0.00119879058217038,0.175961724944274,NS,PcB target,NA
25,SLC25A44,645.647289660208,0.408568937982353,0.128401955271233,3.18195261995272,0.00146285747529892,0.199886753499812,NS,PcB target,NA
26,PODXL,179.717283477862,0.657662847444621,0.20752755705234,3.1690386413538,0.00152944059803247,0.202385239556487,NS,PcB target,NA
27,NEDD4L,308.318586593034,0.497880231255297,0.159492257157047,3.12165769128873,0.00179835907270927,0.211632401541184,NS,PcB target,NA
28,ZNF618,461.209055460947,0.415063475608,0.133569189200322,3.10747918807461,0.00188690270750355,0.21369598140565,NS,PcB target,NA
29,CCDC65,58.6417162022348,1.1201457086088,0.360046628397869,3.11111289555248,0.00186383667160906,0.21369598140565,NS,PcB target,NA
