,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,DMRTA2,524.163455548573,-5.43207176603621,0.235866965254754,-23.0302355404843,2.32124915029881e-117,1.45902115342032e-113,Downregulated,PcB target,DMRTA2
2,GSN,998.927562272758,-2.90432170234483,0.130447295788712,-22.2643304699013,8.19373714570905e-110,2.06006939317417e-106,Downregulated,PcB target,GSN
3,ABLIM1,1584.49388415234,2.47474428332062,0.137787563710765,17.9605779844939,3.96655917367403e-72,4.15530128102135e-69,Upregulated,PcB target,ABLIM1
4,SFRP1,671.963696465279,-7.49257114598252,0.43059553492232,-17.4004849988382,8.18073392578257e-68,6.4275003863133e-65,Downregulated,PcB target,SFRP1
5,PDLIM3,306.845875619076,-4.28661093666505,0.25185150768063,-17.0203902138273,5.798292624228e-65,3.64451682895851e-62,Downregulated,PcB target,PDLIM3
6,EYA4,800.994906584477,-3.19098764844849,0.189487236175093,-16.8401192231223,1.23986441239629e-63,6.77666762097122e-61,Downregulated,PcB target,EYA4
7,MAGEA6,350.268419182366,6.03401502257508,0.376817879337977,16.0130804652266,1.03553425046833e-57,4.82137076393977e-55,Upregulated,PcB target,MAGEA6
8,CDH8,379.598642087865,3.06664398493975,0.197961130115012,15.4911420396423,3.98154484523481e-54,1.43005714998419e-51,Upregulated,PcB target,CDH8
9,ITPKB,1897.00053047159,-1.82785244195974,0.119654945058701,-15.2760292611643,1.10469943447677e-52,3.65452015547565e-50,Downregulated,PcB target,ITPKB
10,NT5E,285.683928710892,-5.28789411264181,0.351387102434046,-15.0486289223843,3.52463622960515e-51,1.05495719148491e-48,Downregulated,PcB target,NT5E
11,SLIT2,483.848039740238,3.630365628728,0.244851777148832,14.8267889700523,9.83250583205371e-50,2.74676512921661e-47,Upregulated,PcB target,SLIT2
12,WLS,2418.74463821404,1.6928887613132,0.118784102402316,14.2518125496244,4.3679517471918e-46,1.07665728262643e-43,Upregulated,PcB target,WLS
13,RAB29,194.875300146779,-3.3942732524352,0.240269410028653,-14.1269471300172,2.59136981253842e-45,6.03261294692973e-43,Downregulated,PcB target,RAB29
14,ANK1,387.440615080076,-3.54629303255108,0.251409525209675,-14.1056430920566,3.50578726853669e-45,8.01295486414085e-43,Downregulated,PcB target,ANK1
15,STOM,468.523918909637,-2.63030985267216,0.188467541519867,-13.9563016074834,2.87995471467452e-44,6.13625605392769e-42,Downregulated,PcB target,STOM
16,RIMS4,1159.3341581593,-2.54757771057692,0.182762191444275,-13.9393038048227,3.65487912719556e-44,7.6241894784108e-42,Downregulated,PcB target,RIMS4
17,LINC01694,237.239077924703,4.37015824441112,0.313843482521968,13.9246423385747,4.48782404558946e-44,9.09942517372664e-42,Upregulated,PcB target,LINC01694
18,HSPA12A,353.951599107879,2.61456898425437,0.189588328545857,13.7907697394039,2.89652717670636e-43,5.43466315498143e-41,Upregulated,PcB target,HSPA12A
19,CDH11,227.170807351541,3.2057301184204,0.233723903743316,13.7158847130204,8.15653575919372e-43,1.48602624679455e-40,Upregulated,PcB target,CDH11
20,VCAN,878.163811715014,2.49857541983716,0.182493674701871,13.6912987473069,1.14445208124085e-42,2.05527244475411e-40,Upregulated,PcB target,VCAN
21,PCDH1,290.054928749601,-3.11919490381155,0.231403114030824,-13.4794854290339,2.06542264734038e-41,3.55677097256383e-39,Downregulated,PcB target,PCDH1
22,RUNX1,246.066106814814,-3.29101895266785,0.247643696506609,-13.2893305950956,2.66955748198118e-40,4.30243680845967e-38,Downregulated,PcB target,RUNX1
23,ARHGAP29,511.884944383011,-2.80504311509852,0.213875224862519,-13.1153251476492,2.69025938491421e-39,4.1752161392292e-37,Downregulated,PcB target,ARHGAP29
24,ADARB2,324.155308292044,7.41749926906165,0.570207475543921,13.0084216486045,1.09582081147454e-38,1.60180970012167e-36,Upregulated,PcB target,ADARB2
25,LMO2,167.960312981889,-6.58669694196464,0.50808174177158,-12.9638528615457,1.96142755664169e-38,2.8341500936256e-36,Downregulated,PcB target,LMO2
26,TNFRSF19,323.239810112533,-2.22911323447404,0.172109779371608,-12.9516942187294,2.29825229800378e-38,3.28310564070517e-36,Downregulated,PcB target,TNFRSF19
27,OTULINL,324.686506442772,5.97534335181426,0.461500265870658,12.9476487744623,2.42260865465726e-38,3.42186667389847e-36,Upregulated,PcB target,OTULINL
28,S1PR3,195.405295049565,-4.77778591472116,0.370116369575421,-12.9088749038633,4.01119004313127e-38,5.42200753034443e-36,Downregulated,PcB target,S1PR3
29,LIMS2,166.649580686844,4.61932551526402,0.358175293964687,12.8968289915592,4.69002204006865e-38,6.20613337533716e-36,Upregulated,PcB target,LIMS2
