,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,5.38042806802427,0.206914378096898,26.0031618755108,4.56072726446922e-149,5.73329024416425e-145,Upregulated,Non-PcB,NA
2,KLHDC8A,2541.52438895207,-3.5315041846945,0.155551603806297,-22.7031036535769,4.17460212069735e-114,2.62394616296432e-110,Downregulated,Non-PcB,NA
3,LOC105371692,926.056816580386,-3.72515184672346,0.169838640238094,-21.9334766311201,1.24538894056605e-106,5.21859479061861e-103,Downregulated,Non-PcB,NA
4,GSN,998.927562272758,-2.80844743680816,0.13473901240257,-20.8436100779568,1.74194267781067e-96,5.47449035068948e-93,Downregulated,PcB target,GSN
5,PRSS12,591.356820159928,3.53958880649373,0.170592147940433,20.748837793693,1.25590682985243e-95,3.15760095161498e-92,Upregulated,Non-PcB,NA
6,WWTR1,594.696609855573,-4.98900113733154,0.240917326840496,-20.7083533706756,2.91242830484308e-95,6.10202270336373e-92,Downregulated,Non-PcB,NA
7,ARHGEF6,1534.88136495305,-3.43938075706124,0.17246722151666,-19.942228597502,1.75087856377692e-88,3.14432777503423e-85,Downregulated,Non-PcB,NA
8,DAB1,442.016710500266,4.65017786264319,0.234334639684967,19.8441761273312,1.23740270328166e-87,1.94442367286922e-84,Upregulated,Non-PcB,NA
9,LRRN2,975.639956130488,-3.66035855527967,0.195918802612279,-18.6830386184192,6.80337743047392e-78,9.50280640872085e-75,Downregulated,Non-PcB,NA
10,EYA4,800.994906584477,-3.86566918361195,0.208841854296197,-18.5100309353189,1.71402194802589e-76,2.15469699086334e-73,Downregulated,PcB target,EYA4
11,KITLG,462.924994792144,4.41448807816346,0.245415977157447,17.9877778508746,2.42904876455082e-72,2.77596109265167e-69,Upregulated,Non-PcB,NA
12,SFRP1,671.963696465279,-6.51650770137095,0.366584809946451,-17.7762622033435,1.07940748455089e-70,1.13076929069077e-67,Downregulated,PcB target,SFRP1
13,PRKCQ,568.063700977169,3.53545508690404,0.199070942296725,17.7597747120434,1.44814649326547e-70,1.40035765898771e-67,Upregulated,Non-PcB,NA
14,EPB41L3,557.628730275766,2.83142285379663,0.159830514370875,17.7151582408508,3.20325429419665e-70,2.87629355231044e-67,Upregulated,Non-PcB,NA
15,CDH6,1092.50514608623,3.00508527818847,0.170537085631664,17.6213007690247,1.69072299849576e-69,1.41693858760601e-66,Upregulated,Non-PcB,NA
16,TARID,493.886787495417,-4.29471834731448,0.245291450206715,-17.5086344986553,1.23111948557789e-68,9.67275190824979e-66,Downregulated,Non-PcB,NA
17,ABLIM1,1584.49388415234,2.37616309254043,0.138375850090562,17.1718048415624,4.31782675281882e-66,3.19290588880502e-63,Upregulated,PcB target,ABLIM1
18,AMPH,302.127908916464,5.10355591005492,0.304988985615097,16.7335744920825,7.46223362725698e-63,5.21154105156931e-60,Upregulated,Non-PcB,NA
19,SYT1,467.059471626301,3.18698737783422,0.195111656498488,16.3341721095936,5.63925546102365e-60,3.73110949476465e-57,Upregulated,Non-PcB,NA
20,MAGEA6,350.268419182366,6.09294298797331,0.377451719559373,16.1423108499441,1.28633731253376e-58,8.08527317793093e-56,Upregulated,PcB target,MAGEA6
21,SFRP2,1486.47176246776,4.15191675923784,0.262041276883282,15.8445143017952,1.53401641256216e-56,9.18291443919947e-54,Upregulated,Non-PcB,NA
22,S100A4,542.967029443274,3.5324077144855,0.227216297167861,15.5464540110689,1.68162298621216e-54,9.6089466180332e-52,Upregulated,Non-PcB,NA
23,ITPKB,1897.00053047159,-1.89082321510092,0.121894282205662,-15.5119926947082,2.87806433735672e-54,1.57304986021354e-51,Downregulated,PcB target,ITPKB
24,ADCYAP1R1,469.755685387403,-3.69649714802867,0.238375858084919,-15.5070113967323,3.11022159128015e-54,1.62910815099928e-51,Downregulated,Non-PcB,NA
25,CGNL1,1188.00074966159,2.81146024741028,0.182552339979119,15.4008447535203,1.61545086998512e-53,8.1231331546332e-51,Upregulated,Non-PcB,NA
26,SORL1,384.995737529054,-6.19116655114946,0.40371991799321,-15.3353012205199,4.44207424755618e-53,2.14774289869341e-50,Downregulated,Non-PcB,NA
27,LOC101928034,265.75030942444,3.99869679549631,0.260993037160425,15.3210861063639,5.52859168683198e-53,2.55528815989923e-50,Upregulated,Non-PcB,NA
28,TENM4,408.139782015451,-3.42292696716958,0.223440346062079,-15.3191982893662,5.69151765787753e-53,2.55528815989923e-50,Downregulated,Non-PcB,NA
29,PALM2AKAP2,1297.46975425243,2.14178567524609,0.139887130905828,15.3108128058466,6.47496773414336e-53,2.80678687537642e-50,Upregulated,Non-PcB,NA
30,KAZN,334.961892443747,-3.43908618970684,0.225079914509526,-15.2794006395506,1.0490106833173e-52,4.39570443332725e-50,Downregulated,Non-PcB,NA
31,DMRTA2,524.163455548573,-7.5810560624251,0.498314386784238,-15.2133999408441,2.88179412250513e-52,1.16861399722619e-49,Downregulated,PcB target,DMRTA2
32,ISLR2,508.794478946576,-7.16443160303,0.476302470834139,-15.0417687115565,3.90962906161689e-51,1.53587334167456e-48,Downregulated,Non-PcB,NA
33,ITGB5,2277.29725665492,-2.11119050419371,0.141586529067271,-14.9109559934945,2.79718773854688e-50,1.06555900185675e-47,Downregulated,Non-PcB,NA
34,LOC107985485,245.372395392842,4.47311718422913,0.300065847376637,14.9071186319133,2.9626407617785e-50,1.0953928534211e-47,Upregulated,Non-PcB,NA
35,CERK,1852.98494157209,1.35018035687714,0.0909984021542589,14.8374073051122,8.39378955448884e-50,3.01480938541369e-47,Upregulated,Non-PcB,NA
36,CEMIP2,943.410231838981,2.55196857809828,0.172988571631446,14.752237989081,2.9762889376936e-49,1.03930356210406e-46,Upregulated,Non-PcB,NA
37,PLK2,474.868710239404,3.30977272088674,0.226923436082718,14.585416024109,3.47795330305813e-48,1.18165813439848e-45,Upregulated,Non-PcB,NA
38,STK32B,334.305804935746,-5.733506889842,0.393406229426057,-14.5740114441163,4.11029388637119e-48,1.35975011698874e-45,Downregulated,Non-PcB,NA
39,TRIB2,2772.45936354416,-1.43834695808577,0.0991551653617512,-14.5060214749095,1.10973089712166e-47,3.57703259172216e-45,Downregulated,Non-PcB,NA
40,SLIT2,483.848039740238,3.53819527675041,0.245779473423196,14.3958127481954,5.49748012263642e-47,1.72772056554156e-44,Upregulated,PcB target,SLIT2
41,VCAN,878.163811715014,2.62556276613024,0.182842729664654,14.3596782379354,9.2656322560809e-47,2.84093324612666e-44,Upregulated,PcB target,VCAN
42,PDLIM3,306.845875619076,-5.87213741345175,0.410304571924595,-14.3116548419327,1.85056775963006e-46,5.53892554912132e-44,Downregulated,PcB target,PDLIM3
43,GFAP,1527.52564353797,-5.23767560108828,0.370006334149317,-14.1556376680152,1.72367094457569e-45,5.03913196378162e-43,Downregulated,Non-PcB,NA
44,PRKX,565.915793077985,1.84240095899671,0.130351954451254,14.1340493646813,2.34276253132781e-45,6.69337904120953e-43,Upregulated,Non-PcB,NA
45,CDH8,379.598642087865,2.81524005227203,0.199871352799601,14.085260407952,4.67930733016115e-45,1.30719049883235e-42,Upregulated,PcB target,CDH8
46,COL23A1,408.440862074685,-7.48505317978803,0.533567504874656,-14.0283152767078,1.04607148727607e-44,2.85873144924946e-42,Downregulated,Non-PcB,NA
47,NDUFS2,2751.0075302903,-1.03205918905513,0.0738910572836127,-13.9673084537663,2.46777926333775e-44,6.60052194030188e-42,Downregulated,Non-PcB,NA
48,HSPA12A,353.951599107879,2.66667682084516,0.19102792593228,13.9596177251618,2.74904377424346e-44,7.19963110125303e-42,Upregulated,PcB target,HSPA12A
49,SLC44A5,225.650396913711,3.96233451107431,0.284001123630247,13.9518268816184,3.06648711844742e-44,7.86710399306175e-42,Upregulated,Non-PcB,NA
50,C1orf226,577.607915336474,-2.044884697114,0.146925617678537,-13.9178227011988,4.93716195412412e-44,1.24130125850589e-41,Downregulated,Non-PcB,NA
51,ANK1,387.440615080076,-3.84075138348876,0.276471770045607,-13.8920200889052,7.0809698900335e-44,1.74538965661983e-41,Downregulated,PcB target,ANK1
52,ARHGAP29,511.884944383011,-3.13334872476542,0.225637423196501,-13.8866535540812,7.631855271146e-44,1.84500101179955e-41,Downregulated,PcB target,ARHGAP29
53,SAT1,411.558286878828,-2.2135052032062,0.160370767567639,-13.8024232020504,2.46427676009421e-43,5.84498550021592e-41,Downregulated,Non-PcB,NA
54,SHC1,2719.57178847873,-1.36001918887038,0.0989791962773399,-13.7404549644918,5.81094781854373e-43,1.35276713012802e-40,Downregulated,Non-PcB,NA
55,KIF26A,265.609724508029,4.66882754081852,0.339823744082992,13.7389679859401,5.93152565359779e-43,1.35573107257051e-40,Upregulated,Non-PcB,NA
56,WLS,2418.74463821404,1.63704206546782,0.119289504491585,13.7232698923927,7.36666636308283e-43,1.65368505089847e-40,Upregulated,PcB target,WLS
57,ZNF704,708.107700236034,1.80105731506063,0.131419382384863,13.7046551458157,9.52186285725142e-43,2.09998838558785e-40,Upregulated,Non-PcB,NA
58,CD44,756.170409562657,-4.76275601037318,0.34829344307077,-13.6745497370889,1.44096462809276e-42,3.12316661030242e-40,Downregulated,Non-PcB,NA
59,GNG12-AS1,2329.55937921613,1.69950568371929,0.124924883808548,13.6042206476961,3.77976048585401e-42,8.05345238435098e-40,Upregulated,Non-PcB,NA
60,PCDH1,290.054928749601,-3.60847708224473,0.265491259046873,-13.5916982547725,4.4855038752768e-42,9.39787820268412e-40,Downregulated,PcB target,PCDH1
