,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,PCDH1,290.054928749601,1.36641827018761,0.326112604918548,4.19001979555158,2.78930119558322e-05,0.350643053296767,NS,PcB target,NA
2,WASH7P,107.652638868929,0.0772692807728051,0.26147655371074,0.295511317080784,0.767603308385772,1,NS,Non-PcB,NA
3,MTND2P28,1119.76088679316,-0.0321369801594785,0.144503972377287,-0.222395133024937,0.824006300247521,1,NS,Non-PcB,NA
4,MTCO1P12,320.924365784948,-0.396149267683461,0.574463293865978,-0.689598921138175,0.490446446028081,1,NS,Non-PcB,NA
5,MTATP6P1,1386.00563902865,-0.00212471664005703,0.166509049703268,-0.0127603673424564,0.989818976198915,1,NS,Non-PcB,NA
6,LOC100288069,54.4200833015451,0.519159233059983,0.366787572500803,1.4154220916491,0.156944776154934,1,NS,Non-PcB,NA
7,LINC01128,169.260408951302,-0.126451261208331,0.198324245416021,-0.637598599924467,0.523735007297419,1,NS,Non-PcB,NA
8,SAMD11,221.232278017368,0.0725554679570236,0.191222495579015,0.379429563123984,0.704368900744619,1,NS,PcB target,NA
9,NOC2L,2748.94928540186,-0.0110065135242101,0.102757864784459,-0.107111154433745,0.914700798120156,1,NS,Non-PcB,NA
10,KLHL17,144.013850691287,0.0346986508091944,0.256851242853995,0.135092399879562,0.892538819111923,1,NS,PcB target,NA
11,HES4,359.629755071128,0.0444120481348618,0.23933900919538,0.185561260089478,0.852788835826214,1,NS,Non-PcB,NA
12,ISG15,334.374548158745,-0.180403114463647,0.176477257865215,-1.02224567995855,0.306664635556481,1,NS,PcB target,NA
13,AGRN,10313.7281323572,0.143633967154012,0.259736332686167,0.552999134424376,0.580264002874433,1,NS,Non-PcB,NA
14,C1orf159,252.681975104202,0.293933880636851,0.204992995250969,1.43387280271208,0.151608564426925,1,NS,PcB target,NA
15,SDF4,2248.39564803208,-0.0203401245541383,0.116752737817917,-0.174215396865982,0.861696185621846,1,NS,PcB target,NA
16,B3GALT6,421.17112130731,0.321558365607763,0.160772923859168,2.00007786068156,0.0454918570040484,1,NS,Non-PcB,NA
17,UBE2J2,920.549198200512,0.00605582781980506,0.105747452288031,0.057266890963107,0.954332594237025,1,NS,Non-PcB,NA
18,ACAP3,985.683600665467,0.0436225057113521,0.231115718233973,0.188747464017961,0.8502907492266,1,NS,Non-PcB,NA
19,PUSL1,194.511840774096,0.298478845356925,0.222632410295142,1.34068011463934,0.180024333525498,1,NS,Non-PcB,NA
20,INTS11,1117.19243018308,-0.074986681077652,0.127513213897986,-0.588069885350417,0.556485385579253,1,NS,Non-PcB,NA
21,CPTP,233.010667570868,-0.068905457692348,0.193786391017439,-0.355574286360218,0.722159403235565,1,NS,Non-PcB,NA
22,DVL1,1313.03785905769,0.00904663300181856,0.169094687437147,0.0535003975520002,0.957333213903953,1,NS,Non-PcB,NA
23,MXRA8,1943.58578455165,-0.0306143412765936,0.175151591103497,-0.174787685819558,0.861246464677119,1,NS,Non-PcB,NA
24,AURKAIP1,817.656846361154,-0.133353633952754,0.135703537719247,-0.982683548225882,0.325763210209035,1,NS,Non-PcB,NA
25,CCNL2,943.712328315829,-0.012731010562831,0.201061330167101,-0.0633190407735308,0.949512453841505,1,NS,Non-PcB,NA
26,MRPL20-AS1,313.710074368628,0.012280054910619,0.144552560180982,0.0849521786071739,0.932299409149306,1,NS,Non-PcB,NA
27,MRPL20,660.498600393337,0.16658193239953,0.137050157321807,1.21548151169487,0.224182496036842,1,NS,Non-PcB,NA
28,VWA1,412.823077739069,-0.581002246521918,0.300366771505943,-1.93430932326155,0.0530751076173722,1,NS,Non-PcB,NA
29,ATAD3B,481.821860737076,0.13870676572382,0.149485448614876,0.927894768414377,0.353462158432151,1,NS,PcB target,NA
30,ATAD3A,900.910054754753,0.136476602021398,0.136180138509746,1.00217699522777,0.316258116410778,1,NS,Non-PcB,NA
31,SSU72,1388.15134862241,0.100406893288256,0.106698602655757,0.941032879429546,0.346688010036589,1,NS,PcB target,NA
32,FNDC10,96.6717057910711,0.156391305938644,0.370716979012544,0.421861729546928,0.673125945448952,1,NS,Non-PcB,NA
33,MIB2,489.555198237853,-0.187485580531412,0.184894974285483,-1.014011231273,0.310577393134425,1,NS,Non-PcB,NA
34,LOC124903821,267.549253142633,-0.0189290616249076,0.223139702199004,-0.0848305408601198,0.932396112951047,1,NS,Non-PcB,NA
