,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC105371692,926.056816580386,2.03943862863077,0.163410392153375,12.480470805777,9.5420754744997e-36,1.19953430789936e-31,Upregulated,Non-PcB,NA
2,PCDH1,290.054928749601,3.26680297387664,0.301818177320159,10.823744954272,2.65694114202713e-27,1.67002035482115e-23,Upregulated,PcB target,PCDH1
3,LRRN2,975.639956130488,1.93539830434499,0.193368294626561,10.0088709376203,1.39333567490072e-23,5.83854092305897e-20,Upregulated,Non-PcB,NA
4,EFHD1,281.274649936933,1.99299068075407,0.215899661148216,9.23109684450074,2.67874593164202e-20,7.7542206842106e-17,Upregulated,PcB target,EFHD1
5,SEZ6L2,145.026903643611,2.61420842977914,0.283660056223442,9.21599066355645,3.08417018702195e-20,7.7542206842106e-17,Upregulated,Non-PcB,NA
6,GPX3,163.448024600087,2.1566100813248,0.250186347786507,8.62001504240797,6.69453176957299e-18,1.40261598125503e-14,Upregulated,Non-PcB,NA
7,CDKN2A,382.938793130168,1.31889787393306,0.158528212361232,8.31964137038105,8.82298640177408e-17,1.58448231509574e-13,Upregulated,PcB target,CDKN2A
8,GNG7,434.630984083606,1.42930867465729,0.173229668060768,8.2509462187268,1.57145264569151e-16,2.44347412271072e-13,Upregulated,Non-PcB,NA
9,HLA-B_1,1792.61598431093,1.94777877931087,0.23643484043812,8.23812081037457,1.74936497529206e-16,2.44347412271072e-13,Upregulated,Non-PcB,NA
10,SYN3,547.760058070466,1.32780009891574,0.162738909487978,8.15908194969092,3.37580556722387e-16,4.24372517855713e-13,Upregulated,Non-PcB,NA
11,RPH3A,128.926473390688,2.68410385745695,0.333070765670892,8.058659402456,7.71356895879565e-16,8.81520685282002e-13,Upregulated,Non-PcB,NA
12,LOC105371623,143.642916496741,2.0457030941201,0.258976468407864,7.8991852298268,2.80732431775279e-15,2.94090616653919e-12,Upregulated,Non-PcB,NA
13,PDLIM3,306.845875619076,3.51898067754571,0.448684027018383,7.84289269428691,4.40284212574225e-15,4.25754833559276e-12,Upregulated,PcB target,PDLIM3
14,RTN1,418.172954342653,1.58185397377352,0.202103306569663,7.82695741411967,4.99818297479678e-15,4.48801129829788e-12,Upregulated,PcB target,RTN1
15,RAB29,194.875300146779,2.12102654756334,0.272484948943576,7.78401359703188,7.0259202084535e-15,5.88818952936459e-12,Upregulated,PcB target,RAB29
16,SP8,113.620198666822,-2.02175159512256,0.262638263004885,-7.69785625289853,1.38367898974357e-14,1.08713928625415e-11,Downregulated,PcB target,SP8
17,DLX5,87.3454416098407,-2.09323521145992,0.273379266488468,-7.65689087671988,1.90488357162172e-14,1.36609588483484e-11,Downregulated,PcB target,DLX5
18,TMEM132B,87.5325441310767,2.24583017533334,0.293438952074471,7.65348349105124,1.95606761013659e-14,1.36609588483484e-11,Upregulated,Non-PcB,NA
19,HLA-C_2,310.644262635977,1.73585885570067,0.228620209940338,7.59276205788486,3.13157287862679e-14,2.0719475082746e-11,Upregulated,Non-PcB,NA
20,CD74,40.5522095237788,3.83603256383798,0.507718712824186,7.55542875798301,4.17482285094116e-14,2.62408490295906e-11,Upregulated,Non-PcB,NA
21,MAML3,142.198757537565,2.55149345458602,0.33937378169134,7.51823974695427,5.55186271837629e-14,3.32345077298611e-11,Upregulated,PcB target,MAML3
22,CPNE5,228.162522828269,2.30926191292781,0.310082896840594,7.44724051683166,9.53127649183374e-14,5.44625803540191e-11,Upregulated,PcB target,CPNE5
23,GRIA1,1798.37038848146,1.31457330351424,0.179336096936692,7.33022144436601,2.29772743889631e-13,1.25585789714633e-10,Upregulated,Non-PcB,NA
24,COL1A1,109.269403430309,3.02112252565602,0.413948977421306,7.29829686855635,2.91433066277457e-13,1.52650211507246e-10,Upregulated,Non-PcB,NA
25,CDKN1A,166.029303687346,2.28592288072797,0.314930238713127,7.25850553465029,3.91390378206948e-13,1.96246380737802e-10,Upregulated,Non-PcB,NA
26,ITGA5,301.47651666796,1.87511283844004,0.258508479952992,7.2535834754087,4.05887033583873e-13,1.96246380737802e-10,Upregulated,PcB target,ITGA5
27,SCD5,1062.18630782051,0.884858660220853,0.122700652766836,7.21152365751733,5.53292326387918e-13,2.57608808704538e-10,Upregulated,Non-PcB,NA
28,COL1A2,122.296855787633,-3.37988823504855,0.484436762222626,-6.97694415168125,3.01669555123432e-12,1.32068981197288e-09,Downregulated,Non-PcB,NA
29,FAIM2,137.896266874037,1.84899287976432,0.265067561106003,6.97555322141017,3.04669513540795e-12,1.32068981197288e-09,Upregulated,Non-PcB,NA
30,NMNAT2,326.823107883887,3.74528246481622,0.538927981848294,6.94950455526821,3.6657128770342e-12,1.53605588590657e-09,Upregulated,Non-PcB,NA
31,ABHD4,898.227835171181,1.32689383587082,0.191158339537985,6.94133376068142,3.88415119709378e-12,1.57508595802148e-09,Upregulated,PcB target,ABHD4
32,SDK1,357.363466871955,1.34667917227193,0.194961414671365,6.90741383130582,4.93568564565319e-12,1.93895325785957e-09,Upregulated,Non-PcB,NA
33,EYA4,800.994906584477,1.52063194600383,0.220611794311987,6.89279533193662,5.47065579488263e-12,2.08398830295362e-09,Upregulated,PcB target,EYA4
34,CXCL16,45.4877202739658,2.72922971233977,0.3964420548236,6.88430926823382,5.80685975471376e-12,2.14700099930902e-09,Upregulated,Non-PcB,NA
35,PLAAT3,80.308087559322,1.89782089950965,0.276303606483571,6.86860705027567,6.48318141064688e-12,2.32857352894977e-09,Upregulated,Non-PcB,NA
36,TIMP3,520.125370383113,1.27174100580858,0.186367528560145,6.8238336132582,8.86425448680632e-12,3.03687983247372e-09,Upregulated,Non-PcB,NA
37,IDS,2759.99268063813,0.773461044619906,0.113366866251949,6.82263760295668,8.93839422492465e-12,3.03687983247372e-09,Upregulated,Non-PcB,NA
38,RAB31,52.9061728133671,2.70380149338663,0.397258161346571,6.80615719566754,1.00240181808268e-11,3.31610348818878e-09,Upregulated,Non-PcB,NA
39,IGSF9B,305.638615009458,1.6435414764478,0.242563156147976,6.77572596987959,1.23783103658743e-11,3.9899420412668e-09,Upregulated,PcB target,IGSF9B
40,TMEM59L,87.6026931250309,2.40394336432931,0.355463164342352,6.76284804018128,1.35305135075292e-11,4.25230213257874e-09,Upregulated,Non-PcB,NA
41,SKAP2,67.3615053474955,2.09842309181665,0.310587401272806,6.75630461254122,1.41555653343283e-11,4.34023443458149e-09,Upregulated,Non-PcB,NA
42,RIMS4,1159.3341581593,1.24753578395584,0.18492499240943,6.7461718813742,1.51796786153106e-11,4.54342237793023e-09,Upregulated,PcB target,RIMS4
43,RRAGD,103.320519850599,1.71626780189292,0.262211148873457,6.54536547841901,5.93500605811417e-11,1.73509211991984e-08,Upregulated,PcB target,RRAGD
44,SEZ6L,782.480336005574,1.32121708983544,0.203710005903728,6.48577414729368,8.82773228947988e-11,2.52212324116026e-08,Upregulated,Non-PcB,NA
45,TNR,232.679912925088,1.80469128707088,0.278467181050375,6.48080423791274,9.12349844559734e-11,2.54869997688009e-08,Upregulated,Non-PcB,NA
46,HLA-B_4,79.4178035212805,2.07755474270131,0.321699960301518,6.4580509763013,1.06060019211777e-10,2.89843587285054e-08,Upregulated,Non-PcB,NA
47,TRAM2,899.29193419874,0.734620988153194,0.114284810562335,6.42798447613917,1.29306942696264e-10,3.45854803539305e-08,Upregulated,Non-PcB,NA
48,SLC6A1,226.059314176843,1.68833703032861,0.265704934221655,6.35418019343282,2.09541093557365e-10,5.39209714956465e-08,Upregulated,Non-PcB,NA
49,HEPACAM,224.407405303063,1.77755828246365,0.27976677413252,6.3537147610733,2.10176406275291e-10,5.39209714956465e-08,Upregulated,Non-PcB,NA
50,ATP1A2,947.578804665731,3.30901388271116,0.521334233175576,6.34720237448275,2.19265615985337e-10,5.51277611710333e-08,Upregulated,Non-PcB,NA
51,CLU,2793.81492568691,0.749484262300327,0.119170520872937,6.28917501417527,3.19157497015405e-10,7.57005451883143e-08,Upregulated,Non-PcB,NA
52,SCAMP5,561.362709590756,0.996137645253629,0.158272748932496,6.29380390479278,3.09779123465923e-10,7.57005451883143e-08,Upregulated,Non-PcB,NA
53,HLA-B_3,210.303929624427,1.79110239562601,0.284657952448615,6.29212140472108,3.13156402532477e-10,7.57005451883143e-08,Upregulated,Non-PcB,NA
54,CADM3,389.653391220031,1.37453830901761,0.219140724980695,6.27240011704215,3.55524526016025e-10,8.27647928990269e-08,Upregulated,Non-PcB,NA
55,DNER,861.035964001249,0.830964612209872,0.135324350703466,6.14054017543933,8.22413307742848e-10,1.87973776211552e-07,Upregulated,Non-PcB,NA
56,SORL1,384.995737529054,2.49602073284507,0.41063313792078,6.07846883834935,1.21335555466716e-09,2.72376654959301e-07,Upregulated,Non-PcB,NA
57,AGT,728.819432904474,1.08822758437186,0.179360024111429,6.06728054237874,1.30094200794287e-09,2.79007807986501e-07,Upregulated,Non-PcB,NA
58,TENM2,1376.40871028589,0.770231214299488,0.126880623779166,6.07051881806686,1.27497674850458e-09,2.79007807986501e-07,Upregulated,Non-PcB,NA
59,HLA-C_4,767.361928366689,1.5941051918779,0.262783524276984,6.06622959435484,1.309479012903e-09,2.79007807986501e-07,Upregulated,Non-PcB,NA
60,LIMCH1,133.848987056983,1.9278962455382,0.318291782527405,6.057009170107,1.38675686364218e-09,2.88536657194478e-07,Upregulated,PcB target,LIMCH1
61,DPF3,133.063802644587,1.58852482262901,0.262329023973637,6.05546728519316,1.40010628341923e-09,2.88536657194478e-07,Upregulated,Non-PcB,NA
62,SPARCL1,137.175387878807,2.09186781625026,0.346753981086046,6.03271463444616,1.61227984904033e-09,3.26902741649775e-07,Upregulated,Non-PcB,NA
63,GSN,998.927562272758,0.825735045485129,0.139196828272782,5.9321398032644,2.99011844959613e-09,5.9664728618846e-07,Upregulated,PcB target,GSN
64,ADCYAP1R1,469.755685387403,1.34212853732981,0.22661367416433,5.92253994503687,3.17006770325566e-09,6.2267064215042e-07,Upregulated,Non-PcB,NA
65,FADS1,1044.47586529478,-0.61064731631245,0.103240094379524,-5.91482718010341,3.32224222244555e-09,6.42521645820969e-07,Downregulated,Non-PcB,NA
66,OLIG1,80.0478485714976,3.29774511365225,0.557952479827123,5.91044082226146,3.41193412803652e-09,6.49870059447683e-07,Upregulated,Non-PcB,NA
67,CCT5,5181.2857577854,-0.498680186507207,0.0851758227971636,-5.85471522470357,4.7782805589619e-09,8.83349483922207e-07,NS,Non-PcB,NA
68,LOC107984406,144.234785722604,1.76056513778646,0.300697760267697,5.85493266135109,4.77203328563251e-09,8.83349483922207e-07,Upregulated,Non-PcB,NA
