,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,DMRTA2,524.163455548573,-5.09279915141251,0.221408120788262,-23.0018625029697,4.46544480341951e-117,2.80675533118933e-113,Downregulated,PcB target,DMRTA2
2,SFRP1,671.963696465279,-5.69882393403754,0.271542947679391,-20.9868235678361,8.65393004675368e-98,1.81314257696234e-94,Downregulated,PcB target,SFRP1
3,ABLIM1,1584.49388415234,2.44106464545971,0.137885691301909,17.7035385065072,3.93770158902083e-70,4.12507055629841e-67,Upregulated,PcB target,ABLIM1
4,GSN,998.927562272758,-2.17614331567916,0.124197085966756,-17.5216938363727,9.78677257678612e-69,9.46380908175218e-66,Downregulated,PcB target,GSN
5,WLS,2418.74463821404,2.01591358050656,0.118587546371379,16.9993700197941,8.30071657538241e-65,6.08630035966494e-62,Upregulated,PcB target,WLS
6,MAGEA6,350.268419182366,6.10594578602946,0.376812414878489,16.2042054479507,4.7093430090828e-59,2.4667146236325e-56,Upregulated,PcB target,MAGEA6
7,HSPA12A,353.951599107879,3.02602922630114,0.188572876091842,16.0470015042214,5.99932516929918e-58,3.0167006681304e-55,Upregulated,PcB target,HSPA12A
8,RPS6KA2,1053.99229118526,2.12861154082228,0.135604046440375,15.6972568053729,1.5792486259929e-55,6.61757815911894e-53,Upregulated,PcB target,RPS6KA2
9,EYA4,800.994906584477,-2.82369037914283,0.186150147170033,-15.1688860958225,5.68331469305477e-52,2.04128425732547e-49,Downregulated,PcB target,EYA4
10,LINC01694,237.239077924703,4.72240127150441,0.31318871427632,15.0784528823664,2.24467331325999e-51,7.62642924891658e-49,Upregulated,PcB target,LINC01694
11,SLIT2,483.848039740238,3.54127635491112,0.245098119874893,14.4484027732188,2.56566724112035e-47,7.33022792911908e-45,Upregulated,PcB target,SLIT2
12,PDLIM3,306.845875619076,-2.97458446840013,0.208296750951808,-14.2805130411676,2.89462572444338e-46,7.58090416291202e-44,Downregulated,PcB target,PDLIM3
13,NT5E,285.683928710892,-3.46810277174176,0.244748815021438,-14.1700492868085,1.40401939817335e-45,3.52998557088744e-43,Downregulated,PcB target,NT5E
14,STOM,468.523918909637,-2.60589349005283,0.189104027198831,-13.7802114986843,3.35288463888864e-43,7.26708841301191e-41,Downregulated,PcB target,STOM
15,LIMS2,166.649580686844,4.85848023460028,0.357677106236641,13.5834252455226,5.02217598226579e-42,1.05222957121772e-39,Upregulated,PcB target,LIMS2
16,ITPKB,1897.00053047159,-1.60600252516647,0.11909795814143,-13.4847192196135,1.92396533088812e-41,3.90099486687008e-39,Downregulated,PcB target,ITPKB
17,CDH11,227.170807351541,3.08972867085298,0.234387225401965,13.1821547251742,1.11169674762289e-39,2.0551676197599e-37,Upregulated,PcB target,CDH11
18,ADARB2,324.155308292044,7.50049897354459,0.570194584927424,13.1542795596687,1.60808944552397e-39,2.8878989170974e-37,Upregulated,PcB target,ADARB2
19,CDH8,379.598642087865,2.57575700580573,0.199480877657002,12.912300347077,3.83665638015883e-38,6.34613254670745e-36,Upregulated,PcB target,CDH8
20,ADIPOR2,957.012721803751,-1.30087214823461,0.101390106066366,-12.8303657891738,1.1083963057573e-37,1.76375315945254e-35,Downregulated,PcB target,ADIPOR2
21,S1PR3,195.405295049565,-4.00308976920622,0.31679059905136,-12.6363906668746,1.33021317707494e-36,2.03928168890354e-34,Downregulated,PcB target,S1PR3
