,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,5.72604388566958,0.206084011615322,27.7849981703475,6.58520452513769e-170,8.27826060855059e-166,Upregulated,Non-PcB,NA
2,DMRTA2,524.163455548573,-5.09279915141251,0.221408120788262,-23.0018625029697,4.46544480341951e-117,2.80675533118933e-113,Downregulated,PcB target,DMRTA2
3,WWTR1,594.696609855573,-4.70775074717421,0.208489167873651,-22.5803133812074,6.7667286962003e-113,2.83548488133113e-109,Downregulated,Non-PcB,NA
4,PRSS12,591.356820159928,3.73239165884569,0.16937738367416,22.0359505967213,1.30281867165702e-107,4.09443338035009e-104,Upregulated,Non-PcB,NA
5,DAB1,442.016710500266,4.92640449322123,0.233108652183466,21.1335119785428,3.9133036388623e-99,9.83882800882761e-96,Upregulated,Non-PcB,NA
6,SFRP1,671.963696465279,-5.69882393403754,0.271542947679391,-20.9868235678361,8.65393004675368e-98,1.81314257696234e-94,Downregulated,PcB target,SFRP1
7,ZIC1,600.023909186776,-6.20622264569636,0.298067451625983,-20.8215375809767,2.76179984828899e-96,4.95979798469155e-93,Downregulated,Non-PcB,NA
8,KLHDC8A,2541.52438895207,-2.84086681113723,0.150214704765398,-18.9120420372562,9.0772708669196e-80,1.42637965085058e-76,Downregulated,Non-PcB,NA
9,GASK1B,315.118310633315,4.45577535672336,0.241628480462035,18.4406049659508,6.20431832731586e-76,8.66605396585418e-73,Upregulated,Non-PcB,NA
10,ARHGEF6,1534.88136495305,-3.05015009367995,0.166231396263217,-18.3488207537536,3.3735491120342e-75,4.24088858873819e-72,Downregulated,Non-PcB,NA
11,CDH6,1092.50514608623,3.08250892904525,0.169988810530107,18.1335990259153,1.73053182519958e-73,1.97768323405309e-70,Upregulated,Non-PcB,NA
12,ABLIM1,1584.49388415234,2.44106464545971,0.137885691301909,17.7035385065072,3.93770158902083e-70,4.12507055629841e-67,Upregulated,PcB target,ABLIM1
13,GSN,998.927562272758,-2.17614331567916,0.124197085966756,-17.5216938363727,9.78677257678612e-69,9.46380908175218e-66,Downregulated,PcB target,GSN
14,EPB41L3,557.628730275766,2.74072675779538,0.15911313734499,17.2250186472844,1.72372169630197e-66,1.54777896030086e-63,Upregulated,Non-PcB,NA
15,GNG12-AS1,2329.55937921613,2.13638699909515,0.124161418335046,17.2065286281619,2.37233001764476e-66,1.98817071012082e-63,Upregulated,Non-PcB,NA
16,KITLG,462.924994792144,4.19845238348737,0.245116176349878,17.1284182301151,9.10979614681673e-66,7.15745296010207e-63,Upregulated,Non-PcB,NA
17,WLS,2418.74463821404,2.01591358050656,0.118587546371379,16.9993700197941,8.30071657538241e-65,6.08630035966494e-62,Upregulated,PcB target,WLS
18,SORL1,384.995737529054,-3.96473215927026,0.233267343669129,-16.9965160871122,8.71477260949558e-65,6.08630035966494e-62,Downregulated,Non-PcB,NA
19,SYT1,467.059471626301,3.26917184236081,0.194036965076523,16.8481909674867,1.08173305246287e-63,7.15708747500566e-61,Upregulated,Non-PcB,NA
20,AMPH,302.127908916464,5.04730012578714,0.304380053107831,16.5822302554072,9.36864398439908e-62,5.88866117639404e-59,Upregulated,Non-PcB,NA
21,LOC107985485,245.372395392842,4.88192829150265,0.297931438657311,16.3860796749214,2.40461115330809e-60,1.43944603848743e-57,Upregulated,Non-PcB,NA
22,PRKCQ,568.063700977169,3.25320196909501,0.198908778600153,16.3552458166495,3.99094715622688e-60,2.28046348640582e-57,Upregulated,Non-PcB,NA
23,CGNL1,1188.00074966159,2.96856141822655,0.182022571045921,16.3087544647286,8.55187912783965e-60,4.67415967461184e-57,Upregulated,Non-PcB,NA
24,MAGEA6,350.268419182366,6.10594578602946,0.376812414878489,16.2042054479507,4.7093430090828e-59,2.4667146236325e-56,Upregulated,PcB target,MAGEA6
25,HSPA12A,353.951599107879,3.02602922630114,0.188572876091842,16.0470015042214,5.99932516929918e-58,3.0167006681304e-55,Upregulated,PcB target,HSPA12A
