,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,-4.62071736494037,0.166083413414133,-27.821666655047,2.37264143195352e-170,2.98264754410877e-166,Downregulated,Non-PcB,NA
2,LOC105371692,926.056816580386,3.85798936655246,0.158631289060119,24.3204817247015,1.19047530160883e-130,7.4827325082623e-127,Upregulated,Non-PcB,NA
3,WWTR1,594.696609855573,5.03013553035579,0.215154775731186,23.3791488627723,6.96598017164294e-121,2.91897789125745e-117,Upregulated,Non-PcB,NA
4,GSN,998.927562272758,3.0268816948282,0.131340711499349,23.0460278482898,1.61219607945739e-117,5.06672922871471e-114,Upregulated,PcB target,GSN
5,LRRN2,975.639956130488,3.98183199147738,0.188833469158442,21.0864737550121,1.05864709047738e-98,2.66165051487823e-95,Upregulated,Non-PcB,NA
6,EYA4,800.994906584477,4.41515195668904,0.209690428331201,21.0555722157971,2.03313475331057e-98,4.25975616397786e-95,Upregulated,PcB target,EYA4
7,PRSS12,591.356820159928,-3.1355846928687,0.154946538554595,-20.236558506687,4.66638207006774e-91,8.38015557183166e-88,Downregulated,Non-PcB,NA
8,ITPKB,1897.00053047159,2.38011831656216,0.119646636212647,19.8928978858376,4.68857960892102e-88,7.36751678296827e-85,Upregulated,PcB target,ITPKB
9,ARHGEF6,1534.88136495305,3.37044504617416,0.170888217607888,19.7230979019737,1.36599952490173e-86,1.90799778083774e-83,Upregulated,Non-PcB,NA
10,SFRP1,671.963696465279,7.38705495484372,0.374984010720131,19.6996531682975,2.17102133773955e-86,2.72919092367239e-83,Upregulated,PcB target,SFRP1
11,C1orf226,577.607915336474,2.70122849815249,0.137982096490461,19.5766593410126,2.4454168059303e-85,2.79466678794089e-82,Upregulated,Non-PcB,NA
12,TENM4,408.139782015451,4.27710005929874,0.220099215541362,19.432600197046,4.09103647562664e-84,4.28570162792521e-81,Upregulated,Non-PcB,NA
13,DAB1,442.016710500266,-4.46628321066996,0.231153626369699,-19.3217094657505,3.52772369807762e-83,3.41130881604106e-80,Downregulated,Non-PcB,NA
14,KLHDC8A,2541.52438895207,2.87715203501546,0.152129111677424,18.9125671167804,8.98732730137294e-80,8.06997796468281e-77,Upregulated,Non-PcB,NA
15,TARID,493.886787495417,4.21088047299754,0.227008633097218,18.5494287840331,8.24232311433535e-77,6.90761625802065e-74,Upregulated,Non-PcB,NA
16,SEMA3C,905.944991242487,-7.5189956302557,0.407713826729678,-18.4418460628781,6.06352488790832e-76,4.76403571036847e-73,Downregulated,Non-PcB,NA
17,COL23A1,408.440862074685,6.71560977893899,0.366158792045574,18.3407033364452,3.91696582160905e-75,2.89648102020278e-72,Upregulated,Non-PcB,NA
18,KAZN,334.961892443747,3.86909457404487,0.218105988527467,17.7395155454781,2.07718108395924e-70,1.45068018924731e-67,Upregulated,Non-PcB,NA
19,ANK1,387.440615080076,4.6014984159296,0.26324534802659,17.4798850214242,2.03909794806916e-68,1.34913159500933e-65,Upregulated,PcB target,ANK1
20,KITLG,462.924994792144,-4.01704156041812,0.233117486261809,-17.2318328617643,1.53218472476145e-66,9.63054708748812e-64,Downregulated,Non-PcB,NA
21,SLFN11,600.220786864598,-7.69617355840736,0.448059337817825,-17.1766837756131,3.96965033472783e-66,2.37630830275541e-63,Downregulated,Non-PcB,NA
22,SORL1,384.995737529054,6.51609008757358,0.385241820482264,16.9142853686457,3.53073457349443e-64,2.01749383288175e-61,Upregulated,Non-PcB,NA
23,SHC1,2719.57178847873,1.62193261653321,0.0969468449165965,16.7301227588021,7.90751450895858e-63,4.32197238661384e-60,Upregulated,Non-PcB,NA
24,DMRTA2,524.163455548573,7.58913304523894,0.454086436534052,16.7129701190047,1.05449887320825e-62,5.52337722295871e-60,Upregulated,PcB target,DMRTA2
25,NT5E,285.683928710892,6.88506885912528,0.41343259194292,16.6534254756477,2.85766443299245e-62,1.43694798348592e-59,Upregulated,PcB target,NT5E
26,NDUFS2,2751.0075302903,1.19187973874582,0.0720763238524182,16.5363558383788,2.00808525010304e-61,9.70909218424821e-59,Upregulated,Non-PcB,NA
27,ISLR2,508.794478946576,7.22828845750275,0.438552936758537,16.482134428124,4.93127141637777e-61,2.29596344352907e-58,Upregulated,Non-PcB,NA
28,LOC101928034,265.75030942444,-4.07263359744497,0.249300393464764,-16.3362501793267,5.45035127345927e-60,2.44701306638059e-57,Downregulated,Non-PcB,NA
29,STK32B,334.305804935746,6.28155477329158,0.385085519668534,16.3121032925322,8.09564626689314e-60,3.50932307659013e-57,Upregulated,Non-PcB,NA
30,S100A4,542.967029443274,-3.49403783303556,0.217307185881577,-16.0787956406543,3.59296117784664e-58,1.50557049889034e-55,Downregulated,Non-PcB,NA
31,PCDH1,290.054928749601,4.69962544622449,0.295809699299339,15.8873270800657,7.7565136635127e-57,3.14539139561349e-54,Upregulated,PcB target,PCDH1
32,CADM3,389.653391220031,3.33369957475678,0.210914172258135,15.8059533840937,2.83075237741769e-56,1.11204337926618e-53,Upregulated,Non-PcB,NA
33,EPB41L3,557.628730275766,-2.38296594520929,0.151878914074061,-15.6899063950857,1.77316854821985e-55,6.75469752111265e-53,Downregulated,Non-PcB,NA
34,BOC,3308.89680832389,2.36917076338922,0.151258661654193,15.6630419539584,2.70636880561371e-55,1.00064006633441e-52,Upregulated,Non-PcB,NA
35,TRIB2,2772.45936354416,1.52092270811516,0.0979981898279352,15.5199061409766,2.54422850496826e-54,9.13814186741602e-52,Upregulated,Non-PcB,NA
36,PGBD5,1176.39404768113,2.42718287744037,0.156716036133886,15.4877760905513,4.19554042528149e-54,1.46505940795038e-51,Upregulated,Non-PcB,NA
37,SFRP2,1486.47176246776,-3.95392875953132,0.257273968693791,-15.3685535291653,2.6604264045377e-53,9.03897846795768e-51,Downregulated,Non-PcB,NA
38,CHST2,258.973351906038,3.6177160894872,0.23545198270849,15.3649846048069,2.81105419585959e-53,9.29941113056602e-51,Upregulated,PcB target,CHST2
39,AMPH,302.127908916464,-3.88028979097478,0.25879763518597,-14.9935287785239,8.09362904481774e-51,2.60884642877958e-48,Downregulated,Non-PcB,NA
40,VCAN,878.163811715014,-2.74269602094269,0.183663163772566,-14.933293996498,2.00130654852783e-50,6.28960615538585e-48,Downregulated,PcB target,VCAN
41,RAB29,194.875300146779,3.85955330982324,0.259691919891854,14.8620461947007,5.81224453406427e-50,1.78209087896883e-47,Upregulated,PcB target,RAB29
42,GFAP,1527.52564353797,5.3548095684961,0.362852592212867,14.7575342809035,2.7515799977698e-49,8.23574098856288e-47,Upregulated,Non-PcB,NA
