,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GNG12-AS1,2329.55937921613,1.3109802390272,0.125004597589063,10.4874561761071,9.86485649707389e-26,1.24011111024716e-21,Upregulated,Non-PcB,NA
2,WLS,2418.74463821404,1.17677149592554,0.119457810478104,9.8509380945102,6.7907160622737e-23,4.26830458094213e-19,Upregulated,PcB target,WLS
3,CDKN2A,382.938793130168,1.48569622252149,0.171989831968483,8.63827940010863,5.70659194415141e-18,2.39125224433091e-14,Upregulated,PcB target,CDKN2A
4,CGNL1,1188.00074966159,1.47318638173516,0.184404649888601,7.98887871116652,1.36171582577257e-15,4.06879334649115e-12,Upregulated,Non-PcB,NA
5,SEZ6L2,145.026903643611,2.46166720916214,0.308961080024902,7.96756409889467,1.61832525116982e-15,4.06879334649115e-12,Upregulated,Non-PcB,NA
6,MAN1A1,472.116082588272,1.53046220581658,0.19948866921735,7.67192548740244,1.69433376030953e-14,3.54991161680851e-11,Upregulated,PcB target,MAN1A1
7,EZH2,543.647935338846,-1.39806349883302,0.185320379768771,-7.54403536501176,4.55647490201328e-14,8.18277799902985e-11,Downregulated,Non-PcB,NA
8,BACH2,738.713716830396,1.0989866398172,0.148764007789828,7.38744980149928,1.4967160858058e-13,2.35190223933308e-10,Upregulated,PcB target,BACH2
9,NID2,343.113917066185,1.60345643901951,0.227904440382366,7.03565247052367,1.98330706212402e-12,2.77023923088455e-09,Upregulated,Non-PcB,NA
10,PRSS23,1118.63106054765,0.829292156294552,0.118283411656228,7.01106050867689,2.36518409663286e-12,2.97327292787716e-09,Upregulated,Non-PcB,NA
11,ARID5B,257.229703898108,1.64625656214972,0.242330542492963,6.79343406412557,1.09495294214826e-11,1.25133213052234e-08,Upregulated,Non-PcB,NA
12,GASK1B,315.118310633315,1.70110078245643,0.256474518833752,6.63263075876593,3.29755991151571e-11,3.454468803972e-08,Upregulated,Non-PcB,NA
13,TENM2,1376.40871028589,0.822897677227597,0.126233146419062,6.51887163214474,7.08382430728446e-11,6.85005810514407e-08,Upregulated,Non-PcB,NA
14,EGFR,632.000489125533,0.716703080379217,0.110706783491866,6.47388586113044,9.55140638447533e-11,8.57648068994567e-08,Upregulated,PcB target,EGFR
15,SAT1,411.558286878828,-0.909057335433527,0.141564005628344,-6.42152877349434,1.3491250544298e-10,1.13065673728247e-07,Downregulated,Non-PcB,NA
16,LOC124903900,307.01065864909,1.22762986318579,0.192538263759485,6.37603060926796,1.81736618337209e-10,1.42788189319816e-07,Upregulated,Non-PcB,NA
17,MID1,920.836707639169,0.896882432851447,0.144492360535103,6.20712700332389,5.39619885017355e-10,3.99033033797246e-07,Upregulated,Non-PcB,NA
18,GASK1B-AS1,120.614536057913,2.47346768574444,0.402446518195686,6.14607798530322,7.94222462361632e-10,5.54676143019338e-07,Upregulated,Non-PcB,NA
19,FBN2,3952.00500509356,0.953715068505141,0.155511442474323,6.13276459487934,8.63648979780167e-10,5.71417438148236e-07,Upregulated,Non-PcB,NA
20,TRAM2,899.29193419874,0.695184184889478,0.115090336569485,6.04033497173559,1.53794610453043e-09,9.66676024002603e-07,Upregulated,Non-PcB,NA
21,CCND1,1153.71874212208,1.107419536339,0.184909464598611,5.98898243928678,2.11157958869781e-09,1.26403176235811e-06,Upregulated,Non-PcB,NA
22,JARID2,883.621572158243,0.638410073273017,0.107738007457785,5.92557898866993,3.11198951403037e-09,1.77821909913072e-06,Upregulated,Non-PcB,NA
23,PNP,869.449293976115,-0.854624438100252,0.144883749121414,-5.89869080060919,3.66397106555222e-09,2.002599141959e-06,Downregulated,Non-PcB,NA
24,LRRN1,1233.06947627739,0.707617368382713,0.121092471391395,5.84361158255293,5.10810549277358e-09,2.67558308956903e-06,Upregulated,Non-PcB,NA
25,WDHD1,282.02392825206,-1.08609093394934,0.192004365554032,-5.65659499884501,1.54405531135289e-08,7.76412772760689e-06,Downregulated,Non-PcB,NA
26,TFPI2,82.2476174748414,1.75416951557285,0.31105573707899,5.63940576067045,1.70638008900691e-08,8.25034773034843e-06,Upregulated,Non-PcB,NA
27,PXDN,2423.96765587367,0.770753204168253,0.13696109125078,5.62753404729362,1.828040888605e-08,8.36973452597517e-06,Upregulated,Non-PcB,NA
28,NCR3LG1,428.959202648325,-0.907368972830334,0.16133440730722,-5.62415040892351,1.86423169777508e-08,8.36973452597517e-06,Downregulated,Non-PcB,NA
29,RPH3A,128.926473390688,1.69677556257089,0.306004847105339,5.54493034545559,2.94071212800201e-08,1.27474800555563e-05,Upregulated,Non-PcB,NA
30,DHFR,563.908459418548,-0.964315914566274,0.174891360582273,-5.51379960311211,3.51168435299215e-08,1.42404464520853e-05,Downregulated,Non-PcB,NA
31,VGLL2,1688.04930192123,0.896850567668573,0.162501162018933,5.51904095039073,3.40854764978079e-08,1.42404464520853e-05,Upregulated,PcB target,VGLL2
32,PCDH9,193.837769630727,1.22349374017699,0.225006844096246,5.43758455477756,5.4007722352461e-08,2.12165961778996e-05,Upregulated,Non-PcB,NA
33,HIPK2,1433.88238267388,0.683450145261702,0.126253812693501,5.4133030177938,6.18726534050561e-08,2.35697310895442e-05,Upregulated,Non-PcB,NA
34,SUSD5,160.018922020384,1.44870884066237,0.272237549718768,5.32148795108885,1.0292192900332e-07,3.8053869691198e-05,Upregulated,Non-PcB,NA
35,C1orf226,577.607915336474,0.651335808916887,0.123069082838244,5.29244058617849,1.20694687389413e-07,4.33500832906375e-05,Upregulated,Non-PcB,NA
36,LOC112268078,323.157671873819,1.11499795296409,0.211751854151556,5.26558767304139,1.39741609403716e-07,4.8796993661503e-05,Upregulated,Non-PcB,NA
37,BAZ1A,1407.4395116565,-0.647184711968904,0.123376574219007,-5.2456044923089,1.55770743758127e-07,5.29241626968491e-05,Downregulated,Non-PcB,NA
38,NT5E,285.683928710892,0.968000214925756,0.184943101449411,5.23404337517581,1.65841508071931e-07,5.34562461018523e-05,Upregulated,PcB target,NT5E
39,BTG3,435.601988049175,-0.883696766772074,0.168755792311856,-5.23654183756269,1.63613167357499e-07,5.34562461018523e-05,Downregulated,Non-PcB,NA
40,CKS2,613.618492871541,-0.768933209531894,0.147531740615499,-5.21198493506498,1.86830724450805e-07,5.87162259267767e-05,Downregulated,Non-PcB,NA
41,PLPPR2,544.57285551159,0.841119548172576,0.162287035411864,5.18291276957474,2.18447220580922e-07,6.69780490225067e-05,Upregulated,Non-PcB,NA
42,MSMO1,461.275898767726,-0.896499557611285,0.173163123047404,-5.17719674855868,2.252446441709e-07,6.74178671874378e-05,Downregulated,Non-PcB,NA
43,EPB41L4A,302.486456829797,0.858973046788596,0.167163885497038,5.13850850160942,2.76927667619272e-07,8.09594816195785e-05,Upregulated,PcB target,EPB41L4A
44,COL5A2,3558.09401090235,0.561964966564293,0.109582744882434,5.12822495153958,2.92486826670531e-07,8.35648158653465e-05,NS,Non-PcB,NA
45,DTL,959.423281723258,-0.729932022317257,0.143592908025492,-5.08334312853162,3.7084887692775e-07,0.000103598694041305,Downregulated,Non-PcB,NA
46,GPC4,1392.48171868026,0.837982950358332,0.165123133064925,5.07489734965751,3.87705244430475e-07,0.000105953100602946,Upregulated,PcB target,GPC4
47,SPARC,11046.9785688613,0.633814360723008,0.125696078585278,5.0424354351914,4.5964386798082e-07,0.000122940065199721,Upregulated,Non-PcB,NA
48,PCDH10,283.318593299335,-1.45755195553742,0.292109465103808,-4.98974572775123,6.04588216935623e-07,0.000155107723981586,Downregulated,Non-PcB,NA
49,ATP9A,819.976257734184,0.777058959555404,0.155666318974383,4.99182459426745,5.98115615852797e-07,0.000155107723981586,Upregulated,Non-PcB,NA
50,MDK,1617.8803364641,0.721379336258498,0.146737890209653,4.91610813831262,8.82816448890136e-07,0.000221957711579958,Upregulated,Non-PcB,NA
51,IMPA2,180.548431685842,-0.931630558725232,0.189738404697673,-4.91007901225733,9.1039703375381e-07,0.000224403943359199,Downregulated,Non-PcB,NA
52,IDH1,1282.83586675765,-0.553136445679709,0.113517092984905,-4.87271503467114,1.10074941402905e-06,0.000266106170841522,NS,Non-PcB,NA
53,FN1,519.715216240904,1.43879812643292,0.296031820323749,4.86028199556185,1.17218661611504e-06,0.000278029395305324,Upregulated,PcB target,FN1
