,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,SAMD11,221.232278017368,-0.0996149920200294,0.19256639742948,-0.517302049317869,0.604945323713159,1,NS,PcB target,NA
2,KLHL17,144.013850691287,0.132246172277063,0.2557889259921,0.517012891641555,0.605147159585159,1,NS,PcB target,NA
3,ISG15,334.374548158745,-0.357952249394419,0.177812947568698,-2.01308315445434,0.0441058820966733,1,NS,PcB target,NA
4,C1orf159,252.681975104202,0.346254280147457,0.204504474172256,1.69313792057089,0.0904292177498518,1,NS,PcB target,NA
5,SDF4,2248.39564803208,-0.0636333683831027,0.116808907604763,-0.544764690364317,0.585915366401922,1,NS,PcB target,NA
6,ATAD3B,481.821860737076,0.122747256272511,0.149482597401902,0.821147467370333,0.411562275124816,1,NS,PcB target,NA
7,SSU72,1388.15134862241,0.0812824720597373,0.106719790493855,0.761643849595239,0.446272596290582,1,NS,PcB target,NA
8,MEGF6,137.27447635884,0.0391415936914046,0.430954869381286,0.0908252730676869,0.927631428040561,1,NS,PcB target,NA
9,TP73,83.6095185631147,0.17893273847976,0.301605526996596,0.593267438636096,0.553002186409283,1,NS,PcB target,NA
10,CAMTA1,548.302785401227,-0.0864385206175826,0.126773143205634,-0.681836218869905,0.495342519385669,1,NS,PcB target,NA
11,VAMP3,534.640062673151,-0.18673510872226,0.131390948139163,-1.42121745346171,0.15525355222689,1,NS,PcB target,NA
12,PARK7,3450.67474689415,-0.061433483577006,0.0924330266555508,-0.664626982365689,0.506289106757013,1,NS,PcB target,NA
13,ERRFI1,777.030103941832,-0.106158796635957,0.173310872104733,-0.612533970585549,0.540184529484278,1,NS,PcB target,NA
14,H6PD,489.26001267208,0.0670329515570351,0.15821003321549,0.423695957801442,0.67178756350451,1,NS,PcB target,NA
15,PIK3CD,84.874794186585,0.437495036051766,0.292223641906476,1.4971240286978,0.134360988498166,1,NS,PcB target,NA
16,DRAXIN,368.340148057945,0.100753444214474,0.26191264384092,0.384683391900963,0.700472001424599,1,NS,PcB target,NA
17,C1orf167,106.15638586404,0.170673925428172,0.255143962594909,0.668931859850238,0.503538945637475,1,NS,PcB target,NA
18,TMEM51,198.472441462408,-0.262239594524911,0.236357576999534,-1.10950365058713,0.267212970471475,1,NS,PcB target,NA
19,FHAD1,108.953229637304,-0.533856931230324,0.361783420966768,-1.47562574814439,0.140044389024416,1,NS,PcB target,NA
20,EFHD2,543.887292528323,0.0460260234257463,0.16183977725984,0.284392528246314,0.776109584315145,1,NS,PcB target,NA
21,NBPF1,223.902943312084,0.16436755404285,0.207274084510827,0.792996164623103,0.427780057361342,1,NS,PcB target,NA
22,RCC2,2569.65642081237,0.120961523895232,0.115080850041236,1.05110036858338,0.293212494831315,1,NS,PcB target,NA
23,IFFO2,549.903965228356,-0.0924651930396151,0.141645222562782,-0.652794293846597,0.51388890277669,1,NS,PcB target,NA
24,CAMK2N1,122.012184160805,0.310478532192602,0.242424726121844,1.28072138993179,0.200291543898189,1,NS,PcB target,NA
25,NBPF3,138.397006487122,-0.346359988235112,0.230912711911874,-1.49996067937263,0.133624588264326,1,NS,PcB target,NA
26,ALPL,81.1594298416721,0.560722662975428,0.35105704444547,1.59724088106862,0.110212023217823,1,NS,PcB target,NA
27,RAP1GAP,316.623469483198,0.299864192821148,0.178643087916659,1.67856588417818,0.0932366801182099,1,NS,PcB target,NA
28,HMGCL,139.180915265876,-0.238344738243945,0.229858377693812,-1.03691995321327,0.299773164007589,1,NS,PcB target,NA
29,SRSF10,2157.29027222883,0.121181474815204,0.100368120277668,1.20737017371607,0.227289616733429,1,NS,PcB target,NA
30,GRHL3,86.1404185717912,-0.132036440920631,0.25835275695146,-0.511070377102412,0.609301777768199,1,NS,PcB target,NA
31,RSRP1,166.081052181991,0.115390991225469,0.320636792353926,0.359880693598313,0.718936355337602,1,NS,PcB target,NA
32,LDLRAP1,79.6174206227468,0.172512503644174,0.295089159030926,0.584611458484972,0.558809001249504,1,NS,PcB target,NA
33,MAN1C1,195.294404442828,-0.118143892212994,0.206262480307709,-0.572784211829233,0.566790810324782,1,NS,PcB target,NA
34,PAQR7,202.149838121555,0.176782255613513,0.229296682705823,0.770976071382232,0.440721114996933,1,NS,PcB target,NA
35,PDIK1L,176.109285380438,-0.205899321236705,0.2331013148258,-0.883303989042603,0.377072049115982,1,NS,PcB target,NA
36,DHDDS,344.242577784258,0.0254233984087199,0.160158527971638,0.158738961519564,0.873874540494737,1,NS,PcB target,NA
