,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,EYA4,800.994906584477,4.47934495858485,0.209559453016783,21.3750555944909,2.28051374111536e-101,5.73366764791223e-98,Upregulated,PcB target,EYA4
2,GSN,998.927562272758,2.74424234477365,0.131775864411755,20.8250756466208,2.56520712613718e-96,4.60674554038149e-93,Upregulated,PcB target,GSN
3,SFRP1,671.963696465279,7.17361162001756,0.375113173872329,19.1238594634352,1.59831216538757e-81,2.00923822310872e-78,Upregulated,PcB target,SFRP1
4,ITPKB,1897.00053047159,2.05470585679024,0.119922581855948,17.1336025708516,8.33311001966644e-66,5.81975144762371e-63,Upregulated,PcB target,ITPKB
5,DMRTA2,524.163455548573,7.55781479822887,0.454076696831967,16.6443573320515,3.32516735756248e-62,1.990508516758e-59,Upregulated,PcB target,DMRTA2
6,PCDH1,290.054928749601,4.81733410097755,0.295422745733709,16.3065781851471,8.86200952101833e-60,4.28478160341236e-57,Upregulated,PcB target,PCDH1
7,ABLIM1,1584.49388415234,-2.22859552176172,0.137118518049624,-16.2530601516214,2.12488014411912e-59,9.89328455248942e-57,Downregulated,PcB target,ABLIM1
8,ANK1,387.440615080076,4.28395289614846,0.263729689676996,16.2437262994365,2.47427067251763e-59,1.11085916515068e-56,Upregulated,PcB target,ANK1
9,PDLIM3,306.845875619076,6.66816570437261,0.433972508664128,15.3654104148183,2.79264572227569e-53,1.03253968749199e-50,Upregulated,PcB target,PDLIM3
10,NT5E,285.683928710892,5.9379569804181,0.414823019728981,14.3144345853747,1.77804338491674e-46,5.07995077086098e-44,Upregulated,PcB target,NT5E
11,CDH11,227.170807351541,-3.34057400067713,0.235245351333167,-14.2003826292237,9.11135619039185e-46,2.4369969929663e-43,Downregulated,PcB target,CDH11
12,ARHGAP29,511.884944383011,3.04439685260223,0.217323638055043,14.0085859037164,1.38127966313357e-44,3.3392435856254e-42,Upregulated,PcB target,ARHGAP29
13,RAB29,194.875300146779,3.62367945686112,0.260532393462922,13.9087481932523,5.60518762410382e-44,1.30486691893721e-41,Upregulated,PcB target,RAB29
14,SLIT2,483.848039740238,-3.3090540702608,0.238438204173796,-13.8780363731009,8.60696791824211e-44,1.93211060178967e-41,Downregulated,PcB target,SLIT2
15,RUNX1,246.066106814814,3.34659007652245,0.241430437781595,13.8615085457861,1.08372455956459e-43,2.3900879716292e-41,Upregulated,PcB target,RUNX1
16,CCND2,2312.90840045911,1.32218056533207,0.0968262425350976,13.6551882084323,1.88002978750599e-42,3.75140546964092e-40,Upregulated,PcB target,CCND2
17,S1PR3,195.405295049565,5.17412100146905,0.381341298175777,13.5682157327845,6.18083524463156e-42,1.1772618160646e-39,Upregulated,PcB target,S1PR3
18,RIMS4,1159.3341581593,2.47516068874985,0.182688341424006,13.5485421207321,8.08193527891619e-42,1.51638818494411e-39,Upregulated,PcB target,RIMS4
19,CDH8,379.598642087865,-2.60320846027355,0.193004159142975,-13.4878360747922,1.84434632552553e-41,3.36018516785238e-39,Downregulated,PcB target,CDH8
20,LINC01694,237.239077924703,-4.10160313688539,0.305852102545105,-13.4104134081619,5.25451013471196e-41,9.17422873659223e-39,Downregulated,PcB target,LINC01694
21,HSPA12A,353.951599107879,-2.45949320771879,0.186753856641435,-13.1697050435803,1.31108872207909e-39,2.16864425332319e-37,Downregulated,PcB target,HSPA12A
22,CAVIN1,930.751382296716,4.42619581275487,0.336380484819954,13.1583014250187,1.52475188890869e-39,2.48930597343782e-37,Upregulated,PcB target,CAVIN1
23,OTULINL,324.686506442772,-7.04151044749955,0.538316373674084,-13.0806172575437,4.24975103112622e-39,6.67795252653597e-37,Downregulated,PcB target,OTULINL
24,MAGEA6,350.268419182366,-7.88020609015446,0.605851439382807,-13.006829030863,1.11889421307655e-38,1.73649619167721e-36,Downregulated,PcB target,MAGEA6
25,CHST2,258.973351906038,3.07133222198266,0.237204687104037,12.9480250136692,2.41076641351604e-38,3.69582251028173e-36,Upregulated,PcB target,CHST2
26,NAB1,365.072461659558,-2.01384997994196,0.156969348476788,-12.8295746875688,1.11977183314693e-37,1.65607667229295e-35,Downregulated,PcB target,NAB1
27,STOM,468.523918909637,2.40195328817949,0.188398336227443,12.7493338650281,3.14420416109527e-37,4.49156710331007e-35,Upregulated,PcB target,STOM
28,IGSF9B,305.638615009458,2.9863795494581,0.234560528395235,12.7318077337635,3.93618858877443e-37,5.5597558145487e-35,Upregulated,PcB target,IGSF9B
29,LIMS2,166.649580686844,-4.20103684071071,0.33818868963771,-12.4221683617248,1.98117911845118e-35,2.46588145525245e-33,Downregulated,PcB target,LIMS2
30,VCAN,878.163811715014,-2.17696069355866,0.179339919197136,-12.1387402386731,6.58317640819687e-34,7.5233736934039e-32,Downregulated,PcB target,VCAN
31,TNFRSF19,323.239810112533,2.05793033183854,0.170517939482105,12.068702789213,1.54551329214641e-33,1.71934934474093e-31,Upregulated,PcB target,TNFRSF19
32,UACA,215.181244882669,-3.2561214919191,0.276830520306984,-11.7621477874199,6.11584421701004e-32,6.46069560101119e-30,Downregulated,PcB target,UACA
33,TFAP2A,178.617454535194,6.87042480244345,0.598970604762064,11.4703872741345,1.85825780398964e-30,1.74329543686222e-28,Upregulated,PcB target,TFAP2A
34,SEZ6,268.71615204056,5.99188494840838,0.523542258830508,11.4448926468574,2.49413029532058e-30,2.31692670627374e-28,Upregulated,PcB target,SEZ6
35,MAML3,142.198757537565,3.77122640969939,0.330260314365465,11.4189511898973,3.36267418031582e-30,3.06320124063407e-28,Upregulated,PcB target,MAML3
36,RTN1,418.172954342653,2.26209867337977,0.199017990118126,11.3663024736463,6.15396391558663e-30,5.40989373306571e-28,Upregulated,PcB target,RTN1
37,B4GALNT3,129.438746746573,5.78031934776422,0.510328430134208,11.3266653520441,9.68210605186756e-30,8.45234410958522e-28,Upregulated,PcB target,B4GALNT3
38,RPS6KA2,1053.99229118526,-1.51670240041571,0.135353147768495,-11.2055199706907,3.83097564024492e-29,3.23216072305496e-27,Downregulated,PcB target,RPS6KA2
39,JAZF1,112.106751700283,-3.18729453948575,0.286351865967847,-11.1306924043011,8.89419202297146e-29,7.21347664004995e-27,Downregulated,PcB target,JAZF1
40,PERP,120.195470572685,-3.89351225894938,0.350826903736757,-11.0981005660583,1.28138143192763e-28,1.01950923928875e-26,Downregulated,PcB target,PERP
41,HEY2,170.14986830761,2.80465859974355,0.254611812521993,11.015430006812,3.21995396787953e-28,2.48331541903151e-26,Upregulated,PcB target,HEY2
42,ADARB2,324.155308292044,-7.97740206537806,0.741671061156181,-10.7559839977337,5.55380680303919e-27,3.81513143830632e-25,Downregulated,PcB target,ADARB2
43,EFHD1,281.274649936933,2.30196889615091,0.214353985044429,10.7391000716585,6.66912837356494e-27,4.53176285319378e-25,Upregulated,PcB target,EFHD1
44,DLX1,216.587774640106,-4.76743105150585,0.447529154806714,-10.6527831769192,1.69228445290916e-26,1.10226465583011e-24,Downregulated,PcB target,DLX1
45,ADAMTS18,135.97082886867,5.44272092479151,0.52178545819561,10.4309555571231,1.79078234286187e-25,1.08230407846714e-23,Upregulated,PcB target,ADAMTS18
46,RAB6A,1930.79099389995,-0.814883711929898,0.0783865522721212,-10.3957080431476,2.59353487510882e-25,1.51643380999967e-23,Downregulated,PcB target,RAB6A
47,FZD8,93.4309236357237,5.07959850650455,0.489736857587841,10.3720976434645,3.32152251526993e-25,1.90661459084284e-23,Upregulated,PcB target,FZD8
48,SLC1A2,345.436839031885,7.73391439004348,0.745776115532239,10.3702897276671,3.38496894614906e-25,1.93420202827454e-23,Upregulated,PcB target,SLC1A2
49,EGFLAM,138.990627156561,-2.91526320197997,0.281859116519009,-10.3429799893784,4.5031251366348e-25,2.56148353360344e-23,Downregulated,PcB target,EGFLAM
50,GJC1,418.852275428609,1.39867683016086,0.135704249755238,10.3068019806571,6.56496212532111e-25,3.70081340257451e-23,Upregulated,PcB target,GJC1
51,ITGA5,301.47651666796,2.60369811391417,0.255437277359654,10.1931015740047,2.12862544480835e-24,1.15839612409895e-22,Upregulated,PcB target,ITGA5
52,ANK3,416.023801440413,-1.81207212326938,0.178059992510099,-10.1767505306764,2.51830603016566e-24,1.36455280625916e-22,Downregulated,PcB target,ANK3
53,EYA2,124.075679893495,-3.62927139533626,0.357881875844177,-10.1409756690681,3.63451172369462e-24,1.9442317820666e-22,Downregulated,PcB target,EYA2
