,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,OSR2,82.5171110783552,-2.48801919330097,0.706119915110316,-3.52350803321029,0.000425874186838385,0.384212653908301,NS,PcB target,NA
2,BACH2,738.713716830396,0.507665375194558,0.150532552979617,3.37246240195833,0.000744992572358309,0.479777091285603,NS,PcB target,NA
3,CCDC38,50.7182884921681,1.44197853365906,0.428673728392264,3.36381363762875,0.000768734338102797,0.479777091285603,NS,PcB target,NA
4,SFPQ,6726.10298652495,0.287180530754209,0.0867832628004751,3.30916955052117,0.000935731521659649,0.487824205334413,NS,PcB target,NA
5,TUT7,177.312511002493,0.625947878503893,0.193388534015188,3.23673728482131,0.00120904662880083,0.491306971766649,NS,PcB target,NA
6,PPARA,156.269087579372,-0.740145111316395,0.244043485965472,-3.03284108726882,0.00242263140185474,0.506190233361178,NS,PcB target,NA
7,ADGRA2,364.577525887437,-0.479163945776567,0.160719715950617,-2.98136381676904,0.00286967648199217,0.538428403807814,NS,PcB target,NA
8,CDKN2AIPNL,245.975778718343,-0.481026481119805,0.165498215391184,-2.90653575920933,0.00365455125387628,0.596641088473749,NS,PcB target,NA
9,EBF3,494.267324038929,0.436567563009702,0.151467290084168,2.88225637870136,0.00394838328177829,0.599154124588926,NS,PcB target,NA
10,DYRK3,345.806221786815,-0.400989865362474,0.141558736288475,-2.83267480253087,0.00461603199975181,0.611977788297655,NS,PcB target,NA
11,KLF11,313.763996687874,0.457690565930928,0.164340791541089,2.78500889303856,0.00535262550114337,0.64151053428701,NS,PcB target,NA
12,GATM,208.833913825098,-0.7436440240085,0.266886467928968,-2.78636841267809,0.00533022540518424,0.64151053428701,NS,PcB target,NA
13,EGFLAM,138.990627156561,-0.845360396223929,0.310684975291524,-2.72095680015007,0.00650932675033922,0.665274362426946,NS,PcB target,NA
14,ATP2A3,77.0188799462905,-1.25164288093055,0.476267368828176,-2.62802569071682,0.00858820293800463,0.702748334892587,NS,PcB target,NA
15,LONRF2,1109.1532551905,0.389251408928512,0.148538215190196,2.62054723378826,0.00877887679323033,0.707431154921144,NS,PcB target,NA
16,SGPP1,128.70925405027,-0.630614169485633,0.244159137507951,-2.58279979165267,0.00980021758401524,0.71473470069583,NS,PcB target,NA
17,ZNRF2,179.990532261964,0.506816485289789,0.198732777988083,2.55024103432087,0.010764846550749,0.718035002767882,NS,PcB target,NA
18,UACA,215.181244882669,-0.769103660293094,0.301566210244891,-2.55036417929095,0.0107610444671288,0.718035002767882,NS,PcB target,NA
19,PLXNC1,145.820176969213,0.582832785374553,0.231228009050222,2.52059768956435,0.0117155713405743,0.727311664498772,NS,PcB target,NA
20,C2CD4A,53.0708789706998,-0.98887582310502,0.391354991654872,-2.52680007714605,0.0115107006879505,0.727311664498772,NS,PcB target,NA
21,ZBTB21,299.256406485103,0.436536544172318,0.174164150775969,2.5064661253615,0.0121944741822473,0.727311664498772,NS,PcB target,NA
22,ATG4C,121.530185074347,-0.681955640925598,0.287827659919975,-2.36931933892387,0.0178208590719119,0.735431492668609,NS,PcB target,NA
23,WLS,2418.74463821404,0.292429825253969,0.120949343896847,2.41778761117854,0.0156151881763114,0.735431492668609,NS,PcB target,NA
24,SSX2IP,471.426152406956,-0.392878596454025,0.16292852678441,-2.41135548333956,0.0158933490925073,0.735431492668609,NS,PcB target,NA
25,DTNB,234.507914043798,0.406741903009386,0.172219727703928,2.3617613872241,0.0181883447969164,0.735431492668609,NS,PcB target,NA
26,EFHD1,281.274649936933,-0.437485865842918,0.187837484727486,-2.32906582239226,0.0198555789467756,0.735431492668609,NS,PcB target,NA
27,RGS12,1313.39388224471,0.227898111064564,0.0964613296341269,2.36258521346295,0.0181479687359526,0.735431492668609,NS,PcB target,NA
28,NRN1,386.025813912512,-0.517371626284628,0.223856132773263,-2.31117914829994,0.0208229616203733,0.735431492668609,NS,PcB target,NA
29,FANCE,251.635897514731,-0.43707287420177,0.194761079330717,-2.24414896294341,0.0248228185315889,0.735431492668609,NS,PcB target,NA
30,RUNX2,68.7986025403428,-0.752962533251345,0.31515551696923,-2.3891777002427,0.0168861326476251,0.735431492668609,NS,PcB target,NA
31,RRAGD,103.320519850599,-0.668999708241221,0.269334237077857,-2.48390147312698,0.0129951757598474,0.735431492668609,NS,PcB target,NA
32,MAN1A1,472.116082588272,0.47111791080633,0.203684409272188,2.31297973413745,0.0207237533958485,0.735431492668609,NS,PcB target,NA
33,CREB5,752.974567138376,0.353215957879195,0.154974587529969,2.2791863073092,0.0226559927032685,0.735431492668609,NS,PcB target,NA
34,MSRB2,111.723682631609,-0.696359985057118,0.307842309085624,-2.26206718344044,0.0236932527612882,0.735431492668609,NS,PcB target,NA
35,NCOR2,3067.71359060408,0.369149336199456,0.15154198402893,2.43595422459945,0.014852563947018,0.735431492668609,NS,PcB target,NA
36,SPATA13,1189.47926240435,0.270835357609637,0.120112797822965,2.25484180302604,0.0241432603211446,0.735431492668609,NS,PcB target,NA
37,SIX1,61.0915932547371,-0.842279839828212,0.351422764963056,-2.39677085210106,0.0165402639878106,0.735431492668609,NS,PcB target,NA
38,ACTC1,47.0806072073745,-1.43760237581936,0.620166694545922,-2.31809026260586,0.0204444160082291,0.735431492668609,NS,PcB target,NA
39,CMTM4,1290.36850088267,0.195315587371758,0.0870089147460597,2.24477673284165,0.0247824691660312,0.735431492668609,NS,PcB target,NA
40,NEDD4L,308.318586593034,0.44210369119181,0.183675945709909,2.40697653404247,0.0160852033762441,0.735431492668609,NS,PcB target,NA
41,MAGEA6,350.268419182366,-1.68897669403958,0.6986402758384,-2.41751979158764,0.015626684157788,0.735431492668609,NS,PcB target,NA
42,GSN,998.927562272758,-0.257636016390639,0.115819619705352,-2.22445918097531,0.0261175659192741,0.741137519573802,NS,PcB target,NA
43,RAB6B,469.414453842039,-0.43956022599618,0.202818440191759,-2.16725967116495,0.0302150597251142,0.746888149193936,NS,PcB target,NA
44,SCOC,291.210569687876,-0.434356495730221,0.201138725422989,-2.15948716397989,0.0308123921030022,0.746888149193936,NS,PcB target,NA
45,ZSCAN23,132.489685530089,-0.600073064765454,0.276377789807968,-2.17120581643842,0.0299156178862621,0.746888149193936,NS,PcB target,NA
46,TMEM97,869.639257305598,-0.312152848547873,0.143473896180603,-2.17567694791629,0.0295794250842523,0.746888149193936,NS,PcB target,NA
47,SYPL1,586.67412215715,-0.340280249259198,0.157960182426688,-2.15421534738432,0.0312232878371014,0.74763419314324,NS,PcB target,NA
48,LMO2,167.960312981889,-0.370295611570306,0.172034702635649,-2.15244718592941,0.0313621507084062,0.748109291376423,NS,PcB target,NA
49,HSD17B7,390.887103179286,-0.370147555017004,0.174790490580647,-2.11766414630103,0.0342035213779486,0.754175167198236,NS,PcB target,NA
50,LINC00265,81.9792689025493,0.680702078762959,0.320720661878114,2.12241417430615,0.0338029729392105,0.754175167198236,NS,PcB target,NA
51,KCNMB4,68.3100018779542,0.90372329634832,0.424359727690305,2.129616071881,0.0332033230751781,0.754175167198236,NS,PcB target,NA
52,PLEKHG3,277.649991545355,-0.376253921240391,0.177448254196134,-2.12035854026784,0.0339758202898955,0.754175167198236,NS,PcB target,NA
53,TMEM163,64.3227895492931,0.666983569806285,0.320087358118927,2.08375480283252,0.0371824764566897,0.766187222290725,NS,PcB target,NA
54,CAMKK2,506.062400307834,-0.276404898748236,0.13298497198853,-2.07846717275751,0.0376663513941348,0.766187222290725,NS,PcB target,NA
55,MED11,102.144571877369,-0.528722822093931,0.255219823279034,-2.0716369727906,0.0382993091925739,0.771571499775395,NS,PcB target,NA
56,BRPF3,830.996123255896,0.2502565360953,0.121523343730591,2.0593289191425,0.039462739938397,0.780009597115706,NS,PcB target,NA
57,RASSF5,152.55799570274,-0.384914931922347,0.196257800347096,-1.96127201691651,0.0498472997786089,0.824391085624266,NS,PcB target,NA
58,RPRM,69.979267202,-1.56703800165396,0.790520169416062,-1.98228718542564,0.0474471074365199,0.824391085624266,NS,PcB target,NA
59,TSC22D2,536.914845876487,0.258162393823534,0.130835449601871,1.97318383212743,0.0484746218232574,0.824391085624266,NS,PcB target,NA
60,SGK1,72.8686854851158,-0.759729969441212,0.383250261715487,-1.98233385683951,0.0474418870940811,0.824391085624266,NS,PcB target,NA
61,CTTNBP2,35.6545746953592,3.25369911316192,1.6483995550277,1.97385342845912,0.0483984115822421,0.824391085624266,NS,PcB target,NA
62,FAM131B,569.198657705333,0.344132523187975,0.173652600743908,1.98172973922504,0.0475094968690411,0.824391085624266,NS,PcB target,NA
63,MSRB3,37.0214093685584,-0.871581481345963,0.443475185525263,-1.96534442014752,0.049374387639857,0.824391085624266,NS,PcB target,NA
64,FOS,2645.26168792441,-0.705298590518267,0.353727149994556,-1.99390572798589,0.0461623578669779,0.824391085624266,NS,PcB target,NA
65,ARHGAP17,693.508825785412,0.237716300075991,0.120590748277298,1.97126482314682,0.0486935927283035,0.824391085624266,NS,PcB target,NA
66,CBX8,180.525614616328,-0.395182431625457,0.197540447006227,-2.00051400922971,0.0454447887082287,0.824391085624266,NS,PcB target,NA
67,HORMAD2-AS1,377.844208110583,0.275559826321715,0.140032376216629,1.96782939607785,0.0490876706577772,0.824391085624266,NS,PcB target,NA
68,FGFRL1,995.227827775855,0.249337751535649,0.127563035408886,1.95462385115272,0.0506274840054079,0.829775881919143,NS,PcB target,NA
69,KCNN3,182.293288997491,-0.527919323820148,0.271137566032561,-1.94705341478484,0.0515283312024943,0.836902650576945,NS,PcB target,NA
70,FAM81A,217.686668932338,-0.362392912251367,0.187591479535873,-1.93181968151207,0.0533817659707193,0.846232257273534,NS,PcB target,NA
71,ATXN7L2,260.323854982809,0.377047395272164,0.19543593606813,1.92926338347888,0.0536981730137721,0.847832661135984,NS,PcB target,NA
72,OXR1,315.163043418107,-0.361382828442704,0.1875999831676,-1.92634787242944,0.054060951617248,0.847936875507645,NS,PcB target,NA
73,CCDC65,58.6417162022348,0.567832834931452,0.294701230277426,1.92680849820988,0.0540035000159668,0.847936875507645,NS,PcB target,NA
74,IRS2,756.606969051965,0.263046404858864,0.136820233905729,1.92256947199861,0.0545341410013689,0.851088566182587,NS,PcB target,NA
75,TSC22D3,268.636079897979,-0.382536740450635,0.200227991913183,-1.91050580288744,0.0560681199531887,0.855074762197381,NS,PcB target,NA
76,SMARCD3,189.022253061147,0.349775287364633,0.184119192607157,1.89972203555621,0.0574696069926805,0.860212389959576,NS,PcB target,NA
77,RBBP6,1104.31372617334,0.205826327680191,0.10837896900548,1.89913531720148,0.0575466866144518,0.860212389959576,NS,PcB target,NA
78,NCOA5,1009.33787632655,0.230549602952097,0.122470688031238,1.88248801944586,0.0597697850320058,0.862709173467878,NS,PcB target,NA
79,PIK3CD,84.874794186585,-0.531167043300755,0.298856675341289,-1.77733036310523,0.0755139007884834,0.866273057267665,NS,PcB target,NA
80,ROR1,164.11162485871,0.447851103343859,0.252660611193894,1.77254025163493,0.0763049197920026,0.866273057267665,NS,PcB target,NA
81,ADORA1,358.166365009238,-0.320315876552068,0.181722500467385,-1.76266491891882,0.0779570208278731,0.866273057267665,NS,PcB target,NA
82,GALNT14,194.894323496116,0.410534597716205,0.226261569969177,1.81442477293927,0.0696123546736007,0.866273057267665,NS,PcB target,NA
83,NAT8L,395.040677939725,-0.333713721674347,0.17800802204853,-1.87471170025903,0.0608323963828318,0.866273057267665,NS,PcB target,NA
84,SLC39A8,200.059544949806,-0.33441477149356,0.187965127154064,-1.77913199409303,0.0752181244618372,0.866273057267665,NS,PcB target,NA
85,ALPK1,46.246587797856,0.922709714857452,0.507825219507671,1.81698285042244,0.0692197393233944,0.866273057267665,NS,PcB target,NA
86,ANK2,1190.07958918909,-0.267125024437157,0.143329904234196,-1.86370754843096,0.0623627847852733,0.866273057267665,NS,PcB target,NA
87,NEURL1B,553.438085363532,-0.24689258612944,0.1386147573241,-1.78114214457103,0.0748892323127698,0.866273057267665,NS,PcB target,NA
88,SMIM13,513.51421767953,-0.288971637756489,0.163456264425654,-1.76788353001867,0.0770803767429297,0.866273057267665,NS,PcB target,NA
89,ABT1,455.117833201854,-0.239111824448415,0.134325617150938,-1.78009101703758,0.0750610664600709,0.866273057267665,NS,PcB target,NA
90,PLAGL1,144.990433586435,-1.62981879089992,0.898340549735812,-1.81425495195472,0.0696384834939227,0.866273057267665,NS,PcB target,NA
91,ANLN,567.974246539339,-0.340587824969097,0.187297992598435,-1.81842752420371,0.0689988146957693,0.866273057267665,NS,PcB target,NA
