,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,998.927562272758,-3.00187836116429,0.131597440253629,-22.8110695419207,3.56045711180268e-115,1.11896265881179e-111,Downregulated,PcB target,GSN
2,EYA4,800.994906584477,-4.34432232514666,0.209974798302451,-20.6897321024642,4.28587656623917e-95,6.73471928927408e-92,Downregulated,PcB target,EYA4
3,SFRP1,671.963696465279,-7.02413833809598,0.375388629101273,-18.7116438633547,3.97910079917409e-78,4.54738874058341e-75,Downregulated,PcB target,SFRP1
4,DMRTA2,524.163455548573,-7.72459364145774,0.454087396094064,-17.0112487329589,6.77776141759671e-65,5.01195522238872e-62,Downregulated,PcB target,DMRTA2
5,MAGEA6,350.268419182366,6.19122939611488,0.376601961934184,16.439716257232,9.93831427527521e-61,5.67884312520385e-58,Upregulated,PcB target,MAGEA6
6,ITPKB,1897.00053047159,-1.97107617803764,0.120222536143516,-16.3952303891233,2.06854983812734e-60,1.13059739196082e-57,Downregulated,PcB target,ITPKB
7,ABLIM1,1584.49388415234,2.21172127394498,0.138051256116923,16.0210152095375,9.11498521900566e-58,4.40709535338923e-55,Upregulated,PcB target,ABLIM1
8,PCDH1,290.054928749601,-4.60392857758439,0.296435247372731,-15.5309755448734,2.14097835367834e-54,9.28077202899667e-52,Downregulated,PcB target,PCDH1
9,ANK1,387.440615080076,-3.97240653904378,0.264855104414857,-14.9984141246588,7.51945574552352e-51,2.55478589667503e-48,Downregulated,PcB target,ANK1
10,PDLIM3,306.845875619076,-6.49356514594584,0.434485002061961,-14.9454299115711,1.66811157021316e-50,5.51837646030253e-48,Downregulated,PcB target,PDLIM3
11,RAB29,194.875300146779,-3.80535512867918,0.26050699334345,-14.6074970189466,2.51592573784546e-48,7.71407376840372e-46,Downregulated,PcB target,RAB29
12,NT5E,285.683928710892,-5.91706864419953,0.415192166085179,-14.2513976118365,4.39398498263236e-46,1.12728133095248e-43,Downregulated,PcB target,NT5E
13,ARHGAP29,511.884944383011,-3.08860110043312,0.217617017296429,-14.192828937757,1.01480875817725e-45,2.51019254255592e-43,Downregulated,PcB target,ARHGAP29
14,SLIT2,483.848039740238,3.4748333226643,0.245090045667848,14.1777823460586,1.25758235034007e-45,3.04020533194712e-43,Upregulated,PcB target,SLIT2
