,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,LOC151760,883.687688731478,5.41004263323404,0.206327789193973,26.2206203748345,1.54665708211965e-151,1.94430261793261e-147,Upregulated,Non-PcB,NA
2,LOC105371692,926.056816580386,-3.65798927292115,0.159148167245136,-22.9848030061618,6.61515128960008e-117,4.15795334307813e-113,Downregulated,Non-PcB,NA
3,WWTR1,594.696609855573,-4.9324460616447,0.215533888962103,-22.8847819959856,6.58690358984275e-116,2.76013216759711e-112,Downregulated,Non-PcB,NA
4,GSN,998.927562272758,-3.00187836116429,0.131597440253629,-22.8110695419207,3.56045711180268e-115,1.11896265881179e-111,Downregulated,PcB target,GSN
5,KLHDC8A,2541.52438895207,-3.33482531715916,0.151935352816415,-21.9489753723655,8.85753156095507e-107,2.22696058505532e-103,Downregulated,Non-PcB,NA
6,ARHGEF6,1534.88136495305,-3.69570009397554,0.170710842555512,-21.6488890726069,6.22630292460891e-104,1.30451423442098e-100,Downregulated,Non-PcB,NA
7,PRSS12,591.356820159928,3.64234753573587,0.169410459890946,21.5001336876162,1.55240130173553e-102,2.78789096630248e-99,Upregulated,Non-PcB,NA
8,EYA4,800.994906584477,-4.34432232514666,0.209974798302451,-20.6897321024642,4.28587656623917e-95,6.73471928927408e-92,Downregulated,PcB target,EYA4
9,LRRN2,975.639956130488,-3.71274388193238,0.189323694629939,-19.6105611037725,1.25638218372682e-85,1.75488671462554e-82,Downregulated,Non-PcB,NA
10,DAB1,442.016710500266,4.4062123113058,0.23392331262881,18.8361401939343,3.81815001856164e-79,4.79979638833383e-76,Upregulated,Non-PcB,NA
11,SFRP1,671.963696465279,-7.02413833809598,0.375388629101273,-18.7116438633547,3.97910079917409e-78,4.54738874058341e-75,Downregulated,PcB target,SFRP1
12,TARID,493.886787495417,-4.24661675648221,0.227217526790205,-18.6896531111493,6.01025090342501e-78,6.29623867557965e-75,Downregulated,Non-PcB,NA
13,COL23A1,408.440862074685,-6.67626605556261,0.36636521798539,-18.22298004236,3.39170339145649e-74,3.27977717953842e-71,Downregulated,Non-PcB,NA
14,KITLG,462.924994792144,4.22409168092254,0.244944584030313,17.2450911607002,1.21820436048025e-66,1.09386050111408e-63,Upregulated,Non-PcB,NA
15,TENM4,408.139782015451,-3.79735484792246,0.221514537847337,-17.1426890750597,7.12766907151774e-66,5.97346185986997e-63,Downregulated,Non-PcB,NA
16,EPB41L3,557.628730275766,2.71225226987556,0.159017954250857,17.0562643863276,3.14004260701128e-65,2.46709222579617e-62,Upregulated,Non-PcB,NA
17,DMRTA2,524.163455548573,-7.72459364145774,0.454087396094064,-17.0112487329589,6.77776141759671e-65,5.01195522238872e-62,Downregulated,PcB target,DMRTA2
18,KAZN,334.961892443747,-3.69192726813106,0.218946416829188,-16.8622410980644,8.5292695941236e-64,5.95674711487376e-61,Downregulated,Non-PcB,NA
19,S100A4,542.967029443274,3.79890144118307,0.22597657972196,16.8110405328606,2.02583933014208e-63,1.34035927469558e-60,Upregulated,Non-PcB,NA
20,SORL1,384.995737529054,-6.46075289211534,0.385505994197847,-16.7591502839242,4.85513429392493e-63,3.05169466044652e-60,Downregulated,Non-PcB,NA
21,ISLR2,508.794478946576,-7.33696395671816,0.438581289622951,-16.7288576378298,8.07726585634607e-63,4.83520519429173e-60,Downregulated,Non-PcB,NA
22,MAGEA6,350.268419182366,6.19122939611488,0.376601961934184,16.439716257232,9.93831427527521e-61,5.67884312520385e-58,Upregulated,PcB target,MAGEA6
23,ITPKB,1897.00053047159,-1.97107617803764,0.120222536143516,-16.3952303891233,2.06854983812734e-60,1.13059739196082e-57,Downregulated,PcB target,ITPKB
24,CDH6,1092.50514608623,2.78852768263693,0.17024496505775,16.3795016298486,2.67929453615523e-60,1.40339215058364e-57,Upregulated,Non-PcB,NA
25,SFRP2,1486.47176246776,4.28400868851192,0.261725503347411,16.3683272501931,3.21941387027117e-60,1.61885007052715e-57,Upregulated,Non-PcB,NA
