,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
1,A1BG,69.9371817339152,-0.405394627354282,0.297273002568235,-1.36371155083694,0.172658367207373,1,Non-PcB,2.89135927989748
2,A2M,2587.74952662486,0.415940512713946,0.330003922711425,1.26041081359408,0.207521202743949,1,Non-PcB,5.94273338695384
3,A2ML1-AS1,112.690024666431,-0.00365608429442866,0.328170581618381,-0.0111408045059938,0.991111107968005,1,Non-PcB,3.02530433115484
4,AAAS,700.039279100862,-0.025434509187522,0.123944398824379,-0.205209024601111,0.837408818873663,1,Non-PcB,6.14094024611025
5,AACS,343.969032104256,-0.225749639428351,0.158629272162985,-1.42312724726117,0.154699270958545,1,PcB target,5.14574325918382
6,AADAT,253.155607114976,-0.0693571517212041,0.180580834388806,-0.384078144039761,0.700920530007305,1,Non-PcB,4.96625943597559
7,AAGAB,521.255212311421,-0.0473529702913344,0.149287956604247,-0.317192165854772,0.751097793988289,1,PcB target,5.51893964447685
8,AAK1,377.989587636457,-0.0706246172605958,0.150464602012489,-0.469376958540279,0.638800215092767,1,Non-PcB,5.38245944570015
9,AAMDC,401.794267214454,0.132275648568928,0.123407658735711,1.07185931508682,0.283783226482446,1,Non-PcB,5.73453507406757
10,AAMP,957.606125803784,-0.0990224670603045,0.0915412211559465,-1.08172543265086,0.279374548775581,1,Non-PcB,6.61623796593979
11,AAR2,484.430434673382,0.127541442807282,0.136690318246584,0.933068592152976,0.350784554243016,1,Non-PcB,5.57650929625819
12,AARS1,2944.37884072252,-0.0971141773896558,0.105385487287102,-0.921513767119444,0.356782256888102,1,Non-PcB,8.10934915303755
13,AARS2,421.559749159999,0.0444281671599154,0.145086516322519,0.306218443216005,0.759438330821168,1,PcB target,5.44814521877867
14,AASDH,99.3939047281389,0.184268308779485,0.291703433770452,0.631697427752908,0.527584609174416,1,Non-PcB,3.47058733107845
15,AASDHPPT,707.308042767516,0.035156234059124,0.135324677581783,0.259791744472308,0.795024419331622,1,Non-PcB,5.98093230588555
16,AASS,433.306453755428,-0.134462096330011,0.17086592361362,-0.786945070651247,0.431314021982709,1,Non-PcB,5.50749746489508
17,AATF_1,72.9183454937874,-1.25418649916268,1.20815708830741,-1.03809886255749,0.29922403095228,1,Non-PcB,3.55731951127324
18,ABALON,449.883200690767,-0.193020041851498,0.123817365732138,-1.55890929119806,0.119017850948203,1,Non-PcB,5.45030729132314
19,ABAT,1266.17466228023,-0.247506339581987,0.128903054646112,-1.92009677553016,0.0548456765238567,0.920988258555968,Non-PcB,7.26175916177928
20,ABCA2,625.282225325304,-0.231974773436728,0.209163754662936,-1.10905818176075,0.2674050834913,1,Non-PcB,6.23267958208347
21,ABCA3,2342.08229696431,-0.089596493518105,0.150148549497364,-0.596719008062599,0.550694999734455,1,Non-PcB,8.20659538357604
22,ABCA5,90.8987030051448,-0.370510506624551,0.31314950532657,-1.18317449116888,0.236740000388483,1,PcB target,3.46123940318376
23,ABCA7,55.3698427437754,0.285058496393021,0.379169290464667,0.751797425481598,0.452172890492432,1,Non-PcB,2.88049289421497
24,ABCB1,64.8269237269323,0.0755181032548906,0.352283854093016,0.214367199567855,0.830260718067541,1,PcB target,3.69286855473404
25,ABCB10,489.787786360601,0.446820805267558,0.136917078192134,3.26344099046973,0.00110068103042361,0.242887796038365,Non-PcB,5.43554652069497
26,ABCB4,81.7792350024347,-0.133274975124314,0.282865394084376,-0.471160410257041,0.637526187927625,1,Non-PcB,3.71767844514283
27,ABCB6,596.055516739684,-0.183612730043306,0.158686604507814,-1.15707769167286,0.247240620044578,1,Non-PcB,6.31558861391747
28,ABCB7,332.233628338401,-0.0491479129523613,0.155950287343452,-0.315151153547554,0.752646890934409,1,Non-PcB,5.08794251363307
29,ABCB8,189.983705327149,-0.23536251793803,0.189665042550874,-1.24093778575405,0.214628732702485,1,Non-PcB,4.57330005760829
30,ABCB9,149.880034471866,0.0128890162811991,0.22274620966131,0.0578641329107108,0.953856853021219,1,Non-PcB,4.00368391802135
31,ABCC1,91.6788564147781,-0.0636595957146167,0.391933244331422,-0.162424587950456,0.870971509537751,1,Non-PcB,3.75613428390882
32,ABCC1_1,178.518800116612,-0.0221314808778354,0.243223912389001,-0.0909922082103479,0.927498782320346,1,Non-PcB,4.4228717666742
33,ABCC10,342.764197034862,-0.203298074703811,0.206219336544542,-0.985834200178895,0.324214480163954,1,Non-PcB,5.19889295759262
34,ABCC11,86.77339023604,-0.062690824951555,0.296362087153042,-0.211534564200789,0.832470164039297,1,Non-PcB,3.17196106788937
35,ABCC4,292.866616086874,-0.0234485872945884,0.171050342280114,-0.137085883500828,0.89096291045755,1,Non-PcB,4.79831754254723
36,ABCC5,372.259137785347,-0.173365453381887,0.162794738609315,-1.06493277892685,0.286906350314518,1,Non-PcB,5.45269787789259
37,ABCD1,158.464079255291,-0.0572174416247361,0.262855123540352,-0.217676721891831,0.827681002018158,1,Non-PcB,4.57014355102286
38,ABCD3,1119.38665901264,-0.0119092272464001,0.120487828663042,-0.0988417450836936,0.921263922975034,1,Non-PcB,6.58477686864919
39,ABCD4,186.56567264027,-0.133755889244293,0.209919232512714,-0.637177869046333,0.524008991417058,1,Non-PcB,4.5415891407804
40,ABCE1,1366.54412621372,0.104727452236284,0.132649385651603,0.789505746459656,0.42981647247926,1,Non-PcB,7.21046024308614
41,ABCF3,460.740937470336,-0.101216096555184,0.156759063379933,-0.645679390861559,0.5184870101793,1,PcB target,5.50950477003085
42,ABHD10,450.104795738974,0.0755255204110926,0.16349446079122,0.461945438674753,0.644120447909835,1,Non-PcB,5.6901356953817
43,ABHD11,123.768618928722,-0.00377036127810345,0.230143866354636,-0.0163826276920784,0.98692913898419,1,PcB target,3.79067994865032
44,ABHD12,1716.490200669,0.0357768763350465,0.0909789864846708,0.393243294055321,0.694139796057602,1,Non-PcB,7.4224494912545
45,ABHD13,123.293371260834,0.236617438751757,0.250675256597251,0.943920201633305,0.3452104278513,1,Non-PcB,3.9656846588083
46,ABHD14B,67.2058697714414,0.0402943931011175,0.274696235071635,0.146687096350664,0.883379004045277,1,Non-PcB,2.93149685662485
47,ABHD15,159.097794064137,0.161417107960991,0.201217043736445,0.80220395332125,0.422434989938752,1,Non-PcB,4.29764378818121
