,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target,avgcounts
1,A1BG,69.9371817339152,0.149617382232579,0.318143738147594,0.47028234188651,0.63815331160688,0.909647907959996,Non-PcB,2.61103417171163
2,A2M,2587.74952662486,1.03425626071248,0.334950825380886,3.08778537726063,0.002016540500949,0.191500069271847,Non-PcB,5.53149536522207
3,A2ML1-AS1,112.690024666431,0.407151968209305,0.344827632882049,1.18074054798437,0.237705808224739,0.709280729929549,Non-PcB,2.87052490468118
4,AAAS,700.039279100862,-0.157060652770726,0.125453529310742,-1.25194287983478,0.210590678458084,0.68302126814979,Non-PcB,6.20167482643184
5,AACS,343.969032104256,0.0133140280311884,0.1639066596622,0.0812293292940487,0.935259575175373,0.990001262647984,PcB target,5.01218433513584
6,AADAT,253.155607114976,-0.143254526804787,0.183314009426424,-0.781470697482528,0.434525704483207,0.824725619543701,Non-PcB,5.00149132989665
7,AAGAB,521.255212311421,-0.0932725134502979,0.151799114466349,-0.614447019524441,0.53891997290451,0.872659278307157,PcB target,5.5409711364677
8,AAK1,377.989587636457,0.102649770815323,0.154864610474325,0.662835560047729,0.507435876267105,0.858294977328833,Non-PcB,5.29091375490101
9,AAMDC,401.794267214454,0.374370638961404,0.128505823224702,2.91325816657186,0.00357678759995969,0.211097638117809,Non-PcB,5.6211565231659
10,AAMP,957.606125803784,-0.0415106712365525,0.0939478198769386,-0.441848158806952,0.658599086644748,0.915081288767621,Non-PcB,6.57977852324014
11,AAR2,484.430434673382,0.324275389689285,0.14143764028108,2.29270927487796,0.0218647482112188,0.350588966534735,Non-PcB,5.48419655128536
12,AARS1,2944.37884072252,-0.181097962163225,0.10589421380649,-1.71017806973063,0.087232949715101,0.52244183462055,Non-PcB,8.15058877341738
13,AARS2,421.559749159999,0.150545200052789,0.149032955561824,1.01014704757927,0.312424844456048,0.761682172075532,PcB target,5.39079936762131
14,AASDH,99.3939047281389,-0.136503930618441,0.293504035682401,-0.465083658223191,0.641871548212573,0.911133763416621,Non-PcB,3.62564744887523
15,AASDHPPT,707.308042767516,-0.0679227147141083,0.137088640900044,-0.495465665631866,0.620271452316093,0.904219293398226,Non-PcB,6.02537019917308
16,AASS,433.306453755428,-0.268679753341526,0.172483945090724,-1.55770876646058,0.11930230144562,0.576551430323264,Non-PcB,5.57771009369976
17,AATF_1,72.9183454937874,1.13140980328163,1.223595558792,0.924659945969903,0.35514282041779,0.783933344244432,Non-PcB,2.57875829482611
18,ABALON,449.883200690767,0.109634737107482,0.129986294584438,0.843433051599641,0.398986293525384,0.807414149373406,Non-PcB,5.30095734846072
19,ABAT,1266.17466228023,0.283311652505361,0.131259281667388,2.15841233401898,0.0308957876209581,0.398077856968326,Non-PcB,6.99373485077653
20,ABCA2,625.282225325304,0.624950615542376,0.213644437668783,2.92519020088531,0.00344245747732592,0.211097638117809,Non-PcB,5.83214680418484
21,ABCA3,2342.08229696431,0.170311478335781,0.150897320190371,1.12865807107056,0.259042103319198,0.723487731798631,Non-PcB,8.08249510384493
22,ABCA5,90.8987030051448,-0.281038989239076,0.319348715095529,-0.880037952102004,0.378838750182577,0.798132969934476,PcB target,3.4142751960342
23,ABCA7,55.3698427437754,0.245370937946184,0.386152475647424,0.635425002869123,0.525151265489924,0.8679314785591,Non-PcB,2.90085691204059
24,ABCB1,64.8269237269323,-0.223004751320454,0.353787551193788,-0.63033521266638,0.528475289157108,0.868965704122104,PcB target,3.83120804498168
25,ABCB10,489.787786360601,0.0427342346954616,0.137355228474257,0.311122009479754,0.755707869756148,0.93957112359851,Non-PcB,5.6158541851669
26,ABCB4,81.7792350024347,-0.0520192450370899,0.288917145295513,-0.180049006727805,0.857114095000808,0.969591744274796,Non-PcB,3.68946638896296
27,ABCB6,596.055516739684,0.256566528333335,0.161995395093106,1.5837890218168,0.113241738371412,0.563786888343376,Non-PcB,6.09198955248091
28,ABCB7,332.233628338401,-0.212055908505621,0.158172567236392,-1.34066173553787,0.180030303386311,0.64772780305361,Non-PcB,5.16730399511776
29,ABCB8,189.983705327149,0.185816146829678,0.198445098238231,0.936360476924495,0.349087619995131,0.781106551360834,Non-PcB,4.34570861270778
30,ABCB9,149.880034471866,0.166157884735523,0.230441644734188,0.721041046756911,0.470884260724184,0.842939584211081,Non-PcB,3.92365138636653
31,ABCC1,91.6788564147781,-0.198628392663357,0.394399872557531,-0.503621847987244,0.614527136594749,0.901923921171023,Non-PcB,3.8157101806493
32,ABCC1_1,178.518800116612,0.48930893697914,0.252617497058805,1.93695584302792,0.052750741308336,0.461172240472384,Non-PcB,4.18727806667656
33,ABCC10,342.764197034862,0.17204996483588,0.211189120367854,0.814672481878797,0.415259808983303,0.81334955398148,Non-PcB,5.00436597739392
34,ABCC11,86.77339023604,-0.0496838705997367,0.303915466739371,-0.163479243530387,0.870141114557924,0.972988921739007,Non-PcB,3.15770638138575
35,ABCC4,292.866616086874,-0.221027710667838,0.173248129681184,-1.275786994495,0.202030826204851,0.673935972738728,Non-PcB,4.89519178211048
36,ABCC5,372.259137785347,0.00331417817162954,0.166553812335769,0.0198985428502125,0.98412430755297,0.999226772494014,Non-PcB,5.37476294094548
37,ABCD1,158.464079255291,0.367300745880601,0.269798481761999,1.36138922458657,0.173390719532564,0.640521520788674,Non-PcB,4.37552849369011
38,ABCD3,1119.38665901264,-0.283320584401564,0.121133789440877,-2.3389063093733,0.0193402828952519,0.341470079039623,Non-PcB,6.72219043472021
39,ABCD4,186.56567264027,0.122984566168316,0.216347137639355,0.568459409771938,0.569723059803192,0.883513985056212,Non-PcB,4.42056515588356
40,ABCE1,1366.54412621372,-0.172833998386173,0.133042202206135,-1.29909153276331,0.193912518565786,0.662941088676418,Non-PcB,7.34195755135801
41,ABCF3,460.740937470336,0.0768525105167436,0.160627167558912,0.478452752947643,0.632327994552889,0.907986945670066,PcB target,5.41397612894375
42,ABHD10,450.104795738974,-0.238514676509802,0.164186635908957,-1.45270457116899,0.146305797270179,0.609009992544178,Non-PcB,5.8485782537438
43,ABHD11,123.768618928722,0.0473687155538048,0.23704946311498,0.199826293345489,0.841616436917285,0.966916209713735,PcB target,3.763325421087
44,ABHD12,1716.490200669,0.202270279056554,0.0928076963469174,2.17945587508673,0.0292978191868622,0.391385354537998,Non-PcB,7.33871504119653
45,ABHD13,123.293371260834,0.382022218763538,0.258302574753129,1.47897178000898,0.139147857205793,0.602912397054355,Non-PcB,3.89424776347169
46,ABHD14B,67.2058697714414,0.0895358459405768,0.28542985400994,0.313687740377216,0.753758212901326,0.939506502437353,Non-PcB,2.90496138473031
47,ABHD15,159.097794064137,0.18393411810171,0.206749068712978,0.889649076761059,0.373654345417757,0.795193630649505,Non-PcB,4.28844075980822
48,ABHD17A,1077.58691600394,0.0819823082642886,0.145129623659579,0.56489024223331,0.57214842108127,0.883813934801258,Non-PcB,7.01851337044934
49,ABHD17B,213.071369928736,-0.175810934858809,0.212339872153708,-0.827969486256183,0.407687780874863,0.81015207182837,Non-PcB,4.44148557662894
50,ABHD17C,261.51274108654,-0.010762951969678,0.167047046277996,-0.0644306631544181,0.948627315076506,0.991955840140129,Non-PcB,5.01556631510597
51,ABHD18,91.1723908759635,-0.0901651876022874,0.247924273659897,-0.3636803539696,0.716096715468161,0.929867969233577,Non-PcB,3.5160074452177
52,ABHD2,1040.38343266685,0.113214683238433,0.136207388714856,0.831193405193622,0.40586437975262,0.81015207182837,Non-PcB,6.58590534159127
53,ABHD3,136.340615235592,-0.46469120564301,0.231403725457013,-2.00814055489065,0.0446283577720731,0.448101506032533,Non-PcB,3.96269503579911
