,sample.ID,genotype,replicate,guide,target,harvest,condition,treatment,group,sample.name,ID.harvests,colnames
LUC_K27M_KO_1_A,1,K27M_KO,1,LUC,LUC,A,LUC_K27M_KO,LUC_K27M_KO,LUC_K27M_KO_A,LUC_K27M_KO_1_A,X1A,X1A_R1_001
LUC_K27M_KO_1_B,1,K27M_KO,1,LUC,LUC,B,LUC_K27M_KO,LUC_K27M_KO,LUC_K27M_KO_B,LUC_K27M_KO_1_B,X1B,X1B_R1_001
CBX4.1_K27M_KO_1_A,3,K27M_KO,1,CBX4.1,CBX4,A,CBX4.1_K27M_KO,CBX4_K27M_KO,CBX4_K27M_KO_A,CBX4.1_K27M_KO_1_A,X3A,X3A_R1_001
CBX4.1_K27M_KO_1_B,3,K27M_KO,1,CBX4.1,CBX4,B,CBX4.1_K27M_KO,CBX4_K27M_KO,CBX4_K27M_KO_B,CBX4.1_K27M_KO_1_B,X3B,X3B_R1_001
CBX4.2_K27M_KO_1_A,5,K27M_KO,1,CBX4.2,CBX4,A,CBX4.2_K27M_KO,CBX4_K27M_KO,CBX4_K27M_KO_A,CBX4.2_K27M_KO_1_A,X5A,X5A_R1_001
CBX4.2_K27M_KO_1_B,5,K27M_KO,1,CBX4.2,CBX4,B,CBX4.2_K27M_KO,CBX4_K27M_KO,CBX4_K27M_KO_B,CBX4.2_K27M_KO_1_B,X5B,X5B_R1_001
CBX2.1_K27M_KO_1_A,7,K27M_KO,1,CBX2.1,CBX2,A,CBX2.1_K27M_KO,CBX2_K27M_KO,CBX2_K27M_KO_A,CBX2.1_K27M_KO_1_A,X7A,X7A_R1_001
CBX2.1_K27M_KO_1_B,7,K27M_KO,1,CBX2.1,CBX2,B,CBX2.1_K27M_KO,CBX2_K27M_KO,CBX2_K27M_KO_B,CBX2.1_K27M_KO_1_B,X7B,X7B_R1_001
CBX2.3_K27M_KO_1_A,9,K27M_KO,1,CBX2.3,CBX2,A,CBX2.3_K27M_KO,CBX2_K27M_KO,CBX2_K27M_KO_A,CBX2.3_K27M_KO_1_A,X9A,X9A_R1_001
CBX2.3_K27M_KO_1_B,9,K27M_KO,1,CBX2.3,CBX2,B,CBX2.3_K27M_KO,CBX2_K27M_KO,CBX2_K27M_KO_B,CBX2.3_K27M_KO_1_B,X9B,X9B_R1_001
EZH2.3_K27M_KO_1_A,11,K27M_KO,1,EZH2.3,EZH2,A,EZH2.3_K27M_KO,EZH2_K27M_KO,EZH2_K27M_KO_A,EZH2.3_K27M_KO_1_A,X11A,X11A_R1_001
EZH2.3_K27M_KO_1_B,11,K27M_KO,1,EZH2.3,EZH2,B,EZH2.3_K27M_KO,EZH2_K27M_KO,EZH2_K27M_KO_B,EZH2.3_K27M_KO_1_B,X11B,X11B_R1_001
EZH2.5_K27M_KO_1_A,13,K27M_KO,1,EZH2.5,EZH2,A,EZH2.5_K27M_KO,EZH2_K27M_KO,EZH2_K27M_KO_A,EZH2.5_K27M_KO_1_A,X13A,X13A_R1_001
EZH2.5_K27M_KO_1_B,13,K27M_KO,1,EZH2.5,EZH2,B,EZH2.5_K27M_KO,EZH2_K27M_KO,EZH2_K27M_KO_B,EZH2.5_K27M_KO_1_B,X13B,X13B_R1_001
CBX8.1_K27M_KO_1_A,15,K27M_KO,1,CBX8.1,CBX8,A,CBX8.1_K27M_KO,CBX8_K27M_KO,CBX8_K27M_KO_A,CBX8.1_K27M_KO_1_A,X15A,X15A_R1_001
CBX8.1_K27M_KO_1_B,15,K27M_KO,1,CBX8.1,CBX8,B,CBX8.1_K27M_KO,CBX8_K27M_KO,CBX8_K27M_KO_B,CBX8.1_K27M_KO_1_B,X15B,X15B_R1_001
CBX8.2_K27M_KO_1_A,17,K27M_KO,1,CBX8.2,CBX8,A,CBX8.2_K27M_KO,CBX8_K27M_KO,CBX8_K27M_KO_A,CBX8.2_K27M_KO_1_A,X17A,X17A_R1_001
CBX8.2_K27M_KO_1_B,17,K27M_KO,1,CBX8.2,CBX8,B,CBX8.2_K27M_KO,CBX8_K27M_KO,CBX8_K27M_KO_B,CBX8.2_K27M_KO_1_B,X17B,X17B_R1_001
BMI1.1_K27M_KO_1_A,19,K27M_KO,1,BMI1.1,BMI1,A,BMI1.1_K27M_KO,BMI1_K27M_KO,BMI1_K27M_KO_A,BMI1.1_K27M_KO_1_A,X19A,X19A_R1_001
BMI1.1_K27M_KO_1_B,19,K27M_KO,1,BMI1.1,BMI1,B,BMI1.1_K27M_KO,BMI1_K27M_KO,BMI1_K27M_KO_B,BMI1.1_K27M_KO_1_B,X19B,X19B_R1_001
BMI1.3_K27M_KO_1_A,21,K27M_KO,1,BMI1.3,BMI1,A,BMI1.3_K27M_KO,BMI1_K27M_KO,BMI1_K27M_KO_A,BMI1.3_K27M_KO_1_A,X21A,X21A_R1_001
BMI1.3_K27M_KO_1_B,21,K27M_KO,1,BMI1.3,BMI1,B,BMI1.3_K27M_KO,BMI1_K27M_KO,BMI1_K27M_KO_B,BMI1.3_K27M_KO_1_B,X21B,X21B_R1_001
LUC_K27M+_1_A,27,K27M+,1,LUC,LUC,A,LUC_K27M+,LUC_K27M+,LUC_K27M+_A,LUC_K27M+_1_A,X27A,X27A_R1_001
LUC_K27M+_1_B,27,K27M+,1,LUC,LUC,B,LUC_K27M+,LUC_K27M+,LUC_K27M+_B,LUC_K27M+_1_B,X27B,X27B_R1_001
CBX4.1_K27M+_1_A,29,K27M+,1,CBX4.1,CBX4,A,CBX4.1_K27M+,CBX4_K27M+,CBX4_K27M+_A,CBX4.1_K27M+_1_A,X29A,X29A_R1_001
CBX4.1_K27M+_1_B,29,K27M+,1,CBX4.1,CBX4,B,CBX4.1_K27M+,CBX4_K27M+,CBX4_K27M+_B,CBX4.1_K27M+_1_B,X29B,X29B_R1_001
CBX4.2_K27M+_1_A,31,K27M+,1,CBX4.2,CBX4,A,CBX4.2_K27M+,CBX4_K27M+,CBX4_K27M+_A,CBX4.2_K27M+_1_A,X31A,X31A_R1_001
