,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,1.41246319021393,0.157956790403049,3.01122128216912e-20,3.54089510570266e-16,Upregulated,PcB target,CDKN2A
2,RAB29,194.42488404359,1.67472375300944,0.270926150674968,2.35306671781278e-11,1.38348557673802e-07,Upregulated,PcB target,RAB29
3,MAML3,141.85463475103,1.93577920343018,0.327708804283912,8.2385784775209e-11,3.22924814390561e-07,Upregulated,PcB target,MAML3
4,PDLIM3,306.644767021359,2.19791105218109,0.41831871321265,8.87289909946708e-10,2.08672841021267e-06,Upregulated,PcB target,PDLIM3
5,RTN1,416.439090520945,1.08900649993452,0.247521035466297,1.67435427604592e-09,3.28145532200399e-06,Upregulated,PcB target,RTN1
6,DEK,2917.1227538518,-0.69638159165151,0.173367964208337,4.67486994514891e-09,6.87147446062576e-06,Downregulated,PcB target,DEK
7,EYA4,799.790347207316,1.11408234886151,0.273546225888924,7.79805346149123e-09,9.77824092733458e-06,Upregulated,PcB target,EYA4
8,RGS12,1304.72421358952,0.424678218762368,0.0849305396857296,1.7877307894428e-08,1.54804954439785e-05,NS,PcB target,NA
9,PCDH1,289.425689217522,1.53705207172041,0.341158534308833,1.7859602171246e-08,1.54804954439785e-05,Upregulated,PcB target,PCDH1
10,ITGA5,300.480394222498,1.28986798053348,0.308727602062502,1.80046764931788e-08,1.54804954439785e-05,Upregulated,PcB target,ITGA5
11,LBR,2938.66958982616,-0.490821872355138,0.1066571766545,3.37020494938454e-08,2.64201599998752e-05,NS,PcB target,NA
12,DMRTA2,523.923170832472,1.74892569340678,0.578538232705157,4.59079150784127e-07,0.000158773874531487,Upregulated,PcB target,DMRTA2
13,ABHD4,892.948755833062,0.686028550379027,0.23574685901593,5.57592508583154e-07,0.000171637219801288,Upregulated,PcB target,ABHD4
14,CPNE5,227.236273109773,1.20999284288545,0.433612900011966,8.32615015004609e-07,0.000222516362759982,Upregulated,PcB target,CPNE5
15,SALL2,1211.72487132042,0.437217108631271,0.113799414216299,2.29549063085599e-06,0.000455594721423494,NS,PcB target,NA
16,CDCA7L,680.876417074644,-0.507755119556102,0.155832621971329,3.46851714044579e-06,0.000574454831753549,NS,PcB target,NA
17,CCND2,2303.18435034278,0.361318803260468,0.0891592686215886,3.72979255155868e-06,0.00060914764741359,NS,PcB target,NA
18,APOL4,221.939530706198,0.757424546745096,0.355386878592894,6.10237259344924e-06,0.000885898757115675,Upregulated,PcB target,APOL4
19,FAM131B,566.005495769696,0.511227285481883,0.16894089006157,6.27727573564138e-06,0.000900176650919597,NS,PcB target,NA
20,EFHD1,280.360428941105,0.629839665323824,0.271436520371952,7.37027997685698e-06,0.000942033937476753,Upregulated,PcB target,EFHD1
21,NAB1,362.670122078312,-0.446966149449629,0.137464677323956,1.32899018291961e-05,0.00146052294962165,NS,PcB target,NA
22,SESN2,444.293757880889,0.509764733688873,0.186186184824389,1.37749792982737e-05,0.00148605487677431,NS,PcB target,NA
23,ANLN,565.413775694101,-0.517131875514676,0.194624031660194,1.46287273374167e-05,0.00150894039263757,NS,PcB target,NA
24,GPR161,529.511448576584,0.374674754476046,0.11124653878908,3.77530371420477e-05,0.00286411589518283,NS,PcB target,NA
25,MCF2L,369.071198213841,0.45044458232709,0.167340851734437,5.10605732834628e-05,0.00343097874994422,NS,PcB target,NA
26,NRG2,205.631312615172,0.465153801871924,0.191714532471556,6.52297386601838e-05,0.00395379637579949,NS,PcB target,NA
