,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,DMRTA2,523.923170832472,-5.24202822450005,0.224072713178311,1.01767992028948e-121,9.93662674170647e-118,Downregulated,PcB target,DMRTA2
2,GSN,996.987558813967,-2.64899865601054,0.127003776152684,2.45868182938592e-97,1.20032846910621e-93,Downregulated,PcB target,GSN
3,SFRP1,671.658757173415,-6.28084968758503,0.307273372815867,7.37152025762937e-94,2.39918412651644e-90,Downregulated,PcB target,SFRP1
4,EYA4,799.790347207316,-3.06675179849707,0.186285336849668,2.47881497822941e-61,2.8474293467567e-58,Downregulated,PcB target,EYA4
5,ABLIM1,1572.91711703577,2.27268831076657,0.139995651488983,1.15395771888814e-60,1.25191590746932e-57,Upregulated,PcB target,ABLIM1
6,MAGEA6,347.412354860506,6.09978530734551,0.374840043098033,1.75385003478279e-60,1.80258860417044e-57,Upregulated,PcB target,MAGEA6
7,PDLIM3,306.644767021359,-3.67811881595304,0.226161203757233,7.51310871016577e-60,7.33579934460586e-57,Downregulated,PcB target,PDLIM3
8,WLS,2402.79526408905,1.80904821649472,0.11814946957115,2.09207511019863e-55,1.27668883599871e-52,Upregulated,PcB target,WLS
9,RPS6KA2,1046.16865006708,1.96688982621576,0.135939590939942,1.31082623997236e-49,6.09471781290008e-47,Upregulated,PcB target,RPS6KA2
10,NT5E,285.760101132116,-5.60815528804498,0.384313345519066,5.04155456820432e-49,2.28956924669521e-46,Downregulated,PcB target,NT5E
11,LINC01694,235.092491066917,4.56009309372331,0.312496379425308,9.40907580671477e-49,4.17591891712559e-46,Upregulated,PcB target,LINC01694
12,RGS12,1304.72421358952,1.32506121892178,0.093132728783663,4.18763279337353e-48,1.81724651531107e-45,Upregulated,PcB target,RGS12
13,ITPKB,1892.84488715906,-1.69001714463959,0.119568635203842,5.6593582743339e-48,2.40252061698245e-45,Downregulated,PcB target,ITPKB
