,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,DMRTA2,523.923170832472,-5.27143536020951,0.224688035612993,-23.4611306553462,1.01767992028948e-121,9.93662674170647e-118,Downregulated,PcB target,DMRTA2
2,GSN,996.987558813967,-2.65523238372616,0.126819356795195,-20.9371223039255,2.45868182938592e-97,1.20032846910621e-93,Downregulated,PcB target,GSN
3,SFRP1,671.658757173415,-6.34708635430012,0.308829193180195,-20.5520931779164,7.37152025762937e-94,2.39918412651644e-90,Downregulated,PcB target,SFRP1
4,EYA4,799.790347207316,-3.07957079774993,0.186373388640135,-16.5236615603755,2.47881497822941e-61,2.8474293467567e-58,Downregulated,PcB target,EYA4
5,ABLIM1,1572.91711703577,2.2833170940356,0.138966850257059,16.4306601884691,1.15395771888814e-60,1.25191590746932e-57,Upregulated,PcB target,ABLIM1
6,MAGEA6,347.412354860506,6.19608608396127,0.377689075184919,16.4052563101743,1.75385003478279e-60,1.80258860417044e-57,Upregulated,PcB target,MAGEA6
7,PDLIM3,306.644767021359,-3.69944128700588,0.226727801925689,-16.316663662705,7.51310871016577e-60,7.33579934460586e-57,Downregulated,PcB target,PDLIM3
8,WLS,2402.79526408905,1.82528450513151,0.116412874354238,15.6794041488682,2.09207511019863e-55,1.27668883599871e-52,Upregulated,PcB target,WLS
9,RPS6KA2,1046.16865006708,1.98314047209818,0.133928383273008,14.8074696612712,1.31082623997236e-49,6.09471781290008e-47,Upregulated,PcB target,RPS6KA2
10,NT5E,285.760101132116,-5.70154000043615,0.387421539144969,-14.7166314320554,5.04155456820432e-49,2.28956924669521e-46,Downregulated,PcB target,NT5E
11,LINC01694,235.092491066917,4.61024401897867,0.314169892541278,14.6743660943671,9.40907580671477e-49,4.17591891712559e-46,Upregulated,PcB target,LINC01694
12,RGS12,1304.72421358952,1.34522820896982,0.0923112859447803,14.5727382649021,4.18763279337353e-48,1.81724651531107e-45,Upregulated,PcB target,RGS12
13,ITPKB,1892.84488715906,-1.71037072611132,0.117533862276157,-14.5521528263287,5.6593582743339e-48,2.40252061698245e-45,Downregulated,PcB target,ITPKB
14,SLIT2,479.803631262113,3.51132976458233,0.244861110650032,14.3400875511053,1.22900307765026e-46,4.89795348986824e-44,Upregulated,PcB target,SLIT2
15,HSPA12A,351.116945842277,2.73114655845191,0.190546530509478,14.3332263838624,1.35668410385514e-46,5.19477003531043e-44,Upregulated,PcB target,HSPA12A
16,STOM,467.772332509094,-2.5962713208819,0.18894893424668,-13.7405978564154,5.79949004886825e-43,1.88754069457165e-40,Downregulated,PcB target,STOM
17,LIMS2,165.073826839643,4.90776462773821,0.361388714161145,13.5802930070191,5.24163309207474e-42,1.62473985749263e-39,Upregulated,PcB target,LIMS2
18,CDH8,376.692191224155,2.68483126239641,0.199916515672957,13.429762185274,4.04709079114639e-41,1.1974483177198e-38,Upregulated,PcB target,CDH8
19,CDH11,225.326643648136,3.06282946964153,0.235449155896706,13.0084538123604,1.09535973850359e-38,2.85202466313309e-36,Upregulated,PcB target,CDH11
20,S1PR3,195.331212884121,-4.39151320337012,0.338773255458808,-12.9629866956959,1.98370650802315e-38,5.03088580372417e-36,Downregulated,PcB target,S1PR3
21,ADARB2,321.128403819339,7.36469098890481,0.569711544381911,12.9270524031506,3.16730453760146e-38,7.8292560772508e-36,Upregulated,PcB target,ADARB2
22,PCDH1,289.425689217522,-2.82829720258329,0.222903549644014,-12.688435007429,6.85416824656103e-37,1.59343092284338e-34,Downregulated,PcB target,PCDH1
23,ARHGAP29,510.923699849386,-2.67520276894154,0.211096846893847,-12.6728693881761,8.3599451855707e-37,1.92062364216264e-34,Downregulated,PcB target,ARHGAP29
24,TRIO,2950.30604186806,1.49075566214846,0.117880259217628,12.6463554800661,1.17185925238885e-36,2.66093807914529e-34,Upregulated,PcB target,TRIO
25,TFAP2A,178.533274896873,-5.66775157815996,0.449863761237241,-12.5988178344755,2.14332823233317e-36,4.75624019556842e-34,Downregulated,PcB target,TFAP2A
26,CDKN2A,379.977106262073,2.13819323592631,0.169884064609304,12.5861907109633,2.51521291899258e-36,5.45745309800967e-34,Upregulated,PcB target,CDKN2A
27,ANK1,387.022508081908,-2.98948301234189,0.238615444040756,-12.5284556679042,5.21686284467814e-36,1.11950436957005e-33,Downregulated,PcB target,ANK1
