,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.27158507797074,0.130525931652198,2.23264311985668e-139,1.45330182815204e-135,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.56035204179487,0.207952214654039,4.1668334621e-107,1.01712404809861e-103,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,7.35756792496272,0.373045946779771,8.21204281682381e-88,1.45786156479032e-84,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.07461756763562,0.119483300200208,9.44998366437478e-70,1.02521822776617e-66,Upregulated,PcB target,ITPKB
5,PCDH1,289.425689217522,5.09385721693383,0.293797416261418,6.14416233648872e-68,6.31490537405009e-65,Upregulated,PcB target,PCDH1
6,CCND2,2303.18435034278,1.55714517891372,0.0930780654785885,4.58572640168842e-65,3.73125271550715e-62,Upregulated,PcB target,CCND2
7,MAGEA6,347.412354860506,-6.43265129006225,0.384817320144692,1.15817955814045e-63,8.3766408930988e-61,Downregulated,PcB target,MAGEA6
8,RTN1,416.439090520945,3.22027365750869,0.196493419938041,3.69706663107969e-61,2.32891345715239e-58,Upregulated,PcB target,RTN1
9,DMRTA2,523.923170832472,7.28738684896425,0.449749111260073,2.96130737306782e-60,1.80713782441464e-57,Upregulated,PcB target,DMRTA2
10,ANK1,387.022508081908,4.1984428520545,0.264462149663917,2.93272461107333e-57,1.46846785141128e-54,Upregulated,PcB target,ANK1
11,IGSF9B,304.547564036742,3.65809504887177,0.23220188158435,1.67307741129315e-56,8.16796392193314e-54,Upregulated,PcB target,IGSF9B
12,RIMS4,1156.42645197058,2.83212106351181,0.183886727363892,1.11530579773571e-54,5.31211990687387e-52,Upregulated,PcB target,RIMS4
13,CHST2,258.381846032204,3.65256286132527,0.238088420518125,1.04232373290529e-53,4.84630901337489e-51,Upregulated,PcB target,CHST2
14,RAB29,194.42488404359,3.96872263881785,0.261275890917943,1.23762028829548e-52,5.62052302089164e-50,Upregulated,PcB target,RAB29
15,ADARB2,321.128403819339,-5.95025291693187,0.395726566602089,6.67203266850083e-52,2.89536564334409e-49,Downregulated,PcB target,ADARB2
16,PDLIM3,306.644767021359,6.32384728142609,0.43065321389433,1.00036932906863e-49,3.98677801184739e-47,Upregulated,PcB target,PDLIM3
17,NT5E,285.760101132116,6.05294329430295,0.412564025851569,1.44175196369501e-49,5.63090646940724e-47,Upregulated,PcB target,NT5E
18,STOM,467.772332509094,2.70158031809744,0.190708774155666,6.98526947596746e-47,2.39312881274899e-44,Upregulated,PcB target,STOM
19,RUNX1,245.637679130731,3.43811437313903,0.243137349695796,4.42674425677564e-46,1.41713871879204e-43,Upregulated,PcB target,RUNX1
20,TNFRSF19,322.494908848589,2.36138145139949,0.173349611374563,4.47282395236955e-44,1.21312925197045e-41,Upregulated,PcB target,TNFRSF19
21,VCAN,872.190900896411,-2.48809031521716,0.182822994814264,8.2442240766725e-44,2.20538640779809e-41,Downregulated,PcB target,VCAN
22,SLIT2,479.803631262113,-3.2010528435117,0.236466081908645,1.39351613091813e-42,3.48879269289348e-40,Downregulated,PcB target,SLIT2
23,OTULINL,322.325809307162,-5.83849994614442,0.432823697302347,3.01028742435955e-42,7.44112567378397e-40,Downregulated,PcB target,OTULINL
24,S1PR3,195.331212884121,5.15742944506286,0.382050220515291,3.80083234556114e-42,9.16329062273061e-40,Upregulated,PcB target,S1PR3
25,CAVIN1,930.208149203013,4.46282812361418,0.330694633128712,5.03012158109401e-42,1.1979050516537e-39,Upregulated,PcB target,CAVIN1
26,ARHGAP29,510.923699849386,2.91356675944166,0.218172147544298,9.10375792188532e-42,2.09150805527737e-39,Upregulated,PcB target,ARHGAP29
27,ABLIM1,1572.91711703577,-1.80015433515092,0.13824696711905,3.45280668705456e-41,7.8402801145118e-39,Downregulated,PcB target,ABLIM1
28,CPNE5,227.236273109773,4.03837552451954,0.304636039762507,1.23286877936978e-40,2.76729442799231e-38,Upregulated,PcB target,CPNE5
29,NAB1,362.670122078312,-2.03355661798514,0.161166367976011,8.75942125836798e-39,1.81972317375968e-36,Downregulated,PcB target,NAB1
30,CDH11,225.326643648136,-2.71947537760661,0.21812056084663,5.26508577761225e-37,1.00800583397267e-34,Downregulated,PcB target,CDH11
31,LIMS2,165.073826839643,-4.16934101067136,0.337170619921009,1.20094649604923e-35,2.09393599775441e-33,Downregulated,PcB target,LIMS2
32,EFHD1,280.360428941105,2.54675996730299,0.216781074093462,1.93101253655582e-33,2.96919785935922e-31,Upregulated,PcB target,EFHD1
33,MAML3,141.85463475103,3.94030133332388,0.332074078274546,5.022883722023e-33,7.48754758195917e-31,Upregulated,PcB target,MAML3
34,CDH8,376.692191224155,-2.16891077855145,0.190606238695488,3.98394626753735e-32,5.51762430584889e-30,Downregulated,PcB target,CDH8
35,SEZ6,268.453434835007,5.71208311382943,0.500017934395031,5.60206715385943e-31,7.15014165886058e-29,Upregulated,PcB target,SEZ6
36,SVIL,2068.66232610493,1.42246374823701,0.129321911652101,4.21562457762273e-30,4.92950399711478e-28,Upregulated,PcB target,SVIL
37,ITGA5,300.480394222498,2.86556912505912,0.259350733813412,1.46244740437015e-29,1.66038796003141e-27,Upregulated,PcB target,ITGA5
38,B4GALNT3,129.357889866741,5.6499785948075,0.507402191644525,1.53946509798108e-29,1.72773990996405e-27,Upregulated,PcB target,B4GALNT3
39,HEY2,169.870931782184,2.87612164543071,0.262303017744344,3.80377854568544e-29,4.1730442382104e-27,Upregulated,PcB target,HEY2
40,LINC01694,235.092491066917,-2.77612936882503,0.254609406851174,5.71529477695788e-29,6.16620311626705e-27,Downregulated,PcB target,LINC01694
41,APOL4,221.939530706198,2.71871084988835,0.254111934104363,4.45398511233275e-28,4.53007402466844e-26,Upregulated,PcB target,APOL4
42,EGFR,629.665599567717,1.24153535478453,0.116677125189554,5.5240246847411e-28,5.53195661762175e-26,Upregulated,PcB target,EGFR
43,KLHL29,162.253821002425,2.66709351311857,0.252521874953653,1.64744420156319e-27,1.60056170985701e-25,Upregulated,PcB target,KLHL29
44,EYA2,123.035446931709,-4.42475533229989,0.411576337244689,1.70568065866268e-27,1.64893722288935e-25,Downregulated,PcB target,EYA2
45,TFAP2A,178.533274896873,6.28520458280426,0.591367227168474,2.65345432761131e-27,2.51537165580551e-25,Upregulated,PcB target,TFAP2A
46,RBBP7,2544.11593534384,-0.998304747929397,0.0946504747114102,4.54240831643144e-27,4.26462257708044e-25,Downregulated,PcB target,RBBP7
47,ADAMTS18,135.983619303496,5.48284863409489,0.517495073129655,6.23053928784006e-27,5.71220522126482e-25,Upregulated,PcB target,ADAMTS18
48,DLX6-AS1,204.253568650346,-6.74226193995629,0.650048109738035,2.86584757050886e-26,2.47629519278306e-24,Downregulated,PcB target,DLX6-AS1
49,SLC39A8,198.910221445255,-2.07432614317009,0.205311649887306,2.97756030479598e-26,2.56148888246942e-24,Downregulated,PcB target,SLC39A8
50,DRAXIN,367.41153129123,2.57999056154387,0.253144045639281,5.92169791136369e-26,4.89995410225043e-24,Upregulated,PcB target,DRAXIN
51,ADAR,6256.2861113238,0.733774035728124,0.0707365893543491,6.09712396500501e-26,5.02382433707248e-24,Upregulated,PcB target,ADAR
52,ANKS1B,394.744794598237,2.17592947006873,0.222792107600884,1.14278913242114e-24,8.68341874627238e-23,Upregulated,PcB target,ANKS1B
53,KCNQ2,967.613460345733,2.45203745617814,0.249052864379873,1.27223410872925e-24,9.59235045377018e-23,Upregulated,PcB target,KCNQ2
54,SLC1A2,345.139884338639,7.18018840149999,0.723662634976613,2.00638133710669e-24,1.48975721486766e-22,Upregulated,PcB target,SLC1A2
55,FZD8,93.2919523948358,4.881160383408,0.488467218830796,4.21577822924042e-24,3.04910063928174e-22,Upregulated,PcB target,FZD8
56,CDON,161.571876096711,2.38315404664948,0.248442105507934,1.19858802216473e-23,8.24155876649043e-22,Upregulated,PcB target,CDON
57,MIA3,1365.92718205502,1.10447241338057,0.114198276868921,2.22307806544981e-23,1.49183053134378e-21,Upregulated,PcB target,MIA3
58,HSPA12A,351.116945842277,-1.68446917438092,0.179288456374191,2.51492828388336e-23,1.67045984788008e-21,Downregulated,PcB target,HSPA12A
59,MCTP1,225.001756503115,2.09096620566727,0.227199490502739,1.98107612589452e-22,1.24393744651023e-20,Upregulated,PcB target,MCTP1
60,NR5A1,249.484318186944,-7.71926275295744,0.822632995750515,2.33333120337867e-22,1.45576011947536e-20,Downregulated,PcB target,NR5A1
61,PERP,119.26005849147,-2.93337612706039,0.311203218130405,2.97607817178403e-22,1.83914096641135e-20,Downregulated,PcB target,PERP
62,RAB6A,1920.40650744812,-0.74967482906441,0.0788267016682829,3.37420221590524e-22,2.07859371836585e-20,Downregulated,PcB target,RAB6A
63,COL2A1,746.998205582823,9.47275581263271,1.04933118744958,9.43515823403224e-22,5.60029696030947e-20,Upregulated,PcB target,COL2A1
64,IGF2BP1,172.434210051343,2.17976931385333,0.241860322896008,1.4449573109098e-21,8.37303453039959e-20,Upregulated,PcB target,IGF2BP1
65,GRIK1,342.296048792223,2.38321374995437,0.265229576341401,3.44578181919218e-21,1.89547119338549e-19,Upregulated,PcB target,GRIK1
66,ATP2B4,1673.12097667366,1.32050327890842,0.147155374084696,5.36757026228814e-21,2.9035432709685e-19,Upregulated,PcB target,ATP2B4
67,FRMD4A,1471.87538872551,1.1321471096432,0.125611071068404,9.7408326779866e-21,5.12719624085505e-19,Upregulated,PcB target,FRMD4A
68,RIPOR2,1115.79711733139,0.887880852173432,0.0982921423144981,2.03007521146709e-20,1.03237783149816e-18,Upregulated,PcB target,RIPOR2
69,TRIM36,102.428499624643,2.4376531800277,0.277988358014102,2.82398659763613e-20,1.41402077637534e-18,Upregulated,PcB target,TRIM36
70,CDKN2A,379.977106262073,1.40517672648277,0.161735444700251,4.4749585200657e-20,2.16304430643176e-18,Upregulated,PcB target,CDKN2A
71,GALNT14,193.736951350051,-2.01528884896936,0.236544394204334,7.66238250309248e-20,3.6142754956616e-18,Downregulated,PcB target,GALNT14
72,CDH4,893.637986707654,1.40237623802274,0.163101750821351,9.97939565770506e-20,4.67332466195838e-18,Upregulated,PcB target,CDH4
73,SUCO,1828.86996275718,1.00252473685319,0.114221764965398,1.39679169191968e-19,6.49441622852562e-18,Upregulated,PcB target,SUCO
74,ERRFI1,775.086956183499,1.44073562498164,0.169755563703427,2.1759879684448e-19,9.83627153884027e-18,Upregulated,PcB target,ERRFI1
75,JAZF1,111.302726122733,-2.1504381194158,0.256694348325256,3.49517983129607e-19,1.5512243578534e-17,Downregulated,PcB target,JAZF1
