,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,GSN,996.987558813967,3.27854825662774,0.130453979161254,25.1318378918525,2.23264311985668e-139,1.45330182815204e-135,Upregulated,PcB target,GSN
2,EYA4,799.790347207316,4.58072513909017,0.208373565785474,21.9832353582034,4.1668334621e-107,1.01712404809861e-103,Upregulated,PcB target,EYA4
3,SFRP1,671.658757173415,7.46375890453972,0.375728351884825,19.864774289984,8.21204281682381e-88,1.45786156479032e-84,Upregulated,PcB target,SFRP1
4,ITPKB,1892.84488715906,2.08931450112378,0.118346746443214,17.6541777777244,9.44998366437478e-70,1.02521822776617e-66,Upregulated,PcB target,ITPKB
5,PCDH1,289.425689217522,5.13926068181428,0.295073623431533,17.4168759038768,6.14416233648872e-68,6.31490537405009e-65,Upregulated,PcB target,PCDH1
6,CCND2,2303.18435034278,1.57360339057758,0.092379483610033,17.0341219617585,4.58572640168842e-65,3.73125271550715e-62,Upregulated,PcB target,CCND2
7,MAGEA6,347.412354860506,-6.53153688767615,0.387762887664635,-16.8441516593127,1.15817955814045e-63,8.3766408930988e-61,Downregulated,PcB target,MAGEA6
8,RTN1,416.439090520945,3.23632345095206,0.196146300150825,16.4995386018677,3.69706663107969e-61,2.32891345715239e-58,Upregulated,PcB target,RTN1
9,DMRTA2,523.923170832472,7.44127072994178,0.454472789302035,16.3734131175814,2.96130737306782e-60,1.80713782441464e-57,Upregulated,PcB target,DMRTA2
10,ANK1,387.022508081908,4.22926528706668,0.26518778561595,15.9481903634566,2.93272461107333e-57,1.46846785141128e-54,Upregulated,PcB target,ANK1
11,IGSF9B,304.547564036742,3.68009671650213,0.232343151841496,15.8390582521351,1.67307741129315e-56,8.16796392193314e-54,Upregulated,PcB target,IGSF9B
12,RIMS4,1156.42645197058,2.84850101105913,0.1829158856834,15.5727371650457,1.11530579773571e-54,5.31211990687387e-52,Upregulated,PcB target,RIMS4
13,CHST2,258.381846032204,3.67570055382995,0.238230901964868,15.4291509771138,1.04232373290529e-53,4.84630901337489e-51,Upregulated,PcB target,CHST2
14,RAB29,194.42488404359,3.99765658303008,0.261821712207135,15.2686213428603,1.23762028829548e-52,5.62052302089164e-50,Upregulated,PcB target,RAB29
15,ADARB2,321.128403819339,-6.04707292776454,0.398926746141338,-15.1583542248182,6.67203266850083e-52,2.89536564334409e-49,Downregulated,PcB target,ADARB2
16,PDLIM3,306.644767021359,6.44607268908548,0.434792496978485,14.8256300048445,1.00036932906863e-49,3.98677801184739e-47,Upregulated,PcB target,PDLIM3
17,NT5E,285.760101132116,6.16014346485742,0.416195877865517,14.8010679405333,1.44175196369501e-49,5.63090646940724e-47,Upregulated,PcB target,NT5E
18,STOM,467.772332509094,2.72088675835781,0.18922320415992,14.3792447149256,6.98526947596746e-47,2.39312881274899e-44,Upregulated,PcB target,STOM
19,RUNX1,245.637679130731,3.46220483392884,0.242946757915786,14.2508789317903,4.42674425677564e-46,1.41713871879204e-43,Upregulated,PcB target,RUNX1
20,TNFRSF19,322.494908848589,2.38332993616271,0.171156208924578,13.9248815519918,4.47282395236955e-44,1.21312925197045e-41,Upregulated,PcB target,TNFRSF19
21,VCAN,872.190900896411,-2.50948829123729,0.180784243226338,-13.8811228592276,8.2442240766725e-44,2.20538640779809e-41,Downregulated,PcB target,VCAN
22,SLIT2,479.803631262113,-3.2245445939088,0.235764282413797,-13.6769851688107,1.39351613091813e-42,3.48879269289348e-40,Downregulated,PcB target,SLIT2
23,OTULINL,322.325809307162,-5.95251681077585,0.437014962938555,-13.6208535532747,3.01028742435955e-42,7.44112567378397e-40,Downregulated,PcB target,OTULINL
24,S1PR3,195.331212884121,5.23564157487366,0.384865708503404,13.6038141595755,3.80083234556114e-42,9.16329062273061e-40,Upregulated,PcB target,S1PR3
