,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,2.0904734158183,0.175963897246509,4.33851972455158e-36,7.12384938771369e-32,Upregulated,PcB target,CDKN2A
2,FN1,515.274087567928,2.6749629967929,0.289932192391875,1.16721563382777e-21,6.38856023581735e-18,Upregulated,PcB target,FN1
3,ACTC1,46.7250491077079,3.67546351788909,0.522927791657952,8.48971844765392e-14,1.16167647425398e-10,Upregulated,PcB target,ACTC1
4,IGF2BP1,172.434210051343,1.4286096808711,0.235985792715331,3.463465391364e-12,2.70810008219985e-09,Upregulated,PcB target,IGF2BP1
5,RPS6KA2,1046.16865006708,0.882982396109588,0.135156675358144,6.03901066537773e-12,3.81386750482701e-09,Upregulated,PcB target,RPS6KA2
6,NEURL1B,550.171515068894,-0.873291858159969,0.141503254529676,5.81288725361249e-11,2.5117791764294e-08,Downregulated,PcB target,NEURL1B
7,WLS,2402.79526408905,0.701067523993764,0.12062564374109,2.83883196504909e-10,1.01333958404578e-07,Upregulated,PcB target,WLS
8,SLC39A8,198.910221445255,-1.13607999579786,0.206103424502171,1.00102545508425e-09,2.75287129691596e-07,Downregulated,PcB target,SLC39A8
9,LIMCH1,132.804607656427,1.71382291004241,0.367314157008243,1.23582921622353e-09,3.22100249688735e-07,Upregulated,PcB target,LIMCH1
10,PPP2R2B,60.9357559703838,1.77134783320031,0.444460731279868,3.02678193004197e-08,4.68865653691407e-06,Upregulated,PcB target,PPP2R2B
11,RTN1,416.439090520945,0.856648922612318,0.178943240174209,7.762582157162e-08,9.66969740797429e-06,Upregulated,PcB target,RTN1
12,ANLN,565.413775694101,-0.893349060530811,0.194652101595373,1.79377636848618e-07,1.91258493315215e-05,Downregulated,PcB target,ANLN
13,PRICKLE1,40.1173921176074,2.37750533521855,0.686379549668827,3.47207886341537e-07,3.43442981549881e-05,Upregulated,PcB target,PRICKLE1
14,DEK,2917.1227538518,-0.683683922889256,0.158643228709207,3.59025988097304e-07,3.5300639069208e-05,Downregulated,PcB target,DEK
15,WIPI1,191.955351515108,0.996859950477623,0.228887586523029,3.80726452583337e-07,3.67736961848141e-05,Upregulated,PcB target,WIPI1
16,SMPD1,163.784827034181,1.00504073232248,0.233770217615279,4.58634008508597e-07,4.3280289768455e-05,Upregulated,PcB target,SMPD1
17,CCDC184,150.660529064046,0.993210408102636,0.233882491200496,5.75349449438062e-07,5.33742257614292e-05,Upregulated,PcB target,CCDC184
18,CEP55,387.26101938902,-1.0454634308527,0.25212899886271,6.95363336455861e-07,6.22586158963944e-05,Downregulated,PcB target,CEP55
