,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,2.13338395046997,0.170084661767839,12.5430707760232,4.33851972455158e-36,7.12384938771369e-32,Upregulated,PcB target,CDKN2A
2,FN1,515.274087567928,2.76394899303218,0.289088372502571,9.56091374103121,1.16721563382777e-21,6.38856023581735e-18,Upregulated,PcB target,FN1
3,ACTC1,46.7250491077079,4.07060880114631,0.545475348848602,7.46249818573582,8.48971844765392e-14,1.16167647425398e-10,Upregulated,PcB target,ACTC1
4,IGF2BP1,172.434210051343,1.59186690096486,0.228798459232897,6.95750708419095,3.463465391364e-12,2.70810008219985e-09,Upregulated,PcB target,IGF2BP1
5,RPS6KA2,1046.16865006708,0.937546370062543,0.136296509637561,6.87872618716109,6.03901066537773e-12,3.81386750482701e-09,Upregulated,PcB target,RPS6KA2
6,NEURL1B,550.171515068894,-0.932938777273602,0.142466642784788,-6.54847169160088,5.81288725361249e-11,2.5117791764294e-08,Downregulated,PcB target,NEURL1B
7,WLS,2402.79526408905,0.742560167278679,0.117729645146259,6.30733377609499,2.83883196504909e-10,1.01333958404578e-07,Upregulated,PcB target,WLS
8,SLC39A8,198.910221445255,-1.27551424780458,0.208784213216439,-6.1092466147443,1.00102545508425e-09,2.75287129691596e-07,Downregulated,PcB target,SLC39A8
9,LIMCH1,132.804607656427,1.97439638542845,0.32497544968096,6.07552474307456,1.23582921622353e-09,3.22100249688735e-07,Upregulated,PcB target,LIMCH1
10,PPP2R2B,60.9357559703838,2.10701056237114,0.380335023348351,5.5398804554513,3.02678193004197e-08,4.68865653691407e-06,Upregulated,PcB target,PPP2R2B
11,RTN1,416.439090520945,0.95186057197927,0.177170707642625,5.37256177753315,7.762582157162e-08,9.66969740797429e-06,Upregulated,PcB target,RTN1
12,ANLN,565.413775694101,-1.0078889817981,0.193099562136838,-5.21953012552081,1.79377636848618e-07,1.91258493315215e-05,Downregulated,PcB target,ANLN
13,PRICKLE1,40.1173921176074,2.88622504757629,0.566389057847541,5.09583475808107,3.47207886341537e-07,3.43442981549881e-05,Upregulated,PcB target,PRICKLE1
