,Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,effect,target,Label
1,CDKN2A,379.977106262073,1.29876434283126,0.160567931702344,4.06071307530196e-17,6.03706212905142e-13,Upregulated,PcB target,CDKN2A
2,PDLIM3,306.644767021359,3.1619592376864,0.423158693386404,2.47436091414158e-16,1.83931618552715e-12,Upregulated,PcB target,PDLIM3
3,SP8,112.877101959828,-1.7886542498931,0.262163189740963,6.95576902395622e-13,2.58528545197893e-09,Downregulated,PcB target,SP8
4,PCDH1,289.425689217522,1.96918523158171,0.304286146065362,4.79033126454398e-12,1.18696424849959e-08,Upregulated,PcB target,PCDH1
5,RAB29,194.42488404359,1.73077539566718,0.272623727238177,1.58828269300601e-11,3.37328554241719e-08,Upregulated,PcB target,RAB29
6,RTN1,416.439090520945,1.16894881603175,0.228269160654692,5.7605978089089e-10,7.13690063542072e-07,Upregulated,PcB target,RTN1
7,EYA4,799.790347207316,1.19364095712781,0.252290153341274,3.61305726218289e-09,4.1319478705287e-06,Upregulated,PcB target,EYA4
8,DLX5,86.7776791109418,-1.45579092805464,0.283751044340174,4.17950499722864e-09,4.43833577098559e-06,Downregulated,PcB target,DLX5
9,OSR2,81.9987502877867,-1.9712810581703,0.419207721036368,2.98667419184723e-08,2.61193442412899e-05,Downregulated,PcB target,OSR2
10,MCF2L,369.071198213841,0.749400323497703,0.227172425273141,1.04407684013695e-07,8.62349465684225e-05,Upregulated,PcB target,MCF2L
11,EFHD1,280.360428941105,0.946121732585552,0.299684743985356,2.39791426240209e-07,0.000142723863993798,Upregulated,PcB target,EFHD1
12,RIMS4,1156.42645197058,0.73712192147439,0.242175178516511,3.04828249421073e-07,0.000167847466079374,Upregulated,PcB target,RIMS4
13,RGS12,1304.72421358952,0.369392754505586,0.0856041550921891,4.7947138915576e-07,0.000222759410705584,NS,PcB target,NA
14,ITGA5,300.480394222498,1.03676396968891,0.367629765882255,1.04759350587133e-06,0.000432627018105251,Upregulated,PcB target,ITGA5
15,DEK,2917.1227538518,-0.514299078353526,0.158105857259705,1.61291469054197e-06,0.000584187108443871,NS,PcB target,NA
16,CDCA7L,680.876417074644,-0.539584596641822,0.172881118406731,1.60783161828158e-06,0.000584187108443871,NS,PcB target,NA
17,ZNF618,458.903025899988,0.470166360928448,0.137132004596445,2.08581886727698e-06,0.000659784448932061,NS,PcB target,NA
18,MAML3,141.85463475103,1.3273071908794,0.481381245450538,2.32904099428893e-06,0.000673091426706676,Upregulated,PcB target,MAML3
19,OTULINL,322.325809307162,-1.25006548115331,0.478254512104676,2.9729732439218e-06,0.00080001912535507,Downregulated,PcB target,OTULINL
20,VCAN,872.190900896411,-0.551073776693565,0.19824373180303,3.98727755802902e-06,0.000956110571858346,NS,PcB target,NA
21,CCDC184,150.660529064046,0.715466951962729,0.303599988485797,4.2107001189843e-06,0.000978132479202181,Upregulated,PcB target,CCDC184
22,SESN2,444.293757880889,0.571420470046501,0.215706167387809,4.57568494328651e-06,0.00103070769775516,NS,PcB target,NA
23,NAB1,362.670122078312,-0.475271185518934,0.150539917940491,4.53062337376582e-06,0.00103070769775516,NS,PcB target,NA
24,ABHD4,892.948755833062,0.593482127644954,0.231659190085364,4.69729611687259e-06,0.00104230897566485,Upregulated,PcB target,ABHD4
25,CCND2,2303.18435034278,0.348111520945511,0.0904160870134873,4.86754982654579e-06,0.00104878062711966,NS,PcB target,NA
26,LBR,2938.66958982616,-0.382722642141098,0.105362090026951,5.78168716714198e-06,0.00113100451465658,NS,PcB target,NA
27,IGSF9B,304.547564036742,0.761922822987472,0.348667564479395,6.79151661648722e-06,0.00121649972936525,Upregulated,PcB target,IGSF9B
28,SH3PXD2B,4312.1012325694,0.34686588122101,0.0944939138221196,9.85136603573569e-06,0.00155849550438071,NS,PcB target,NA
29,RPS6KA2,1046.16865006708,0.409956297683897,0.123323361761644,9.74331663833687e-06,0.00155849550438071,NS,PcB target,NA
30,IGF2BP1,172.434210051343,-0.833245295037534,0.404426137792121,9.65261287924635e-06,0.00155849550438071,Downregulated,PcB target,IGF2BP1
31,ANLN,565.413775694101,-0.534246123555849,0.215915170477837,1.22335808468762e-05,0.00171581741934442,NS,PcB target,NA
32,SALL2,1211.72487132042,0.388016224948911,0.115600634128396,1.35275561803818e-05,0.00186216831234941,NS,PcB target,NA
33,PDZD4,50.4563525757194,1.41681882740605,0.829032263250192,1.56348574989155e-05,0.00209408492285024,Upregulated,PcB target,PDZD4
34,FAM131B,566.005495769696,0.466997969411453,0.174203649014383,2.02790508046834e-05,0.00236612777075801,NS,PcB target,NA
35,NRG2,205.631312615172,0.517967274358884,0.224706035394001,2.37897614951763e-05,0.00269986552785333,NS,PcB target,NA
36,NPTXR,540.288680821232,0.476080009861711,0.187657107223617,2.48927493765559e-05,0.00280364018925194,NS,PcB target,NA
37,RYR2,231.072103152328,0.551444994541108,0.25896362218147,2.55575766868338e-05,0.00285687588423427,NS,PcB target,NA
38,LMTK3,45.6221451237505,0.959253895400625,0.574977590775726,2.99079448328672e-05,0.00324555777978275,Upregulated,PcB target,LMTK3
39,PFKP,2182.85910931124,-0.344018167233125,0.104433333947578,3.85993177979043e-05,0.00372633803702235,NS,PcB target,NA
40,GNAO1,2006.63227214518,0.410579053404696,0.145233626851885,4.08679786744189e-05,0.00382128452171438,NS,PcB target,NA
41,ANKS1B,394.744794598237,0.528927593166995,0.260119348246392,4.13952575838055e-05,0.0038225049347729,NS,PcB target,NA
42,ZIC4,88.3415472223246,0.295280901257305,0.690638601321771,4.38511911519851e-05,0.00399960526905866,NS,PcB target,NA
43,PCOLCE-AS1,125.268157255656,-0.766542301731552,0.498126420324942,5.2768170561895e-05,0.00450864592956145,Downregulated,PcB target,PCOLCE-AS1
44,LIMCH1,132.804607656427,0.727423643242139,0.472204572109752,5.67424632376415e-05,0.00468661222752232,Upregulated,PcB target,LIMCH1
45,SCUBE3,50.468872724026,0.902132986464184,0.634379591430001,5.85223890909049e-05,0.00478050746491474,Upregulated,PcB target,SCUBE3
46,ANK1,387.022508081908,0.625187435099741,0.382233209834891,5.97651008086766e-05,0.00481631352057213,Upregulated,PcB target,ANK1
47,FOXD1,26.6625875102069,0.969257042236565,0.874948857401931,7.49218880053128e-05,0.00558073164660397,Upregulated,PcB target,FOXD1
48,MAPRE3,229.82723858844,0.450562411437503,0.203318785710134,7.84106540197807e-05,0.00579965767816955,NS,PcB target,NA
49,DMRTA2,523.923170832472,0.917949180092206,0.744221780652384,8.09701846859444e-05,0.00587211578402895,Upregulated,PcB target,DMRTA2
50,MCTP1,225.001756503115,0.485202355786545,0.253594845821028,8.9788280712357e-05,0.00620875520628191,NS,PcB target,NA
51,RRAGD,102.628771052282,0.546184036758217,0.335043864688187,9.56967847402505e-05,0.00649645707184157,NS,PcB target,NA
52,KCNA2,335.424342457029,0.451261678638511,0.217343995015042,0.000102549920512073,0.00683681465584302,NS,PcB target,NA
53,CPNE5,227.236273109773,0.60516288615299,0.427984413278468,0.000118730558075199,0.00760847934010338,Upregulated,PcB target,CPNE5
54,SH3BP5,234.493731888362,0.418718123004567,0.197685156959796,0.000160822838943174,0.00948790931177843,NS,PcB target,NA
55,GCNT2,921.686741727572,0.340373507512662,0.120871169564922,0.000169902084395696,0.0098285380883689,NS,PcB target,NA
56,ABR,32.041494980092,0.634374809079138,0.785778912065722,0.000236186232112281,0.0123206340800466,Upregulated,PcB target,ABR
57,TVP23B,287.272266289739,-0.380621096578615,0.169190374303883,0.000258995432126965,0.0131655952388526,NS,PcB target,NA
58,SLC25A44,642.816455740125,0.322906462570027,0.117017041540853,0.0002759846412626,0.0136314407363823,NS,PcB target,NA
59,ADAMTS18,135.983619303496,0.610307317593614,0.689446371716083,0.000300099414428744,0.0144856428386758,Upregulated,PcB target,ADAMTS18
60,CMIP,959.816530564788,0.32073920714515,0.119878477278037,0.000355697800045672,0.0159358551239973,NS,PcB target,NA
61,DNAH11,200.227070692292,-0.368063020990607,0.173047096168479,0.000404508851745407,0.017381020517049,NS,PcB target,NA
62,TTBK1,47.1202800682673,0.530435303182078,0.582346513821587,0.000437730779202071,0.0183039603763054,NS,PcB target,NA
63,SOCS2,96.8214895234503,0.368436887221498,0.674249861035512,0.00045000889106775,0.0186358835195104,NS,PcB target,NA
64,ABT1,453.020090214097,-0.306923650213842,0.117450227157979,0.000539689343453347,0.0206261220285885,NS,PcB target,NA
65,ACTC1,46.7250491077079,0.309321490941188,0.620799268038108,0.000551001833796731,0.0210044724693743,NS,PcB target,NA
66,CYP26B1,32.7368248267764,0.425215347138452,0.665021826302993,0.000566788797593226,0.021496043504639,NS,PcB target,NA
67,ARMH4,157.044606497748,0.371415000522231,0.206865927377932,0.000584041688316248,0.0219266358085799,NS,PcB target,NA
68,NTRK2,145.717224770238,0.394610556640727,0.270075519378609,0.000589773477100447,0.0220860510933309,NS,PcB target,NA
69,CCDC65,58.3995674732526,0.436123660807625,0.394659715425375,0.000605386718907744,0.0223798605686502,NS,PcB target,NA
70,TMEM108,308.103963440634,0.359072589815672,0.185938085939036,0.000628006443367033,0.0226615820231497,NS,PcB target,NA
71,RIPK1,355.222365682399,0.315011312448272,0.128564502087771,0.000666958337166898,0.0237216976044504,NS,PcB target,NA
72,IQSEC1,833.079649676276,0.322979097111498,0.138604403991854,0.000721608718785501,0.0248913151326776,NS,PcB target,NA
